Date,Close/Last,Volume,Open,High,Low
11/29/2024,$90.78,92478,$90.59,$91.40,$90.35
11/27/2024,$89.19,224561,$92.00,$94.29,$88.78
11/26/2024,$91.62,545068,$94.49,$97.10,$90.79
11/25/2024,$100.86,219650,$98.37,$103.50,$98.37
11/22/2024,$97.24,173068,$95.68,$98.0313,$95.25
11/21/2024,$94.74,322432,$95.00,$96.41,$92.63
11/20/2024,$94.93,150959,$94.75,$95.47,$94.11
11/19/2024,$94.47,120418,$94.86,$95.5175,$93.8301
11/18/2024,$95.87,100932,$96.50,$97.32,$95.785
11/15/2024,$96.50,105742,$98.63,$98.63,$95.98
11/14/2024,$98.22,99053,$99.38,$100.41,$97.95
11/13/2024,$99.50,82200,$101.90,$102.05,$99.33
11/12/2024,$100.49,106901,$101.80,$103.04,$99.80
11/11/2024,$102.94,77065,$102.12,$104.28,$101.425
11/08/2024,$100.74,146360,$99.70,$101.885,$99.06
11/07/2024,$99.52,138146,$99.19,$100.77,$98.39
11/06/2024,$99.81,182970,$99.45,$101.07,$97.82
11/05/2024,$94.54,80419,$91.77,$94.85,$91.77
11/04/2024,$92.68,87198,$90.92,$93.89,$90.92
11/01/2024,$91.26,107967,$90.95,$93.14,$90.57
10/31/2024,$90.71,81676,$92.02,$92.93,$90.67
10/30/2024,$92.60,139233,$91.29,$94.58,$91.29
10/29/2024,$91.65,185682,$94.40,$94.40,$91.17
10/28/2024,$96.09,74866,$94.03,$97.34,$93.29
10/25/2024,$93.31,70757,$94.98,$95.36,$93.045
10/24/2024,$94.08,100710,$93.90,$94.90,$93.26
10/23/2024,$93.83,124920,$94.95,$95.79,$93.80
10/22/2024,$95.43,132529,$96.37,$96.37,$94.31
10/21/2024,$97.15,190922,$101.60,$101.60,$96.895
10/18/2024,$100.99,189813,$99.90,$101.30,$99.305
10/17/2024,$99.69,228489,$98.72,$99.71,$96.79
10/16/2024,$96.12,114054,$94.91,$96.72,$94.91
10/15/2024,$93.65,160411,$94.01,$95.60,$93.59
10/14/2024,$94.08,113420,$92.02,$94.245,$92.02
10/11/2024,$92.29,136247,$90.65,$92.355,$90.63
10/10/2024,$90.67,158954,$91.15,$91.30,$89.89
10/09/2024,$92.33,186633,$91.43,$92.76,$90.61
10/08/2024,$90.81,178650,$91.97,$92.60,$90.31
10/07/2024,$91.78,153737,$91.40,$92.64,$90.34
10/04/2024,$92.09,97754,$93.16,$93.33,$90.75
10/03/2024,$92.27,94102,$92.88,$92.99,$91.155
10/02/2024,$92.99,148576,$93.23,$94.61,$92.04
10/01/2024,$93.46,134500,$92.84,$94.385,$91.94
09/30/2024,$93.45,160361,$92.63,$93.565,$91.81
09/27/2024,$92.96,169125,$92.56,$95.24,$92.02
09/26/2024,$91.27,171069,$91.68,$92.655,$90.53
09/25/2024,$90.11,172944,$91.31,$91.42,$90.00
09/24/2024,$91.78,186560,$93.58,$93.85,$91.46
09/23/2024,$93.21,256679,$94.73,$96.41,$92.14
09/20/2024,$93.61,2392385,$94.65,$96.125,$92.74
09/19/2024,$95.58,194632,$95.48,$95.91,$93.21
09/18/2024,$92.56,213355,$92.98,$96.13,$91.21
09/17/2024,$92.66,206726,$92.39,$94.18,$91.02
09/16/2024,$91.43,204282,$89.40,$91.98,$88.29
09/13/2024,$88.70,186312,$86.53,$89.51,$84.285
09/12/2024,$85.02,163868,$83.49,$85.64,$83.03
09/11/2024,$82.63,220181,$82.78,$83.01,$79.78
09/10/2024,$83.41,175508,$83.96,$84.43,$81.83
09/09/2024,$83.55,186768,$83.28,$84.77,$82.39
09/06/2024,$83.32,117526,$85.80,$87.215,$82.93
09/05/2024,$85.68,173431,$85.41,$86.255,$84.00
09/04/2024,$85.13,208704,$83.25,$85.82,$82.17
09/03/2024,$83.51,277520,$88.58,$89.99,$82.79
08/30/2024,$89.61,159432,$89.68,$90.89,$88.08
08/29/2024,$88.62,228218,$89.36,$90.495,$87.94
08/28/2024,$88.29,456420,$87.64,$89.62,$86.94
08/27/2024,$89.17,598452,$85.03,$92.83,$84.2001
08/26/2024,$99.85,170343,$101.00,$102.45,$99.70
08/23/2024,$99.74,184868,$96.05,$100.62,$96.05
08/22/2024,$95.23,95058,$96.11,$97.50,$95.08
08/21/2024,$96.46,143719,$95.40,$97.805,$95.06
08/20/2024,$94.24,117628,$94.26,$95.44,$93.45
08/19/2024,$94.41,69503,$94.26,$95.00,$93.805
08/16/2024,$94.00,116133,$93.68,$96.50,$93.515
08/15/2024,$94.47,102778,$93.88,$94.68,$92.475
08/14/2024,$91.19,134623,$93.28,$93.28,$89.84
08/13/2024,$90.28,90222,$88.19,$90.75,$87.36
08/12/2024,$86.97,114512,$89.41,$89.41,$86.49
08/09/2024,$89.26,91420,$89.20,$90.34,$88.86
08/08/2024,$89.20,114352,$90.00,$90.11,$88.36
08/07/2024,$88.27,168843,$93.84,$95.24,$87.80
08/06/2024,$92.68,166474,$90.52,$94.53,$89.00
08/05/2024,$91.02,151488,$89.62,$92.99,$89.16
08/02/2024,$95.12,137483,$94.75,$95.4954,$92.345
08/01/2024,$98.42,192107,$101.88,$103.86,$97.78
07/31/2024,$102.15,219574,$103.17,$106.57,$101.22
07/30/2024,$102.50,220142,$101.79,$103.73,$100.36
07/29/2024,$100.76,152829,$100.86,$102.12,$99.52
07/26/2024,$100.59,159255,$97.78,$101.80,$97.78
07/25/2024,$95.32,168185,$91.71,$96.76,$91.67
07/24/2024,$91.52,141751,$93.01,$94.32,$91.11
07/23/2024,$93.65,119551,$90.39,$95.075,$89.98
07/22/2024,$90.96,131843,$90.23,$91.32,$88.50
07/19/2024,$89.75,122210,$91.09,$91.61,$89.67
07/18/2024,$90.94,179087,$90.91,$95.99,$90.46
07/17/2024,$91.32,158707,$91.31,$94.15,$91.21
07/16/2024,$93.50,150157,$87.58,$93.59,$87.58
07/15/2024,$86.38,276437,$86.00,$89.24,$85.89
07/12/2024,$85.92,199954,$84.52,$88.11,$84.52
07/11/2024,$83.63,257354,$79.44,$84.035,$79.44
07/10/2024,$77.54,88314,$77.53,$77.96,$76.57
07/09/2024,$77.25,116915,$77.83,$78.43,$77.16
07/08/2024,$78.22,205480,$77.69,$78.48,$77.25
07/05/2024,$77.39,94539,$77.41,$77.74,$76.93
07/03/2024,$77.46,65050,$78.55,$78.88,$77.43
07/02/2024,$78.75,105914,$78.23,$79.27,$78.06
07/01/2024,$78.38,193217,$78.76,$79.645,$77.115
06/28/2024,$78.60,181964,$78.92,$80.16,$78.07
06/27/2024,$78.20,93809,$77.84,$78.64,$77.60
06/26/2024,$77.96,125155,$76.76,$78.285,$76.76
06/25/2024,$77.15,151076,$79.47,$79.47,$76.91
06/24/2024,$79.52,124691,$79.56,$80.63,$79.52
06/21/2024,$79.75,533161,$78.94,$79.86,$77.73
06/20/2024,$78.89,99474,$79.75,$80.485,$78.56
06/18/2024,$80.30,108597,$81.13,$81.13,$79.61
06/17/2024,$81.11,108186,$79.99,$81.11,$79.695
06/14/2024,$80.56,92540,$81.72,$81.72,$79.75
06/13/2024,$82.72,104306,$81.84,$82.92,$80.33
06/12/2024,$82.15,118006,$83.78,$85.11,$81.9401
06/11/2024,$81.38,121480,$81.97,$82.80,$80.622
06/10/2024,$82.83,205706,$82.05,$82.89,$81.42
06/07/2024,$83.16,101559,$84.09,$84.09,$82.69
06/06/2024,$84.90,115893,$85.41,$85.61,$84.46
06/05/2024,$85.76,111258,$85.57,$86.41,$84.675
06/04/2024,$85.59,347955,$84.99,$85.76,$84.02
06/03/2024,$85.70,243261,$87.26,$87.26,$85.0101
05/31/2024,$86.11,217306,$86.09,$86.67,$83.36
05/30/2024,$85.84,148036,$86.26,$86.70,$85.61
05/29/2024,$85.40,172253,$86.09,$86.18,$84.66
05/28/2024,$87.32,258220,$89.36,$89.905,$87.16
05/24/2024,$89.04,410385,$85.34,$89.07,$84.00
05/23/2024,$92.66,164547,$93.63,$93.63,$91.40
05/22/2024,$93.37,136936,$93.26,$93.93,$92.33
05/21/2024,$93.69,155165,$94.35,$94.46,$93.33
05/20/2024,$94.63,84962,$95.84,$96.78,$94.58
05/17/2024,$96.01,122717,$94.56,$96.01,$94.13
05/16/2024,$94.69,140690,$96.69,$96.815,$94.58
05/15/2024,$96.67,105348,$96.51,$97.56,$96.29
05/14/2024,$95.30,76089,$96.09,$96.36,$94.71
05/13/2024,$94.90,104138,$96.90,$96.90,$94.90
05/10/2024,$95.85,90903,$95.02,$95.955,$93.94
05/09/2024,$95.09,98544,$93.75,$95.577,$93.235
05/08/2024,$93.17,185248,$93.97,$94.525,$92.61
05/07/2024,$94.48,103500,$95.85,$96.11,$94.40
05/06/2024,$95.45,68748,$94.95,$97.01,$94.95
05/03/2024,$94.45,67912,$95.02,$96.42,$93.675
05/02/2024,$93.37,101631,$93.76,$94.26,$92.56
05/01/2024,$93.04,234378,$92.14,$95.09,$91.32
04/30/2024,$92.08,106285,$93.36,$93.37,$91.96
04/29/2024,$94.06,82916,$93.42,$94.38,$92.79
04/26/2024,$92.92,73627,$92.02,$93.74,$92.02
04/25/2024,$91.67,102816,$90.68,$92.34,$89.04
04/24/2024,$92.17,118157,$92.92,$93.97,$90.68
04/23/2024,$92.91,139886,$90.50,$93.40,$90.50
04/22/2024,$90.30,207792,$90.50,$91.10,$89.61
04/19/2024,$90.20,150242,$89.70,$90.915,$88.63
04/18/2024,$90.10,158062,$92.09,$92.48,$89.93
04/17/2024,$91.39,117972,$93.06,$93.06,$90.52
04/16/2024,$92.50,150581,$93.72,$93.72,$91.73
04/15/2024,$94.57,105114,$96.91,$97.75,$93.81
04/12/2024,$96.02,148146,$96.52,$97.67,$95.24
04/11/2024,$97.22,90143,$98.20,$98.20,$96.52
04/10/2024,$97.59,92272,$98.34,$99.33,$96.28
04/09/2024,$101.12,54654,$102.09,$102.09,$99.17
04/08/2024,$101.65,85115,$102.88,$103.42,$101.55
04/05/2024,$101.79,92663,$99.63,$102.43,$99.36
04/04/2024,$99.80,106019,$102.18,$103.22,$99.25
04/03/2024,$101.31,76766,$98.13,$102.05,$98.13
04/02/2024,$98.45,129554,$99.17,$99.22,$97.30
04/01/2024,$100.01,57277,$102.27,$102.50,$99.5392
03/28/2024,$101.66,125831,$101.55,$102.375,$100.58
03/27/2024,$101.05,85692,$101.60,$102.05,$100.56
03/26/2024,$100.61,88141,$99.74,$100.755,$99.47
03/25/2024,$99.30,48629,$100.58,$100.895,$99.29
03/22/2024,$100.10,86852,$102.06,$102.06,$98.82
03/21/2024,$102.31,193532,$98.98,$103.45,$97.54
03/20/2024,$98.00,231068,$97.61,$98.51,$96.185
03/19/2024,$97.50,128654,$95.02,$97.58,$94.94
03/18/2024,$95.19,146454,$95.51,$96.85,$93.27
03/15/2024,$94.76,494296,$92.57,$94.85,$92.57
03/14/2024,$93.22,110129,$94.04,$94.46,$92.01
03/13/2024,$94.63,79612,$95.12,$95.90,$94.235
03/12/2024,$95.46,91598,$95.82,$96.09,$94.45
03/11/2024,$95.57,89556,$96.25,$96.25,$93.335
03/08/2024,$96.04,154982,$97.22,$97.565,$95.295
03/07/2024,$96.23,115136,$95.21,$96.40,$94.26
03/06/2024,$94.75,136535,$94.56,$95.51,$93.21
03/05/2024,$93.21,119954,$96.28,$96.28,$93.00
03/04/2024,$96.74,173970,$103.10,$104.1899,$95.67
03/01/2024,$102.27,170314,$102.55,$104.28,$100.775
02/29/2024,$100.24,186666,$101.03,$102.85,$99.38
02/28/2024,$101.03,168532,$98.65,$103.45,$98.4122
02/27/2024,$99.69,128948,$97.21,$100.08,$97.15
02/26/2024,$96.14,97127,$94.90,$97.32,$94.885
02/23/2024,$95.17,92541,$94.90,$96.405,$94.37
02/22/2024,$94.77,98036,$94.30,$96.87,$93.78
02/21/2024,$91.605,68050,$92.06,$93.03,$90.60
02/20/2024,$91.965,87590,$92.31,$92.31,$89.76
02/16/2024,$92.61,74363,$92.88,$93.44,$91.44
02/15/2024,$94.05,84347,$92.48,$96.779,$91.98
02/14/2024,$91.88,76849,$90.89,$92.23,$89.75
02/13/2024,$89.16,163385,$92.71,$92.71,$88.41
02/12/2024,$96.32,132136,$94.48,$96.96,$94.17
02/09/2024,$94.43,203779,$93.28,$96.51,$92.155
02/08/2024,$93.38,109921,$91.44,$93.68,$91.17
02/07/2024,$91.56,75021,$91.70,$92.725,$91.27
02/06/2024,$91.59,58965,$91.32,$92.21,$90.7385
02/05/2024,$91.55,60154,$91.91,$92.43,$90.22
02/02/2024,$93.19,58259,$93.11,$94.43,$92.23
02/01/2024,$94.23,76397,$92.66,$94.73,$91.80
01/31/2024,$91.28,83548,$94.39,$94.59,$90.97
01/30/2024,$94.28,71067,$93.51,$94.53,$93.325
01/29/2024,$94.11,62709,$92.74,$94.26,$90.94
01/26/2024,$92.74,60882,$92.53,$92.8299,$91.30
01/25/2024,$91.72,104665,$90.66,$92.17,$90.005
01/24/2024,$89.22,86888,$91.28,$91.29,$88.895
01/23/2024,$89.99,143705,$94.66,$94.91,$89.88
01/22/2024,$95.08,111591,$93.08,$95.55,$93.08
01/19/2024,$92.84,97771,$91.81,$92.86,$90.01
01/18/2024,$91.83,101295,$91.37,$92.27,$89.95
01/17/2024,$90.62,95065,$88.69,$90.65,$88.69
01/16/2024,$90.02,79688,$89.65,$90.02,$88.89
01/12/2024,$90.60,50625,$92.06,$92.39,$89.72
01/11/2024,$90.91,115369,$90.21,$91.055,$88.93
01/10/2024,$90.51,82733,$89.78,$90.67,$88.89
01/09/2024,$89.38,64637,$88.68,$89.74,$87.14
01/08/2024,$89.83,96890,$88.94,$90.10,$88.28
01/05/2024,$88.74,82649,$88.17,$90.69,$87.475
01/04/2024,$88.92,109724,$89.18,$90.097,$88.09
01/03/2024,$89.15,128131,$91.34,$91.75,$89.06
01/02/2024,$92.07,98579,$91.91,$92.40,$90.81
12/29/2023,$92.85,63795,$93.61,$93.69,$92.55
12/28/2023,$93.71,82841,$93.22,$93.85,$92.65
12/27/2023,$93.73,61948,$93.93,$94.75,$93.36
12/26/2023,$93.71,57670,$93.24,$94.555,$92.92
12/22/2023,$92.70,76709,$93.18,$93.65,$92.16
12/21/2023,$92.50,69226,$92.72,$94.12,$91.16
12/20/2023,$91.87,157598,$91.95,$94.12,$89.93
12/19/2023,$91.93,124926,$91.22,$92.78,$90.96
12/18/2023,$90.25,182676,$92.31,$93.11,$90.16
12/15/2023,$92.36,616239,$93.03,$93.07,$91.05
12/14/2023,$92.43,155212,$90.92,$93.855,$90.04
12/13/2023,$89.06,121910,$88.37,$89.60,$85.39
12/12/2023,$88.23,104907,$88.01,$88.55,$87.245
12/11/2023,$87.95,97396,$87.67,$88.83,$84.6418
12/08/2023,$88.19,120865,$86.96,$88.65,$86.67
12/07/2023,$85.79,120575,$84.90,$85.79,$83.50
12/06/2023,$84.52,129710,$83.94,$85.80,$83.94
12/05/2023,$83.19,130707,$83.17,$83.65,$82.08
12/04/2023,$83.08,231343,$82.89,$84.42,$81.92
12/01/2023,$83.58,363534,$77.33,$84.35,$76.33
11/30/2023,$72.40,183125,$72.09,$72.59,$70.58
11/29/2023,$72.03,144048,$73.09,$73.8187,$71.90
11/28/2023,$72.26,82662,$74.11,$74.11,$71.99
11/27/2023,$74.23,148669,$73.29,$74.58,$72.54
11/24/2023,$73.65,19347,$73.56,$74.46,$73.56
11/22/2023,$73.81,139600,$73.34,$74.44,$73.30
11/21/2023,$73.00,68153,$73.93,$74.325,$72.94
11/20/2023,$74.22,84867,$74.67,$74.67,$73.42
11/17/2023,$74.96,106623,$74.73,$75.55,$73.97
11/16/2023,$73.70,89589,$75.01,$75.375,$73.52
11/15/2023,$75.12,70916,$76.46,$77.38,$74.85
11/14/2023,$76.66,107084,$73.64,$77.22,$73.64
11/13/2023,$71.15,93476,$72.07,$72.93,$71.15
11/10/2023,$72.59,78904,$71.65,$73.00,$71.54
11/09/2023,$71.22,81584,$73.03,$73.20,$70.97
11/08/2023,$73.39,68195,$73.08,$73.62,$72.71
11/07/2023,$73.08,71025,$71.84,$73.26,$71.55
11/06/2023,$71.94,68867,$72.43,$72.73,$70.95
11/03/2023,$72.73,91100,$72.14,$74.30,$72.14
11/02/2023,$70.86,116774,$69.57,$71.38,$68.75
11/01/2023,$68.72,97478,$67.09,$68.85,$66.01
10/31/2023,$67.23,87797,$66.88,$67.89,$66.18
10/30/2023,$66.60,88320,$66.24,$66.69,$65.59
10/27/2023,$65.75,66030,$66.09,$66.67,$65.01
10/26/2023,$66.08,119139,$67.83,$68.62,$65.49
10/25/2023,$67.67,148228,$67.70,$68.45,$66.31
10/24/2023,$68.48,141534,$67.50,$69.623,$66.405
10/23/2023,$66.84,175106,$67.43,$67.76,$66.17
10/20/2023,$67.83,168283,$69.13,$69.32,$67.73
10/19/2023,$68.97,143910,$70.51,$71.35,$68.3201
10/18/2023,$70.65,155610,$72.99,$73.085,$70.535
10/17/2023,$73.87,232481,$77.37,$77.98,$73.24
10/16/2023,$77.65,157485,$76.23,$78.00,$76.23
10/13/2023,$75.86,202858,$76.27,$77.74,$75.27
10/12/2023,$75.91,192450,$78.54,$78.54,$75.12
10/11/2023,$78.92,211466,$76.40,$79.61,$76.40
10/10/2023,$76.00,188053,$74.99,$77.38,$74.99
10/09/2023,$74.77,136532,$74.46,$75.38,$73.84
10/06/2023,$74.58,250454,$74.38,$75.71,$74.315
10/05/2023,$75.13,229626,$74.93,$76.67,$73.76
10/04/2023,$75.10,178432,$74.32,$76.32,$73.7001
10/03/2023,$73.72,181737,$74.98,$75.60,$73.315
10/02/2023,$75.72,193019,$75.14,$77.46,$75.14
09/29/2023,$75.61,233436,$76.86,$77.24,$75.335
09/28/2023,$76.62,119991,$74.55,$77.25,$74.55
09/27/2023,$74.47,94704,$72.58,$74.79,$72.58
09/26/2023,$71.91,84785,$71.83,$72.64,$71.49
09/25/2023,$72.43,83002,$72.69,$73.89,$72.25
09/22/2023,$72.95,120318,$73.44,$75.1399,$72.69
09/21/2023,$73.47,103559,$73.72,$74.23,$72.02
09/20/2023,$74.31,90112,$74.77,$75.65,$74.10
09/19/2023,$74.11,86377,$73.86,$74.71,$73.06
09/18/2023,$74.10,98526,$75.34,$75.905,$73.70
09/15/2023,$75.25,489848,$78.09,$78.21,$74.75
09/14/2023,$77.67,103394,$77.60,$78.90,$77.28
09/13/2023,$76.97,126961,$78.21,$78.21,$74.315
09/12/2023,$77.75,112374,$78.69,$79.49,$77.46
09/11/2023,$78.69,96595,$78.19,$79.53,$77.97
09/08/2023,$77.94,127558,$77.72,$79.02,$77.3001
09/07/2023,$78.02,127189,$78.21,$78.78,$76.83
09/06/2023,$78.29,131276,$77.50,$79.27,$77.19
09/05/2023,$77.19,198887,$79.23,$79.79,$75.21
09/01/2023,$80.10,99262,$78.26,$80.27,$78.26
08/31/2023,$77.67,193305,$77.00,$78.16,$76.30
08/30/2023,$76.94,252002,$69.94,$77.17,$68.57
08/29/2023,$74.34,199376,$72.17,$74.5999,$71.3489
08/28/2023,$72.80,94423,$72.62,$73.59,$72.08
08/25/2023,$71.94,93515,$72.54,$73.09,$70.65
08/24/2023,$72.41,94455,$72.50,$73.46,$71.77
08/23/2023,$72.91,105827,$72.90,$74.58,$72.61
08/22/2023,$72.74,72812,$72.24,$72.99,$71.65
08/21/2023,$71.92,166749,$73.91,$74.84,$71.59
08/18/2023,$73.41,81219,$72.35,$74.23,$69.5725
08/17/2023,$72.05,76043,$75.53,$75.605,$71.75
08/16/2023,$75.45,94530,$75.74,$76.775,$75.31
08/15/2023,$75.98,70423,$75.01,$76.25,$74.19
08/14/2023,$75.21,79271,$74.83,$75.32,$73.76
08/11/2023,$75.24,58059,$75.32,$75.585,$74.78
08/10/2023,$75.35,69183,$74.94,$75.71,$74.03
08/09/2023,$74.55,117091,$74.08,$75.11,$72.737
08/08/2023,$74.31,68236,$75.40,$75.90,$73.68
08/07/2023,$76.06,224213,$74.36,$76.12,$74.01
08/04/2023,$74.36,148131,$74.74,$75.22,$73.72
08/03/2023,$74.56,101692,$76.58,$76.58,$74.46
08/02/2023,$77.13,74181,$76.55,$77.51,$76.24
08/01/2023,$77.16,102839,$76.39,$77.50,$76.315
07/31/2023,$76.64,99332,$76.95,$77.34,$75.49
07/28/2023,$76.75,85118,$77.45,$77.85,$76.36
07/27/2023,$76.82,88592,$77.12,$78.215,$76.35
07/26/2023,$76.73,66506,$74.99,$77.09,$74.04
07/25/2023,$75.48,64214,$75.00,$77.05,$75.00
07/24/2023,$75.38,77453,$74.47,$76.30,$74.47
07/21/2023,$74.11,83615,$77.77,$77.93,$73.92
07/20/2023,$77.16,144957,$75.68,$77.26,$75.14
07/19/2023,$75.44,162746,$75.17,$75.93,$74.83
07/18/2023,$74.97,131013,$74.15,$75.18,$73.62
07/17/2023,$74.67,83259,$74.06,$75.07,$73.58
07/14/2023,$74.28,80356,$74.17,$74.30,$72.50
07/13/2023,$74.43,65627,$74.95,$74.99,$73.60
07/12/2023,$74.53,71262,$76.00,$76.72,$74.515
07/11/2023,$74.61,64499,$74.94,$75.32,$73.75
07/10/2023,$74.47,79540,$72.82,$74.52,$72.82
07/07/2023,$72.81,76681,$72.43,$74.04,$72.43
07/06/2023,$72.26,106788,$72.85,$74.20,$71.76
07/05/2023,$74.01,124997,$75.60,$75.60,$73.91
07/03/2023,$76.12,76750,$76.37,$77.1099,$75.52
06/30/2023,$76.37,169101,$75.87,$77.535,$75.64
06/29/2023,$75.25,127360,$72.72,$75.28,$72.685
06/28/2023,$72.39,66988,$72.02,$72.65,$71.83
06/27/2023,$72.23,98435,$70.53,$73.15,$70.51
06/26/2023,$70.55,113924,$69.88,$71.12,$69.71
06/23/2023,$69.85,164734,$70.61,$72.0799,$69.64
06/22/2023,$71.56,87995,$71.88,$72.09,$71.0501
06/21/2023,$71.88,74429,$71.98,$73.00,$71.79
06/20/2023,$72.28,123608,$70.61,$72.58,$70.53
06/16/2023,$70.56,380835,$70.30,$70.85,$69.62
06/15/2023,$70.20,177911,$68.70,$70.325,$68.70
06/14/2023,$68.85,126452,$69.85,$70.45,$68.33
06/13/2023,$69.85,154610,$69.97,$70.46,$69.56
06/12/2023,$69.56,176340,$68.91,$70.13,$67.96
06/09/2023,$68.31,178444,$68.66,$69.30,$67.37
06/08/2023,$68.56,112247,$68.01,$69.02,$67.84
06/07/2023,$68.38,211517,$66.50,$69.07,$66.50
06/06/2023,$65.86,184911,$63.11,$66.91,$63.11
06/05/2023,$63.59,108174,$62.99,$64.01,$61.45
06/02/2023,$63.43,208639,$60.78,$63.84,$60.78
06/01/2023,$59.70,116581,$59.35,$60.18,$58.4855
05/31/2023,$59.50,118964,$62.49,$62.85,$58.92
05/30/2023,$62.66,112547,$64.50,$64.50,$62.57
05/26/2023,$64.13,206166,$59.18,$64.47,$59.18
05/25/2023,$58.67,245768,$57.20,$63.02,$56.82
05/24/2023,$53.99,95529,$54.44,$54.85,$53.80
05/23/2023,$54.22,125934,$54.08,$55.79,$54.08
05/22/2023,$54.15,93819,$55.05,$55.24,$53.99
05/19/2023,$54.88,116755,$55.02,$55.02,$54.205
05/18/2023,$54.31,85865,$53.15,$54.605,$53.15
05/17/2023,$53.54,62046,$52.14,$53.71,$52.14
05/16/2023,$51.79,68429,$51.83,$52.63,$51.385
05/15/2023,$52.43,53515,$51.67,$52.735,$51.28
05/12/2023,$51.58,61791,$51.95,$52.48,$51.20
05/11/2023,$51.68,82814,$51.04,$51.76,$50.98
05/10/2023,$51.43,87195,$51.45,$52.16,$50.90
05/09/2023,$50.54,60755,$50.49,$51.475,$50.4275
05/08/2023,$50.76,53466,$50.33,$50.85,$50.0701
05/05/2023,$50.34,84817,$50.00,$50.94,$49.42
05/04/2023,$49.06,89640,$50.45,$50.58,$48.52
05/03/2023,$50.74,64626,$50.47,$51.91,$50.47
05/02/2023,$50.23,56480,$50.62,$50.62,$49.10
05/01/2023,$50.76,50455,$50.52,$51.68,$50.395
04/28/2023,$50.52,75739,$49.14,$50.92,$49.14
04/27/2023,$49.14,66204,$48.13,$49.47,$47.98
04/26/2023,$48.03,47451,$49.29,$49.78,$48.015
04/25/2023,$49.55,81770,$50.72,$51.29,$49.46
04/24/2023,$51.34,38530,$51.41,$52.1299,$50.7627
04/21/2023,$51.36,62805,$51.45,$51.8799,$50.89
04/20/2023,$51.55,56582,$51.40,$52.28,$51.12
04/19/2023,$51.55,68195,$51.38,$51.95,$50.7148
04/18/2023,$51.48,69790,$51.58,$51.93,$51.17
04/17/2023,$51.46,57668,$51.02,$51.59,$50.83
04/14/2023,$50.81,59530,$51.24,$52.09,$50.525
04/13/2023,$51.16,102044,$50.81,$51.355,$49.97
04/12/2023,$50.30,96962,$51.22,$51.47,$50.21
04/11/2023,$50.55,155886,$50.02,$51.08,$49.575
04/10/2023,$49.70,150460,$49.20,$50.00,$49.09
04/06/2023,$49.42,72247,$49.57,$49.81,$48.6514
04/05/2023,$49.40,68258,$49.92,$49.92,$49.10
04/04/2023,$50.12,94833,$52.35,$52.35,$49.76
04/03/2023,$52.15,108899,$52.26,$52.68,$51.33
03/31/2023,$52.07,142384,$50.54,$52.34,$50.4176
03/30/2023,$50.10,53402,$50.64,$51.02,$49.73
03/29/2023,$50.13,94580,$51.00,$51.035,$49.94
03/28/2023,$50.28,66928,$50.16,$51.16,$49.87
03/27/2023,$50.25,137831,$50.56,$50.87,$50.01
03/24/2023,$49.84,111073,$50.16,$50.27,$48.935
03/23/2023,$50.59,152681,$51.59,$52.195,$49.71
03/22/2023,$51.30,101979,$51.81,$52.895,$51.22
03/21/2023,$52.09,143944,$51.96,$52.62,$51.30
03/20/2023,$50.88,96308,$51.09,$51.955,$50.87
03/17/2023,$50.61,565040,$50.72,$51.72,$49.90
03/16/2023,$51.49,91080,$49.86,$52.32,$49.28
03/15/2023,$50.31,128602,$50.60,$51.72,$49.875
03/14/2023,$51.82,124401,$52.83,$52.98,$51.13
03/13/2023,$51.52,135257,$52.19,$52.93,$51.35
03/10/2023,$53.02,131929,$53.50,$54.17,$52.30
03/09/2023,$53.71,107265,$54.29,$55.155,$53.23
03/08/2023,$54.14,97913,$53.97,$54.40,$53.30
03/07/2023,$54.06,132922,$54.84,$55.11,$53.65
03/06/2023,$54.79,204360,$57.17,$57.57,$53.53
03/03/2023,$57.36,188540,$56.09,$57.76,$54.60
