Date,Close/Last,Volume,Open,High,Low
11/29/2024,$6.81,13898,$6.8825,$6.8927,$6.25
11/27/2024,$6.71,9939,$6.56,$6.905,$6.555
11/26/2024,$6.46,11270,$6.55,$6.9537,$6.25
11/25/2024,$6.47,15752,$6.43,$6.8601,$6.3347
11/22/2024,$6.20,7438,$5.82,$6.20,$5.61
11/21/2024,$5.86,7864,$5.57,$5.86,$5.50
11/20/2024,$5.73,8994,$6.05,$6.1633,$5.54
11/19/2024,$6.04,12463,$5.76,$6.05,$5.70
11/18/2024,$5.91,20324,$5.92,$5.9797,$5.6118
11/15/2024,$5.90,14321,$6.19,$6.20,$5.74
11/14/2024,$6.03,14474,$6.38,$6.46,$5.75
11/13/2024,$6.27,12291,$6.57,$6.57,$6.27
11/12/2024,$6.47,14558,$7.00,$7.00,$6.47
11/11/2024,$6.99,12906,$7.00,$7.00,$6.82
11/08/2024,$6.96,11918,$6.79,$7.00,$6.76
11/07/2024,$6.82,14665,$6.96,$7.18,$6.78
11/06/2024,$6.98,30665,$6.82,$7.065,$6.2501
11/05/2024,$6.46,6678,$6.39,$6.49,$6.24
11/04/2024,$6.25,6877,$6.30,$6.32,$6.20
11/01/2024,$6.30,5975,$6.13,$6.30,$6.07
10/31/2024,$6.18,12657,$6.47,$6.47,$5.95
10/30/2024,$6.47,14432,$6.55,$6.80,$6.47
10/29/2024,$6.30,7407,$6.43,$6.57,$6.2387
10/28/2024,$6.23,18186,$6.42,$6.42,$6.11
10/25/2024,$6.26,8137,$6.59,$6.71,$6.26
10/24/2024,$6.52,21680,$6.34,$6.59,$6.13
10/23/2024,$6.44,10146,$6.49,$6.50,$6.02
10/22/2024,$6.50,19614,$6.85,$6.85,$6.3428
10/21/2024,$6.75,7089,$7.14,$7.14,$6.75
10/18/2024,$7.00,6254,$7.02,$7.2479,$7.00
10/17/2024,$7.02,16855,$7.10,$7.25,$6.75
10/16/2024,$7.03,7984,$6.86,$7.03,$6.82
10/15/2024,$6.86,7309,$6.716,$6.90,$6.70
10/14/2024,$6.71,10476,$6.94,$6.94,$6.6124
10/11/2024,$6.84,4134,$6.90,$6.90,$6.70
10/10/2024,$6.70,5585,$6.71,$6.86,$6.70
10/09/2024,$6.81,10173,$7.0001,$7.0001,$6.70
10/08/2024,$6.91,4065,$6.73,$7.00,$6.73
10/07/2024,$6.73,16166,$7.14,$7.15,$6.70
