Date,Close/Last,Volume,Open,High,Low
11/29/2024,$4.36,573818,$4.35,$4.42,$4.335
11/27/2024,$4.37,468155,$4.37,$4.45,$4.34
11/26/2024,$4.37,1386212,$4.37,$4.42,$4.29
11/25/2024,$4.39,1014550,$4.57,$4.66,$4.36
11/22/2024,$4.57,754403,$4.50,$4.60,$4.495
11/21/2024,$4.52,817757,$4.46,$4.55,$4.40
11/20/2024,$4.48,1000910,$4.50,$4.65,$4.465
11/19/2024,$4.49,1100424,$4.56,$4.56,$4.32
11/18/2024,$4.53,2387354,$4.26,$4.56,$4.26
11/15/2024,$4.23,1817424,$4.12,$4.29,$4.09
11/14/2024,$4.03,993861,$4.03,$4.0799,$3.995
11/13/2024,$4.04,1085445,$4.10,$4.135,$4.04
11/12/2024,$4.10,1849204,$4.13,$4.20,$4.00
11/11/2024,$4.17,1198388,$4.16,$4.185,$4.085
11/08/2024,$4.18,1657219,$4.34,$4.34,$4.12
11/07/2024,$4.34,2375439,$4.36,$4.57,$4.19
11/06/2024,$4.68,3323204,$4.39,$4.735,$4.37
11/05/2024,$4.26,1073493,$4.19,$4.27,$4.14
11/04/2024,$4.20,945294,$4.24,$4.265,$4.18
11/01/2024,$4.21,733252,$4.23,$4.23,$4.15
10/31/2024,$4.19,964158,$4.21,$4.255,$4.15
10/30/2024,$4.22,795385,$4.28,$4.305,$4.195
10/29/2024,$4.28,752386,$4.33,$4.3527,$4.24
10/28/2024,$4.37,882316,$4.29,$4.4389,$4.28
10/25/2024,$4.29,597125,$4.33,$4.4075,$4.275
10/24/2024,$4.33,736481,$4.31,$4.36,$4.27
10/23/2024,$4.31,1326051,$4.46,$4.46,$4.26
10/22/2024,$4.47,968724,$4.47,$4.53,$4.46
10/21/2024,$4.47,1520676,$4.55,$4.55,$4.35
10/18/2024,$4.50,1145594,$4.62,$4.65,$4.445
10/17/2024,$4.59,1658348,$4.54,$4.6096,$4.52
10/16/2024,$4.53,1275872,$4.59,$4.63,$4.505
10/15/2024,$4.53,1198678,$4.50,$4.57,$4.46
10/14/2024,$4.58,1205152,$4.53,$4.61,$4.47
10/11/2024,$4.53,801890,$4.41,$4.54,$4.41
10/10/2024,$4.41,639804,$4.30,$4.42,$4.265
10/09/2024,$4.37,796736,$4.37,$4.44,$4.32
10/08/2024,$4.39,1147304,$4.49,$4.49,$4.33
10/07/2024,$4.53,1258733,$4.57,$4.595,$4.47
10/04/2024,$4.57,2083529,$4.51,$4.76,$4.51
10/03/2024,$4.49,1134195,$4.55,$4.57,$4.41
10/02/2024,$4.60,3433155,$5.03,$5.12,$4.60
10/01/2024,$4.96,3781616,$4.64,$4.97,$4.6101
09/30/2024,$4.64,1423872,$4.66,$4.71,$4.535
09/27/2024,$4.58,1136469,$4.41,$4.64,$4.40
09/26/2024,$4.39,1537830,$4.41,$4.565,$4.38
09/25/2024,$4.31,802137,$4.36,$4.40,$4.29
09/24/2024,$4.35,1239530,$4.31,$4.45,$4.31
09/23/2024,$4.24,887030,$4.19,$4.27,$4.19
09/20/2024,$4.20,1045462,$4.29,$4.31,$4.15
09/19/2024,$4.31,436317,$4.30,$4.34,$4.24
09/18/2024,$4.20,1351156,$4.20,$4.35,$4.1211
09/17/2024,$4.18,1193494,$4.17,$4.236,$4.155
09/16/2024,$4.15,868151,$4.21,$4.225,$4.11
09/13/2024,$4.18,993408,$4.16,$4.265,$4.16
09/12/2024,$4.14,803711,$4.27,$4.31,$4.14
09/11/2024,$4.25,1353745,$4.13,$4.28,$4.065
09/10/2024,$4.13,1378136,$4.19,$4.19,$4.095
09/09/2024,$4.19,1353072,$4.24,$4.25,$4.16
09/06/2024,$4.21,1603731,$4.21,$4.26,$4.11
09/05/2024,$4.21,986906,$4.32,$4.375,$4.21
09/04/2024,$4.29,894329,$4.24,$4.305,$4.23
09/03/2024,$4.28,2685565,$4.34,$4.36,$4.2025
08/30/2024,$4.42,774747,$4.41,$4.49,$4.30
08/29/2024,$4.41,552328,$4.43,$4.49,$4.3958
08/28/2024,$4.41,1127364,$4.34,$4.44,$4.33
08/27/2024,$4.38,481429,$4.41,$4.43,$4.355
08/26/2024,$4.40,1110555,$4.59,$4.625,$4.39
08/23/2024,$4.535,2168227,$4.35,$4.60,$4.35
08/22/2024,$4.33,630335,$4.39,$4.41,$4.33
08/21/2024,$4.40,980096,$4.45,$4.48,$4.385
08/20/2024,$4.44,693287,$4.58,$4.58,$4.42
08/19/2024,$4.56,597784,$4.56,$4.615,$4.54
08/16/2024,$4.54,1307168,$4.50,$4.56,$4.42
08/15/2024,$4.57,1396494,$4.55,$4.62,$4.505
08/14/2024,$4.47,855271,$4.55,$4.63,$4.47
08/13/2024,$4.56,925558,$4.51,$4.625,$4.51
08/12/2024,$4.53,1241143,$4.68,$4.74,$4.48
08/09/2024,$4.61,1553676,$4.42,$4.71,$4.40
08/08/2024,$4.42,3694934,$4.65,$4.6679,$4.38
08/07/2024,$4.60,1586530,$4.81,$4.8259,$4.52
08/06/2024,$4.80,2094749,$5.05,$5.21,$4.765
08/05/2024,$4.69,2545350,$4.61,$4.73,$4.51
08/02/2024,$4.85,2718980,$5.01,$5.05,$4.81
08/01/2024,$5.16,2735464,$5.50,$5.62,$5.105
07/31/2024,$5.55,1136246,$5.39,$5.65,$5.35
07/30/2024,$5.29,922034,$5.30,$5.39,$5.215
07/29/2024,$5.31,683018,$5.49,$5.62,$5.25
07/26/2024,$5.43,527802,$5.48,$5.48,$5.36
07/25/2024,$5.41,518892,$5.58,$5.58,$5.41
07/24/2024,$5.57,780977,$5.68,$5.70,$5.55
07/23/2024,$5.70,648473,$5.66,$5.70,$5.54
07/22/2024,$5.72,446378,$5.79,$5.80,$5.67
