Date,Close/Last,Volume,Open,High,Low
11/29/2024,$29.10,17640,$29.50,$30.00,$28.9794
11/27/2024,$29.38,41798,$28.53,$30.20,$28.53
11/26/2024,$28.53,12662,$28.85,$28.99,$28.30
11/25/2024,$28.78,70022,$29.75,$29.75,$28.00
11/22/2024,$28.89,62422,$28.70,$29.25,$28.10
11/21/2024,$28.40,112581,$26.51,$28.425,$26.07
11/20/2024,$26.08,49736,$26.00,$26.75,$25.26
11/19/2024,$25.55,38506,$25.50,$26.75,$25.0401
11/18/2024,$25.38,35317,$24.30,$25.96,$24.30
11/15/2024,$24.04,47772,$24.00,$24.64,$23.70
11/14/2024,$24.27,33013,$24.80,$24.84,$23.69
11/13/2024,$24.84,19571,$25.90,$25.90,$24.83
11/12/2024,$26.19,25993,$26.38,$26.46,$25.50
11/11/2024,$26.26,89752,$25.60,$26.55,$25.60
11/08/2024,$24.98,31939,$24.50,$24.99,$24.445
11/07/2024,$23.26,36545,$21.99,$23.5725,$21.99
11/06/2024,$22.16,55107,$22.40,$22.5999,$21.905
11/05/2024,$22.60,23993,$22.29,$23.1355,$22.17
11/04/2024,$22.47,21456,$22.50,$23.2027,$21.90
11/01/2024,$22.25,29983,$22.01,$22.50,$21.38
10/31/2024,$21.65,33225,$22.13,$22.25,$21.0448
10/30/2024,$22.37,107115,$20.54,$22.5018,$20.54
10/29/2024,$20.52,40834,$21.00,$21.00,$20.51
10/28/2024,$21.65,37793,$21.75,$21.90,$21.19
10/25/2024,$21.75,27638,$22.00,$22.9705,$21.60
10/24/2024,$21.00,14885,$21.15,$21.33,$20.93
10/23/2024,$21.00,28218,$21.25,$21.60,$20.80
10/22/2024,$21.66,65335,$21.40,$22.2059,$21.006
10/21/2024,$22.68,17299,$23.65,$23.98,$22.68
10/18/2024,$23.22,N/A,$23.22,$23.22,$23.22
10/17/2024,$23.22,N/A,$23.22,$23.22,$23.22
10/16/2024,$23.22,42605,$23.90,$23.90,$22.5306
10/15/2024,$24.50,29166,$24.99,$25.24,$23.93
10/14/2024,$24.65,48167,$24.75,$25.50,$23.40
10/11/2024,$24.76,54695,$23.69,$24.9999,$23.69
10/10/2024,$23.39,31931,$23.28,$23.50,$22.86
10/09/2024,$23.28,54314,$23.50,$23.50,$22.03
10/08/2024,$23.30,24442,$24.00,$24.00,$22.50
10/07/2024,$24.02,53529,$23.90,$24.25,$23.70
10/04/2024,$22.93,15106,$22.90,$23.22,$22.775
10/03/2024,$22.90,39447,$23.64,$23.65,$22.5292
10/02/2024,$23.50,60082,$23.00,$23.7466,$22.90
10/01/2024,$22.68,53966,$22.50,$22.76,$22.1506
09/30/2024,$22.27,46328,$21.50,$22.3669,$21.1604
09/27/2024,$21.06,37331,$21.489,$21.489,$20.126
09/26/2024,$20.95,73567,$21.175,$21.50,$20.80
09/25/2024,$20.80,132369,$20.05,$21.50,$20.05
09/24/2024,$19.84,34833,$19.92,$19.97,$19.55
09/23/2024,$19.44,37600,$19.44,$19.74,$19.16
09/20/2024,$19.40,33929,$19.44,$19.44,$18.8279
09/19/2024,$19.37,43527,$19.13,$19.37,$18.75
09/18/2024,$18.10,10337,$17.69,$18.10,$17.69
09/17/2024,$17.75,11299,$18.16,$18.16,$17.75
09/16/2024,$18.00,16466,$18.49,$18.49,$17.6801
09/13/2024,$17.955,8106,$18.24,$18.24,$17.85
09/12/2024,$18.24,16256,$18.9999,$18.9999,$18.0944
09/11/2024,$17.69,10194,$17.98,$17.98,$17.69
09/10/2024,$17.71,4685,$17.849,$17.8742,$17.71
09/09/2024,$17.70,14570,$17.84,$18.6869,$17.4658
09/06/2024,$17.85,37860,$19.43,$19.43,$17.60
09/05/2024,$18.68,58232,$18.91,$18.98,$17.60
09/04/2024,$18.0171,8831,$18.00,$18.37,$17.50
09/03/2024,$17.98,49174,$19.00,$19.00,$17.0001
08/30/2024,$19.99,82146,$18.25,$19.99,$18.24
08/29/2024,$18.17,90855,$17.50,$18.2499,$17.00
08/28/2024,$17.40,56580,$16.00,$17.50,$16.00
08/27/2024,$15.76,15124,$15.80,$16.10,$15.41
08/26/2024,$15.74,9464,$15.89,$16.00,$15.5965
08/23/2024,$15.8175,11213,$15.25,$15.8175,$15.00
08/22/2024,$15.30,5696,$15.49,$15.50,$15.068
08/21/2024,$15.39,13138,$14.01,$15.50,$14.01
08/20/2024,$15.36,22190,$14.80,$15.36,$14.73
08/19/2024,$14.80,13749,$14.73,$14.80,$14.385
