Date,Close/Last,Volume,Open,High,Low
11/29/2024,$6.17,105639,$6.24,$6.25,$6.145
11/27/2024,$6.21,228121,$6.16,$6.35,$6.16
11/26/2024,$6.14,368713,$6.44,$6.44,$6.115
11/25/2024,$6.42,265668,$6.44,$6.60,$6.42
11/22/2024,$6.40,269277,$6.36,$6.50,$6.35
11/21/2024,$6.36,263785,$6.28,$6.41,$6.23
11/20/2024,$6.28,252910,$6.22,$6.39,$6.14
11/19/2024,$6.23,236590,$6.22,$6.27,$6.09
11/18/2024,$6.27,253868,$6.24,$6.35,$6.21
11/15/2024,$6.20,211890,$6.39,$6.39,$6.16
11/14/2024,$6.35,241008,$6.51,$6.52,$6.34
11/13/2024,$6.45,275240,$6.45,$6.59,$6.38
11/12/2024,$6.38,243979,$6.40,$6.48,$6.31
11/11/2024,$6.50,303769,$6.64,$6.70,$6.44
11/08/2024,$6.59,285052,$6.79,$6.79,$6.525
11/07/2024,$6.79,265678,$6.82,$7.015,$6.785
11/06/2024,$6.82,450496,$6.56,$6.82,$6.56
11/05/2024,$6.30,553389,$6.28,$6.52,$6.28
11/04/2024,$6.31,417168,$6.42,$6.55,$6.145
11/01/2024,$6.44,672553,$6.60,$6.75,$6.25
10/31/2024,$6.52,324622,$6.46,$6.59,$6.38
10/30/2024,$6.45,274895,$6.58,$6.75,$6.44
10/29/2024,$6.59,345663,$6.71,$6.71,$6.55
10/28/2024,$6.73,433783,$6.55,$6.86,$6.54
10/25/2024,$6.53,251527,$6.42,$6.598,$6.41
10/24/2024,$6.385,345728,$6.12,$6.46,$6.06
10/23/2024,$6.11,427262,$6.16,$6.215,$6.10
10/22/2024,$6.17,477589,$6.22,$6.35,$6.14
10/21/2024,$6.28,791385,$6.60,$6.64,$6.25
10/18/2024,$6.70,399603,$6.69,$6.865,$6.55
10/17/2024,$6.73,488782,$6.93,$6.95,$6.44
10/16/2024,$7.01,374347,$7.12,$7.22,$6.98
10/15/2024,$7.06,301297,$7.02,$7.15,$7.01
10/14/2024,$7.05,451071,$7.38,$7.40,$7.01
10/11/2024,$7.38,549833,$7.07,$7.395,$7.00
10/10/2024,$7.07,454212,$7.02,$7.15,$6.97
10/09/2024,$7.04,434066,$7.07,$7.16,$6.99
10/08/2024,$7.06,541572,$7.24,$7.27,$6.95
10/07/2024,$7.28,367404,$7.09,$7.285,$6.97
10/04/2024,$7.11,615327,$7.09,$7.34,$7.09
10/03/2024,$7.00,537757,$6.89,$7.115,$6.71
10/02/2024,$6.95,700610,$6.86,$6.995,$6.72
10/01/2024,$6.89,523015,$6.80,$6.98,$6.69
09/30/2024,$6.77,675022,$6.60,$6.80,$6.55
09/27/2024,$6.63,423366,$6.42,$6.68,$6.355
09/26/2024,$6.35,402876,$6.31,$6.36,$6.21
09/25/2024,$6.23,418279,$6.32,$6.32,$6.165
09/24/2024,$6.41,522742,$6.41,$6.525,$6.36
09/23/2024,$6.37,652981,$6.39,$6.52,$6.285
09/20/2024,$6.30,8704657,$6.38,$6.50,$6.21
09/19/2024,$6.44,784679,$6.54,$6.64,$6.295
09/18/2024,$6.39,741689,$6.43,$6.68,$6.32
09/17/2024,$6.44,1089471,$6.44,$6.53,$6.26
09/16/2024,$6.38,724932,$6.70,$6.72,$6.28
09/13/2024,$6.74,621541,$6.48,$6.74,$6.32
09/12/2024,$6.41,491726,$6.20,$6.54,$6.11
09/11/2024,$6.13,701677,$6.04,$6.1707,$5.86
09/10/2024,$6.135,795898,$6.44,$6.465,$6.09
09/09/2024,$6.42,1602715,$5.59,$6.56,$5.53
09/06/2024,$5.68,827627,$5.79,$6.07,$5.62
09/05/2024,$5.65,700959,$5.64,$5.719,$5.33
09/04/2024,$5.60,683203,$5.80,$5.88,$5.56
09/03/2024,$5.83,557494,$5.91,$6.17,$5.83
08/30/2024,$6.00,641319,$5.96,$6.04,$5.88
08/29/2024,$5.96,201235,$5.91,$6.05,$5.90
08/28/2024,$5.90,243687,$6.03,$6.09,$5.88
08/27/2024,$6.05,360100,$6.11,$6.13,$5.98
08/26/2024,$6.13,306852,$6.32,$6.365,$6.08
08/23/2024,$6.27,331600,$6.21,$6.445,$6.105
08/22/2024,$6.13,285991,$6.23,$6.34,$6.06
08/21/2024,$6.25,315371,$6.18,$6.37,$6.09
08/20/2024,$6.16,253483,$6.41,$6.4304,$6.12
08/19/2024,$6.41,248934,$6.20,$6.44,$6.20
08/16/2024,$6.20,237048,$6.19,$6.28,$6.10
08/15/2024,$6.24,266867,$6.41,$6.48,$6.19
08/14/2024,$6.29,241636,$6.54,$6.55,$6.27
08/13/2024,$6.55,275774,$6.32,$6.69,$6.31
08/12/2024,$6.30,342086,$6.91,$6.925,$6.30
08/09/2024,$6.93,468320,$6.52,$7.35,$6.52
08/08/2024,$6.57,387043,$6.45,$6.63,$6.18
08/07/2024,$6.50,314035,$6.59,$6.69,$6.47
08/06/2024,$6.46,236170,$6.50,$6.695,$6.45
08/05/2024,$6.48,394847,$6.48,$6.60,$6.28
08/02/2024,$6.69,553018,$7.03,$7.03,$6.59
08/01/2024,$7.05,508139,$7.38,$7.40,$6.91
07/31/2024,$7.62,413140,$7.68,$7.7911,$7.45
07/30/2024,$7.67,230007,$7.85,$7.925,$7.64
07/29/2024,$7.85,155436,$7.87,$7.90,$7.73
07/26/2024,$7.92,124392,$7.94,$8.01,$7.83
07/25/2024,$7.825,184509,$7.77,$8.025,$7.73
07/24/2024,$7.77,183397,$7.90,$7.99,$7.75
07/23/2024,$7.90,197199,$8.11,$8.12,$7.89
07/22/2024,$8.18,184654,$8.04,$8.26,$8.00
07/19/2024,$8.09,167359,$8.00,$8.24,$7.86
07/18/2024,$8.01,725249,$8.30,$8.38,$7.995
07/17/2024,$8.37,193061,$8.29,$8.49,$8.23
07/16/2024,$8.31,141360,$8.25,$8.41,$8.19
07/15/2024,$8.15,239940,$8.48,$8.52,$8.07
07/12/2024,$8.48,228276,$8.40,$8.50,$8.30
07/11/2024,$8.38,221672,$8.45,$8.57,$8.31
07/10/2024,$8.28,164220,$8.04,$8.30,$8.04
07/09/2024,$8.10,272164,$8.30,$8.34,$8.10
07/08/2024,$8.29,241196,$8.14,$8.305,$8.125
07/05/2024,$8.13,201785,$8.24,$8.24,$8.06
07/03/2024,$8.30,94501,$8.28,$8.33,$8.16
07/02/2024,$8.22,233556,$8.06,$8.30,$8.06
07/01/2024,$8.04,199507,$8.53,$8.58,$8.01
06/28/2024,$8.54,237533,$8.75,$8.79,$8.40
06/27/2024,$8.68,169343,$8.26,$8.69,$8.18
06/26/2024,$8.30,319925,$8.45,$8.465,$8.17
06/25/2024,$8.61,287485,$8.68,$8.74,$8.49
06/24/2024,$8.65,338453,$8.70,$8.82,$8.64
06/21/2024,$8.63,732148,$8.66,$8.75,$8.56
06/20/2024,$8.65,171745,$8.56,$8.75,$8.51
06/18/2024,$8.57,419669,$8.49,$8.60,$8.34
06/17/2024,$8.52,137343,$8.43,$8.53,$8.245
06/14/2024,$8.42,378799,$8.55,$8.58,$8.355
06/13/2024,$8.62,152181,$8.52,$8.67,$8.42
06/12/2024,$8.61,221784,$8.95,$9.09,$8.575
06/11/2024,$8.72,397268,$8.76,$8.85,$8.61
06/10/2024,$8.86,166106,$8.81,$8.95,$8.62
06/07/2024,$8.92,120332,$9.20,$9.28,$8.92
06/06/2024,$9.32,241807,$9.23,$9.43,$9.11
06/05/2024,$9.24,120879,$9.30,$9.41,$9.17
06/04/2024,$9.27,193575,$9.22,$9.345,$9.01
06/03/2024,$9.26,185150,$9.50,$9.60,$9.20
05/31/2024,$9.50,165349,$9.50,$9.56,$9.41
05/30/2024,$9.50,145832,$9.55,$9.78,$9.46
05/29/2024,$9.54,156025,$9.79,$9.85,$9.51
05/28/2024,$9.87,218784,$10.12,$10.205,$9.84
05/24/2024,$10.09,151190,$9.74,$10.12,$9.65
05/23/2024,$9.69,264166,$9.65,$9.79,$9.4708
05/22/2024,$9.64,207990,$9.89,$10.00,$9.62
05/21/2024,$9.96,198530,$9.53,$10.00,$9.26
05/20/2024,$9.61,309030,$10.19,$10.23,$9.58
05/17/2024,$10.18,186765,$10.40,$10.40,$10.15
05/16/2024,$10.35,244564,$10.38,$10.43,$10.22
05/15/2024,$10.42,309364,$10.42,$10.575,$10.185
05/14/2024,$10.41,187824,$10.93,$11.165,$10.38
05/13/2024,$10.90,411946,$10.58,$11.03,$10.47
05/10/2024,$10.51,363856,$10.85,$11.20,$10.22
05/09/2024,$10.81,185523,$10.77,$10.81,$10.3101
05/08/2024,$10.77,214860,$10.49,$10.85,$10.49
05/07/2024,$10.50,176650,$10.91,$10.91,$10.46
05/06/2024,$10.82,181863,$10.60,$10.88,$10.60
05/03/2024,$10.60,159780,$10.64,$10.8356,$10.46
05/02/2024,$10.51,144169,$10.33,$10.57,$10.29
05/01/2024,$10.24,227203,$10.12,$10.59,$10.05
04/30/2024,$10.13,202859,$10.17,$10.39,$10.11
04/29/2024,$10.23,139213,$10.08,$10.32,$10.08
04/26/2024,$10.05,118310,$10.31,$10.45,$10.04
04/25/2024,$10.25,168502,$10.03,$10.35,$10.03
04/24/2024,$10.23,137300,$9.97,$10.25,$9.97
04/23/2024,$9.97,131603,$9.59,$10.075,$9.59
04/22/2024,$9.65,125870,$9.50,$9.77,$9.50
04/19/2024,$9.54,158112,$9.54,$9.72,$9.50
04/18/2024,$9.57,151648,$9.56,$9.75,$9.27
04/17/2024,$9.45,207473,$9.34,$9.69,$9.26
04/16/2024,$9.23,107229,$9.21,$9.33,$9.049
04/15/2024,$9.25,129875,$9.41,$9.50,$9.17
04/12/2024,$9.44,139244,$9.83,$9.92,$9.39
04/11/2024,$9.83,142898,$9.69,$9.88,$9.42
04/10/2024,$9.59,190856,$9.71,$9.81,$9.555
04/09/2024,$10.03,115338,$9.80,$10.10,$9.73
04/08/2024,$9.77,114882,$10.06,$10.0681,$9.77
04/05/2024,$10.06,94386,$9.94,$10.09,$9.82
04/04/2024,$9.93,129151,$10.15,$10.23,$9.85
04/03/2024,$10.14,161419,$10.11,$10.20,$10.05
04/02/2024,$10.09,205816,$9.99,$10.125,$9.83
04/01/2024,$10.03,132985,$10.04,$10.04,$9.73
03/28/2024,$9.95,137892,$10.18,$10.29,$9.91
03/27/2024,$10.12,135156,$10.07,$10.22,$9.99
03/26/2024,$10.04,177758,$9.88,$10.17,$9.79
03/25/2024,$9.84,158210,$9.82,$10.04,$9.71
03/22/2024,$9.79,126303,$9.88,$9.96,$9.76
03/21/2024,$9.88,216631,$9.69,$9.94,$9.66
03/20/2024,$9.67,246301,$9.18,$9.77,$9.18
03/19/2024,$9.18,242961,$9.07,$9.27,$9.07
03/18/2024,$9.13,233921,$9.26,$9.36,$9.06
03/15/2024,$9.25,431232,$9.22,$9.87,$9.15
03/14/2024,$9.19,158409,$9.56,$9.565,$9.14
03/13/2024,$9.62,162548,$9.68,$9.86,$9.58
03/12/2024,$9.71,154191,$10.18,$10.24,$9.67
03/11/2024,$10.18,168252,$10.01,$10.25,$9.945
03/08/2024,$10.01,173481,$10.00,$10.085,$9.83
03/07/2024,$9.93,119253,$10.12,$10.21,$9.90
03/06/2024,$9.98,234028,$10.17,$10.20,$9.94
03/05/2024,$10.03,332106,$10.21,$10.418,$9.97
03/04/2024,$10.17,477153,$9.54,$10.28,$9.54
03/01/2024,$9.49,291616,$9.18,$9.50,$9.14
02/29/2024,$9.18,323072,$9.15,$9.37,$9.01
02/28/2024,$9.10,275140,$8.74,$9.12,$8.59
02/27/2024,$8.72,227799,$8.55,$8.765,$8.495
02/26/2024,$8.51,339404,$8.50,$8.78,$8.42
02/23/2024,$8.51,252528,$8.42,$8.59,$8.33
02/22/2024,$8.47,278545,$8.21,$8.47,$8.12
02/21/2024,$8.18,382041,$8.21,$8.40,$8.12
02/20/2024,$8.27,422771,$8.25,$8.595,$8.14
02/16/2024,$8.38,978036,$7.40,$8.40,$7.01
02/15/2024,$7.80,503550,$7.67,$7.90,$7.67
02/14/2024,$7.68,348309,$7.63,$7.70,$7.47
02/13/2024,$7.60,421731,$7.74,$7.75,$7.43
02/12/2024,$8.03,231834,$7.93,$8.18,$7.90
02/09/2024,$7.93,364440,$8.00,$8.04,$7.865
02/08/2024,$8.00,510616,$7.77,$8.18,$7.63
02/07/2024,$7.76,610898,$7.67,$7.92,$7.47
02/06/2024,$7.65,364106,$7.58,$7.90,$7.50
02/05/2024,$7.62,332517,$7.93,$7.9903,$7.57
02/02/2024,$8.03,460336,$8.22,$8.265,$7.81
02/01/2024,$8.27,315280,$8.49,$8.60,$8.27
01/31/2024,$8.46,311089,$8.70,$8.725,$8.44
01/30/2024,$8.69,171620,$8.67,$8.72,$8.5524
01/29/2024,$8.69,173982,$8.79,$8.79,$8.60
01/26/2024,$8.78,164117,$8.71,$8.78,$8.65
01/25/2024,$8.72,309385,$8.75,$8.75,$8.48
01/24/2024,$8.61,198754,$8.79,$8.94,$8.55
01/23/2024,$8.65,225010,$8.76,$8.80,$8.5471
01/22/2024,$8.67,221589,$8.62,$8.84,$8.52
01/19/2024,$8.60,193734,$8.74,$8.78,$8.50
01/18/2024,$8.73,283402,$8.95,$9.00,$8.705
01/17/2024,$8.92,301239,$9.06,$9.07,$8.86
01/16/2024,$9.18,341814,$9.59,$10.13,$9.085
01/12/2024,$9.84,590060,$9.34,$10.03,$9.34
01/11/2024,$8.94,199355,$8.99,$9.03,$8.85
01/10/2024,$9.01,171097,$8.93,$9.031,$8.799
01/09/2024,$8.92,192214,$8.98,$9.01,$8.80
01/08/2024,$9.06,103837,$9.02,$9.09,$8.92
01/05/2024,$9.00,170501,$8.84,$9.05,$8.8225
01/04/2024,$8.92,270317,$8.85,$8.95,$8.83
01/03/2024,$8.92,238574,$9.31,$9.31,$8.88
01/02/2024,$9.43,176904,$9.44,$9.50,$9.32
12/29/2023,$9.48,172605,$9.48,$9.515,$9.39
12/28/2023,$9.53,130840,$9.63,$9.65,$9.48
12/27/2023,$9.62,125802,$9.71,$9.78,$9.54
12/26/2023,$9.65,173683,$9.54,$9.72,$9.52
12/22/2023,$9.50,162454,$9.50,$9.68,$9.47
12/21/2023,$9.45,165856,$9.53,$9.70,$9.37
12/20/2023,$9.40,259277,$9.50,$9.69,$9.31
12/19/2023,$9.49,289810,$9.25,$9.59,$9.25
12/18/2023,$9.25,272757,$9.16,$9.31,$9.0725
12/15/2023,$9.16,1192608,$9.42,$9.45,$9.13
12/14/2023,$9.34,400584,$8.99,$9.48,$8.97
12/13/2023,$8.85,303445,$8.30,$8.875,$8.23
12/12/2023,$8.34,320106,$8.71,$8.72,$8.27
12/11/2023,$8.75,339869,$8.715,$8.77,$8.57
12/08/2023,$8.57,189897,$8.94,$8.985,$8.545
12/07/2023,$8.99,403973,$8.83,$9.08,$8.74
12/06/2023,$8.84,391509,$8.81,$8.99,$8.801
12/05/2023,$8.81,314632,$9.53,$9.56,$8.81
12/04/2023,$9.59,260401,$9.36,$9.68,$9.32
12/01/2023,$9.44,196433,$9.54,$9.67,$9.42
11/30/2023,$9.58,245263,$9.64,$9.83,$9.51
11/29/2023,$9.66,227995,$9.69,$9.81,$9.595
11/28/2023,$9.59,148621,$9.63,$9.695,$9.51
11/27/2023,$9.645,191584,$9.63,$9.88,$9.58
11/24/2023,$9.70,77059,$9.92,$9.97,$9.68
11/22/2023,$9.87,246466,$10.03,$10.122,$9.77
11/21/2023,$10.03,917926,$9.36,$10.081,$9.28
11/20/2023,$9.39,173623,$9.29,$9.45,$9.16
11/17/2023,$9.25,269268,$9.33,$9.33,$9.13
11/16/2023,$9.21,202224,$9.42,$9.5228,$9.20
11/15/2023,$9.49,262965,$9.33,$9.64,$9.28
11/14/2023,$9.27,272720,$9.30,$9.48,$9.00
11/13/2023,$8.92,303255,$9.16,$9.16,$8.84
11/10/2023,$9.16,303369,$9.02,$9.28,$8.905
11/09/2023,$9.03,235446,$9.25,$9.30,$9.01
11/08/2023,$9.17,231256,$9.16,$9.27,$8.91
11/07/2023,$9.13,319662,$9.15,$9.30,$9.03
11/06/2023,$9.21,453311,$9.36,$9.505,$9.16
11/03/2023,$9.36,1708310,$8.35,$9.98,$8.35
11/02/2023,$8.26,756645,$7.71,$8.27,$7.71
11/01/2023,$7.65,381630,$7.92,$7.92,$7.64
10/31/2023,$7.94,380653,$7.97,$8.06,$7.845
10/30/2023,$7.98,352037,$8.17,$8.26,$7.81
10/27/2023,$8.06,450407,$8.50,$8.52,$7.93
10/26/2023,$8.45,248375,$8.38,$8.60,$8.38
10/25/2023,$8.38,366432,$8.59,$8.665,$8.33
10/24/2023,$8.61,310948,$8.37,$8.619,$8.29
10/23/2023,$8.33,625806,$8.98,$8.99,$8.325
10/20/2023,$9.03,551666,$9.05,$9.30,$8.9075
10/19/2023,$9.05,685775,$9.42,$9.42,$8.9201
10/18/2023,$9.48,408029,$9.55,$9.60,$9.37
10/17/2023,$9.62,708732,$9.20,$9.64,$8.865
10/16/2023,$9.11,335740,$8.90,$9.19,$8.86
10/13/2023,$8.83,503890,$8.38,$8.85,$8.37
10/12/2023,$8.36,410631,$8.41,$8.72,$8.20
10/11/2023,$8.38,287483,$8.28,$8.409,$8.19
10/10/2023,$8.23,317912,$8.14,$8.285,$8.14
10/09/2023,$8.08,265703,$8.07,$8.215,$8.04
10/06/2023,$8.05,386252,$8.02,$8.17,$7.85
10/05/2023,$8.02,475941,$8.19,$8.29,$7.97
10/04/2023,$8.19,563299,$8.23,$8.285,$8.015
10/03/2023,$8.21,391906,$8.13,$8.27,$8.01
10/02/2023,$8.21,397399,$8.57,$8.57,$8.13
09/29/2023,$8.58,498135,$8.58,$8.84,$8.50
09/28/2023,$8.50,553606,$8.31,$8.51,$8.14
09/27/2023,$8.31,319571,$8.30,$8.48,$8.25
09/26/2023,$8.24,368796,$8.38,$8.40,$8.19
09/25/2023,$8.46,446345,$8.22,$8.53,$8.16
09/22/2023,$8.31,291823,$8.50,$8.54,$8.30
09/21/2023,$8.42,439481,$8.61,$8.62,$8.41
09/20/2023,$8.67,431744,$8.62,$8.785,$8.525
09/19/2023,$8.58,278814,$8.66,$8.81,$8.56
09/18/2023,$8.65,302525,$9.02,$9.10,$8.61
09/15/2023,$8.97,838586,$8.73,$9.055,$8.69
09/14/2023,$8.73,344890,$8.37,$8.73,$8.37
09/13/2023,$8.31,593227,$8.53,$8.55,$8.30
09/12/2023,$8.50,301823,$8.26,$8.50,$8.26
09/11/2023,$8.28,341993,$8.53,$8.72,$8.265
09/08/2023,$8.49,324122,$8.22,$8.52,$8.155
09/07/2023,$8.25,305849,$8.36,$8.46,$8.185
09/06/2023,$8.41,330226,$8.71,$8.83,$8.405
09/05/2023,$8.80,360832,$9.11,$9.15,$8.77
09/01/2023,$9.18,229466,$9.17,$9.38,$9.115
08/31/2023,$9.09,328002,$9.24,$9.32,$9.06
08/30/2023,$9.20,320671,$9.16,$9.37,$9.10
08/29/2023,$9.14,205893,$8.94,$9.14,$8.79
08/28/2023,$8.92,319540,$8.82,$8.99,$8.82
08/25/2023,$8.79,285318,$8.51,$8.81,$8.51
08/24/2023,$8.47,359833,$8.53,$8.71,$8.37
08/23/2023,$8.66,388291,$8.92,$8.92,$8.62
08/22/2023,$8.91,520446,$8.98,$8.98,$8.74
08/21/2023,$8.93,451369,$8.70,$8.95,$8.54
08/18/2023,$8.74,528802,$8.42,$8.76,$8.39
08/17/2023,$8.46,446502,$8.30,$8.49,$8.28
08/16/2023,$8.29,460367,$8.34,$8.61,$8.29
08/15/2023,$8.33,856225,$8.18,$8.42,$7.91
08/14/2023,$8.13,1114963,$7.92,$8.17,$7.71
08/11/2023,$7.95,541994,$7.92,$8.00,$7.84
08/10/2023,$7.94,523469,$8.15,$8.19,$7.825
08/09/2023,$8.16,545793,$8.15,$8.165,$7.92
08/08/2023,$8.15,651842,$8.16,$8.20,$7.89
08/07/2023,$8.20,875026,$9.25,$9.31,$8.13
08/04/2023,$9.18,1940964,$7.94,$9.64,$7.51
08/03/2023,$8.36,962259,$8.56,$8.61,$8.30
08/02/2023,$8.57,630292,$8.64,$8.80,$8.545
08/01/2023,$8.76,401472,$8.85,$8.93,$8.73
07/31/2023,$8.90,476469,$8.88,$9.015,$8.865
07/28/2023,$8.84,542290,$8.76,$8.89,$8.67
07/27/2023,$8.67,447286,$8.88,$8.92,$8.67
07/26/2023,$8.82,486261,$8.50,$8.825,$8.50
07/25/2023,$8.50,691898,$8.55,$8.72,$8.48
07/24/2023,$8.59,1113634,$8.30,$8.60,$8.22
07/21/2023,$8.31,578120,$8.50,$8.50,$8.24
07/20/2023,$8.43,895380,$8.49,$8.685,$8.26
07/19/2023,$8.90,629622,$9.20,$9.24,$8.795
07/18/2023,$9.16,553655,$9.13,$9.33,$9.025
07/17/2023,$9.12,386679,$8.98,$9.21,$8.905
07/14/2023,$9.01,496713,$9.18,$9.18,$8.75
07/13/2023,$9.17,437528,$9.28,$9.415,$9.125
07/12/2023,$9.15,571156,$9.01,$9.18,$8.99
07/11/2023,$8.89,369801,$8.74,$8.95,$8.74
07/10/2023,$8.70,452336,$8.77,$8.965,$8.62
07/07/2023,$8.77,624361,$8.54,$8.895,$8.45
07/06/2023,$8.51,545280,$8.39,$8.585,$8.20
07/05/2023,$8.47,674800,$8.26,$8.485,$8.16
07/03/2023,$8.29,496713,$8.05,$8.37,$8.05
06/30/2023,$8.07,809133,$7.79,$8.07,$7.73
06/29/2023,$7.80,929231,$7.48,$7.875,$7.37
06/28/2023,$7.48,805682,$7.65,$7.67,$7.39
06/27/2023,$7.63,1020743,$7.85,$7.91,$7.61
06/26/2023,$7.92,848068,$8.09,$8.24,$7.92
06/23/2023,$8.08,739208,$8.23,$8.41,$8.02
06/22/2023,$8.29,1180324,$8.54,$8.54,$8.23
