Date,Close/Last,Volume,Open,High,Low
11/29/2024,$1.33,30812,$1.34,$1.35,$1.32
11/27/2024,$1.31,97610,$1.33,$1.34,$1.30
11/26/2024,$1.30,103926,$1.36,$1.375,$1.30
11/25/2024,$1.36,80850,$1.42,$1.42,$1.36
11/22/2024,$1.39,85354,$1.37,$1.41,$1.36
11/21/2024,$1.36,92107,$1.37,$1.3899,$1.35
11/20/2024,$1.38,152131,$1.45,$1.46,$1.33
11/19/2024,$1.41,143032,$1.45,$1.45,$1.38
11/18/2024,$1.45,104307,$1.45,$1.48,$1.385
11/15/2024,$1.43,157967,$1.44,$1.47,$1.375
11/14/2024,$1.41,200799,$1.51,$1.5465,$1.38
11/13/2024,$1.49,106373,$1.55,$1.55,$1.47
11/12/2024,$1.52,161454,$1.50,$1.55,$1.46
11/11/2024,$1.46,134884,$1.53,$1.53,$1.46
11/08/2024,$1.47,103064,$1.46,$1.475,$1.4132
11/07/2024,$1.41,319466,$1.42,$1.455,$1.3906
11/06/2024,$1.40,208409,$1.50,$1.50,$1.33
11/05/2024,$1.455,384468,$1.50,$1.50,$1.42
11/04/2024,$1.485,1529868,$1.50,$1.525,$1.27
11/01/2024,$1.59,713956,$1.82,$1.82,$1.58
10/31/2024,$1.82,66633,$1.85,$1.86,$1.76
10/30/2024,$1.85,185653,$1.88,$1.89,$1.76
10/29/2024,$1.90,91247,$1.94,$1.94,$1.8399
10/28/2024,$1.94,91615,$1.90,$1.98,$1.88
10/25/2024,$1.90,61055,$1.92,$1.92,$1.87
10/24/2024,$1.92,100663,$1.86,$1.95,$1.79
10/23/2024,$1.84,88892,$1.82,$1.86,$1.725
10/22/2024,$1.85,130540,$1.99,$2.0095,$1.80
10/21/2024,$2.01,101495,$1.99,$2.0599,$1.91
10/18/2024,$1.98,224271,$1.72,$1.98,$1.72
10/17/2024,$1.71,110677,$1.80,$1.85,$1.68
10/16/2024,$1.78,89249,$1.67,$1.79,$1.67
10/15/2024,$1.69,186484,$1.71,$1.72,$1.67
10/14/2024,$1.71,94530,$1.79,$1.79,$1.70
10/11/2024,$1.79,103317,$1.76,$1.87,$1.76
10/10/2024,$1.76,80476,$1.70,$1.78,$1.68
10/09/2024,$1.72,97021,$1.74,$1.7466,$1.66
10/08/2024,$1.73,81467,$1.75,$1.7604,$1.68
10/07/2024,$1.76,118526,$1.77,$1.78,$1.685
10/04/2024,$1.77,133704,$1.80,$1.83,$1.74
10/03/2024,$1.775,168695,$1.85,$1.89,$1.77
10/02/2024,$1.84,111914,$2.00,$2.015,$1.83
10/01/2024,$2.00,186719,$2.22,$2.2299,$1.98
09/30/2024,$2.18,289327,$2.14,$2.38,$2.0801
09/27/2024,$2.13,162658,$2.00,$2.2697,$2.00
09/26/2024,$2.04,187556,$1.80,$2.05,$1.80
09/25/2024,$1.80,59013,$1.76,$1.80,$1.73
09/24/2024,$1.74,90218,$1.70,$1.7669,$1.70
09/23/2024,$1.69,130560,$1.69,$1.76,$1.69
09/20/2024,$1.68,61389,$1.71,$1.7498,$1.68
09/19/2024,$1.72,44886,$1.82,$1.82,$1.702
09/18/2024,$1.75,91562,$1.75,$1.81,$1.71
09/17/2024,$1.74,75526,$1.74,$1.8097,$1.70
09/16/2024,$1.72,39366,$1.72,$1.79,$1.70
09/13/2024,$1.72,56113,$1.77,$1.84,$1.72
09/12/2024,$1.78,53208,$1.90,$1.90,$1.75
09/11/2024,$1.855,50008,$1.81,$1.96,$1.7915
09/10/2024,$1.795,50608,$1.86,$1.8692,$1.76
09/09/2024,$1.86,135328,$1.69,$2.03,$1.69
09/06/2024,$1.65,82439,$1.74,$1.7499,$1.65
09/05/2024,$1.68,68947,$1.73,$1.80,$1.68
