Date,Close/Last,Volume,Open,High,Low
11/25/2024,$139.02,368182,$135.23,$141.33,$134.965
11/22/2024,$133.07,220125,$131.49,$133.27,$130.05
11/21/2024,$130.52,160339,$129.42,$131.55,$129.05
11/20/2024,$128.63,182599,$127.50,$128.78,$126.86
11/19/2024,$128.13,215484,$127.95,$128.76,$125.6242
11/18/2024,$129.21,150150,$128.94,$130.1499,$128.315
11/15/2024,$129.21,194415,$133.00,$133.00,$128.94
11/14/2024,$132.07,229219,$132.16,$132.62,$130.99
11/13/2024,$131.62,260972,$134.53,$135.345,$131.20
11/12/2024,$133.34,301527,$136.88,$137.85,$133.03
11/11/2024,$137.71,179948,$137.28,$137.91,$135.1967
11/08/2024,$134.49,219237,$133.48,$135.74,$132.78
11/07/2024,$133.24,405003,$136.45,$136.66,$133.06
11/06/2024,$136.45,522035,$132.65,$137.405,$130.67
11/05/2024,$126.06,317887,$123.53,$126.195,$122.01
11/04/2024,$123.81,207300,$122.22,$125.75,$122.22
11/01/2024,$123.08,234602,$122.86,$124.245,$122.325
10/31/2024,$122.34,269355,$121.48,$123.89,$120.87
10/30/2024,$122.39,384407,$122.86,$126.895,$121.84
10/29/2024,$123.04,599748,$121.72,$123.79,$117.6101
10/28/2024,$131.57,310618,$131.07,$132.30,$130.84
10/25/2024,$130.17,150730,$132.09,$132.65,$129.695
10/24/2024,$130.81,195836,$130.00,$131.52,$129.05
10/23/2024,$130.00,315216,$129.75,$130.59,$128.815
10/22/2024,$130.03,200519,$131.30,$131.83,$129.80
10/21/2024,$132.12,239233,$133.99,$134.375,$131.53
10/18/2024,$133.95,228522,$135.56,$135.915,$133.82
10/17/2024,$134.98,163866,$137.67,$137.67,$134.5073
10/16/2024,$136.85,224076,$136.95,$139.535,$136.655
10/15/2024,$135.55,315723,$138.01,$139.43,$135.41
10/14/2024,$138.40,167143,$137.37,$139.00,$137.325
10/11/2024,$136.89,179974,$134.47,$137.325,$134.47
10/10/2024,$134.55,261402,$134.87,$135.86,$133.37
10/09/2024,$137.02,216858,$135.76,$137.09,$134.825
10/08/2024,$135.00,319477,$131.36,$135.08,$130.70
10/07/2024,$129.58,154661,$128.67,$130.095,$126.37
10/04/2024,$129.71,204557,$131.70,$131.70,$128.511
10/03/2024,$129.58,222277,$131.73,$131.95,$128.155
10/02/2024,$130.00,193945,$130.07,$131.325,$129.39
10/01/2024,$130.94,180724,$130.98,$131.40,$128.42
09/30/2024,$131.21,312615,$130.42,$132.79,$130.00
09/27/2024,$131.27,331339,$131.70,$133.99,$130.45
09/26/2024,$129.61,228470,$130.63,$132.30,$128.96
09/25/2024,$129.04,263653,$132.06,$132.50,$128.73
09/24/2024,$132.11,215397,$131.60,$132.145,$130.50
09/23/2024,$131.10,208406,$131.99,$132.59,$130.03
09/20/2024,$130.80,1075519,$133.28,$133.28,$130.19
09/19/2024,$132.84,373780,$132.08,$132.94,$130.31
09/18/2024,$128.53,378745,$126.23,$133.09,$125.325
09/17/2024,$125.99,263293,$124.88,$127.26,$123.86
09/16/2024,$123.47,230891,$123.05,$124.29,$121.89
09/13/2024,$121.95,237888,$119.35,$122.08,$119.045
09/12/2024,$117.33,316513,$114.22,$117.90,$113.83
09/11/2024,$113.44,244011,$113.49,$113.825,$110.42
09/10/2024,$114.21,178736,$113.07,$114.33,$111.81
09/09/2024,$112.81,262895,$112.97,$113.78,$111.68
09/06/2024,$113.03,213768,$114.27,$116.49,$112.43
09/05/2024,$113.82,448570,$115.68,$115.68,$112.94
09/04/2024,$115.41,218798,$116.15,$116.9148,$114.82
09/03/2024,$116.54,227987,$121.06,$122.00,$116.36
08/30/2024,$121.67,194518,$121.54,$121.80,$119.75
08/29/2024,$120.64,185106,$122.34,$122.39,$120.02
08/28/2024,$121.02,187260,$121.26,$121.71,$120.21
08/27/2024,$121.44,154551,$122.93,$122.93,$120.60
08/26/2024,$124.56,226678,$126.36,$127.00,$124.14
08/23/2024,$125.02,394428,$119.89,$125.51,$119.89
08/22/2024,$119.14,422231,$120.46,$120.82,$118.49
08/21/2024,$120.89,127518,$119.78,$120.94,$118.51
08/20/2024,$118.36,250172,$119.58,$120.18,$117.93
08/19/2024,$119.37,168813,$118.82,$120.19,$117.73
08/16/2024,$118.83,208255,$120.06,$122.02,$118.41
08/15/2024,$121.05,189520,$121.37,$122.05,$119.385
08/14/2024,$117.78,147494,$119.13,$119.13,$116.84
08/13/2024,$118.64,151034,$116.84,$119.05,$115.90
08/12/2024,$116.01,167163,$117.80,$118.295,$115.17
08/09/2024,$117.64,190910,$118.27,$119.45,$117.025
08/08/2024,$118.11,238845,$118.32,$118.90,$116.98
08/07/2024,$116.98,230050,$120.82,$121.225,$116.3701
08/06/2024,$119.42,215282,$116.87,$120.83,$115.53
08/05/2024,$117.13,286580,$116.23,$118.875,$113.42
08/02/2024,$121.98,261200,$121.19,$122.32,$118.74
08/01/2024,$126.20,449646,$131.74,$133.19,$125.62
07/31/2024,$131.93,483120,$135.96,$136.93,$131.13
07/30/2024,$135.34,480022,$127.05,$136.14,$119.38
07/29/2024,$127.06,279272,$129.04,$129.85,$127.00
07/26/2024,$128.83,290225,$127.36,$130.545,$126.915
07/25/2024,$125.04,378026,$120.45,$127.69,$119.61
07/24/2024,$119.28,257738,$121.93,$124.07,$119.06
07/23/2024,$122.70,242812,$122.33,$124.67,$121.025
07/22/2024,$123.29,209587,$121.20,$123.67,$119.80
07/19/2024,$120.86,215621,$121.97,$122.96,$120.29
07/18/2024,$121.57,334803,$124.28,$128.075,$121.53
07/17/2024,$124.68,334795,$124.67,$127.10,$123.76
07/16/2024,$125.69,283936,$119.73,$125.88,$119.63
07/15/2024,$117.68,343921,$119.25,$120.42,$117.345
07/12/2024,$117.77,275246,$117.90,$119.75,$117.515
07/11/2024,$116.59,353141,$112.61,$116.91,$112.61
07/10/2024,$109.99,191742,$108.57,$110.145,$108.355
07/09/2024,$108.07,313770,$108.44,$109.32,$107.96
07/08/2024,$108.75,217940,$108.44,$109.12,$107.99
07/05/2024,$107.65,199669,$109.10,$109.31,$107.49
07/03/2024,$109.41,92819,$110.48,$111.30,$109.32
07/02/2024,$109.81,246944,$110.32,$111.24,$109.32
07/01/2024,$110.32,437150,$112.17,$113.04,$110.28
06/28/2024,$112.00,1753283,$110.14,$112.49,$109.635
06/27/2024,$109.28,373405,$109.99,$110.60,$108.785
06/26/2024,$109.37,599429,$109.84,$111.239,$108.85
06/25/2024,$110.65,390705,$115.62,$115.62,$110.045
06/24/2024,$115.99,216976,$116.53,$117.41,$115.72
06/21/2024,$116.08,733434,$115.59,$116.44,$113.99
06/20/2024,$115.39,273325,$114.61,$115.58,$114.105
06/18/2024,$115.02,218539,$115.14,$116.2799,$114.50
06/17/2024,$115.21,255327,$113.93,$115.33,$113.07
06/14/2024,$114.47,236645,$114.51,$114.75,$113.19
06/13/2024,$116.50,180378,$117.19,$117.19,$114.58
06/12/2024,$117.54,261343,$118.43,$121.56,$117.19
06/11/2024,$114.35,199032,$114.05,$114.415,$112.88
06/10/2024,$115.26,206397,$112.30,$115.26,$112.23
06/07/2024,$113.80,236093,$114.00,$114.75,$113.14
06/06/2024,$115.19,215343,$115.11,$115.50,$114.29
06/05/2024,$115.63,149849,$115.09,$116.0199,$114.28
06/04/2024,$114.74,247226,$115.60,$116.49,$114.67
06/03/2024,$116.51,160220,$120.00,$120.00,$115.805
05/31/2024,$119.48,226546,$118.12,$119.63,$117.0501
05/30/2024,$118.01,191832,$116.47,$118.32,$116.30
05/29/2024,$115.36,260751,$115.73,$116.45,$114.71
05/28/2024,$117.11,287167,$120.58,$121.03,$116.30
05/24/2024,$120.14,175646,$119.09,$120.44,$118.34
05/23/2024,$118.46,282132,$119.94,$120.17,$117.36
05/22/2024,$119.58,171165,$119.63,$120.43,$118.84
05/21/2024,$120.48,135191,$119.64,$120.82,$118.45
05/20/2024,$120.16,182160,$119.92,$121.22,$119.22
05/17/2024,$119.92,226515,$119.41,$120.02,$118.5675
05/16/2024,$119.48,299309,$123.67,$123.67,$119.26
05/15/2024,$124.00,238592,$123.14,$124.22,$121.98
05/14/2024,$121.28,239374,$119.93,$121.38,$119.82
05/13/2024,$118.83,158833,$119.36,$120.00,$118.59
05/10/2024,$118.08,229698,$118.87,$119.23,$117.32
05/09/2024,$119.01,315602,$118.56,$119.39,$117.38
05/08/2024,$118.78,313038,$116.04,$118.88,$116.04
05/07/2024,$116.82,368867,$118.00,$118.105,$116.21
05/06/2024,$117.98,357746,$118.36,$119.80,$117.30
05/03/2024,$116.65,187885,$118.37,$118.82,$115.59
05/02/2024,$115.49,293638,$114.91,$115.60,$112.27
05/01/2024,$113.00,277710,$111.64,$116.34,$111.01
04/30/2024,$112.70,412889,$113.64,$115.36,$112.51
04/29/2024,$115.79,304734,$113.99,$115.89,$113.99
04/26/2024,$113.64,214920,$112.94,$114.39,$112.59
04/25/2024,$112.55,420365,$112.02,$112.845,$109.5801
04/24/2024,$113.68,283002,$113.72,$115.05,$112.55
04/23/2024,$114.02,287987,$112.58,$114.97,$112.58
04/22/2024,$112.58,381051,$112.41,$113.76,$111.2901
04/19/2024,$111.79,310918,$110.13,$112.015,$110.13
04/18/2024,$110.65,413715,$112.70,$114.075,$110.34
04/17/2024,$111.64,242072,$115.30,$115.3786,$111.575
04/16/2024,$113.82,286661,$113.50,$114.85,$112.265
04/15/2024,$114.96,307698,$115.85,$116.06,$113.85
04/12/2024,$115.67,216219,$115.68,$116.71,$114.845
04/11/2024,$116.93,211147,$115.38,$117.11,$114.62
04/10/2024,$114.70,377441,$115.33,$116.76,$114.2926
04/09/2024,$119.64,158595,$119.14,$120.3065,$117.485
04/08/2024,$119.13,163968,$119.68,$119.88,$118.88
04/05/2024,$118.81,182775,$118.40,$120.02,$117.94
04/04/2024,$118.21,309691,$123.05,$123.05,$118.10
04/03/2024,$121.54,352820,$118.37,$121.57,$118.03
04/02/2024,$118.42,347033,$117.90,$118.64,$116.64
04/01/2024,$119.90,188022,$123.01,$123.44,$119.87
03/28/2024,$123.01,340618,$121.77,$123.44,$121.50
03/27/2024,$121.79,277037,$118.93,$121.93,$118.93
03/26/2024,$117.90,234765,$119.36,$119.78,$117.815
03/25/2024,$118.36,185246,$119.15,$119.615,$118.25
03/22/2024,$119.13,255663,$121.18,$121.38,$119.03
03/21/2024,$121.72,310106,$119.93,$123.25,$119.61
03/20/2024,$118.82,209881,$116.81,$119.60,$116.29
03/19/2024,$116.81,253199,$114.12,$117.00,$114.12
03/18/2024,$114.23,328705,$116.00,$116.41,$114.02
03/15/2024,$115.62,1051225,$113.27,$116.495,$110.65
03/14/2024,$113.99,369989,$114.19,$114.835,$112.76
