Date,Close/Last,Volume,Open,High,Low
11/29/2024,$2.65,54810,$2.64,$2.685,$2.62
11/27/2024,$2.63,71402,$2.66,$2.6802,$2.62
11/26/2024,$2.655,56872,$2.64,$2.66,$2.62
11/25/2024,$2.65,186550,$2.75,$2.7524,$2.61
11/22/2024,$2.78,184992,$2.76,$2.81,$2.748
11/21/2024,$2.75,83951,$2.69,$2.76,$2.63
11/20/2024,$2.69,137971,$2.77,$2.78,$2.63
11/19/2024,$2.75,380985,$2.68,$2.79,$2.62
11/18/2024,$2.65,437822,$2.47,$2.695,$2.47
11/15/2024,$2.44,247042,$2.50,$2.505,$2.43
11/14/2024,$2.50,937371,$2.56,$2.56,$2.455
11/13/2024,$2.56,304674,$2.70,$2.70,$2.55
11/12/2024,$2.66,212555,$2.66,$2.69,$2.62
11/11/2024,$2.69,486747,$2.68,$2.695,$2.60
11/08/2024,$2.71,328637,$2.81,$2.81,$2.645
11/07/2024,$2.81,364613,$2.80,$2.83,$2.75
11/06/2024,$2.83,209996,$2.85,$2.86,$2.78
11/05/2024,$2.90,237592,$2.93,$2.96,$2.855
11/04/2024,$2.93,158248,$2.94,$2.96,$2.875
11/01/2024,$2.91,138232,$2.98,$2.98,$2.88
10/31/2024,$2.96,196011,$3.05,$3.05,$2.9306
10/30/2024,$3.06,144755,$3.07,$3.08,$3.02
10/29/2024,$3.09,192458,$3.08,$3.11,$3.02
10/28/2024,$3.07,197667,$3.07,$3.10,$3.015
10/25/2024,$3.05,146489,$3.13,$3.13,$3.01
10/24/2024,$3.12,209007,$3.15,$3.15,$3.03
10/23/2024,$3.15,221051,$3.21,$3.24,$3.035
10/22/2024,$3.18,306897,$3.07,$3.23,$3.05
10/21/2024,$3.07,278224,$3.09,$3.1808,$3.00
10/18/2024,$3.02,170255,$3.00,$3.02,$2.965
10/17/2024,$2.98,74643,$3.00,$3.00,$2.95
10/16/2024,$2.98,106588,$3.02,$3.02,$2.965
10/15/2024,$2.965,65024,$3.01,$3.01,$2.95
10/14/2024,$3.00,70669,$2.98,$3.0094,$2.96
10/11/2024,$3.00,105853,$2.98,$3.0094,$2.96
10/10/2024,$2.93,150781,$2.95,$2.955,$2.91
10/09/2024,$2.94,70439,$2.99,$2.99,$2.92
10/08/2024,$2.98,142038,$2.97,$3.00,$2.92
10/07/2024,$2.99,142554,$3.01,$3.025,$2.96
10/04/2024,$3.02,96034,$3.03,$3.03,$2.98
10/03/2024,$3.01,132799,$3.06,$3.06,$2.99
10/02/2024,$3.08,163689,$3.04,$3.08,$3.03
10/01/2024,$3.04,166657,$3.04,$3.04,$2.97
09/30/2024,$3.02,359198,$2.95,$3.02,$2.95
09/27/2024,$2.92,539044,$2.99,$3.025,$2.90
09/26/2024,$2.98,233693,$2.94,$2.98,$2.91
09/25/2024,$2.95,251337,$2.92,$2.95,$2.89
09/24/2024,$2.95,283452,$2.83,$2.96,$2.77
09/23/2024,$2.83,270271,$2.90,$2.93,$2.81
09/20/2024,$2.83,264107,$2.80,$2.89,$2.80
09/19/2024,$2.77,106651,$2.74,$2.80,$2.71
09/18/2024,$2.70,75537,$2.71,$2.769,$2.68
09/17/2024,$2.71,54876,$2.71,$2.725,$2.70
09/16/2024,$2.70,108629,$2.66,$2.71,$2.6408
09/13/2024,$2.72,209132,$2.75,$2.77,$2.705
09/12/2024,$2.71,177346,$2.61,$2.7189,$2.60
09/11/2024,$2.61,123120,$2.58,$2.62,$2.55
09/10/2024,$2.565,137950,$2.57,$2.57,$2.54
09/09/2024,$2.57,215530,$2.56,$2.60,$2.545
09/06/2024,$2.57,188230,$2.61,$2.69,$2.57
09/05/2024,$2.63,92405,$2.58,$2.64,$2.58
09/04/2024,$2.60,366459,$2.64,$2.75,$2.54
09/03/2024,$2.63,105708,$2.74,$2.7574,$2.63
08/30/2024,$2.79,125445,$2.75,$2.79,$2.74
