Date,Close/Last,Volume,Open,High,Low
11/29/2024,$225.79,981446,$224.80,$226.61,$224.33
11/27/2024,$224.05,1261266,$228.08,$228.08,$222.74
11/26/2024,$226.47,1369662,$225.29,$228.12,$225.12
11/25/2024,$223.90,2751977,$222.69,$224.05,$221.50
11/22/2024,$221.76,1414450,$221.50,$222.7702,$220.88
11/21/2024,$221.49,1060945,$219.23,$221.8291,$218.125
11/20/2024,$218.75,1016232,$217.17,$218.77,$216.21
11/19/2024,$217.97,1231507,$215.33,$218.58,$214.50
11/18/2024,$216.20,1610541,$215.32,$218.29,$214.66
11/15/2024,$215.20,1792986,$216.10,$216.64,$213.8901
11/14/2024,$217.05,1542872,$223.00,$223.07,$216.68
11/13/2024,$223.62,1049147,$224.25,$225.61,$223.25
11/12/2024,$224.73,900372,$224.11,$225.44,$223.59
11/11/2024,$224.11,1185311,$225.72,$227.355,$223.80
11/08/2024,$225.72,1648330,$221.65,$227.24,$220.20
11/07/2024,$219.52,1380405,$217.00,$219.87,$216.715
11/06/2024,$217.02,2157539,$215.33,$217.51,$213.2366
11/05/2024,$208.99,1065087,$207.70,$210.21,$207.1445
11/04/2024,$207.56,926737,$205.24,$207.70,$205.01
11/01/2024,$205.62,1099834,$205.95,$207.11,$204.88
10/31/2024,$205.81,1166233,$207.46,$208.00,$205.648
10/30/2024,$207.85,885602,$209.06,$209.33,$207.38
10/29/2024,$209.14,1286193,$208.18,$209.835,$206.98
10/28/2024,$208.59,960931,$208.54,$209.49,$207.77
10/25/2024,$207.41,1241806,$210.14,$210.95,$207.20
10/24/2024,$209.13,898199,$210.13,$210.77,$208.36
10/23/2024,$209.71,839225,$209.16,$211.47,$209.16
10/22/2024,$211.54,1054041,$210.07,$212.76,$209.67
10/21/2024,$211.55,824529,$212.90,$213.55,$210.861
10/18/2024,$214.02,1248001,$213.91,$214.20,$212.83
10/17/2024,$213.82,1157246,$214.77,$215.37,$212.767
10/16/2024,$212.93,1141127,$210.82,$213.40,$210.82
10/15/2024,$210.70,1318357,$212.25,$213.05,$210.0259
10/14/2024,$211.50,944793,$208.52,$212.22,$208.25
10/11/2024,$208.05,1347619,$207.40,$208.05,$206.19
10/10/2024,$206.13,1015326,$208.61,$209.27,$205.61
10/09/2024,$209.14,977008,$207.00,$209.308,$206.51
10/08/2024,$207.02,1050969,$206.00,$207.33,$205.4602
10/07/2024,$204.47,1261591,$203.00,$206.01,$202.80
10/04/2024,$204.91,1747411,$205.74,$206.115,$202.84
10/03/2024,$204.55,1390005,$204.39,$204.91,$203.14
10/02/2024,$205.30,1114376,$203.24,$205.50,$202.3801
10/01/2024,$203.86,1518701,$205.19,$205.48,$202.18
09/30/2024,$205.88,1819872,$203.48,$206.18,$203.30
09/27/2024,$202.35,2332491,$207.67,$208.00,$202.295
09/26/2024,$207.01,2056542,$208.82,$211.57,$206.48
09/25/2024,$207.21,1944068,$208.10,$209.59,$204.16
09/24/2024,$204.85,1689413,$203.99,$205.63,$202.46
09/23/2024,$203.99,1239358,$204.45,$204.78,$203.05
09/20/2024,$204.16,3160626,$203.79,$204.70,$202.65
09/19/2024,$203.74,1243835,$204.97,$205.38,$202.30
09/18/2024,$201.38,1333986,$203.95,$204.775,$201.04
09/17/2024,$203.77,1194895,$205.53,$206.86,$203.37
09/16/2024,$204.95,1116367,$208.05,$208.69,$204.29
09/13/2024,$207.77,1030142,$205.92,$209.115,$205.34
09/12/2024,$206.02,1340598,$205.50,$207.49,$201.92
09/11/2024,$204.9575,1446948,$203.4675,$205.24,$198.8425
09/10/2024,$204.105,1100428,$201.755,$204.4975,$201.2775
09/09/2024,$201.18,2057432,$196.4175,$201.77,$196.4175
09/06/2024,$195.475,1502932,$199.385,$200.0813,$194.7225
09/05/2024,$199.73,1568416,$200.0975,$200.0975,$196.84
09/04/2024,$201.195,1051848,$200.00,$201.445,$199.23
09/03/2024,$199.85,1341836,$201.28,$203.0013,$198.825
08/30/2024,$201.28,1583912,$200.05,$201.7525,$198.8488
08/29/2024,$199.8125,1126260,$200.47,$201.9953,$199.35
08/28/2024,$199.4475,1408460,$201.125,$201.4775,$198.3225
08/27/2024,$199.8975,1187280,$198.75,$199.9625,$198.4762
08/26/2024,$198.415,952800,$197.615,$198.705,$196.8625
08/23/2024,$197.125,1028976,$196.5125,$197.9125,$196.07
08/22/2024,$196.16,1538476,$195.835,$197.455,$194.5175
08/21/2024,$195.7375,1418320,$194.74,$195.9925,$194.1838
08/20/2024,$193.665,1576064,$193.00,$194.376,$191.8725
08/19/2024,$193.245,1875996,$191.215,$193.33,$191.215
08/16/2024,$191.215,1070588,$192.075,$192.075,$190.23
08/15/2024,$191.935,1239824,$191.5475,$193.1913,$191.0338
08/14/2024,$190.79,998516,$189.295,$191.535,$189.295
08/13/2024,$189.78,1458712,$190.675,$191.745,$188.1725
08/12/2024,$189.9075,1286780,$187.92,$189.93,$187.49
08/09/2024,$188.9125,826804,$186.8725,$188.9938,$185.97
08/08/2024,$187.6075,1417420,$185.3975,$188.3725,$185.0475
08/07/2024,$185.0475,1202984,$187.6375,$189.38,$184.84
08/06/2024,$186.35,1543652,$185.06,$188.5375,$185.06
08/05/2024,$184.9575,2306496,$191.235,$191.235,$183.9178
08/02/2024,$189.19,1940644,$189.055,$190.3475,$186.0575
08/01/2024,$190.4775,1816856,$190.225,$191.83,$188.515
07/31/2024,$190.985,2177736,$192.8075,$193.4875,$190.31
07/30/2024,$191.5425,1701028,$191.9675,$192.9725,$190.4375
07/29/2024,$191.215,931724,$190.765,$192.09,$190.0125
07/26/2024,$190.3475,1065720,$189.9325,$191.3225,$188.85
07/25/2024,$188.71,1287496,$189.2675,$191.0025,$188.325
07/24/2024,$188.5125,2342068,$189.9625,$191.875,$187.8875
07/23/2024,$189.01,2449368,$193.1425,$193.25,$188.1425
07/22/2024,$193.0125,1649704,$191.4063,$193.0125,$189.9175
07/19/2024,$189.64,2181220,$189.6875,$192.1775,$188.7125
07/18/2024,$189.7425,3636988,$192.4325,$193.4437,$185.4175
07/17/2024,$179.945,2183360,$180.97,$181.625,$179.865
07/16/2024,$181.3625,1544856,$178.8775,$181.76,$178.8775
07/15/2024,$178.7125,1380696,$180.3525,$181.0475,$178.4175
07/12/2024,$180.44,1069404,$180.2925,$181.4988,$179.8625
07/11/2024,$178.97,1412772,$179.4575,$180.91,$178.6775
07/10/2024,$178.94,1098688,$177.87,$179.05,$177.3275
07/09/2024,$177.825,811196,$178.58,$178.64,$177.62
07/08/2024,$177.7587,1547252,$178.2075,$178.655,$176.6037
07/05/2024,$177.93,1351048,$175.725,$178.2287,$174.4425
07/03/2024,$175.6675,828064,$175.805,$176.1525,$175.0375
07/02/2024,$176.085,1426792,$172.94,$176.1675,$172.2025
07/01/2024,$173.525,1559964,$176.0675,$177.3425,$173.2031
06/28/2024,$175.065,10214168,$178.00,$178.6775,$173.5725
06/27/2024,$177.91,1470812,$177.085,$178.0575,$176.40
06/26/2024,$176.87,1664100,$177.7125,$178.1375,$175.755
06/25/2024,$178.7325,1173964,$179.115,$179.995,$176.8725
06/24/2024,$177.75,1671016,$177.2525,$178.2625,$176.625
06/21/2024,$177.1275,2529412,$177.2625,$177.7625,$175.9738
06/20/2024,$176.6275,1486540,$177.6425,$178.1662,$176.0325
06/18/2024,$177.7525,1828268,$176.7875,$178.42,$176.1425
06/17/2024,$176.86,1575272,$173.75,$177.0062,$172.67
06/14/2024,$173.9225,864708,$171.2575,$174.045,$171.2575
06/13/2024,$172.99,992776,$172.345,$173.33,$170.93
06/12/2024,$173.12,1038568,$172.25,$173.63,$171.475
06/11/2024,$171.7375,913816,$170.9525,$171.767,$169.955
06/10/2024,$171.0425,1163608,$169.46,$171.3475,$169.46
06/07/2024,$170.5425,834684,$170.4225,$171.6664,$170.13
06/06/2024,$170.5375,916092,$170.6025,$171.50,$169.8913
06/05/2024,$171.4625,1196988,$170.62,$172.2925,$169.8875
06/04/2024,$170.62,1559732,$168.1125,$171.4875,$168.1125
06/03/2024,$168.6375,1708892,$170.3025,$170.435,$167.7075
05/31/2024,$169.4925,2588664,$167.265,$169.7975,$166.37
05/30/2024,$167.3075,2023452,$165.815,$167.3625,$165.0575
05/29/2024,$165.88,1709748,$166.40,$166.795,$164.9275
05/28/2024,$167.5825,1808296,$170.0125,$170.4563,$166.7725
05/24/2024,$170.7025,1996720,$173.32,$174.0687,$170.28
05/23/2024,$174.0175,2042564,$176.0525,$176.435,$173.2925
05/22/2024,$175.4475,747808,$174.87,$175.69,$174.105
05/21/2024,$174.9875,1105456,$174.88,$174.9875,$173.155
05/20/2024,$174.365,776120,$173.00,$174.51,$172.0675
05/17/2024,$173.035,1206212,$172.5875,$173.065,$171.2213
05/16/2024,$172.845,1011548,$173.1275,$173.685,$172.50
05/15/2024,$173.10,1165820,$172.4525,$173.5725,$172.4525
05/14/2024,$171.925,1456420,$172.265,$172.705,$171.1225
