Date,Close/Last,Volume,Open,High,Low
11/29/2024,$289.09,702422,$285.55,$290.43,$285.54
11/27/2024,$285.60,1112890,$287.88,$287.90,$284.62
11/26/2024,$288.18,1459095,$288.80,$289.80,$286.53
11/25/2024,$288.00,1808427,$286.08,$289.625,$285.795
11/22/2024,$284.29,990343,$283.33,$284.95,$282.88
11/21/2024,$283.44,944564,$281.92,$283.825,$280.27
11/20/2024,$280.18,938554,$279.55,$280.825,$278.54
11/19/2024,$279.27,890495,$279.30,$280.71,$276.28
11/18/2024,$281.45,1734237,$280.59,$282.24,$278.05
11/15/2024,$278.78,1751074,$281.99,$282.465,$277.67
11/14/2024,$282.02,1396808,$286.48,$287.51,$281.76
11/13/2024,$286.47,1274029,$284.685,$289.04,$284.36
11/12/2024,$286.02,1143262,$285.62,$287.00,$283.71
11/11/2024,$285.91,1895938,$281.07,$286.19,$281.07
11/08/2024,$280.80,1516591,$277.81,$282.80,$277.205
11/07/2024,$277.68,1472662,$276.13,$278.50,$273.86
11/06/2024,$276.26,2148694,$270.11,$277.41,$268.49
11/05/2024,$259.66,1604478,$254.08,$261.073,$254.08
11/04/2024,$256.43,2222042,$255.43,$256.69,$249.55
11/01/2024,$260.57,1481686,$258.48,$263.39,$258.425
10/31/2024,$260.02,1308428,$264.26,$265.37,$259.92
10/30/2024,$264.26,897851,$263.67,$265.60,$263.25
10/29/2024,$263.89,791538,$262.80,$265.1099,$262.28
10/28/2024,$262.55,1127532,$264.35,$264.60,$260.68
10/25/2024,$262.12,1162123,$263.31,$265.13,$261.36
10/24/2024,$260.63,1195081,$259.97,$261.82,$257.425
10/23/2024,$257.82,1990316,$260.48,$263.00,$255.48
10/22/2024,$265.50,1198254,$264.80,$265.885,$263.35
10/21/2024,$264.97,869066,$264.49,$266.44,$263.2629
10/18/2024,$265.60,886768,$264.57,$266.58,$263.0831
10/17/2024,$264.57,1163528,$264.50,$265.20,$262.29
10/16/2024,$262.57,709199,$260.43,$263.29,$259.60
10/15/2024,$260.58,1252364,$261.37,$263.32,$259.4975
10/14/2024,$261.56,1139628,$261.22,$263.34,$260.42
10/11/2024,$262.63,1084725,$261.23,$264.14,$261.05
10/10/2024,$260.54,1038242,$260.89,$261.92,$259.29
10/09/2024,$261.88,1442671,$256.29,$263.02,$256.00
10/08/2024,$256.58,1207924,$255.32,$257.345,$253.53
10/07/2024,$255.16,2406904,$254.00,$255.85,$253.07
10/04/2024,$254.61,1129513,$253.28,$254.84,$252.22
10/03/2024,$249.48,935640,$246.06,$249.67,$246.01
10/02/2024,$248.82,857615,$245.29,$249.00,$244.85
10/01/2024,$246.08,1382540,$248.71,$249.31,$243.10
09/30/2024,$248.60,1646374,$252.05,$253.95,$246.46
09/27/2024,$253.04,1238389,$252.81,$254.43,$251.67
09/26/2024,$250.71,1431803,$248.17,$251.00,$246.22
09/25/2024,$245.50,951362,$247.47,$247.62,$244.63
09/24/2024,$247.38,1225328,$243.02,$247.46,$242.85
09/23/2024,$241.67,1393435,$244.85,$245.125,$241.36
09/20/2024,$244.39,3663555,$243.90,$244.74,$240.90
09/19/2024,$244.46,1676231,$242.97,$246.02,$242.04
09/18/2024,$238.74,1539802,$238.90,$241.73,$236.80
09/17/2024,$235.61,1005287,$233.73,$236.23,$232.76
09/16/2024,$232.46,993122,$233.07,$235.75,$231.90
09/13/2024,$231.74,1034102,$231.55,$232.56,$229.67
09/12/2024,$230.70,1044702,$228.80,$230.82,$227.59
09/11/2024,$227.33,1330936,$225.67,$227.7795,$221.84
09/10/2024,$225.67,1755184,$227.68,$229.00,$221.95
