Date,Close/Last,Volume,Open,High,Low
11/29/2024,$1985.17,374242,$1984.98,$1998.35,$1940.51
11/27/2024,$2044.76,282506,$2110.00,$2115.20,$2038.6746
11/26/2024,$2110.00,393105,$2094.55,$2146.815,$2089.405
11/25/2024,$2099.95,655946,$2034.00,$2106.15,$2024.94
11/22/2024,$2005.00,414571,$1967.50,$2007.58,$1955.17
11/21/2024,$1968.15,385694,$1917.01,$1970.555,$1880.00
11/20/2024,$1931.26,439380,$1923.52,$1945.94,$1905.41
11/19/2024,$1916.51,342949,$1892.06,$1921.41,$1880.00
11/18/2024,$1916.12,360532,$1880.00,$1918.87,$1858.32
11/15/2024,$1880.00,463972,$1875.90,$1885.01,$1852.7879
11/14/2024,$1876.20,547297,$1923.77,$1923.77,$1848.00
11/13/2024,$1930.95,456218,$1968.12,$1975.80,$1925.39
11/12/2024,$1977.39,637414,$1980.02,$2004.615,$1954.3701
11/11/2024,$1961.16,987594,$1894.14,$1966.9991,$1882.295
11/08/2024,$1872.01,1357175,$1824.50,$1873.08,$1793.10
11/07/2024,$1774.05,2966817,$1920.00,$1920.00,$1749.91
11/06/2024,$2117.30,508862,$2101.84,$2122.155,$2083.32
11/05/2024,$2090.01,287530,$2064.69,$2094.92,$2055.33
11/04/2024,$2063.70,249833,$2059.00,$2084.19,$2047.70
11/01/2024,$2054.90,344756,$2030.44,$2060.865,$2021.91
10/31/2024,$2037.18,324175,$2015.25,$2048.34,$1990.18
10/30/2024,$2020.72,366963,$2015.33,$2026.23,$1962.38
10/29/2024,$2026.57,338559,$2058.24,$2075.68,$2023.50
10/28/2024,$2056.09,286221,$2056.00,$2082.00,$2044.62
10/25/2024,$2047.35,217376,$2053.99,$2092.52,$2044.94
10/24/2024,$2055.93,130993,$2038.70,$2063.99,$2029.88
10/23/2024,$2038.70,164007,$2062.29,$2075.24,$2028.42
10/22/2024,$2067.82,188605,$2077.92,$2090.01,$2061.02
10/21/2024,$2100.58,217397,$2065.00,$2102.98,$2065.00
10/18/2024,$2079.79,230026,$2065.87,$2088.33,$2046.67
10/17/2024,$2065.87,199847,$2066.85,$2079.94,$2046.03
10/16/2024,$2046.47,230322,$2029.32,$2063.97,$2029.32
10/15/2024,$2033.62,330869,$2075.48,$2082.99,$2018.385
10/14/2024,$2079.96,201783,$2091.82,$2105.0399,$2073.41
10/11/2024,$2091.16,343070,$2058.21,$2107.10,$2043.00
10/10/2024,$2040.50,197448,$2044.00,$2059.82,$2026.10
10/09/2024,$2047.99,274839,$2007.70,$2052.4999,$2002.92
10/08/2024,$2014.23,268963,$1963.05,$2018.51,$1963.05
10/07/2024,$1963.23,252226,$1961.00,$1985.00,$1951.01
10/04/2024,$1960.00,315878,$1966.00,$1972.21,$1937.28
10/03/2024,$1959.20,243243,$1956.65,$1970.01,$1942.3241
10/02/2024,$1970.72,514714,$1993.22,$2015.42,$1952.42
10/01/2024,$2066.12,349099,$2060.00,$2067.72,$2033.24
09/30/2024,$2051.96,398653,$2055.30,$2064.87,$2030.25
09/27/2024,$2064.71,321277,$2100.21,$2100.21,$2055.52
09/26/2024,$2100.21,328866,$2147.80,$2161.73,$2098.32
09/25/2024,$2131.29,234904,$2097.15,$2132.675,$2088.7501
09/24/2024,$2111.00,303264,$2116.28,$2124.3299,$2092.00
09/23/2024,$2102.63,226532,$2117.83,$2140.97,$2100.00
09/20/2024,$2103.75,319486,$2116.15,$2118.605,$2094.68
09/19/2024,$2109.40,360840,$2138.45,$2157.635,$2098.93
09/18/2024,$2102.64,218939,$2078.76,$2124.52,$2074.22
09/17/2024,$2074.26,284007,$2106.70,$2111.68,$2067.18
09/16/2024,$2105.51,264680,$2128.83,$2128.83,$2102.00
09/13/2024,$2122.37,256775,$2136.96,$2143.96,$2117.6801
09/12/2024,$2140.10,435941,$2056.00,$2142.59,$2054.72
09/11/2024,$2045.88,323564,$2026.81,$2052.9999,$1984.85
09/10/2024,$2017.58,198616,$2040.30,$2045.33,$2001.50
09/09/2024,$2029.91,229914,$2006.96,$2035.88,$2001.80
09/06/2024,$1986.05,304456,$2034.85,$2034.85,$1966.00
09/05/2024,$2038.18,218827,$1991.59,$2048.05,$1991.59
09/04/2024,$1991.59,168118,$1996.83,$2006.01,$1977.90
09/03/2024,$1990.17,377166,$2050.00,$2053.595,$1984.00
08/30/2024,$2061.66,384426,$2025.99,$2064.76,$2018.41
08/29/2024,$2015.79,199399,$2003.47,$2023.55,$1994.99
08/28/2024,$1995.17,251460,$2035.25,$2037.00,$1982.68
08/27/2024,$2036.21,272411,$2002.99,$2048.9899,$2002.99
08/26/2024,$2004.70,181799,$1991.73,$2007.65,$1978.00
08/23/2024,$2000.31,162817,$2006.50,$2009.82,$1980.62
08/22/2024,$1988.83,191532,$2000.20,$2019.00,$1983.445
08/21/2024,$2007.46,238976,$2013.02,$2015.46,$1973.26
08/20/2024,$2005.66,225575,$2020.00,$2027.78,$2000.025
08/19/2024,$2028.00,402051,$1989.67,$2029.9899,$1985.165
08/16/2024,$1977.97,245078,$1992.00,$1999.00,$1969.00
08/15/2024,$1996.44,519149,$1920.00,$1998.68,$1915.00
08/14/2024,$1898.57,272937,$1921.68,$1921.68,$1883.0001
08/13/2024,$1916.20,315231,$1905.00,$1923.18,$1891.98
08/12/2024,$1901.82,187036,$1884.51,$1904.60,$1874.61
08/09/2024,$1883.62,232949,$1869.62,$1909.80,$1869.62
08/08/2024,$1869.40,345265,$1880.00,$1887.34,$1829.12
08/07/2024,$1859.70,587091,$1834.88,$1878.38,$1825.81
08/06/2024,$1810.39,486747,$1788.40,$1850.00,$1776.01
08/05/2024,$1776.00,725365,$1666.00,$1820.00,$1656.7387
08/02/2024,$1776.14,958293,$1701.205,$1786.9708,$1692.96
08/01/2024,$1606.06,624518,$1675.49,$1712.46,$1579.78
07/31/2024,$1668.90,375380,$1660.00,$1674.58,$1646.12
07/30/2024,$1626.15,327144,$1623.73,$1647.63,$1603.09
07/29/2024,$1621.40,217971,$1667.15,$1670.00,$1613.67
07/26/2024,$1651.69,169025,$1629.34,$1668.03,$1629.34
07/25/2024,$1625.15,278794,$1634.39,$1674.50,$1595.26
07/24/2024,$1642.55,240292,$1676.17,$1676.17,$1635.51
07/23/2024,$1692.23,217716,$1683.51,$1700.175,$1680.23
07/22/2024,$1687.38,193939,$1668.19,$1691.95,$1651.23
07/19/2024,$1649.99,174113,$1612.90,$1664.585,$1612.90
07/18/2024,$1623.26,270413,$1670.73,$1685.3067,$1613.54
07/17/2024,$1670.09,378219,$1710.00,$1710.00,$1655.10
07/16/2024,$1720.43,265181,$1741.31,$1745.51,$1707.00
07/15/2024,$1743.99,376685,$1745.62,$1760.38,$1727.45
07/12/2024,$1761.22,335287,$1710.45,$1764.50,$1710.45
07/11/2024,$1708.65,259327,$1710.57,$1733.76,$1700.0401
07/10/2024,$1703.55,268256,$1733.98,$1739.34,$1679.96
07/09/2024,$1722.05,349102,$1698.99,$1733.97,$1675.77
07/08/2024,$1683.75,310574,$1659.39,$1700.90,$1647.00
07/05/2024,$1658.96,354495,$1610.00,$1666.27,$1598.055
07/03/2024,$1591.44,207688,$1585.00,$1594.12,$1563.21
07/02/2024,$1596.48,297536,$1590.95,$1617.88,$1583.35
07/01/2024,$1597.60,337760,$1635.61,$1641.04,$1571.87
06/28/2024,$1643.40,249707,$1663.67,$1673.23,$1637.98
06/27/2024,$1660.89,250648,$1682.34,$1689.9969,$1650.25
06/26/2024,$1678.96,315299,$1636.50,$1682.69,$1626.47
06/25/2024,$1642.28,281320,$1592.20,$1647.175,$1590.05
06/24/2024,$1582.86,244631,$1607.76,$1617.84,$1580.10
06/21/2024,$1600.05,309712,$1622.03,$1622.03,$1579.655
06/20/2024,$1585.03,264157,$1570.00,$1586.9019,$1567.965
06/18/2024,$1573.40,250761,$1558.30,$1583.28,$1550.00
06/17/2024,$1559.23,313356,$1580.06,$1587.62,$1557.50
06/14/2024,$1582.14,223146,$1581.81,$1588.00,$1561.00
06/13/2024,$1580.53,251087,$1606.44,$1617.1099,$1572.53
06/12/2024,$1599.34,283683,$1600.10,$1609.00,$1573.96
06/11/2024,$1580.00,192072,$1593.50,$1601.45,$1575.1199
06/10/2024,$1601.88,181568,$1589.48,$1614.14,$1583.67
06/07/2024,$1600.16,292799,$1622.61,$1622.96,$1593.09
06/06/2024,$1621.09,366717,$1604.95,$1628.60,$1604.95
06/05/2024,$1604.90,447228,$1631.00,$1641.895,$1601.505
06/04/2024,$1630.65,380444,$1684.00,$1694.99,$1618.00
06/03/2024,$1693.14,300541,$1718.05,$1723.28,$1679.00
05/31/2024,$1725.58,456268,$1699.95,$1732.00,$1689.79
05/30/2024,$1699.95,341523,$1701.31,$1744.53,$1696.68
05/29/2024,$1709.86,270295,$1690.00,$1733.00,$1689.655
05/28/2024,$1708.00,254784,$1693.57,$1708.549,$1680.05
05/24/2024,$1693.57,375675,$1682.98,$1715.69,$1671.22
05/23/2024,$1707.40,368381,$1749.34,$1749.34,$1698.21
05/22/2024,$1736.78,341539,$1772.80,$1772.80,$1722.36
05/21/2024,$1772.07,278531,$1773.00,$1779.80,$1758.27
05/20/2024,$1787.73,313398,$1749.17,$1792.05,$1742.48
05/17/2024,$1749.17,274859,$1734.03,$1750.51,$1726.08
05/16/2024,$1739.15,338711,$1728.00,$1752.17,$1721.01
05/15/2024,$1718.50,254230,$1703.22,$1730.495,$1682.90
05/14/2024,$1683.91,323121,$1670.01,$1706.00,$1655.95
05/13/2024,$1677.34,248004,$1710.00,$1710.00,$1671.00
05/10/2024,$1693.97,230149,$1700.00,$1710.64,$1681.54
05/09/2024,$1695.40,473976,$1718.00,$1718.00,$1685.0001
05/08/2024,$1716.78,485494,$1665.00,$1731.38,$1663.37
