Date,Close/Last,Volume,Open,High,Low
11/29/2024,$77.58,1357527,$77.55,$77.84,$77.14
11/27/2024,$77.63,1102652,$77.41,$77.94,$77.32
11/26/2024,$77.94,1356913,$78.07,$78.09,$77.27
11/25/2024,$78.14,1845899,$78.79,$79.40,$78.05
11/22/2024,$78.21,1005332,$77.76,$78.28,$77.42
11/21/2024,$78.11,1275478,$76.54,$78.21,$76.465
11/20/2024,$75.99,834501,$75.63,$76.28,$75.145
11/19/2024,$76.09,1088202,$75.65,$76.17,$74.90
11/18/2024,$76.03,1148365,$75.80,$76.77,$75.80
11/15/2024,$75.76,1935932,$77.72,$77.72,$75.49
11/14/2024,$78.77,1908750,$78.79,$79.49,$78.46
11/13/2024,$77.95,1427489,$76.74,$78.01,$76.54
11/12/2024,$76.90,1027416,$77.11,$77.29,$76.63
11/11/2024,$77.06,1024965,$77.53,$78.40,$76.99
11/08/2024,$77.89,1925259,$76.89,$78.19,$76.89
11/07/2024,$77.26,1282803,$77.03,$77.825,$76.83
11/06/2024,$76.48,1791885,$76.61,$77.26,$75.095
11/05/2024,$77.845,1161964,$75.895,$78.03,$75.70
11/04/2024,$75.86,1136170,$76.17,$76.31,$75.55
11/01/2024,$75.60,989542,$76.11,$76.58,$75.54
10/31/2024,$76.00,1313892,$76.11,$76.32,$75.54
10/30/2024,$76.40,985517,$75.79,$76.59,$75.14
10/29/2024,$76.26,1201150,$77.06,$77.72,$76.14
10/28/2024,$77.49,759343,$78.63,$78.63,$77.46
10/25/2024,$77.98,1022872,$78.41,$79.20,$77.81
10/24/2024,$77.90,1088955,$77.88,$78.54,$77.66
10/23/2024,$77.48,1313908,$76.84,$78.005,$76.83
10/22/2024,$77.25,970548,$76.68,$77.48,$76.505
10/21/2024,$77.15,1442200,$78.22,$78.74,$77.04
10/18/2024,$78.72,1373062,$78.45,$79.29,$78.09
10/17/2024,$76.72,1401491,$76.78,$76.87,$76.22
10/16/2024,$76.94,808333,$77.15,$77.36,$76.78
10/15/2024,$77.18,1331917,$78.50,$78.596,$76.98
10/14/2024,$78.36,1058285,$77.85,$78.50,$77.58
10/11/2024,$77.96,609302,$77.68,$78.005,$77.52
10/10/2024,$77.66,956706,$77.93,$78.19,$77.24
10/09/2024,$78.02,1041993,$77.40,$78.41,$77.40
10/08/2024,$77.12,1603386,$76.83,$77.26,$76.50
10/07/2024,$76.81,1374757,$77.01,$77.30,$76.50
10/04/2024,$78.01,1919821,$76.23,$78.05,$76.12
10/03/2024,$76.77,1285641,$77.38,$77.38,$76.16
10/02/2024,$77.84,1202702,$77.27,$77.90,$76.78
10/01/2024,$77.43,2151821,$78.39,$78.47,$77.01
09/30/2024,$78.75,1649047,$79.39,$79.62,$78.30
09/27/2024,$79.18,1047650,$79.50,$79.88,$79.14
09/26/2024,$79.05,1668676,$79.41,$79.535,$78.83
09/25/2024,$78.91,1303887,$79.87,$79.87,$78.81
09/24/2024,$79.56,919720,$80.50,$80.50,$79.47
09/23/2024,$80.57,1281417,$81.13,$81.16,$80.43
09/20/2024,$81.09,1788805,$81.17,$81.28,$80.40
09/19/2024,$81.23,1036714,$81.28,$81.28,$80.70
09/18/2024,$80.79,1000562,$81.03,$81.22,$80.50
09/17/2024,$81.03,1092039,$81.58,$81.72,$80.89
09/16/2024,$81.88,1383127,$81.54,$82.32,$81.345
09/13/2024,$81.54,1110287,$80.82,$81.65,$80.41
09/12/2024,$80.63,1818407,$79.50,$80.70,$79.48
09/11/2024,$79.52,2786697,$79.36,$79.60,$78.56
09/10/2024,$79.66,2003984,$80.84,$81.075,$79.33
09/09/2024,$81.54,1979442,$81.28,$82.14,$81.05
09/06/2024,$80.75,1326171,$81.39,$81.70,$80.68
09/05/2024,$81.43,1588994,$81.65,$81.83,$80.97
09/04/2024,$81.30,1582131,$80.14,$81.41,$79.76
09/03/2024,$80.50,1592080,$79.80,$81.25,$79.50
08/30/2024,$80.49,1746509,$80.19,$80.82,$80.04
08/29/2024,$80.00,1115894,$80.22,$80.35,$79.57
08/28/2024,$80.13,1183767,$80.26,$80.67,$79.92
08/27/2024,$79.99,1329525,$79.21,$80.16,$79.105
08/26/2024,$79.02,1173498,$78.76,$79.21,$78.72
08/23/2024,$78.73,794176,$78.63,$78.84,$78.185
08/22/2024,$78.31,1389104,$78.25,$78.705,$78.03
08/21/2024,$77.98,822254,$77.50,$78.42,$77.49
08/20/2024,$77.27,985421,$77.04,$77.36,$76.91
08/19/2024,$77.15,1633991,$76.87,$77.45,$76.7234
08/16/2024,$76.42,1220177,$76.80,$76.99,$76.10
08/15/2024,$76.78,1421029,$76.00,$77.005,$75.75
08/14/2024,$75.65,1350195,$74.89,$75.80,$74.75
08/13/2024,$75.08,1896931,$73.50,$75.33,$73.48
08/12/2024,$73.20,994059,$73.09,$73.51,$72.975
08/09/2024,$73.66,1231087,$73.12,$73.72,$72.505
08/08/2024,$73.30,1699822,$72.71,$73.91,$72.38
08/07/2024,$73.26,3153691,$71.97,$74.33,$71.49
08/06/2024,$73.48,1887726,$73.19,$74.45,$72.59
08/05/2024,$73.19,1866539,$73.98,$74.57,$72.645
08/02/2024,$75.06,2404264,$75.08,$75.27,$73.64
08/01/2024,$74.19,2111160,$73.77,$74.59,$73.63
07/31/2024,$73.77,2241577,$73.56,$74.48,$73.20
07/30/2024,$73.23,1232552,$73.99,$73.99,$72.86
07/29/2024,$73.80,832292,$73.90,$74.14,$73.33
07/26/2024,$74.29,994711,$73.08,$74.36,$73.08
07/25/2024,$72.64,1322395,$73.45,$74.30,$72.48
07/24/2024,$73.00,1563681,$72.91,$73.205,$71.88
07/23/2024,$72.81,1145008,$73.36,$73.50,$72.49
07/22/2024,$73.74,1008476,$73.84,$74.22,$73.38
07/19/2024,$73.66,887935,$73.21,$73.90,$73.05
07/18/2024,$73.69,1055398,$74.09,$74.40,$73.66
07/17/2024,$73.83,1744609,$74.28,$75.165,$73.80
07/16/2024,$73.87,703496,$72.84,$74.15,$72.68
07/15/2024,$72.99,759910,$74.11,$74.37,$72.89
07/12/2024,$74.10,998545,$73.86,$74.94,$73.785
07/11/2024,$73.87,1381888,$72.36,$74.18,$72.25
07/10/2024,$72.78,997553,$72.57,$72.97,$72.35
07/09/2024,$72.22,1107271,$73.28,$73.43,$72.16
07/08/2024,$73.43,1119088,$73.57,$74.26,$73.28
07/05/2024,$73.83,996693,$73.38,$73.84,$72.60
07/03/2024,$73.59,805964,$72.84,$73.73,$72.52
07/02/2024,$72.74,1879022,$72.94,$73.25,$72.37
