Date,Close/Last,Volume,Open,High,Low
11/29/2024,$28.45,2921797,$28.56,$29.1036,$28.41
11/27/2024,$28.37,5339517,$27.69,$28.45,$27.45
11/26/2024,$27.60,10645080,$29.39,$29.44,$27.3725
11/25/2024,$29.75,14988920,$30.34,$31.11,$29.70
11/22/2024,$29.31,5804541,$29.26,$29.84,$28.90
11/21/2024,$29.05,7732958,$27.55,$29.25,$27.03
11/20/2024,$27.71,5996707,$27.30,$27.81,$26.6801
11/19/2024,$27.29,8812764,$25.439,$27.415,$25.34
11/18/2024,$25.79,6689683,$25.61,$25.9562,$25.23
11/15/2024,$25.66,10025820,$26.95,$26.95,$25.50
11/14/2024,$26.93,5329140,$27.09,$27.69,$26.89
11/13/2024,$27.04,9607124,$27.33,$28.305,$26.79
11/12/2024,$26.96,12993480,$26.95,$27.26,$25.77
11/11/2024,$27.39,9768533,$29.15,$29.15,$27.37
11/08/2024,$28.90,7787537,$29.60,$29.87,$28.51
11/07/2024,$30.01,8439858,$30.08,$31.14,$29.38
11/06/2024,$30.04,22549180,$29.80,$30.80,$27.78
11/05/2024,$31.73,8018317,$31.34,$32.09,$31.125
11/04/2024,$31.07,5757976,$31.25,$31.84,$30.85
11/01/2024,$31.48,5787705,$30.40,$31.57,$30.15
10/31/2024,$30.08,7250355,$30.59,$30.78,$29.37
10/30/2024,$30.69,4922022,$30.89,$31.86,$30.605
10/29/2024,$31.03,6832653,$31.13,$32.14,$30.6608
10/28/2024,$31.40,5483755,$32.00,$32.24,$31.22
10/25/2024,$31.66,6541396,$31.79,$32.29,$31.17
10/24/2024,$31.70,7126566,$30.80,$31.71,$30.38
10/23/2024,$30.46,6638798,$31.85,$31.9088,$30.39
10/22/2024,$32.02,7829802,$32.28,$32.70,$31.05
10/21/2024,$32.46,10541970,$33.73,$33.76,$31.91
10/18/2024,$33.85,8290722,$32.71,$34.155,$32.10
10/17/2024,$32.18,12921230,$33.80,$33.88,$31.37
10/16/2024,$33.78,10954700,$34.72,$35.83,$33.30
10/15/2024,$34.16,14963850,$34.31,$35.58,$33.55
10/14/2024,$34.82,14494800,$33.105,$35.04,$31.60
10/11/2024,$32.80,18275020,$34.91,$35.40,$32.72
10/10/2024,$34.91,30172410,$33.53,$35.16,$32.25
10/09/2024,$30.51,10850050,$29.175,$30.53,$28.86
10/08/2024,$28.74,8858119,$28.61,$29.15,$28.20
10/07/2024,$28.82,8725684,$30.30,$30.4212,$28.79
10/04/2024,$30.25,5733762,$30.16,$30.74,$29.73
10/03/2024,$29.74,6952874,$30.27,$30.50,$29.65
10/02/2024,$30.45,9034568,$31.20,$32.11,$30.33
10/01/2024,$31.20,7097729,$31.605,$31.98,$30.53
09/30/2024,$31.36,8298791,$32.895,$33.06,$31.21
09/27/2024,$32.53,6141485,$31.90,$32.70,$31.51
09/26/2024,$31.32,6706412,$31.63,$32.15,$30.86
