Date,Close/Last,Volume,Open,High,Low
11/29/2024,$1304.29,16404,$1315.92,$1319.63,$1294.355
11/27/2024,$1312.40,33192,$1344.96,$1353.325,$1305.01
11/26/2024,$1344.96,61897,$1305.66,$1356.77,$1290.40
11/25/2024,$1299.60,53148,$1271.24,$1307.95,$1265.38
11/22/2024,$1259.92,26141,$1250.00,$1260.36,$1244.0501
11/21/2024,$1246.18,29824,$1236.22,$1256.49,$1236.22
11/20/2024,$1237.96,26851,$1223.13,$1238.83,$1212.99
11/19/2024,$1223.62,27083,$1195.36,$1223.62,$1192.0512
11/18/2024,$1209.25,30457,$1210.00,$1221.615,$1205.185
11/15/2024,$1210.70,43615,$1210.58,$1210.78,$1181.94
11/14/2024,$1215.21,38503,$1229.56,$1229.56,$1207.735
11/13/2024,$1230.73,29088,$1244.49,$1245.4566,$1225.15
11/12/2024,$1236.17,32939,$1222.82,$1240.8725,$1214.52
11/11/2024,$1220.87,38089,$1230.49,$1248.39,$1214.515
11/08/2024,$1224.56,43436,$1194.63,$1241.275,$1189.52
11/07/2024,$1187.825,33863,$1185.51,$1199.405,$1165.0001
11/06/2024,$1190.94,57778,$1203.00,$1213.25,$1159.15
11/05/2024,$1179.62,39393,$1141.00,$1183.045,$1136.06
11/04/2024,$1143.62,61317,$1134.38,$1164.715,$1134.25
11/01/2024,$1134.38,57760,$1136.25,$1165.89,$1123.12
10/31/2024,$1124.26,103604,$1163.50,$1163.50,$1065.4344
10/30/2024,$1199.57,31596,$1210.00,$1213.32,$1196.3217
10/29/2024,$1209.61,39211,$1224.72,$1225.565,$1202.06
10/28/2024,$1230.58,39350,$1244.37,$1263.227,$1227.125
10/25/2024,$1248.85,29773,$1272.07,$1272.07,$1248.5626
10/24/2024,$1263.76,31152,$1269.19,$1284.81,$1263.76
10/23/2024,$1273.74,27616,$1265.29,$1280.09,$1256.00
10/22/2024,$1265.48,32345,$1266.42,$1272.59,$1257.00
10/21/2024,$1274.21,40627,$1285.52,$1285.52,$1263.89
10/18/2024,$1287.48,35377,$1300.29,$1300.29,$1264.84
10/17/2024,$1305.59,25174,$1308.49,$1311.00,$1287.99
10/16/2024,$1309.13,28842,$1302.91,$1320.00,$1300.00
10/15/2024,$1304.70,34493,$1301.57,$1309.52,$1292.25
10/14/2024,$1301.58,23341,$1290.50,$1306.49,$1290.50
10/11/2024,$1282.91,25677,$1267.00,$1285.934,$1267.00
10/10/2024,$1267.00,28590,$1274.96,$1275.10,$1263.63
10/09/2024,$1276.46,27761,$1278.88,$1291.73,$1274.05
10/08/2024,$1278.61,28546,$1260.00,$1285.74,$1260.00
10/07/2024,$1257.28,31999,$1287.31,$1287.31,$1252.01
10/04/2024,$1292.09,30346,$1271.20,$1296.91,$1271.20
10/03/2024,$1272.83,36575,$1289.99,$1289.99,$1263.95
10/02/2024,$1295.02,26681,$1299.08,$1299.08,$1287.44
10/01/2024,$1308.57,30417,$1320.00,$1321.01,$1305.00
09/30/2024,$1316.40,46433,$1301.13,$1320.00,$1292.065
09/27/2024,$1295.96,39469,$1288.14,$1301.835,$1282.705
09/26/2024,$1286.41,36159,$1303.00,$1303.00,$1280.70
09/25/2024,$1295.58,31926,$1296.68,$1296.68,$1284.04
09/24/2024,$1293.99,43315,$1302.78,$1303.59,$1283.975
09/23/2024,$1314.03,62493,$1266.83,$1314.56,$1266.83
09/20/2024,$1264.25,297048,$1270.53,$1270.53,$1259.00
09/19/2024,$1266.98,51591,$1270.11,$1275.785,$1255.0001
09/18/2024,$1265.62,46357,$1270.00,$1285.61,$1264.03
09/17/2024,$1261.36,55327,$1280.39,$1280.39,$1255.99
09/16/2024,$1280.39,49741,$1302.83,$1308.77,$1271.39
09/13/2024,$1296.96,50589,$1277.86,$1297.81,$1269.08
09/12/2024,$1271.09,48859,$1277.88,$1285.285,$1256.20
09/11/2024,$1277.88,68501,$1290.77,$1290.77,$1264.6508
09/10/2024,$1287.56,60968,$1350.55,$1361.2399,$1285.69
09/09/2024,$1350.83,80495,$1338.62,$1376.8407,$1338.62
09/06/2024,$1329.90,52169,$1345.07,$1367.81,$1324.99
09/05/2024,$1348.38,62431,$1352.45,$1369.87,$1333.0299
09/04/2024,$1352.45,60781,$1324.01,$1367.8199,$1322.55
09/03/2024,$1328.84,57328,$1347.22,$1359.5599,$1320.20
08/30/2024,$1342.40,54001,$1325.80,$1342.40,$1317.00
08/29/2024,$1325.80,36360,$1330.00,$1335.355,$1322.93
08/28/2024,$1327.80,50092,$1334.95,$1335.48,$1313.69
08/27/2024,$1334.15,37368,$1334.05,$1340.00,$1331.75
08/26/2024,$1339.75,39564,$1351.77,$1360.00,$1332.00
08/23/2024,$1350.00,50078,$1362.01,$1374.25,$1348.21
08/22/2024,$1355.99,55051,$1324.53,$1370.00,$1324.53
08/21/2024,$1321.29,70209,$1292.04,$1322.59,$1284.99
08/20/2024,$1267.97,36268,$1280.00,$1287.22,$1266.10
08/19/2024,$1274.12,31525,$1264.00,$1277.56,$1258.50
08/16/2024,$1261.00,25091,$1274.28,$1277.595,$1259.71
08/15/2024,$1270.17,36997,$1260.24,$1280.96,$1253.40
08/14/2024,$1258.17,30478,$1254.00,$1270.1229,$1247.57
08/13/2024,$1254.16,32873,$1254.11,$1264.31,$1246.12
08/12/2024,$1254.11,29543,$1259.41,$1266.54,$1241.98
08/09/2024,$1259.41,28509,$1262.65,$1271.12,$1254.96
08/08/2024,$1259.83,38156,$1253.70,$1266.85,$1236.1501
08/07/2024,$1253.45,36379,$1271.02,$1280.11,$1253.45
08/06/2024,$1257.50,61311,$1220.88,$1285.21,$1220.88
08/05/2024,$1215.59,73067,$1181.79,$1231.9599,$1170.00
08/02/2024,$1274.29,69511,$1213.87,$1305.78,$1213.87
08/01/2024,$1241.38,105216,$1167.34,$1248.585,$1150.05
07/31/2024,$1145.89,48480,$1150.08,$1159.665,$1135.06
07/30/2024,$1140.55,37152,$1124.76,$1144.00,$1118.74
07/29/2024,$1112.42,34981,$1133.01,$1137.06,$1103.71
07/26/2024,$1130.65,33543,$1108.00,$1135.00,$1108.00
07/25/2024,$1104.02,43186,$1099.87,$1125.23,$1099.87
07/24/2024,$1104.96,58588,$1105.78,$1105.94,$1092.60
07/23/2024,$1115.87,56152,$1095.41,$1131.32,$1086.53
07/22/2024,$1091.21,23661,$1092.79,$1092.79,$1076.02
07/19/2024,$1085.50,32094,$1091.10,$1102.26,$1075.01
07/18/2024,$1089.15,38020,$1074.40,$1095.23,$1067.6701
07/17/2024,$1067.69,43409,$1078.51,$1093.12,$1067.33
07/16/2024,$1083.44,35848,$1070.71,$1085.62,$1070.15
07/15/2024,$1066.32,41395,$1088.31,$1088.31,$1056.65
07/12/2024,$1082.93,24668,$1084.91,$1089.64,$1079.01
07/11/2024,$1080.52,38281,$1084.91,$1090.44,$1072.22
07/10/2024,$1082.60,40278,$1083.40,$1084.915,$1072.42
07/09/2024,$1076.86,35088,$1089.22,$1094.85,$1075.71
07/08/2024,$1089.25,45172,$1078.00,$1102.3399,$1073.00
07/05/2024,$1077.53,62657,$1091.62,$1094.15,$1061.97
07/03/2024,$1092.15,42672,$1112.54,$1112.54,$1089.79
07/02/2024,$1105.46,58622,$1115.00,$1115.00,$1088.00
07/01/2024,$1110.00,108269,$1093.23,$1134.49,$1090.65
06/28/2024,$1085.00,680607,$1075.31,$1090.34,$1061.30
06/27/2024,$1070.88,59547,$1062.01,$1077.81,$1056.00
06/26/2024,$1062.67,67698,$1049.52,$1076.61,$1040.36
06/25/2024,$1053.44,59115,$1031.18,$1054.36,$1027.57
06/24/2024,$1033.07,67382,$995.63,$1036.72,$995.63
06/21/2024,$995.31,73389,$976.85,$997.34,$976.85
06/20/2024,$977.89,82143,$1024.43,$1035.00,$965.04
06/18/2024,$1023.93,63993,$999.78,$1033.20,$999.78
06/17/2024,$1001.68,40478,$999.80,$1005.00,$994.86
06/14/2024,$1004.01,43553,$1005.00,$1010.52,$999.685
06/13/2024,$1012.09,40392,$1024.00,$1024.00,$1008.19
06/12/2024,$1024.19,89851,$1035.00,$1048.00,$1016.89
06/11/2024,$1036.01,76795,$1013.88,$1037.13,$996.51
06/10/2024,$1014.04,58480,$1014.98,$1019.77,$1003.33
06/07/2024,$1021.03,50027,$1017.33,$1030.00,$1017.33
06/06/2024,$1018.02,66907,$993.98,$1019.77,$987.69
06/05/2024,$998.80,74547,$986.39,$1000.00,$975.94
06/04/2024,$986.39,62896,$980.25,$997.665,$973.87
06/03/2024,$982.70,60806,$982.00,$991.37,$970.00
05/31/2024,$981.04,80855,$982.60,$985.72,$963.70
05/30/2024,$982.70,47367,$984.84,$999.81,$979.915
05/29/2024,$984.84,57981,$975.63,$995.00,$975.63
05/28/2024,$988.40,72087,$983.71,$997.02,$982.84
05/24/2024,$992.65,63645,$975.38,$995.30,$975.38
05/23/2024,$974.05,75245,$995.15,$1000.00,$972.58
05/22/2024,$998.01,83208,$981.17,$1003.865,$981.17
05/21/2024,$981.17,54282,$944.17,$982.90,$941.91
05/20/2024,$945.33,39030,$942.61,$954.00,$938.65
05/17/2024,$937.00,71225,$932.02,$940.95,$930.22
05/16/2024,$932.42,63946,$948.68,$961.89,$925.08
05/15/2024,$951.57,38508,$954.58,$964.05,$951.24
05/14/2024,$953.50,33498,$952.01,$953.865,$945.00
05/13/2024,$952.01,39207,$957.20,$960.78,$952.01
05/10/2024,$952.10,36097,$952.28,$954.09,$939.02
05/09/2024,$947.60,56731,$948.23,$949.22,$935.00
05/08/2024,$944.81,115179,$1001.69,$1002.85,$944.09
05/07/2024,$1009.31,204517,$917.04,$1030.00,$913.75
05/06/2024,$857.88,41105,$854.99,$863.245,$852.20
05/03/2024,$853.40,42672,$850.00,$853.40,$837.51
05/02/2024,$841.03,38201,$833.71,$844.17,$829.04
05/01/2024,$830.54,28599,$825.99,$836.02,$822.82
04/30/2024,$826.00,56025,$834.06,$834.06,$821.15
04/29/2024,$834.045,43541,$825.75,$835.18,$822.50
04/26/2024,$822.44,35179,$830.98,$838.61,$819.72
04/25/2024,$830.98,34656,$840.00,$840.00,$822.355
04/24/2024,$842.49,41550,$824.06,$846.75,$824.06
04/23/2024,$831.01,23593,$832.74,$834.62,$826.49
04/22/2024,$830.65,26232,$824.16,$834.00,$818.18
04/19/2024,$817.18,36563,$801.02,$820.90,$801.02
04/18/2024,$801.02,40291,$812.17,$817.09,$800.76
04/17/2024,$811.64,37651,$819.37,$819.37,$805.97
04/16/2024,$812.87,29335,$808.00,$819.04,$808.00
04/15/2024,$812.63,27960,$820.24,$820.24,$807.6225
04/12/2024,$816.87,30626,$816.45,$819.99,$810.01
04/11/2024,$820.59,45975,$815.60,$831.68,$815.60
04/10/2024,$810.40,48988,$835.65,$835.94,$804.99
04/09/2024,$835.59,42878,$847.14,$847.62,$830.46
04/08/2024,$845.13,31701,$836.49,$848.16,$836.49
04/05/2024,$830.11,32003,$825.32,$830.185,$816.55
04/04/2024,$819.60,35374,$817.59,$821.34,$814.06
04/03/2024,$812.17,53076,$811.08,$824.30,$808.33
04/02/2024,$817.40,48235,$832.74,$834.005,$814.77
04/01/2024,$836.21,38226,$845.37,$845.37,$835.01
03/28/2024,$846.41,56567,$842.18,$846.58,$836.04
03/27/2024,$842.18,42619,$848.00,$852.26,$840.72
03/26/2024,$840.00,38368,$853.29,$857.55,$839.33
03/25/2024,$848.99,30133,$872.72,$872.72,$848.195
03/22/2024,$874.31,46381,$884.21,$889.05,$871.43
03/21/2024,$884.21,49105,$871.03,$888.31,$862.51
03/20/2024,$864.06,51272,$839.00,$864.65,$839.00
03/19/2024,$838.02,33798,$830.00,$843.0601,$830.00
03/18/2024,$833.60,43708,$830.75,$845.91,$828.96
03/15/2024,$830.46,92432,$837.47,$845.15,$829.01
03/14/2024,$843.60,58447,$842.56,$847.73,$832.46
03/13/2024,$839.99,57342,$823.35,$840.45,$821.80
03/12/2024,$820.86,35479,$821.78,$828.83,$820.78
03/11/2024,$825.95,41367,$824.51,$829.04,$819.98
03/08/2024,$825.07,28933,$820.00,$828.57,$816.42
03/07/2024,$822.79,41163,$812.34,$826.275,$812.34
03/06/2024,$810.22,47250,$829.43,$829.43,$807.62
03/05/2024,$823.99,47573,$836.00,$837.87,$823.00
03/04/2024,$835.64,51672,$830.00,$858.99,$830.00
03/01/2024,$830.00,45598,$839.78,$839.78,$823.405
02/29/2024,$840.80,55972,$840.67,$846.48,$836.44
02/28/2024,$832.87,51944,$830.26,$840.30,$822.08
02/27/2024,$832.38,54228,$847.96,$847.96,$829.50
02/26/2024,$847.96,40110,$831.30,$851.2633,$831.00
02/23/2024,$829.23,49975,$814.00,$835.475,$811.83
02/22/2024,$813.63,81781,$831.06,$835.42,$803.085
02/21/2024,$841.60,59817,$832.00,$841.93,$830.10
02/20/2024,$836.47,73160,$846.00,$850.00,$833.54
02/16/2024,$846.07,59573,$854.20,$859.72,$845.71
02/15/2024,$864.59,60738,$848.39,$864.955,$848.39
02/14/2024,$848.40,41407,$855.18,$855.38,$847.1549
02/13/2024,$847.84,52816,$850.00,$858.00,$844.01
02/12/2024,$854.68,84506,$862.39,$863.81,$854.52
02/09/2024,$865.00,45105,$881.94,$881.94,$857.28
02/08/2024,$879.14,36655,$885.82,$889.77,$878.15
02/07/2024,$883.38,30825,$882.89,$900.20,$880.90
02/06/2024,$877.01,42355,$896.86,$896.86,$874.92
02/05/2024,$898.53,28921,$911.91,$911.91,$894.405
02/02/2024,$909.51,42184,$899.31,$909.52,$895.98
02/01/2024,$898.89,38344,$864.38,$899.19,$864.38
01/31/2024,$861.39,46397,$866.61,$875.57,$860.00
01/30/2024,$868.72,30588,$864.99,$871.57,$858.11
01/29/2024,$858.79,28500,$842.82,$858.79,$842.82
01/26/2024,$842.82,33902,$840.51,$846.21,$832.20
01/25/2024,$840.09,42136,$865.73,$865.73,$837.4878
01/24/2024,$873.94,32424,$865.56,$877.63,$865.56
01/23/2024,$864.12,56538,$868.90,$869.30,$846.80
01/22/2024,$868.90,71415,$867.93,$876.931,$854.50
01/19/2024,$858.64,70841,$862.39,$862.39,$822.77
01/18/2024,$858.89,69161,$894.00,$895.00,$855.23
01/17/2024,$893.10,35875,$907.00,$909.35,$892.01
01/16/2024,$909.20,44618,$908.95,$914.835,$905.31
01/12/2024,$909.72,33570,$917.82,$919.56,$902.31
01/11/2024,$910.96,45883,$908.26,$918.19,$906.72
01/10/2024,$913.32,44425,$915.15,$924.6423,$906.975
01/09/2024,$913.95,42510,$910.00,$915.68,$902.51
01/08/2024,$914.65,41085,$910.00,$915.00,$901.42
01/05/2024,$907.12,35085,$912.05,$919.81,$907.12
01/04/2024,$916.00,42314,$925.25,$933.14,$914.08
01/03/2024,$924.00,48363,$938.67,$942.00,$921.00
01/02/2024,$934.96,49295,$922.46,$937.5499,$920.82
12/29/2023,$928.40,44158,$931.55,$938.9723,$927.51
12/28/2023,$933.00,52061,$953.56,$961.91,$928.07
12/27/2023,$949.00,37408,$929.00,$950.24,$929.00
12/26/2023,$929.39,30958,$912.29,$932.00,$912.29
12/22/2023,$910.10,63534,$898.09,$929.25,$898.09
12/21/2023,$890.35,60884,$880.60,$891.88,$863.62
12/20/2023,$877.01,74108,$884.20,$891.36,$877.01
12/19/2023,$886.61,59212,$868.74,$888.715,$868.74
12/18/2023,$868.74,46068,$856.00,$873.98,$856.00
12/15/2023,$856.00,129211,$859.86,$890.00,$846.5738
12/14/2023,$859.72,39406,$861.99,$864.4201,$853.59
12/13/2023,$855.46,58550,$840.98,$861.12,$839.47
12/12/2023,$840.98,53389,$828.87,$848.2923,$822.00
12/11/2023,$824.95,52767,$810.49,$831.90,$810.49
12/08/2023,$806.26,46766,$809.90,$821.96,$795.6001
12/07/2023,$809.20,61730,$789.81,$815.60,$789.81
12/06/2023,$785.00,54623,$759.67,$786.48,$754.90
12/05/2023,$755.00,29874,$747.54,$759.5499,$743.01
12/04/2023,$746.14,41737,$726.58,$747.91,$726.58
12/01/2023,$726.58,50707,$733.26,$734.00,$725.00
11/30/2023,$734.52,68668,$724.78,$735.51,$720.55
11/29/2023,$725.78,52861,$720.00,$726.57,$718.00
11/28/2023,$719.51,36398,$725.00,$726.62,$716.80
11/27/2023,$725.00,33267,$720.84,$725.90,$719.00
11/24/2023,$725.01,13400,$725.15,$734.99,$723.99
11/22/2023,$728.01,25175,$725.99,$735.99,$723.79
11/21/2023,$720.00,58393,$717.01,$733.54,$715.42
11/20/2023,$716.36,35872,$712.00,$718.72,$705.50
11/17/2023,$710.00,63356,$698.51,$710.55,$695.97
11/16/2023,$696.50,47750,$690.00,$696.64,$688.50
11/15/2023,$690.99,36470,$691.40,$694.6671,$686.7501
