Date,Close/Last,Volume,Open,High,Low
11/29/2024,$31.97,5883760,$31.70,$32.125,$31.59
11/27/2024,$31.93,6703961,$32.14,$32.35,$31.8919
11/26/2024,$31.97,8526896,$31.96,$32.105,$31.815
11/25/2024,$32.02,17343750,$32.00,$32.485,$31.91
11/22/2024,$31.81,12404540,$31.16,$31.835,$31.05
11/21/2024,$31.09,14034360,$30.80,$31.15,$30.70
11/20/2024,$30.88,11972210,$30.58,$31.009,$30.565
11/19/2024,$30.58,14515350,$30.72,$30.92,$30.46
11/18/2024,$31.07,10973890,$31.215,$31.40,$30.935
11/15/2024,$31.14,17403520,$31.83,$31.83,$30.40
11/14/2024,$31.79,11067310,$32.15,$32.38,$31.745
11/13/2024,$32.13,7686146,$31.93,$32.15,$31.79
11/12/2024,$32.00,10450160,$32.53,$32.56,$31.94
11/11/2024,$32.53,8029771,$32.95,$33.1289,$32.51
11/08/2024,$33.00,7751547,$32.81,$33.09,$32.57
11/07/2024,$32.82,8671061,$33.37,$33.4895,$32.79
11/06/2024,$33.42,11607420,$33.72,$34.08,$33.37
11/05/2024,$33.51,7837536,$33.40,$33.605,$33.02
11/04/2024,$33.38,7130873,$33.50,$33.70,$33.255
11/01/2024,$33.49,5676568,$33.51,$33.62,$33.32
10/31/2024,$33.46,10352700,$33.50,$34.02,$33.45
10/30/2024,$33.73,14145570,$33.89,$33.90,$33.03
10/29/2024,$34.80,7665140,$34.93,$35.065,$34.77
10/28/2024,$35.13,7061545,$34.89,$35.17,$34.86
10/25/2024,$34.74,7533096,$34.91,$35.09,$34.60
10/24/2024,$35.03,7983175,$35.42,$35.72,$35.00
10/23/2024,$35.50,5858133,$35.37,$35.59,$35.105
10/22/2024,$35.64,7665540,$35.41,$36.00,$35.32
10/21/2024,$35.49,8775478,$36.02,$36.31,$35.28
10/18/2024,$36.00,5503911,$35.60,$36.11,$35.58
10/17/2024,$35.95,5701526,$35.88,$35.96,$35.71
10/16/2024,$35.81,5026138,$35.70,$35.89,$35.56
10/15/2024,$35.72,5578989,$35.45,$36.26,$35.43
10/14/2024,$35.36,3823292,$35.22,$35.38,$34.98
10/11/2024,$35.22,5008436,$34.99,$35.30,$34.8811
10/10/2024,$34.83,4226094,$34.74,$34.995,$34.655
10/09/2024,$34.67,4149248,$34.68,$34.94,$34.4801
10/08/2024,$34.66,4695956,$34.55,$34.75,$34.17
10/07/2024,$34.59,5087541,$34.63,$34.685,$34.3872
10/04/2024,$34.59,4808768,$34.17,$34.64,$34.058
10/03/2024,$34.17,6316365,$34.07,$34.22,$33.9114
10/02/2024,$34.37,8096997,$35.01,$35.0118,$34.185
10/01/2024,$35.17,6149866,$35.15,$35.28,$34.86
09/30/2024,$35.11,4977964,$35.37,$35.505,$34.905
09/27/2024,$35.37,8654202,$34.95,$35.74,$34.93
09/26/2024,$34.80,6024624,$34.56,$34.83,$34.50
09/25/2024,$34.52,6158325,$34.75,$34.85,$34.43
09/24/2024,$34.70,5001544,$34.66,$34.885,$34.55
09/23/2024,$34.68,7264396,$34.90,$35.06,$34.52
09/20/2024,$34.96,36463920,$35.07,$35.37,$34.77
09/19/2024,$34.99,7115449,$35.11,$35.25,$34.86
09/18/2024,$35.14,5392615,$34.89,$35.65,$34.87
09/17/2024,$35.04,7139593,$35.58,$35.843,$35.01
09/16/2024,$35.63,5390475,$35.79,$35.93,$35.46
09/13/2024,$35.59,5126818,$35.30,$35.61,$35.22
09/12/2024,$35.20,4611097,$35.07,$35.22,$34.745
09/11/2024,$35.16,6414566,$35.51,$35.51,$34.905
09/10/2024,$35.52,4669276,$36.06,$36.15,$35.365
09/09/2024,$36.05,6559137,$35.86,$36.21,$35.72
09/06/2024,$35.84,5831944,$36.20,$36.275,$35.83
09/05/2024,$36.13,7691343,$36.19,$36.53,$36.05
09/04/2024,$36.07,7428402,$35.56,$36.10,$35.56
09/03/2024,$35.59,8673821,$35.33,$35.655,$34.675
08/30/2024,$35.43,9320383,$34.80,$35.47,$34.80
08/29/2024,$35.26,7532558,$35.43,$35.47,$34.985
08/28/2024,$35.39,6563463,$35.64,$35.75,$35.26
08/27/2024,$35.74,4753562,$36.05,$36.18,$35.603
08/26/2024,$35.93,5876111,$36.00,$36.319,$35.87
08/23/2024,$35.91,4385647,$35.70,$35.935,$35.63
08/22/2024,$35.52,6179122,$35.55,$35.62,$35.2701
08/21/2024,$35.44,5890408,$35.29,$35.57,$35.22
08/20/2024,$35.29,5619906,$35.355,$35.43,$35.01
08/19/2024,$35.36,6546222,$34.75,$35.37,$34.68
08/16/2024,$34.62,11470380,$34.22,$34.83,$34.03
08/15/2024,$34.19,6176290,$34.38,$34.54,$34.12
08/14/2024,$34.49,6104995,$34.57,$35.03,$34.47
08/13/2024,$34.57,6624454,$34.06,$34.735,$34.00
08/12/2024,$34.17,8413251,$34.98,$35.02,$34.065
08/09/2024,$35.27,5109486,$35.19,$35.41,$34.81
08/08/2024,$35.21,6301164,$34.62,$35.32,$34.5608
08/07/2024,$34.67,7907876,$34.86,$35.41,$34.63
08/06/2024,$34.82,7266500,$35.38,$35.68,$34.79
08/05/2024,$35.20,12773140,$36.11,$36.52,$34.885
08/02/2024,$36.06,15882140,$35.81,$36.275,$35.3925
08/01/2024,$35.40,10258650,$35.04,$35.56,$34.76
07/31/2024,$35.21,21392100,$34.59,$35.67,$34.35
07/30/2024,$33.84,11644930,$33.40,$33.93,$33.23
07/29/2024,$33.42,7411544,$33.28,$33.50,$32.995
07/26/2024,$33.36,6048693,$33.39,$33.57,$33.20
07/25/2024,$33.29,6893072,$33.26,$34.12,$33.14
07/24/2024,$33.05,8162105,$32.89,$33.3582,$32.56
07/23/2024,$32.80,5618911,$32.85,$32.975,$32.63
07/22/2024,$32.82,6321241,$33.15,$33.2181,$32.69
07/19/2024,$33.12,6419102,$33.66,$33.715,$33.00
07/18/2024,$33.77,10013230,$33.68,$34.41,$33.58
07/17/2024,$33.90,12096730,$33.09,$34.04,$33.06
07/16/2024,$32.84,6193659,$32.27,$32.91,$32.23
07/15/2024,$32.29,6723754,$32.07,$32.55,$31.97
07/12/2024,$32.07,6250126,$32.32,$32.46,$32.04
07/11/2024,$32.18,7467968,$31.78,$32.23,$31.58
07/10/2024,$31.92,7116468,$31.84,$32.0099,$31.76
07/09/2024,$31.93,7632982,$32.00,$32.09,$31.77
07/08/2024,$32.10,5870739,$32.09,$32.26,$31.97
07/05/2024,$32.09,5200219,$32.20,$32.21,$31.83
07/03/2024,$32.09,3805532,$32.10,$32.24,$31.94
07/02/2024,$32.00,5470634,$31.95,$32.00,$31.72
07/01/2024,$31.86,7760615,$32.23,$32.66,$31.83
06/28/2024,$32.22,9939022,$32.40,$32.46,$32.02
06/27/2024,$32.27,5689523,$32.25,$32.45,$32.06
06/26/2024,$32.32,7682856,$32.47,$32.50,$32.20
06/25/2024,$32.80,7929333,$33.19,$33.35,$32.775
06/24/2024,$33.21,7262439,$33.10,$33.38,$32.92
06/21/2024,$32.95,16351480,$32.81,$33.145,$32.66
06/20/2024,$32.64,7236564,$32.49,$32.70,$32.37
06/18/2024,$32.67,6080805,$32.96,$33.04,$32.51
06/17/2024,$32.92,10035940,$32.24,$32.95,$32.0101
06/14/2024,$32.38,6188901,$32.54,$32.63,$32.25
06/13/2024,$32.54,11641660,$32.73,$32.83,$32.27
06/12/2024,$32.92,8227626,$33.59,$33.61,$32.88
06/11/2024,$33.65,6206580,$33.33,$33.775,$33.2101
06/10/2024,$33.55,11165860,$34.18,$34.225,$33.23
06/07/2024,$34.39,8340188,$34.48,$34.86,$34.215
06/06/2024,$34.57,8800308,$34.21,$34.70,$33.65
06/05/2024,$34.67,9807244,$35.67,$35.6782,$34.53
06/04/2024,$35.63,8646668,$35.07,$35.73,$34.665
06/03/2024,$35.10,6283571,$35.37,$35.48,$35.005
05/31/2024,$35.37,12422260,$34.70,$35.39,$34.64
05/30/2024,$34.65,6701181,$34.72,$34.844,$34.56
05/29/2024,$34.66,8275961,$34.99,$35.225,$34.63
05/28/2024,$35.05,7364096,$35.71,$35.78,$35.01
05/24/2024,$35.85,5700622,$35.86,$36.17,$35.6619
05/23/2024,$35.80,5339940,$36.19,$36.26,$35.71
05/22/2024,$36.38,6486840,$36.03,$36.45,$35.86
05/21/2024,$35.92,6015029,$35.96,$36.11,$35.70
05/20/2024,$35.78,5756185,$35.91,$36.125,$35.76
05/17/2024,$36.00,6117589,$35.95,$36.08,$35.64
05/16/2024,$36.07,6293825,$35.87,$36.265,$35.87
05/15/2024,$35.85,6162644,$36.19,$36.30,$35.83
05/14/2024,$36.19,6140106,$36.67,$36.70,$36.11
05/13/2024,$36.49,8561709,$36.29,$36.65,$36.26
05/10/2024,$36.24,6267498,$35.67,$36.28,$35.62
05/09/2024,$35.71,5027213,$35.91,$35.9699,$35.54
05/08/2024,$35.89,7764896,$35.81,$36.06,$35.81
05/07/2024,$35.81,7643416,$35.83,$36.055,$35.55
05/06/2024,$35.74,8570550,$36.41,$36.44,$35.53
05/03/2024,$36.35,7102855,$36.69,$36.75,$36.205
05/02/2024,$36.72,11373580,$36.39,$37.065,$36.38
05/01/2024,$36.28,15583090,$37.26,$37.70,$35.87
04/30/2024,$38.61,9607936,$38.63,$38.72,$38.16
04/29/2024,$38.65,6162978,$38.20,$38.66,$38.16
04/26/2024,$38.16,5342375,$37.9547,$38.56,$37.9547
04/25/2024,$38.37,6668109,$38.768,$38.96,$38.085
04/24/2024,$38.57,7250136,$37.41,$38.63,$37.375
04/23/2024,$38.07,5858139,$38.05,$38.25,$37.955
04/22/2024,$38.15,6973814,$37.92,$38.23,$37.69
04/19/2024,$37.78,9117769,$37.29,$37.83,$36.985
04/18/2024,$37.11,6769709,$37.15,$37.29,$36.65
04/17/2024,$36.90,6176078,$36.83,$36.94,$36.47
04/16/2024,$36.59,8695782,$36.45,$36.70,$36.30
04/15/2024,$36.31,6992053,$36.23,$36.435,$36.0311
04/12/2024,$35.94,6394532,$36.50,$36.565,$35.87
04/11/2024,$36.58,5785933,$36.98,$37.06,$36.34
04/10/2024,$36.82,5541038,$37.01,$37.12,$36.60
04/09/2024,$37.16,4089876,$37.11,$37.25,$36.835
04/08/2024,$37.05,4651094,$36.87,$37.11,$36.70
04/05/2024,$37.06,7251287,$37.29,$37.30,$36.62
04/04/2024,$37.25,8500362,$37.63,$37.70,$37.195
04/03/2024,$37.37,7458205,$37.39,$37.67,$37.19
04/02/2024,$37.39,8312606,$37.19,$37.6189,$37.13
04/01/2024,$37.06,7825749,$36.98,$37.29,$36.92
03/28/2024,$36.90,7159216,$36.65,$36.98,$36.65
03/27/2024,$36.53,5229713,$36.63,$36.84,$36.375
03/26/2024,$36.37,10195580,$36.28,$36.65,$36.21
03/25/2024,$36.18,9047907,$35.88,$36.245,$35.81
03/22/2024,$35.85,8880379,$35.70,$35.945,$35.565
03/21/2024,$35.60,7424446,$35.40,$35.65,$35.31
03/20/2024,$35.35,9952119,$35.31,$35.69,$35.025
03/19/2024,$35.27,7909522,$34.85,$35.29,$34.82
03/18/2024,$34.92,8794132,$34.37,$35.035,$34.28
03/15/2024,$34.37,12259750,$34.26,$34.60,$34.215
03/14/2024,$34.32,9222596,$34.50,$34.60,$34.085
03/13/2024,$34.53,11161940,$34.85,$34.94,$34.34
03/12/2024,$34.60,6893407,$34.85,$34.91,$34.57
03/11/2024,$34.98,7694736,$34.88,$35.24,$34.85
03/08/2024,$34.84,5872796,$34.385,$34.9342,$34.31
03/07/2024,$34.50,6584130,$35.23,$35.24,$34.41
03/06/2024,$35.35,7354968,$35.17,$35.44,$35.15
03/05/2024,$35.13,8928707,$35.202,$35.37,$34.99
03/04/2024,$35.04,8826290,$35.05,$35.28,$34.81
03/01/2024,$35.13,6032444,$35.31,$35.34,$34.975
02/29/2024,$35.28,15251040,$35.61,$35.69,$35.11
02/28/2024,$35.54,4922986,$35.87,$35.89,$35.50
02/27/2024,$35.80,4807487,$36.03,$36.10,$35.58
02/26/2024,$35.96,7033788,$35.90,$36.15,$35.866
02/23/2024,$36.05,6194355,$36.44,$36.5855,$36.03
02/22/2024,$36.41,6661025,$36.08,$36.48,$35.91
02/21/2024,$36.39,9722599,$35.83,$36.41,$35.74
02/20/2024,$35.62,8710405,$35.00,$35.69,$35.00
02/16/2024,$34.81,6404021,$34.91,$35.15,$34.78
02/15/2024,$34.97,10689070,$34.25,$35.17,$34.23
02/14/2024,$34.16,20793770,$34.99,$35.51,$33.67
02/13/2024,$36.13,9869410,$36.43,$36.62,$35.82
02/12/2024,$36.36,9648201,$35.97,$36.40,$35.75
02/09/2024,$35.97,8189336,$36.31,$36.375,$35.80
02/08/2024,$36.47,10685490,$36.44,$36.68,$36.23
02/07/2024,$36.40,7750794,$37.33,$37.37,$36.39
02/06/2024,$37.21,6116063,$37.25,$37.35,$37.05
02/05/2024,$37.22,5800796,$37.52,$37.56,$37.175
02/02/2024,$37.65,5809553,$37.75,$37.91,$37.44
02/01/2024,$37.76,8337669,$37.31,$37.76,$36.77
01/31/2024,$37.13,6270797,$37.35,$37.61,$37.03
01/30/2024,$37.35,5029993,$37.32,$37.46,$37.21
01/29/2024,$37.31,7089439,$37.13,$37.40,$36.97
