Date,Close/Last,Volume,Open,High,Low
11/29/2024,$64.95,5095986,$65.06,$65.28,$64.86
11/27/2024,$65.06,5045026,$65.09,$65.38,$64.96
11/26/2024,$64.88,8706110,$64.965,$65.28,$64.46
11/25/2024,$64.94,10733800,$64.54,$65.10,$64.42
11/22/2024,$64.40,7125277,$64.56,$65.10,$64.03
11/21/2024,$64.79,6971787,$64.43,$64.91,$63.95
11/20/2024,$64.42,5232709,$63.86,$64.51,$63.64
11/19/2024,$63.87,5621715,$63.70,$63.97,$63.40
11/18/2024,$63.84,6983698,$64.67,$64.68,$63.72
11/15/2024,$64.49,7204038,$65.32,$65.34,$63.91
11/14/2024,$65.56,6837737,$66.18,$66.41,$65.475
11/13/2024,$66.00,5389181,$66.05,$66.19,$65.37
11/12/2024,$66.52,6304294,$66.33,$66.74,$65.80
11/11/2024,$66.10,7972393,$65.70,$66.57,$65.65
11/08/2024,$66.20,4864543,$65.72,$66.26,$65.56
11/07/2024,$65.72,6511632,$66.42,$66.58,$65.59
11/06/2024,$66.37,9758623,$69.02,$69.185,$66.12
11/05/2024,$69.05,5383773,$68.37,$69.195,$68.0101
11/04/2024,$68.36,5704387,$68.80,$68.81,$67.75
11/01/2024,$68.51,6470448,$68.76,$68.97,$68.22
10/31/2024,$68.48,7207838,$69.65,$69.85,$68.46
10/30/2024,$69.79,10475180,$68.31,$70.16,$67.80
10/29/2024,$69.15,8407609,$69.25,$69.71,$69.0712
10/28/2024,$69.54,4821898,$69.41,$70.05,$69.02
10/25/2024,$69.23,6176667,$70.05,$70.31,$69.17
10/24/2024,$69.95,4756803,$70.30,$70.80,$69.92
10/23/2024,$70.56,6588680,$70.88,$71.325,$70.515
10/22/2024,$71.35,5687550,$70.25,$71.39,$70.05
10/21/2024,$70.43,4811746,$71.50,$71.82,$70.395
10/18/2024,$71.58,7373977,$71.10,$71.78,$70.92
10/17/2024,$71.12,5208532,$72.15,$72.35,$71.02
10/16/2024,$71.91,4231507,$71.86,$72.06,$71.33
10/15/2024,$71.80,5888611,$70.80,$72.70,$70.73
10/14/2024,$70.53,5143542,$70.53,$70.73,$69.93
10/11/2024,$70.66,4338547,$71.41,$71.41,$70.58
10/10/2024,$71.14,4572292,$71.39,$71.43,$70.745
10/09/2024,$71.05,4317073,$70.80,$71.20,$70.345
10/08/2024,$70.85,4186267,$71.00,$71.17,$70.345
10/07/2024,$71.00,4354569,$71.50,$71.59,$70.80
10/04/2024,$71.51,4379169,$70.95,$71.60,$70.80
10/03/2024,$71.16,4997089,$72.20,$72.20,$71.07
10/02/2024,$72.28,5047618,$72.855,$72.97,$72.015
10/01/2024,$72.99,5307595,$73.66,$73.90,$72.91
09/30/2024,$73.67,5792771,$74.04,$74.36,$73.19
09/27/2024,$74.20,4697065,$74.72,$75.11,$74.11
