Date,Close/Last,Volume,Open,High,Low
11/29/2024,$55.13,3431094,$55.09,$55.50,$54.91
11/27/2024,$55.14,3121012,$54.94,$55.395,$54.84
11/26/2024,$54.83,4411562,$54.98,$55.145,$54.46
11/25/2024,$54.98,6711999,$54.63,$55.51,$54.41
11/22/2024,$54.06,2761627,$54.00,$54.40,$53.875
11/21/2024,$53.98,4846508,$53.60,$54.02,$53.00
11/20/2024,$53.70,3833881,$53.06,$53.78,$52.89
11/19/2024,$53.73,3461045,$52.955,$53.85,$52.66
11/18/2024,$53.27,7255742,$51.92,$53.52,$51.715
11/15/2024,$52.00,10606120,$55.44,$55.50,$51.98
11/14/2024,$55.96,8941240,$55.95,$56.70,$55.85
11/13/2024,$56.38,4526871,$55.61,$56.56,$55.38
11/12/2024,$56.02,7457270,$55.65,$56.39,$55.56
11/11/2024,$55.74,7435487,$54.43,$56.47,$54.40
11/08/2024,$54.14,10426260,$53.21,$55.65,$53.18
11/07/2024,$54.73,11702670,$54.50,$55.345,$54.50
11/06/2024,$54.44,6931144,$54.71,$54.99,$53.675
11/05/2024,$54.11,4650475,$53.98,$54.54,$53.76
11/04/2024,$54.06,8702997,$52.27,$54.18,$52.14
11/01/2024,$52.30,6325111,$52.50,$53.065,$52.08
10/31/2024,$52.68,4625426,$52.65,$53.18,$52.4806
10/30/2024,$52.60,6892139,$52.25,$53.1325,$52.06
10/29/2024,$52.48,6924235,$52.70,$53.5085,$52.05
10/28/2024,$53.10,3208657,$53.44,$53.63,$52.88
10/25/2024,$53.37,3613463,$53.76,$53.93,$53.29
10/24/2024,$53.44,3872689,$53.43,$53.575,$52.54
10/23/2024,$53.56,2549423,$53.47,$53.79,$53.10
10/22/2024,$53.60,2317260,$53.73,$53.84,$53.25
10/21/2024,$53.77,4279818,$54.06,$54.54,$53.70
10/18/2024,$54.05,8917610,$53.44,$54.205,$53.20
10/17/2024,$53.44,5872608,$53.70,$53.74,$53.115
10/16/2024,$53.58,6386042,$52.48,$53.645,$52.23
10/15/2024,$52.62,7999719,$51.57,$52.71,$51.36
10/14/2024,$51.68,5564275,$51.59,$51.74,$51.12
10/11/2024,$51.31,6945656,$50.82,$51.98,$50.67
10/10/2024,$50.77,3906574,$50.00,$50.80,$49.77
10/09/2024,$49.77,3122845,$49.62,$50.075,$49.37
10/08/2024,$49.49,3526191,$49.24,$49.675,$49.09
10/07/2024,$49.24,7559117,$50.63,$50.63,$48.88
10/04/2024,$50.95,5015095,$50.31,$51.01,$50.04
10/03/2024,$50.31,4155993,$50.57,$50.68,$49.985
10/02/2024,$50.94,6588935,$51.53,$51.53,$50.74
10/01/2024,$51.59,6838735,$52.17,$52.31,$51.36
09/30/2024,$52.17,5971274,$52.78,$52.94,$52.01
09/27/2024,$52.46,4434576,$52.49,$52.885,$52.29
09/26/2024,$52.01,7817553,$51.82,$52.10,$51.255
09/25/2024,$51.67,4151330,$52.57,$52.74,$51.635
09/24/2024,$52.45,5625290,$52.12,$52.785,$51.86
09/23/2024,$52.33,5556239,$51.19,$52.435,$51.00
09/20/2024,$51.18,15195590,$51.70,$51.70,$50.99
09/19/2024,$51.83,6642671,$52.71,$52.76,$51.70
09/18/2024,$52.35,7016766,$51.22,$52.51,$51.08
09/17/2024,$51.07,7146981,$50.73,$51.12,$50.38
09/16/2024,$50.75,4106946,$51.13,$51.31,$50.46
09/13/2024,$50.83,3816007,$49.97,$50.895,$49.73
09/12/2024,$49.91,4102366,$49.61,$49.96,$48.645
09/11/2024,$49.65,5225753,$50.36,$50.41,$49.17
09/10/2024,$50.33,5372815,$50.83,$50.83,$49.995
09/09/2024,$50.74,9188021,$48.66,$51.02,$48.62
09/06/2024,$48.65,5847890,$48.06,$48.85,$48.06
09/05/2024,$48.22,3838822,$48.27,$48.54,$47.77
09/04/2024,$48.38,4784009,$48.22,$48.735,$48.04
09/03/2024,$48.30,7421980,$46.94,$48.385,$46.85
08/30/2024,$47.13,5420830,$47.12,$47.20,$46.59
08/29/2024,$47.00,6752133,$47.36,$47.50,$46.91
08/28/2024,$47.05,4447412,$47.61,$47.70,$46.80
08/27/2024,$47.59,3836856,$47.28,$47.64,$47.04
08/26/2024,$47.28,3868610,$47.00,$47.68,$46.78
08/23/2024,$46.65,4507863,$46.60,$46.84,$46.40
08/22/2024,$46.48,3309180,$47.23,$47.23,$46.385
08/21/2024,$47.01,5239227,$47.01,$47.23,$46.62
08/20/2024,$46.71,7071063,$46.92,$47.12,$46.195
08/19/2024,$46.60,5206308,$46.79,$46.94,$46.34
08/16/2024,$46.74,4611563,$46.92,$47.14,$46.325
08/15/2024,$46.99,6680510,$46.61,$47.54,$46.545
08/14/2024,$46.24,7164685,$46.28,$46.67,$45.9805
08/13/2024,$46.50,6554617,$46.00,$46.785,$46.00
08/12/2024,$45.89,7644005,$46.02,$46.57,$45.86
08/09/2024,$46.06,14618890,$45.29,$46.32,$45.19
08/08/2024,$45.005,27323060,$44.88,$45.54,$43.32
08/07/2024,$50.53,7295501,$50.84,$51.55,$50.46
08/06/2024,$50.80,5146034,$50.59,$51.79,$50.33
08/05/2024,$50.47,5728989,$52.02,$52.40,$50.185
08/02/2024,$51.61,6058471,$52.12,$52.40,$50.42
08/01/2024,$51.38,4815997,$51.43,$51.70,$51.105
07/31/2024,$51.45,6978179,$51.82,$52.23,$51.33
07/30/2024,$51.57,4024771,$51.24,$51.74,$50.89
07/29/2024,$51.27,4880218,$51.00,$51.685,$50.58
07/26/2024,$51.00,3803316,$50.28,$51.03,$50.07
07/25/2024,$50.10,6462486,$49.83,$50.34,$49.4563
07/24/2024,$49.59,7109806,$50.26,$50.45,$49.38
07/23/2024,$50.31,6159654,$50.48,$50.78,$50.20
07/22/2024,$50.36,5654695,$50.82,$50.91,$49.63
07/19/2024,$50.89,4851035,$51.09,$51.18,$50.475
07/18/2024,$51.01,6396188,$50.55,$51.67,$50.48
07/17/2024,$50.72,5366379,$50.97,$51.48,$50.57
07/16/2024,$50.49,4105951,$49.81,$50.59,$49.60
07/15/2024,$49.86,5467545,$50.51,$50.69,$49.685
07/12/2024,$50.83,5274210,$50.50,$51.14,$50.48
07/11/2024,$50.28,6504077,$49.74,$50.785,$49.68
07/10/2024,$49.85,4938316,$49.83,$49.89,$49.205
07/09/2024,$49.80,5851801,$50.19,$50.20,$49.65
07/08/2024,$50.18,6863264,$49.59,$50.29,$49.465
07/05/2024,$49.75,6076772,$49.09,$49.83,$48.97
07/03/2024,$49.16,4172739,$49.20,$49.66,$49.06
07/02/2024,$49.34,6283212,$49.97,$49.97,$49.13
07/01/2024,$49.90,4963801,$50.04,$50.23,$49.58
06/28/2024,$49.95,11843340,$50.40,$50.59,$49.90
06/27/2024,$50.57,4226788,$50.49,$50.71,$50.27
06/26/2024,$50.46,6302747,$49.65,$50.89,$49.55
06/25/2024,$50.14,7534408,$49.51,$50.35,$49.50
06/24/2024,$49.49,9290045,$49.02,$49.79,$48.91
