Date,Close/Last,Volume,Open,High,Low
11/29/2024,$51.61,556641,$50.69,$51.66,$50.5949
11/27/2024,$50.48,608803,$50.55,$51.10,$50.20
11/26/2024,$50.73,832675,$50.00,$50.93,$49.80
11/25/2024,$50.31,1152202,$52.03,$52.185,$50.10
11/22/2024,$51.71,620458,$52.50,$52.60,$51.51
11/21/2024,$52.25,577129,$52.34,$52.57,$51.58
11/20/2024,$52.21,791142,$52.02,$52.75,$51.9504
11/19/2024,$52.21,643989,$51.38,$52.77,$51.30
11/18/2024,$51.70,694688,$51.61,$52.08,$50.65
11/15/2024,$51.34,1154875,$50.45,$51.89,$50.13
11/14/2024,$50.33,1068991,$52.34,$52.83,$49.68
11/13/2024,$52.72,634227,$53.37,$53.70,$52.52
11/12/2024,$53.27,790293,$53.47,$54.23,$53.15
11/11/2024,$53.27,800605,$54.06,$54.45,$52.87
11/08/2024,$53.82,661636,$52.60,$54.17,$52.40
11/07/2024,$52.35,1082061,$52.89,$52.98,$52.10
11/06/2024,$52.84,1115148,$54.76,$55.50,$52.57
11/05/2024,$53.78,1110078,$51.25,$53.91,$51.00
11/04/2024,$51.25,1256377,$50.29,$51.30,$49.91
11/01/2024,$50.17,1827521,$48.98,$51.21,$48.64
10/31/2024,$48.44,1822534,$49.38,$50.14,$46.36
10/30/2024,$47.69,1335442,$48.12,$48.37,$47.326
10/29/2024,$48.09,1013081,$47.10,$48.24,$46.79
10/28/2024,$47.45,1397171,$46.47,$48.30,$46.27
10/25/2024,$46.21,550828,$46.57,$46.89,$46.155
10/24/2024,$46.55,873775,$45.94,$46.59,$45.73
10/23/2024,$45.84,852624,$44.54,$45.99,$43.40
10/22/2024,$44.74,730582,$44.57,$44.84,$44.20
10/21/2024,$44.65,596842,$45.49,$45.6999,$44.60
10/18/2024,$45.39,640478,$45.30,$45.64,$44.88
10/17/2024,$45.44,963371,$45.41,$45.65,$44.47
10/16/2024,$45.56,1330346,$45.45,$46.735,$44.831
10/15/2024,$45.27,1252316,$44.94,$45.67,$44.82
10/14/2024,$45.12,818351,$44.61,$45.37,$44.335
10/11/2024,$44.58,956893,$44.85,$45.3725,$44.20
10/10/2024,$44.77,1225238,$45.66,$45.84,$44.12
10/09/2024,$45.61,1005136,$46.12,$46.67,$45.535
10/08/2024,$46.12,1261772,$45.37,$47.20,$45.37
10/07/2024,$45.51,866435,$44.68,$45.55,$44.37
10/04/2024,$44.60,1641559,$43.59,$44.65,$43.405
10/03/2024,$43.57,2807090,$47.83,$48.065,$43.525
10/02/2024,$47.86,2354908,$48.29,$49.07,$47.51
10/01/2024,$48.12,2871423,$45.99,$48.47,$45.7501
09/30/2024,$46.05,2256686,$44.30,$46.2799,$43.8763
09/27/2024,$44.06,1355552,$43.06,$44.11,$42.98
09/26/2024,$43.10,3548327,$42.44,$44.22,$42.25
09/25/2024,$42.63,4193169,$43.00,$43.14,$41.83
09/24/2024,$43.07,1244767,$43.01,$43.30,$42.6101
09/23/2024,$43.01,2395252,$42.00,$43.08,$41.86
09/20/2024,$41.77,7167284,$43.68,$43.79,$41.63
09/19/2024,$43.25,1700565,$42.42,$43.30,$41.84
09/18/2024,$42.16,3007687,$41.44,$43.05,$41.44
09/17/2024,$41.47,1436384,$41.27,$42.46,$41.17
09/16/2024,$41.05,2116340,$40.50,$41.3793,$40.26
09/13/2024,$40.37,1647883,$41.36,$41.60,$40.09
09/12/2024,$41.27,1614654,$42.00,$42.06,$40.95
09/11/2024,$42.01,1575996,$43.16,$43.25,$41.85
09/10/2024,$43.05,1586475,$45.12,$45.36,$42.85
09/09/2024,$45.12,1219418,$45.46,$45.915,$45.02
09/06/2024,$45.27,870314,$45.44,$46.02,$45.12
09/05/2024,$45.48,660411,$46.09,$46.13,$45.385
09/04/2024,$46.20,803969,$45.69,$46.74,$45.39
09/03/2024,$45.81,981598,$46.94,$47.19,$45.58
08/30/2024,$46.58,1105871,$46.66,$47.44,$46.26
08/29/2024,$46.51,1037742,$45.91,$46.702,$45.56
08/28/2024,$45.69,846322,$44.74,$45.76,$44.50
08/27/2024,$44.73,715651,$45.18,$45.29,$44.54
08/26/2024,$45.13,633770,$44.79,$45.43,$44.79
08/23/2024,$44.67,548766,$43.97,$44.72,$43.66
