Date,Close/Last,Volume,Open,High,Low
11/29/2024,$9.02,10056960,$9.08,$9.19,$8.9818
11/27/2024,$9.06,13827930,$8.77,$9.08,$8.77
11/26/2024,$8.73,17438130,$8.955,$8.97,$8.655
11/25/2024,$9.06,29645070,$8.735,$9.15,$8.69
11/22/2024,$8.66,20106590,$8.33,$8.685,$8.21
11/21/2024,$8.30,19346760,$8.26,$8.33,$8.08
11/20/2024,$8.24,25808910,$8.24,$8.33,$8.11
11/19/2024,$8.29,22487150,$8.52,$8.68,$8.25
11/18/2024,$8.66,25253070,$8.25,$8.95,$8.20
11/15/2024,$8.48,22188370,$8.89,$8.90,$8.46
11/14/2024,$8.81,19596660,$9.09,$9.12,$8.745
11/13/2024,$9.03,16755990,$9.03,$9.25,$8.98
11/12/2024,$9.01,22423540,$9.25,$9.38,$8.91
11/11/2024,$9.39,20371580,$9.15,$9.555,$9.035
11/08/2024,$9.07,21096260,$9.25,$9.39,$9.05
11/07/2024,$9.27,19195100,$9.38,$9.59,$9.25
11/06/2024,$9.23,21728940,$9.83,$9.85,$9.21
11/05/2024,$9.62,18324660,$9.29,$9.62,$9.17
11/04/2024,$9.33,12252940,$9.51,$9.69,$9.305
11/01/2024,$9.46,12190100,$9.56,$9.57,$9.355
10/31/2024,$9.46,17058590,$9.24,$9.50,$9.08
10/30/2024,$9.24,13503980,$9.29,$9.445,$9.23
10/29/2024,$9.35,17788480,$9.34,$9.67,$9.26
10/28/2024,$9.44,16275170,$9.38,$9.548,$9.285
10/25/2024,$9.26,18012350,$9.37,$9.575,$9.25
10/24/2024,$9.34,19522080,$9.39,$9.585,$9.27
10/23/2024,$9.35,26213910,$9.68,$9.731,$9.26
10/22/2024,$9.73,37311480,$10.40,$10.54,$9.62
10/21/2024,$10.45,19985300,$10.78,$10.80,$10.435
10/18/2024,$10.79,21827280,$10.67,$10.89,$10.3215
10/17/2024,$10.66,32179880,$10.97,$11.06,$10.34
10/16/2024,$11.07,49804600,$10.47,$11.11,$10.25
10/15/2024,$10.42,88522390,$9.60,$10.64,$9.60
10/14/2024,$9.00,33622220,$9.28,$9.45,$8.915
10/11/2024,$9.21,19873920,$8.90,$9.28,$8.81
10/10/2024,$9.03,15501410,$8.90,$9.04,$8.81
10/09/2024,$8.91,18528050,$9.035,$9.17,$8.87
10/08/2024,$9.08,18094760,$8.82,$9.09,$8.75
10/07/2024,$8.87,14243670,$8.77,$8.90,$8.67
10/04/2024,$8.72,16142070,$8.85,$8.93,$8.71
10/03/2024,$8.67,13957560,$8.63,$8.693,$8.52
10/02/2024,$8.70,15702920,$8.76,$9.04,$8.69
10/01/2024,$8.70,19936900,$8.95,$9.03,$8.595
09/30/2024,$8.96,20257530,$9.13,$9.29,$8.94
09/27/2024,$9.06,27385330,$8.61,$9.20,$8.60
09/26/2024,$8.52,19909500,$8.33,$8.59,$8.30
09/25/2024,$8.25,22620850,$8.50,$8.525,$8.22
09/24/2024,$8.53,17660830,$8.60,$8.74,$8.51
09/23/2024,$8.56,15926210,$8.67,$8.78,$8.55
09/20/2024,$8.71,48982750,$8.92,$8.9599,$8.63
09/19/2024,$8.98,14688790,$9.18,$9.29,$8.955
09/18/2024,$9.01,13956330,$9.03,$9.30,$8.965
09/17/2024,$9.06,17276130,$9.06,$9.32,$9.03
09/16/2024,$9.02,20637940,$9.25,$9.31,$8.86
09/13/2024,$9.21,18163470,$8.958,$9.30,$8.84
09/12/2024,$8.84,15954780,$8.77,$9.03,$8.75
09/11/2024,$8.74,20591970,$8.82,$8.82,$8.56
09/10/2024,$8.88,13420730,$8.92,$8.95,$8.71
09/09/2024,$8.91,20074110,$8.81,$9.10,$8.5899
09/06/2024,$8.77,22946680,$8.77,$9.05,$8.632
09/05/2024,$8.74,27719360,$8.72,$8.85,$8.46
09/04/2024,$8.65,24526240,$8.841,$9.07,$8.62
09/03/2024,$8.97,27707290,$9.205,$9.22,$8.90
08/30/2024,$9.25,19590440,$9.30,$9.49,$9.14
08/29/2024,$9.25,24711860,$9.365,$9.405,$9.03
08/28/2024,$9.38,24787050,$9.45,$9.48,$9.14
08/27/2024,$9.45,45243600,$10.33,$10.37,$9.38
08/26/2024,$10.38,15856620,$10.35,$10.60,$10.275
08/23/2024,$10.30,18159310,$10.05,$10.39,$10.03
08/22/2024,$10.03,17203890,$10.32,$10.35,$10.02
08/21/2024,$10.39,15821110,$10.65,$10.69,$10.30
08/20/2024,$10.73,12712370,$10.83,$10.895,$10.68
08/19/2024,$10.85,12516560,$10.95,$11.065,$10.78
08/16/2024,$10.92,11044160,$10.80,$11.14,$10.795
08/15/2024,$10.82,9061912,$10.61,$10.85,$10.60
08/14/2024,$10.43,8272360,$10.60,$10.66,$10.415
08/13/2024,$10.56,10210770,$10.23,$10.58,$10.20
08/12/2024,$10.20,14091600,$10.71,$10.73,$10.19
08/09/2024,$10.68,9668368,$10.83,$10.86,$10.63
08/08/2024,$10.86,10187100,$10.84,$11.05,$10.675
08/07/2024,$10.78,14128690,$11.00,$11.0899,$10.71
08/06/2024,$10.91,13152180,$10.72,$11.23,$10.6549
08/05/2024,$10.72,22610410,$11.00,$11.0993,$10.62
08/02/2024,$11.48,14740080,$11.82,$11.88,$11.29
08/01/2024,$11.81,12864560,$11.86,$11.91,$11.56
07/31/2024,$11.87,21009560,$12.138,$12.24,$11.85
07/30/2024,$12.16,13183330,$11.94,$12.29,$11.805
07/29/2024,$11.94,15456690,$11.85,$12.06,$11.69
07/26/2024,$11.82,14503090,$11.62,$11.83,$11.37
07/25/2024,$11.51,16929000,$11.11,$11.69,$11.035
07/24/2024,$11.16,11263100,$11.24,$11.385,$11.12
07/23/2024,$11.23,14323440,$11.13,$11.34,$10.98
07/22/2024,$11.30,22281400,$10.89,$11.32,$10.80
07/19/2024,$11.01,80864510,$11.31,$11.32,$10.98
07/18/2024,$11.36,19829430,$11.78,$12.018,$11.34
07/17/2024,$11.85,17910980,$11.71,$11.99,$11.67
07/16/2024,$11.73,23536080,$11.72,$11.98,$11.565
07/15/2024,$11.70,20644660,$11.48,$11.755,$11.32
07/12/2024,$11.50,17210230,$11.52,$11.6158,$11.29
07/11/2024,$11.43,21369880,$11.40,$11.67,$11.34
07/10/2024,$11.26,20220250,$10.835,$11.31,$10.76
07/09/2024,$10.79,19241840,$10.82,$10.97,$10.69
07/08/2024,$10.82,27034170,$11.28,$11.28,$10.77
07/05/2024,$11.26,29753540,$11.12,$11.29,$10.85
07/03/2024,$11.10,26845520,$11.55,$11.57,$11.10
07/02/2024,$11.57,25951870,$11.53,$11.70,$11.4042
07/01/2024,$11.58,35353840,$12.09,$12.215,$11.48
06/28/2024,$12.095,54346460,$12.02,$12.69,$11.96
06/27/2024,$12.19,132813000,$12.56,$12.785,$11.68
06/26/2024,$15.66,12933390,$15.64,$15.83,$15.47
06/25/2024,$15.70,10336610,$15.80,$16.00,$15.535
06/24/2024,$15.91,13632530,$15.89,$16.25,$15.89
06/21/2024,$15.97,18512320,$15.90,$16.04,$15.75
06/20/2024,$15.87,13146860,$16.09,$16.175,$15.745
06/18/2024,$16.11,19148790,$15.14,$16.17,$15.14
06/17/2024,$15.15,12651760,$15.50,$15.55,$15.01
06/14/2024,$15.55,9046094,$15.37,$15.56,$15.155
06/13/2024,$15.45,7908204,$15.50,$15.55,$15.21
06/12/2024,$15.54,9292181,$16.19,$16.24,$15.49
06/11/2024,$15.93,7048382,$15.88,$16.01,$15.78
06/10/2024,$15.94,9607627,$15.76,$15.99,$15.61
06/07/2024,$15.84,8431777,$15.74,$15.98,$15.69
06/06/2024,$15.86,7163328,$15.79,$15.98,$15.68
06/05/2024,$15.94,8948954,$16.10,$16.10,$15.795
06/04/2024,$16.11,8055570,$15.88,$16.155,$15.70
06/03/2024,$15.92,14888570,$16.26,$16.27,$15.73
05/31/2024,$16.22,29415230,$15.35,$16.34,$15.34
05/30/2024,$15.39,12134350,$14.92,$15.56,$14.875
05/29/2024,$14.89,21387710,$15.192,$15.245,$14.62
05/28/2024,$15.38,20137090,$16.03,$16.04,$15.34
05/24/2024,$16.03,10555520,$16.05,$16.215,$15.975
05/23/2024,$15.95,16012310,$16.40,$16.40,$15.89
05/22/2024,$16.47,12099510,$16.55,$16.74,$16.31
05/21/2024,$16.68,25075350,$17.75,$17.81,$16.55
05/20/2024,$17.82,6923949,$17.97,$18.17,$17.76
05/17/2024,$18.18,7482647,$18.34,$18.45,$18.075
05/16/2024,$18.34,7256958,$17.98,$18.355,$17.83
05/15/2024,$17.89,7951140,$18.41,$18.53,$17.80
05/14/2024,$18.35,10081910,$18.54,$18.83,$18.09
05/13/2024,$18.12,17992970,$17.25,$18.65,$17.225
05/10/2024,$17.19,8742861,$17.26,$17.42,$17.12
05/09/2024,$17.25,6182020,$17.25,$17.35,$17.13
05/08/2024,$17.23,7197816,$17.25,$17.37,$17.2137
05/07/2024,$17.35,8930809,$17.28,$17.57,$17.25
05/06/2024,$17.26,11521530,$17.84,$17.925,$17.24
05/03/2024,$17.81,7528623,$17.76,$18.01,$17.68
05/02/2024,$17.53,7865018,$17.50,$17.675,$17.28
05/01/2024,$17.34,10838830,$17.414,$17.6801,$17.25
04/30/2024,$17.73,8256751,$17.89,$17.91,$17.495
04/29/2024,$18.02,6688832,$17.74,$18.03,$17.74
04/26/2024,$17.70,6592036,$17.50,$17.95,$17.49
04/25/2024,$17.60,7865519,$17.74,$17.89,$17.53
04/24/2024,$17.81,10269710,$17.81,$17.98,$17.62
04/23/2024,$18.05,7297016,$18.13,$18.46,$18.03
04/22/2024,$18.22,7640578,$18.33,$18.35,$18.00
04/19/2024,$18.24,10870860,$17.58,$18.28,$17.56
04/18/2024,$17.59,6754772,$17.68,$17.73,$17.51
04/17/2024,$17.63,7699264,$17.77,$17.86,$17.53
04/16/2024,$17.64,8548380,$17.66,$17.825,$17.54
04/15/2024,$17.65,10501960,$17.90,$18.17,$17.535
04/12/2024,$17.85,12537840,$17.94,$17.98,$17.70
04/11/2024,$18.08,13673970,$18.05,$18.1799,$17.76
04/10/2024,$18.02,24397410,$18.78,$18.79,$17.86
04/09/2024,$19.18,11106990,$19.22,$19.38,$19.065
04/08/2024,$19.16,11578430,$19.20,$19.48,$19.035
04/05/2024,$19.13,10007880,$18.81,$19.24,$18.625
04/04/2024,$18.98,14574400,$18.59,$19.08,$18.5203
04/03/2024,$18.50,21358520,$18.75,$19.17,$18.49
04/02/2024,$18.72,28791390,$19.55,$19.62,$18.665
04/01/2024,$19.54,36186110,$21.57,$21.74,$19.50
03/28/2024,$21.69,32886760,$20.60,$22.05,$20.55
03/27/2024,$21.02,12394430,$20.62,$21.09,$20.58
03/26/2024,$20.51,10183310,$20.30,$20.65,$20.2907
03/25/2024,$20.63,10464140,$20.665,$21.06,$20.565
03/22/2024,$20.58,8225702,$20.86,$21.045,$20.57
03/21/2024,$20.80,7845617,$21.01,$21.15,$20.72
03/20/2024,$21.09,7706238,$20.63,$21.1499,$20.55
03/19/2024,$20.71,8648456,$20.55,$20.92,$20.55
03/18/2024,$20.69,7081082,$20.68,$20.94,$20.53
03/15/2024,$20.82,15864920,$20.57,$21.0899,$20.51
03/14/2024,$20.62,10760860,$20.91,$21.06,$20.46
03/13/2024,$21.05,8150994,$20.92,$21.42,$20.912
03/12/2024,$21.28,6887652,$21.675,$21.74,$21.17
03/11/2024,$21.54,9877592,$21.13,$21.80,$21.07
03/08/2024,$21.16,9319491,$21.01,$21.33,$20.83
03/07/2024,$20.94,6352132,$21.01,$21.23,$20.7801
03/06/2024,$20.89,7359274,$21.12,$21.176,$20.76
03/05/2024,$21.01,10501130,$20.52,$21.22,$20.42
03/04/2024,$20.58,10809020,$21.24,$21.38,$20.55
03/01/2024,$21.49,7565813,$21.19,$21.62,$20.91
02/29/2024,$21.26,11555020,$21.28,$21.395,$21.06
02/28/2024,$21.16,8841208,$21.55,$21.68,$21.08
02/27/2024,$21.63,9054971,$21.09,$21.63,$21.0102
02/26/2024,$20.99,13650240,$21.58,$21.58,$20.96
02/23/2024,$21.73,31886670,$21.50,$21.93,$21.405
02/22/2024,$21.57,11972550,$21.62,$21.65,$21.20
02/21/2024,$21.75,15247370,$21.70,$21.87,$21.40
02/20/2024,$22.31,10856520,$21.772,$22.47,$21.755
02/16/2024,$21.98,10218330,$21.99,$22.11,$21.78
02/15/2024,$22.29,8139306,$21.62,$22.38,$21.62
02/14/2024,$21.54,9077466,$21.60,$21.93,$21.42
02/13/2024,$21.55,14710900,$22.545,$22.545,$21.34
02/12/2024,$22.63,8902987,$22.35,$22.96,$22.25
02/09/2024,$22.24,8947670,$22.52,$22.625,$22.155
02/08/2024,$22.54,8030896,$22.81,$22.92,$22.47
02/07/2024,$22.81,9146256,$23.25,$23.765,$22.78
02/06/2024,$23.11,10286270,$22.12,$23.16,$22.01
02/05/2024,$22.16,12111060,$22.456,$22.515,$21.795
02/02/2024,$22.64,11317630,$23.04,$23.07,$22.47
02/01/2024,$23.25,14326550,$22.71,$23.35,$22.29
01/31/2024,$22.57,60298070,$22.84,$23.32,$22.47
01/30/2024,$22.76,11689080,$22.58,$23.00,$22.415
01/29/2024,$22.72,12197390,$22.85,$22.86,$22.33
01/26/2024,$22.85,10150180,$23.17,$23.425,$22.78
01/25/2024,$23.11,14707670,$22.52,$23.12,$22.07
01/24/2024,$22.37,9246364,$22.88,$22.935,$22.29
01/23/2024,$22.58,10346830,$22.74,$22.99,$22.235
01/22/2024,$22.56,10663610,$22.01,$22.62,$21.76
01/19/2024,$22.00,13817110,$22.06,$22.17,$21.58
01/18/2024,$22.15,12751550,$22.09,$22.20,$21.72
01/17/2024,$22.17,13067860,$22.63,$22.79,$22.025
01/16/2024,$22.87,13652580,$23.17,$23.215,$22.68
01/12/2024,$23.27,17446910,$23.97,$24.20,$23.175
01/11/2024,$24.03,15428080,$24.50,$24.93,$23.9805
01/10/2024,$24.68,15365220,$25.31,$25.33,$24.44
01/09/2024,$25.36,17941740,$25.50,$25.63,$24.83
01/08/2024,$25.63,24038240,$24.77,$25.87,$24.50
01/05/2024,$25.01,25916700,$24.16,$25.01,$23.52
01/04/2024,$24.26,60606680,$24.19,$24.30,$22.58
01/03/2024,$25.57,21928220,$26.38,$26.405,$25.47
01/02/2024,$26.65,12587840,$26.065,$27.05,$25.91
12/29/2023,$26.11,10859220,$26.44,$26.625,$25.75
12/28/2023,$26.60,7899906,$26.59,$27.02,$26.385
12/27/2023,$26.64,8265490,$26.72,$26.76,$26.455
12/26/2023,$26.61,10181060,$26.28,$26.73,$26.1985
12/22/2023,$26.22,9777115,$26.04,$26.57,$25.80
12/21/2023,$26.06,10668460,$25.57,$26.175,$25.44
12/20/2023,$25.40,10335660,$26.01,$26.23,$25.39
12/19/2023,$26.03,12503510,$25.00,$26.08,$24.97
12/18/2023,$24.98,11156160,$25.26,$25.305,$24.7401
12/15/2023,$25.20,22317180,$25.41,$25.67,$24.9312
12/14/2023,$25.14,23083550,$25.00,$25.865,$24.94
12/13/2023,$24.63,19152320,$22.88,$24.66,$22.62
12/12/2023,$22.93,18757030,$23.00,$23.67,$22.595
12/11/2023,$23.00,18268010,$23.43,$23.67,$22.50
12/08/2023,$23.16,17563850,$22.95,$23.42,$22.7213
12/07/2023,$22.91,27065920,$21.50,$23.26,$21.32
12/06/2023,$21.38,14124840,$20.58,$21.66,$20.40
12/05/2023,$20.51,8932154,$20.73,$20.825,$20.40
12/04/2023,$20.79,9655427,$20.72,$21.0799,$20.52
12/01/2023,$20.79,12358070,$19.95,$20.82,$19.7501
11/30/2023,$19.94,12940850,$19.99,$20.11,$19.6839
11/29/2023,$19.98,11255180,$20.03,$20.47,$19.92
