Date,Close/Last,Volume,Open,High,Low
11/29/2024,$22.65,2770625,$22.58,$22.68,$22.46
11/27/2024,$22.52,4679593,$22.54,$23.14,$22.36
11/26/2024,$22.52,4680421,$22.76,$22.835,$22.245
11/25/2024,$22.67,7440440,$22.79,$22.98,$22.435
11/22/2024,$22.77,12821090,$22.29,$22.99,$22.265
11/21/2024,$22.44,5505244,$22.27,$22.59,$22.2102
11/20/2024,$22.13,4697721,$21.95,$22.44,$21.95
11/19/2024,$21.92,7203514,$22.26,$22.48,$21.89
11/18/2024,$22.46,5570361,$22.64,$22.92,$22.34
11/15/2024,$22.38,7335787,$22.70,$23.205,$22.24
11/14/2024,$22.60,7415961,$22.32,$22.65,$22.12
11/13/2024,$22.02,6715047,$21.90,$22.265,$21.36
11/12/2024,$21.87,6880686,$22.18,$22.55,$21.85
11/11/2024,$22.17,8421363,$21.67,$22.295,$21.38
11/08/2024,$21.77,11740010,$21.97,$22.25,$21.15
11/07/2024,$21.93,20140770,$24.85,$24.89,$21.91
11/06/2024,$24.73,9324559,$23.88,$24.945,$23.69
11/05/2024,$23.57,4792231,$23.73,$23.84,$23.38
11/04/2024,$23.54,4859722,$23.38,$23.78,$23.25
11/01/2024,$23.09,5213460,$23.75,$23.98,$22.93
10/31/2024,$23.60,5569498,$23.66,$23.91,$23.44
10/30/2024,$23.47,5116654,$23.53,$23.9096,$23.35
10/29/2024,$23.31,4844174,$23.70,$23.825,$23.16
10/28/2024,$23.70,5675236,$23.80,$24.14,$23.645
10/25/2024,$24.82,4566828,$24.91,$25.06,$24.55
10/24/2024,$24.67,3090950,$24.81,$24.82,$24.39
10/23/2024,$24.49,5748117,$25.03,$25.0947,$24.185
10/22/2024,$25.18,3616322,$25.05,$25.40,$24.85
10/21/2024,$25.11,4432838,$25.45,$25.75,$25.07
10/18/2024,$25.16,4528145,$24.98,$25.185,$24.665
10/17/2024,$24.92,3817033,$24.71,$25.01,$24.60
10/16/2024,$24.80,4495871,$24.95,$25.12,$24.6938
10/15/2024,$24.85,8376960,$25.69,$25.695,$24.80
10/14/2024,$26.70,3769193,$26.80,$26.98,$26.54
10/11/2024,$27.07,4185090,$26.75,$27.22,$26.56
10/10/2024,$26.86,3636102,$26.54,$27.00,$26.34
10/09/2024,$26.33,4144024,$25.89,$26.44,$25.69
10/08/2024,$26.26,5100887,$26.259,$26.38,$25.47
10/07/2024,$26.97,5725818,$27.08,$27.48,$26.865
10/04/2024,$26.89,6621068,$26.99,$27.16,$26.47
10/03/2024,$26.53,6452189,$25.84,$26.76,$25.605
10/02/2024,$25.76,7116720,$26.29,$26.41,$25.44
10/01/2024,$25.66,11307480,$24.21,$25.98,$24.10
