Date,Close/Last,Volume,Open,High,Low
11/29/2024,$127.52,382804,$126.43,$128.845,$126.43
11/27/2024,$126.43,715785,$126.81,$129.77,$126.24
11/26/2024,$128.01,934063,$130.91,$130.91,$126.90
11/25/2024,$130.44,4467033,$134.00,$134.09,$129.30
11/22/2024,$134.43,1044870,$132.29,$134.54,$131.0102
11/21/2024,$132.36,961894,$131.00,$132.95,$130.2426
11/20/2024,$129.84,859455,$128.08,$130.099,$127.65
11/19/2024,$127.97,715083,$129.23,$130.60,$127.665
11/18/2024,$130.33,820095,$128.75,$131.44,$128.435
11/15/2024,$127.28,882165,$130.89,$132.26,$126.58
11/14/2024,$130.89,671188,$129.75,$131.05,$129.39
11/13/2024,$129.05,699861,$128.68,$129.57,$126.74
11/12/2024,$128.60,791027,$131.77,$132.90,$128.36
11/11/2024,$131.67,912762,$131.52,$133.0398,$130.30
11/08/2024,$132.01,812293,$131.93,$132.535,$130.56
11/07/2024,$132.86,1425877,$131.96,$136.379,$131.44
11/06/2024,$131.96,1987559,$129.96,$132.68,$129.4995
11/05/2024,$126.64,579916,$125.53,$126.75,$124.46
11/04/2024,$125.27,940076,$124.52,$126.2607,$124.2155
11/01/2024,$123.80,1067830,$125.79,$126.85,$123.30
10/31/2024,$125.10,691907,$127.18,$127.52,$125.05
10/30/2024,$126.32,610815,$126.46,$128.45,$125.68
10/29/2024,$125.97,720378,$126.54,$126.97,$124.59
10/28/2024,$126.42,706648,$125.16,$127.015,$124.50
10/25/2024,$128.85,854598,$128.83,$129.405,$127.31
10/24/2024,$127.67,669947,$129.42,$129.98,$126.855
10/23/2024,$128.50,393302,$130.00,$130.45,$127.6501
10/22/2024,$129.99,667074,$130.56,$131.50,$129.14
10/21/2024,$129.94,836110,$130.63,$132.17,$128.465
10/18/2024,$129.98,815115,$130.53,$131.47,$128.995
10/17/2024,$130.58,741814,$128.41,$131.12,$127.85
10/16/2024,$128.35,735157,$127.54,$128.85,$127.43
10/15/2024,$126.50,1258584,$129.07,$129.55,$126.38
10/14/2024,$132.37,516545,$132.91,$133.735,$131.73
10/11/2024,$133.71,748086,$133.48,$135.05,$133.34
10/10/2024,$134.15,610255,$133.40,$134.76,$132.3639
10/09/2024,$133.25,587269,$131.52,$133.52,$131.01
10/08/2024,$133.35,693449,$135.32,$135.62,$132.285
10/07/2024,$137.78,913909,$137.08,$139.26,$136.45
10/04/2024,$136.45,570389,$136.69,$137.88,$135.02
10/03/2024,$134.70,816600,$131.36,$134.865,$130.16
10/02/2024,$130.87,685402,$133.50,$133.50,$130.01
10/01/2024,$130.59,853389,$129.16,$133.00,$128.25
09/30/2024,$130.23,906409,$130.05,$131.56,$128.90
09/27/2024,$130.80,888565,$128.86,$131.169,$128.4282
09/26/2024,$127.41,1085692,$130.15,$131.52,$126.965
09/25/2024,$132.82,924304,$134.35,$134.83,$131.83
09/24/2024,$134.80,888513,$139.07,$139.28,$134.73
09/23/2024,$137.30,599845,$137.76,$140.155,$136.41
09/20/2024,$136.73,2391922,$137.18,$137.47,$134.88
09/19/2024,$136.34,630643,$139.14,$139.25,$136.205
09/18/2024,$135.95,498092,$136.50,$138.71,$135.235
09/17/2024,$136.93,707993,$134.53,$137.15,$134.4709
09/16/2024,$134.41,745278,$134.53,$135.9733,$133.38
09/13/2024,$134.05,759631,$133.63,$135.13,$132.3588
09/12/2024,$132.72,636300,$133.73,$134.17,$130.95
09/11/2024,$132.93,715064,$132.80,$133.43,$129.75
09/10/2024,$132.21,1088514,$132.31,$132.96,$130.25
09/09/2024,$133.11,903089,$134.97,$134.97,$132.78
09/06/2024,$134.37,766075,$136.83,$138.395,$133.96
09/05/2024,$137.39,897547,$140.14,$140.48,$136.88
09/04/2024,$138.72,1317553,$141.34,$142.86,$138.00
09/03/2024,$141.41,975243,$145.75,$146.02,$141.14
08/30/2024,$148.43,947609,$147.51,$148.52,$145.95
08/29/2024,$149.09,658583,$147.90,$150.11,$147.30
08/28/2024,$146.90,784311,$146.30,$147.68,$145.355
08/27/2024,$147.19,810678,$151.75,$151.75,$146.78
08/26/2024,$152.27,486533,$152.60,$154.75,$151.57
08/23/2024,$150.00,531103,$149.10,$151.00,$148.35
08/22/2024,$147.97,610586,$148.82,$149.19,$146.725
08/21/2024,$148.37,565657,$148.80,$149.51,$146.92
08/20/2024,$150.07,644479,$153.26,$153.73,$149.12
08/19/2024,$153.40,629969,$153.64,$155.885,$153.29
08/16/2024,$153.10,671233,$153.04,$154.865,$152.725
08/15/2024,$154.40,895719,$153.10,$156.12,$152.44
08/14/2024,$152.79,434560,$152.44,$153.50,$151.19
08/13/2024,$152.00,675843,$152.01,$152.74,$151.00
08/12/2024,$153.23,724324,$152.18,$154.5686,$152.06
08/09/2024,$151.16,922432,$152.32,$152.90,$150.50
08/08/2024,$151.06,1755678,$148.35,$155.51,$147.00
08/07/2024,$153.48,816070,$155.69,$157.85,$152.99
08/06/2024,$152.98,661838,$151.11,$154.58,$150.4261
08/05/2024,$150.94,1323349,$150.00,$152.84,$145.5312
08/02/2024,$155.87,864228,$164.72,$165.59,$155.145
08/01/2024,$166.59,740090,$171.83,$173.28,$165.67
07/31/2024,$171.66,512790,$173.06,$173.53,$171.08
07/30/2024,$169.35,434483,$169.29,$170.92,$169.15
07/29/2024,$169.29,623067,$173.26,$173.56,$168.08
07/26/2024,$172.62,545220,$173.24,$173.71,$170.15
07/25/2024,$172.81,832250,$171.04,$174.545,$170.17
07/24/2024,$170.78,720629,$172.48,$174.765,$170.75
07/23/2024,$172.30,681841,$172.83,$173.555,$170.96
07/22/2024,$173.85,766750,$175.55,$175.55,$172.53
07/19/2024,$175.55,630435,$174.99,$177.28,$173.27
07/18/2024,$175.34,456117,$175.73,$177.95,$175.15
07/17/2024,$176.56,590210,$177.77,$181.174,$176.05
07/16/2024,$176.98,518869,$175.34,$177.58,$174.34
07/15/2024,$176.03,767135,$173.10,$177.46,$172.385
07/12/2024,$171.99,976112,$172.46,$172.46,$169.47
07/11/2024,$171.19,510227,$168.97,$171.80,$168.22
07/10/2024,$168.77,384055,$167.99,$169.11,$167.26
07/09/2024,$167.99,723347,$169.02,$170.99,$167.75
07/08/2024,$169.74,641459,$169.42,$170.74,$167.77
07/05/2024,$169.50,939355,$173.29,$173.5999,$168.50
07/03/2024,$173.62,536556,$171.39,$173.90,$171.00
07/02/2024,$170.89,1176073,$171.01,$173.19,$170.21
07/01/2024,$169.66,1067340,$168.51,$170.62,$166.58
06/28/2024,$167.68,9375525,$169.04,$169.04,$165.95
06/27/2024,$167.13,980846,$166.25,$167.39,$164.02
06/26/2024,$165.31,668030,$168.13,$168.62,$165.22
06/25/2024,$168.87,1159951,$168.97,$169.43,$166.11
06/24/2024,$168.90,1091924,$165.10,$169.65,$165.0546
06/21/2024,$164.49,1519734,$167.39,$168.0799,$163.775
06/20/2024,$166.84,1273736,$166.87,$169.10,$165.73
06/18/2024,$166.75,1183801,$163.36,$167.19,$163.15
06/17/2024,$162.69,1003148,$163.34,$163.34,$160.02
06/14/2024,$162.42,800692,$165.17,$165.59,$162.12
06/13/2024,$165.86,1079426,$169.95,$169.95,$165.24
06/12/2024,$171.32,940747,$174.37,$174.75,$169.34
06/11/2024,$172.96,1207527,$172.01,$174.06,$171.49
06/10/2024,$173.29,1134036,$169.84,$174.38,$168.96
06/07/2024,$168.96,1617470,$166.85,$169.47,$166.05
06/06/2024,$167.96,1683925,$170.02,$170.783,$167.79
06/05/2024,$170.10,1693604,$173.93,$173.93,$169.66
06/04/2024,$173.03,5216393,$175.58,$175.64,$172.02
06/03/2024,$176.76,2550981,$186.81,$188.02,$175.18
05/31/2024,$185.41,5195523,$180.47,$185.89,$179.01
05/30/2024,$180.21,5881004,$179.41,$182.60,$178.965
05/29/2024,$179.40,1504374,$182.37,$184.275,$177.205
05/28/2024,$183.07,1294362,$180.41,$184.02,$180.41
05/24/2024,$179.76,862534,$178.14,$179.97,$177.525
05/23/2024,$176.64,738826,$178.97,$181.18,$175.282
05/22/2024,$177.68,592153,$180.20,$180.32,$175.30
05/21/2024,$180.39,776729,$178.81,$181.95,$178.81
05/20/2024,$181.85,655622,$181.28,$182.74,$180.92
05/17/2024,$180.59,792220,$180.13,$181.525,$179.225
05/16/2024,$178.97,745844,$182.34,$182.65,$178.88
05/15/2024,$182.27,596161,$182.37,$182.845,$179.26
05/14/2024,$182.37,770761,$182.02,$182.64,$179.72
05/13/2024,$181.10,621588,$180.72,$181.31,$178.86
05/10/2024,$179.49,476182,$181.99,$182.31,$179.06
05/09/2024,$181.57,517293,$181.06,$182.35,$179.89
05/08/2024,$180.22,980756,$180.25,$182.955,$178.44
05/07/2024,$178.68,723911,$178.74,$180.52,$178.10
05/06/2024,$178.33,540325,$177.63,$180.46,$177.285
05/03/2024,$175.98,669241,$175.29,$176.63,$174.26
05/02/2024,$175.29,643145,$175.82,$177.30,$174.61
05/01/2024,$174.17,1040796,$176.00,$176.74,$171.07
04/30/2024,$176.98,989412,$183.35,$183.805,$176.60
04/29/2024,$184.34,509184,$184.01,$185.85,$183.55
04/26/2024,$185.58,437929,$184.05,$186.13,$182.80
04/25/2024,$184.58,382604,$183.88,$185.29,$181.83
04/24/2024,$183.59,357774,$182.66,$184.21,$181.665
04/23/2024,$183.12,338696,$182.43,$184.11,$181.14
04/22/2024,$182.10,524768,$180.60,$183.85,$178.85
04/19/2024,$180.00,487839,$178.65,$181.65,$178.53
04/18/2024,$178.65,679933,$181.83,$182.45,$178.56
