Date,Close/Last,Volume,Open,High,Low
11/29/2024,$98.96,1791899,$98.23,$99.71,$98.23
11/27/2024,$98.75,1560170,$98.18,$99.75,$98.15
11/26/2024,$98.89,2605408,$98.01,$99.50,$97.78
11/25/2024,$98.87,7017977,$100.19,$100.50,$98.77
11/22/2024,$99.43,3284375,$100.00,$100.48,$98.25
11/21/2024,$100.97,3853065,$100.00,$101.27,$99.07
11/20/2024,$98.26,4691072,$96.50,$99.57,$95.7576
11/19/2024,$95.71,2610310,$95.47,$96.76,$95.01
11/18/2024,$96.42,2633473,$95.92,$97.54,$95.64
11/15/2024,$94.99,2414911,$95.01,$96.1137,$94.51
11/14/2024,$95.19,1848679,$95.92,$96.55,$94.6775
11/13/2024,$96.14,1928442,$94.97,$96.50,$94.89
11/12/2024,$95.58,2212384,$95.23,$96.035,$94.76
11/11/2024,$95.74,2813035,$94.25,$96.62,$93.63
11/08/2024,$92.49,1837736,$91.61,$93.46,$91.24
11/07/2024,$92.14,3220730,$92.06,$92.51,$91.03
11/06/2024,$92.36,4172595,$89.75,$93.13,$89.21
11/05/2024,$86.67,2035752,$85.12,$87.15,$85.05
11/04/2024,$85.84,2180138,$83.42,$86.45,$83.415
11/01/2024,$83.66,2615190,$85.51,$85.91,$83.10
10/31/2024,$84.72,2600875,$89.19,$89.29,$84.66
10/30/2024,$88.70,3837029,$86.01,$90.41,$86.01
10/29/2024,$85.73,2015523,$85.82,$85.88,$85.01
10/28/2024,$85.26,1596913,$82.73,$85.38,$82.69
10/25/2024,$84.79,1227874,$85.76,$86.17,$84.6001
10/24/2024,$85.30,1400599,$83.70,$85.32,$83.04
10/23/2024,$83.29,1585936,$83.74,$84.105,$82.70
10/22/2024,$84.37,1578870,$86.07,$86.45,$84.125
10/21/2024,$85.75,2397047,$86.49,$87.50,$85.19
10/18/2024,$86.66,3185551,$87.025,$87.50,$86.05
10/17/2024,$87.57,1782457,$86.57,$87.95,$86.105
10/16/2024,$86.46,2600943,$86.00,$86.46,$85.03
10/15/2024,$85.79,3493314,$85.20,$86.45,$84.50
10/14/2024,$86.62,3145096,$86.89,$87.60,$86.21
10/11/2024,$87.39,2302475,$86.10,$88.17,$86.05
10/10/2024,$86.61,1966082,$87.10,$87.26,$86.44
10/09/2024,$87.03,2907258,$86.00,$87.23,$85.47
10/08/2024,$86.00,2383658,$84.48,$86.12,$83.26
10/07/2024,$85.44,3424625,$85.82,$85.90,$85.05
10/04/2024,$85.63,3573816,$84.935,$86.00,$84.551
10/03/2024,$85.21,3460261,$83.38,$85.30,$83.11
10/02/2024,$83.24,2127651,$83.35,$83.41,$81.66
10/01/2024,$81.46,4268345,$81.89,$82.455,$80.75
09/30/2024,$82.25,9983706,$82.28,$83.72,$81.91
09/27/2024,$82.60,3821113,$81.25,$83.86,$80.7188
09/26/2024,$80.30,4966917,$77.85,$80.87,$77.41
09/25/2024,$78.24,2008965,$80.08,$80.425,$78.20
09/24/2024,$80.09,1877016,$81.26,$81.26,$79.81
09/23/2024,$80.26,2830402,$78.52,$80.87,$78.31
09/20/2024,$78.46,4030525,$76.69,$79.00,$75.90
09/19/2024,$76.57,2099779,$76.10,$77.43,$75.17
09/18/2024,$74.51,2058446,$73.37,$75.75,$73.33
09/17/2024,$73.34,1198314,$73.21,$73.48,$72.77
09/16/2024,$73.06,1076725,$73.61,$74.17,$72.70
09/13/2024,$73.22,1380026,$72.74,$73.49,$72.35
09/12/2024,$72.34,998018,$72.38,$72.67,$71.06
09/11/2024,$72.35,1286979,$71.02,$72.42,$69.96
09/10/2024,$70.72,1537726,$70.43,$70.78,$69.12
09/09/2024,$70.31,2242108,$70.58,$71.01,$69.95
09/06/2024,$70.84,4699783,$72.19,$73.27,$70.745
09/05/2024,$72.00,5483252,$71.06,$72.21,$70.04
09/04/2024,$70.42,2044658,$72.24,$72.90,$70.37
09/03/2024,$72.19,3173891,$73.24,$73.33,$70.80
08/30/2024,$74.49,1670173,$73.54,$74.60,$73.38
08/29/2024,$73.99,1373162,$72.42,$74.04,$71.92
08/28/2024,$71.98,1357143,$72.31,$72.41,$70.96
08/27/2024,$72.98,1116926,$73.71,$74.02,$72.62
08/26/2024,$73.89,1769607,$74.30,$75.015,$73.67
08/23/2024,$73.44,1036515,$72.14,$73.45,$72.07
08/22/2024,$71.61,1475024,$72.37,$72.805,$71.5412
08/21/2024,$72.37,1095691,$73.81,$73.91,$71.95
08/20/2024,$73.18,1131744,$74.00,$74.26,$72.525
08/19/2024,$74.18,1367575,$73.20,$74.55,$73.20
08/16/2024,$72.93,927918,$72.04,$73.1999,$72.04
08/15/2024,$73.06,1155856,$71.75,$73.41,$71.75
08/14/2024,$72.17,908375,$72.66,$72.66,$71.99
08/13/2024,$72.25,1078362,$72.84,$72.955,$71.99
08/12/2024,$73.37,942710,$72.79,$73.96,$72.79
08/09/2024,$72.52,984751,$72.60,$73.15,$71.65
08/08/2024,$72.43,1499863,$71.47,$73.49,$71.45
08/07/2024,$71.51,1558812,$71.99,$72.87,$71.39
08/06/2024,$70.72,2101017,$71.53,$72.17,$70.68
08/05/2024,$71.10,3539735,$70.07,$71.55,$69.42
08/02/2024,$72.43,4369852,$74.78,$74.78,$71.47
08/01/2024,$75.04,2487932,$76.80,$77.23,$74.515
07/31/2024,$76.33,2274374,$76.75,$77.2685,$76.03
07/30/2024,$76.24,3903976,$75.46,$77.28,$75.05
07/29/2024,$76.57,3032379,$77.83,$77.83,$75.96
07/26/2024,$77.79,3768997,$77.43,$78.75,$76.49
07/25/2024,$77.40,1840690,$77.79,$78.32,$77.26
07/24/2024,$77.66,1848579,$80.23,$80.62,$77.595
07/23/2024,$79.97,2007028,$80.79,$80.985,$78.9501
07/22/2024,$81.36,1493591,$81.02,$81.635,$80.54
07/19/2024,$81.01,1556022,$80.99,$81.24,$79.84
07/18/2024,$81.34,1503287,$82.84,$83.00,$81.21
07/17/2024,$82.05,2550164,$83.01,$84.25,$81.93
07/16/2024,$82.83,1877409,$83.70,$83.76,$82.66
07/15/2024,$83.77,1285244,$83.58,$84.245,$83.03
07/12/2024,$83.48,1575673,$84.28,$84.385,$83.27
07/11/2024,$83.48,1472005,$83.56,$84.13,$82.76
07/10/2024,$83.02,1201631,$82.51,$83.12,$81.95
07/09/2024,$82.54,1776883,$82.45,$82.81,$81.75
07/08/2024,$82.60,1158580,$82.42,$83.25,$81.95
07/05/2024,$82.31,1995877,$83.31,$83.66,$81.80
07/03/2024,$83.63,792760,$83.05,$84.09,$82.98
07/02/2024,$83.02,1558632,$82.67,$83.625,$82.18
07/01/2024,$82.50,1468513,$82.19,$82.93,$81.43
06/28/2024,$82.19,1814831,$83.14,$83.31,$81.75
06/27/2024,$82.32,1469732,$83.05,$83.46,$82.00
06/26/2024,$82.74,1441324,$83.40,$83.55,$82.315
06/25/2024,$83.62,1418494,$84.52,$84.52,$83.14
06/24/2024,$84.78,1973742,$83.05,$85.33,$82.875
06/21/2024,$82.42,4871949,$84.00,$84.21,$82.27
06/20/2024,$83.945,1296951,$83.68,$84.645,$83.25
06/18/2024,$83.95,1445590,$84.94,$85.18,$83.85
06/17/2024,$84.63,1494425,$85.43,$86.14,$84.19
06/14/2024,$85.14,1484184,$85.62,$85.93,$84.99
06/13/2024,$86.05,1023057,$86.64,$87.19,$85.30
06/12/2024,$87.17,1168871,$89.32,$89.56,$86.98
06/11/2024,$88.71,1028113,$88.50,$89.495,$87.93
06/10/2024,$88.94,1048929,$88.29,$89.70,$88.12
06/07/2024,$88.29,1036583,$87.62,$88.54,$87.49
06/06/2024,$88.31,1152174,$88.75,$89.10,$88.00
06/05/2024,$88.80,1359223,$88.69,$89.185,$87.84
06/04/2024,$88.56,2748814,$90.56,$90.75,$87.88
06/03/2024,$90.985,2051622,$91.47,$92.075,$89.79
05/31/2024,$90.93,1653280,$90.33,$91.65,$89.665
05/30/2024,$89.91,1302618,$89.62,$90.655,$89.43
05/29/2024,$89.33,957950,$89.77,$89.81,$88.83
05/28/2024,$90.49,1283818,$90.21,$90.89,$89.67
05/24/2024,$89.72,934659,$89.68,$90.22,$89.0449
05/23/2024,$89.11,1360225,$90.35,$90.80,$88.80
05/22/2024,$89.75,1021138,$90.56,$90.56,$88.57
05/21/2024,$90.73,1277114,$90.94,$91.91,$90.33
05/20/2024,$91.60,1526520,$91.49,$92.9757,$91.16
05/17/2024,$91.69,1025806,$91.61,$92.06,$90.78
05/16/2024,$91.11,1526577,$91.41,$92.28,$91.01
05/15/2024,$91.25,2030663,$90.27,$91.42,$89.20
05/14/2024,$90.81,1865806,$88.28,$90.91,$88.28
05/13/2024,$88.39,1429404,$87.46,$88.81,$87.05
05/10/2024,$87.12,1259704,$88.27,$88.95,$86.29
05/09/2024,$88.30,1404640,$88.96,$89.23,$88.17
05/08/2024,$88.37,1195172,$88.13,$88.82,$87.65
05/07/2024,$88.62,1968152,$89.08,$90.015,$88.58
05/06/2024,$89.08,2000251,$87.42,$89.89,$87.42
05/03/2024,$86.67,2836734,$86.61,$87.16,$85.08
05/02/2024,$86.79,2047890,$87.47,$87.76,$86.14
05/01/2024,$86.68,4027387,$89.70,$89.905,$85.97
04/30/2024,$89.88,2014480,$92.85,$93.58,$89.79
04/29/2024,$92.96,2159759,$91.925,$93.15,$91.78
04/26/2024,$92.06,1515470,$91.07,$92.25,$90.54
04/25/2024,$91.47,1471704,$90.55,$91.54,$89.89
04/24/2024,$90.69,1795367,$88.31,$90.82,$87.94
04/23/2024,$88.53,1186466,$87.97,$88.95,$87.27
04/22/2024,$88.41,1235199,$87.13,$89.12,$86.62
04/19/2024,$87.51,1217226,$87.14,$88.095,$86.67
04/18/2024,$87.32,1081100,$87.59,$87.87,$86.97
04/17/2024,$87.15,907295,$87.20,$88.37,$86.77
04/16/2024,$87.27,1547357,$87.11,$87.705,$85.445
04/15/2024,$87.56,1645669,$88.75,$89.24,$87.12
04/12/2024,$88.59,1577347,$88.64,$90.15,$87.89
04/11/2024,$87.98,2102871,$90.06,$90.06,$87.20
04/10/2024,$90.00,1395278,$89.21,$90.32,$88.88
04/09/2024,$89.91,1194318,$90.26,$90.74,$88.90
04/08/2024,$90.19,1686070,$89.60,$90.505,$89.08
04/05/2024,$89.51,1880073,$88.77,$89.86,$87.99
04/04/2024,$89.32,1233433,$90.12,$91.03,$89.01
04/03/2024,$90.30,1483187,$89.50,$90.32,$88.99
04/02/2024,$88.97,1241633,$89.86,$89.90,$88.38
04/01/2024,$89.75,1316798,$89.34,$90.00,$88.50
03/28/2024,$88.83,1993157,$88.00,$89.12,$87.78
03/27/2024,$87.73,1619475,$85.35,$87.87,$85.23
03/26/2024,$85.73,1746905,$86.79,$87.36,$85.68
03/25/2024,$86.78,1550866,$86.55,$87.41,$86.24
03/22/2024,$86.31,1186000,$86.09,$86.40,$85.625
03/21/2024,$86.25,1669341,$86.32,$86.91,$86.13
03/20/2024,$86.19,1280431,$84.10,$86.69,$84.00
03/19/2024,$84.66,1775327,$83.52,$84.96,$83.16
03/18/2024,$83.48,1778975,$83.68,$84.13,$82.81
03/15/2024,$83.47,7173601,$84.32,$84.87,$83.14
03/14/2024,$84.40,2550237,$84.96,$85.31,$83.44
03/13/2024,$84.96,2628039,$83.75,$85.465,$83.75
03/12/2024,$83.74,2589970,$83.54,$84.44,$83.13
03/11/2024,$83.35,2699293,$81.89,$83.51,$81.27
03/08/2024,$82.01,985163,$81.98,$82.54,$81.49
03/07/2024,$81.53,1226217,$81.99,$82.17,$81.23
03/06/2024,$81.92,1346003,$83.16,$83.23,$81.685
03/05/2024,$82.92,2324884,$82.33,$83.63,$81.91
03/04/2024,$82.42,2619131,$83.91,$84.26,$82.35
03/01/2024,$82.81,1539466,$83.29,$83.67,$82.43
02/29/2024,$82.78,1710265,$82.12,$83.27,$81.965
02/28/2024,$82.05,1276862,$81.61,$82.56,$81.23
02/27/2024,$81.94,1817242,$82.52,$82.73,$81.47
02/26/2024,$81.98,1640144,$82.13,$82.7353,$81.46
02/23/2024,$81.93,2020970,$82.34,$82.34,$80.92
02/22/2024,$83.28,2421106,$82.34,$83.58,$81.38
02/21/2024,$83.85,6010190,$79.50,$84.3272,$79.50
02/20/2024,$77.65,1984015,$78.38,$78.94,$77.54
02/16/2024,$78.73,1743011,$78.10,$79.12,$77.21
02/15/2024,$78.09,2168827,$76.57,$79.11,$76.00
02/14/2024,$75.85,2359416,$76.48,$76.82,$74.70
02/13/2024,$76.43,1989291,$76.86,$76.99,$75.59
02/12/2024,$77.56,1602778,$76.77,$78.45,$76.75
02/09/2024,$76.83,1923779,$77.07,$77.23,$76.39
02/08/2024,$77.27,1531526,$75.69,$77.32,$75.57
02/07/2024,$76.04,1879621,$76.43,$76.88,$75.00
02/06/2024,$76.03,2544108,$75.94,$76.61,$75.09
02/05/2024,$75.35,1876653,$76.11,$76.23,$74.76
02/02/2024,$76.59,1090382,$76.50,$77.70,$76.18
02/01/2024,$76.93,1640090,$77.23,$78.119,$76.46
01/31/2024,$77.11,1441238,$79.16,$79.30,$77.07
01/30/2024,$79.12,1978673,$76.99,$79.21,$76.78
01/29/2024,$77.48,1858968,$77.90,$77.90,$76.64
01/26/2024,$77.51,2082016,$77.58,$77.96,$75.975
01/25/2024,$77.35,2233704,$77.05,$77.577,$76.545
01/24/2024,$76.44,2512945,$75.36,$76.8122,$75.02
01/23/2024,$74.89,1617120,$74.92,$75.56,$74.18
01/22/2024,$75.31,1803142,$75.45,$76.235,$74.42
01/19/2024,$75.94,2103347,$75.95,$76.035,$74.84
01/18/2024,$76.35,2650915,$76.97,$76.97,$75.41
01/17/2024,$76.99,2390085,$77.84,$78.30,$76.71
01/16/2024,$78.66,4122982,$82.00,$82.38,$78.22
01/12/2024,$82.87,3443693,$82.26,$83.00,$81.18
01/11/2024,$79.62,7821771,$79.97,$82.99,$78.60
01/10/2024,$77.18,1570778,$77.89,$78.26,$76.78
01/09/2024,$78.35,1892983,$79.29,$79.29,$77.355
01/08/2024,$78.755,1924795,$77.72,$78.96,$76.73
01/05/2024,$79.20,5818459,$76.85,$80.05,$75.72
01/04/2024,$76.96,1024806,$78.79,$78.91,$76.70
01/03/2024,$77.94,1071419,$76.54,$78.10,$76.00
01/02/2024,$76.99,929072,$77.86,$78.34,$76.645
12/29/2023,$76.94,741532,$77.60,$77.84,$76.84
12/28/2023,$77.52,1174186,$78.27,$78.87,$77.48
12/27/2023,$78.10,1165947,$77.95,$78.39,$77.52
12/26/2023,$77.95,875620,$77.16,$78.32,$77.08
12/22/2023,$77.28,1440817,$77.22,$77.80,$76.48
12/21/2023,$77.33,1626837,$75.68,$77.35,$75.35
12/20/2023,$75.18,2145941,$76.85,$77.68,$75.12
12/19/2023,$76.92,1595016,$75.97,$77.16,$75.46
12/18/2023,$76.30,1513056,$77.18,$77.45,$76.11
12/15/2023,$75.77,3448387,$75.42,$75.98,$74.75
12/14/2023,$75.77,1939845,$75.05,$76.69,$74.64
12/13/2023,$74.95,2239147,$73.84,$75.08,$73.205
12/12/2023,$73.76,1808539,$73.70,$74.58,$73.14
12/11/2023,$75.10,1233390,$73.42,$75.12,$72.84
12/08/2023,$75.05,1543807,$75.16,$76.30,$74.21
12/07/2023,$75.04,2202108,$74.34,$75.22,$73.87
12/06/2023,$73.95,2383831,$75.91,$76.6699,$73.89
12/05/2023,$76.39,1191944,$78.69,$78.6925,$76.39
12/04/2023,$78.32,1595297,$79.64,$80.12,$78.01
12/01/2023,$80.60,1247000,$79.95,$81.15,$79.80
11/30/2023,$80.31,2007703,$80.58,$81.67,$79.35
11/29/2023,$79.765,1436175,$81.50,$81.50,$79.72
11/28/2023,$80.98,1647660,$81.84,$81.84,$80.50
11/27/2023,$81.56,1473383,$81.45,$81.81,$80.59
11/24/2023,$82.15,556859,$81.50,$82.90,$81.47
11/22/2023,$81.81,985231,$80.39,$82.70,$79.94
11/21/2023,$81.67,1616237,$81.61,$82.13,$80.195
11/20/2023,$81.76,949918,$81.24,$82.32,$80.80
11/17/2023,$81.58,1164086,$81.59,$82.61,$81.19
11/16/2023,$81.13,2017546,$82.41,$83.16,$80.35
11/15/2023,$83.25,1666840,$81.21,$83.71,$80.98
11/14/2023,$81.54,1093251,$80.15,$81.87,$80.00
11/13/2023,$80.01,1257140,$80.15,$80.85,$79.33
11/10/2023,$79.09,2232195,$81.00,$81.175,$78.27
11/09/2023,$80.49,953502,$81.58,$81.97,$80.415
11/08/2023,$81.40,1602097,$82.15,$83.00,$81.37
11/07/2023,$82.59,2276562,$84.37,$84.58,$81.49
11/06/2023,$85.22,2892444,$88.66,$89.09,$84.88
11/03/2023,$89.36,1617651,$89.17,$89.95,$88.64
11/02/2023,$88.70,1615373,$86.91,$88.95,$86.65
11/01/2023,$86.91,2232981,$88.00,$88.75,$84.29
10/31/2023,$86.08,1509300,$86.32,$86.75,$85.47
10/30/2023,$85.60,1337850,$85.29,$85.90,$84.46
10/27/2023,$85.79,1048907,$86.85,$87.49,$84.985
10/26/2023,$87.08,1167453,$85.47,$87.61,$84.25
10/25/2023,$86.65,1787322,$87.13,$87.29,$85.25
10/24/2023,$86.93,1054422,$87.73,$87.75,$86.17
10/23/2023,$86.85,1679077,$87.18,$87.61,$86.25
10/20/2023,$88.02,954877,$88.83,$88.88,$87.61
10/19/2023,$88.77,1831828,$88.81,$89.97,$88.1301
10/18/2023,$89.37,2238066,$89.88,$89.88,$88.00
10/17/2023,$89.59,4885419,$89.09,$91.00,$87.07
10/16/2023,$89.00,986428,$89.12,$89.27,$87.41
10/13/2023,$88.92,1280659,$89.75,$89.92,$88.87
10/12/2023,$88.92,1292170,$88.56,$89.17,$87.85
10/11/2023,$88.20,1625047,$88.03,$88.57,$86.81
10/10/2023,$88.74,1522833,$89.10,$89.77,$88.095
10/09/2023,$89.10,1840515,$88.68,$89.60,$88.397
10/06/2023,$87.28,2030247,$84.62,$88.07,$84.13
10/05/2023,$83.98,1398910,$81.75,$84.24,$81.57
10/04/2023,$82.19,1626242,$82.58,$82.58,$80.75
10/03/2023,$82.97,1368532,$83.46,$84.12,$81.90
10/02/2023,$83.64,1270772,$85.97,$85.97,$83.02
09/29/2023,$86.23,934048,$86.90,$87.06,$85.83
09/28/2023,$86.72,907946,$85.46,$87.19,$85.46
09/27/2023,$85.62,1271948,$84.00,$86.03,$83.96
09/26/2023,$83.08,1171584,$82.13,$83.43,$82.07
09/25/2023,$83.09,702326,$81.92,$83.425,$81.861
09/22/2023,$82.07,1000262,$82.79,$83.635,$81.84
09/21/2023,$82.70,1480259,$83.87,$84.21,$82.29
09/20/2023,$83.81,776695,$83.84,$84.97,$83.69
09/19/2023,$84.67,973631,$86.18,$86.67,$84.31
09/18/2023,$85.28,1121160,$85.70,$85.775,$84.7777
09/15/2023,$85.45,2615378,$87.17,$87.175,$84.84
09/14/2023,$87.53,1498960,$88.45,$88.69,$87.08
09/13/2023,$87.25,1453627,$88.61,$88.765,$86.76
09/12/2023,$88.20,1360714,$88.47,$89.05,$87.83
09/11/2023,$87.42,1124462,$89.24,$89.31,$87.235
09/08/2023,$88.49,1460065,$88.31,$89.10,$88.15
09/07/2023,$87.64,1852187,$88.26,$88.875,$87.32
09/06/2023,$88.40,1960205,$88.13,$89.24,$87.92
09/05/2023,$88.76,1719662,$89.88,$90.60,$88.63
09/01/2023,$90.26,1753989,$89.43,$90.46,$89.115
08/31/2023,$88.21,1440179,$87.99,$88.56,$87.64
08/30/2023,$87.80,1466017,$86.41,$87.985,$86.1101
08/29/2023,$86.36,853621,$85.47,$86.43,$84.895
08/28/2023,$85.47,1147714,$86.00,$86.58,$85.31
08/25/2023,$85.13,1061704,$84.99,$85.615,$83.92
08/24/2023,$84.52,1470844,$84.62,$86.10,$84.07
08/23/2023,$84.90,1476382,$85.45,$85.586,$84.84
08/22/2023,$86.07,2087524,$86.81,$87.57,$85.81
08/21/2023,$86.78,2515490,$85.93,$87.37,$85.93
08/18/2023,$85.93,20398460,$85.56,$86.2785,$85.01
08/17/2023,$86.25,8740046,$87.50,$88.159,$86.15
08/16/2023,$82.58,2018390,$81.62,$82.80,$81.37
08/15/2023,$82.87,1366032,$83.50,$83.77,$82.58
08/14/2023,$84.33,1315915,$85.10,$85.10,$83.87
08/11/2023,$84.95,1230094,$85.31,$86.09,$84.57
08/10/2023,$85.42,1344002,$87.66,$88.445,$85.19
08/09/2023,$87.78,1561938,$89.01,$89.06,$87.61
08/08/2023,$87.20,1922063,$85.69,$87.65,$85.19
08/07/2023,$86.90,1379440,$86.06,$87.57,$85.46
08/04/2023,$85.37,1704563,$84.77,$86.735,$84.37
08/03/2023,$84.02,1313545,$83.09,$85.04,$81.96
08/02/2023,$82.49,2321436,$84.00,$84.00,$81.1001
08/01/2023,$84.45,2037914,$83.36,$84.47,$82.155
07/31/2023,$84.34,1079289,$85.00,$85.085,$83.745
07/28/2023,$84.48,3016919,$83.26,$84.96,$82.45
07/27/2023,$82.16,998976,$83.68,$84.12,$81.84
07/26/2023,$83.32,817903,$82.00,$83.45,$81.81
07/25/2023,$82.88,1172388,$83.35,$83.43,$82.22
07/24/2023,$83.42,879152,$83.45,$83.97,$83.025
07/21/2023,$83.09,752553,$83.99,$83.99,$83.00
07/20/2023,$83.47,915772,$83.18,$83.735,$82.23
07/19/2023,$82.14,1141312,$81.52,$83.01,$81.46
07/18/2023,$81.51,1322130,$81.17,$83.04,$81.01
07/17/2023,$80.85,1482861,$80.92,$81.41,$79.74
07/14/2023,$81.12,1272158,$83.25,$83.41,$80.85
07/13/2023,$83.40,1151440,$84.19,$84.98,$82.97
07/12/2023,$84.11,1270920,$84.27,$84.98,$83.67
07/11/2023,$84.23,1191678,$83.27,$84.97,$82.96
07/10/2023,$82.84,1143685,$82.76,$83.01,$81.90
07/07/2023,$82.15,1575830,$81.35,$83.41,$81.125
07/06/2023,$81.30,1108373,$82.90,$83.035,$80.35
07/05/2023,$83.31,823123,$84.19,$84.19,$82.90
07/03/2023,$83.79,420632,$83.70,$84.7436,$83.57
06/30/2023,$83.68,1348616,$84.18,$84.67,$82.73
06/29/2023,$84.00,1454696,$81.53,$84.03,$81.29
06/28/2023,$81.31,856133,$82.255,$82.42,$81.205
06/27/2023,$81.82,1114995,$81.00,$82.45,$80.20
06/26/2023,$81.46,1135325,$80.77,$82.37,$80.77
06/23/2023,$80.59,1315076,$80.01,$81.25,$79.99
06/22/2023,$81.08,809267,$80.87,$81.29,$80.00
