Date,Close/Last,Volume,Open,High,Low
11/29/2024,$177.59,820286,$176.20,$178.41,$176.01
11/27/2024,$176.19,1490383,$176.52,$178.80,$175.90
11/26/2024,$175.97,2466844,$179.73,$180.55,$175.13
11/25/2024,$179.55,2957926,$184.49,$184.59,$178.9214
11/22/2024,$185.29,2188946,$182.00,$186.0738,$181.50
11/21/2024,$182.70,2140416,$183.25,$185.68,$182.50
11/20/2024,$181.46,1647790,$180.04,$182.58,$180.00
11/19/2024,$180.12,1632902,$180.62,$182.7499,$179.09
11/18/2024,$181.90,1967827,$178.49,$183.65,$177.60
11/15/2024,$176.60,2123445,$182.42,$183.99,$176.00
11/14/2024,$182.42,1366076,$182.85,$184.085,$180.50
11/13/2024,$182.24,1469323,$181.00,$183.62,$177.50
11/12/2024,$179.91,1788191,$180.48,$182.4899,$179.79
11/11/2024,$179.13,2803622,$181.96,$182.09,$179.00
11/08/2024,$181.88,2579217,$180.60,$182.185,$179.23
11/07/2024,$181.59,1727305,$182.46,$183.21,$179.41
11/06/2024,$183.62,3017307,$180.00,$185.79,$177.00
11/05/2024,$175.63,3691119,$174.90,$178.89,$173.7213
11/04/2024,$179.76,1918583,$178.19,$181.33,$177.50
11/01/2024,$175.81,1946138,$177.40,$178.86,$175.081
10/31/2024,$176.77,2028679,$178.35,$179.125,$175.79
10/30/2024,$176.65,1568194,$176.86,$178.23,$175.64
10/29/2024,$175.64,1691062,$177.76,$179.20,$175.16
10/28/2024,$178.19,1788230,$177.765,$179.90,$177.1201
10/25/2024,$184.38,2150804,$182.62,$184.51,$181.85
10/24/2024,$180.91,1072721,$182.35,$183.14,$180.27
10/23/2024,$181.12,1415133,$182.34,$183.25,$179.96
10/22/2024,$184.03,1068034,$184.22,$185.05,$182.28
10/21/2024,$182.41,1461189,$185.26,$186.74,$182.04
10/18/2024,$183.99,1214343,$183.44,$184.87,$181.79
10/17/2024,$183.96,1753798,$182.07,$184.09,$180.75
10/16/2024,$182.46,1916694,$180.22,$183.62,$180.22
10/15/2024,$179.77,2845436,$183.66,$184.24,$179.65
10/14/2024,$190.70,1560526,$192.42,$193.31,$189.7414
10/11/2024,$194.96,1366821,$192.66,$196.00,$192.45
10/10/2024,$194.06,1431602,$194.70,$197.68,$193.96
10/09/2024,$193.75,2270767,$192.38,$194.7143,$190.81
10/08/2024,$193.77,10794580,$196.12,$196.885,$191.8301
10/07/2024,$199.50,3780800,$195.95,$200.47,$195.00
10/04/2024,$194.61,3494187,$191.56,$195.55,$189.50
10/03/2024,$188.30,3018819,$181.87,$188.82,$180.88
10/02/2024,$181.29,3037904,$182.62,$183.299,$178.53
10/01/2024,$177.52,3149181,$170.92,$178.79,$169.985
09/30/2024,$172.40,2768582,$170.11,$172.58,$168.76
09/27/2024,$170.63,5079254,$170.55,$173.25,$169.37
09/26/2024,$168.86,4646784,$176.04,$177.1408,$168.09
09/25/2024,$180.53,1740637,$185.43,$185.84,$179.86
09/24/2024,$185.43,3046895,$188.00,$189.12,$184.19
09/23/2024,$185.25,3249324,$182.24,$186.1887,$181.64
09/20/2024,$181.00,7855292,$179.27,$182.18,$178.05
09/19/2024,$181.63,1175132,$182.40,$183.88,$179.33
09/18/2024,$178.12,1609932,$179.51,$182.90,$177.88
09/17/2024,$179.77,1817504,$174.21,$180.33,$174.21
09/16/2024,$174.81,1638396,$174.00,$176.24,$171.84
09/13/2024,$172.42,1465002,$171.23,$174.55,$171.23
09/12/2024,$170.86,2674376,$169.97,$177.97,$167.93
09/11/2024,$168.50,2580656,$172.42,$172.42,$167.84
09/10/2024,$171.49,3135100,$178.83,$179.21,$168.92
09/09/2024,$179.21,1442854,$180.52,$180.84,$178.81
09/06/2024,$179.73,1505623,$183.64,$185.38,$178.81
09/05/2024,$184.01,1312621,$185.90,$186.33,$182.885
09/04/2024,$184.28,1098637,$188.36,$189.25,$184.23
09/03/2024,$187.48,1414309,$191.425,$191.425,$186.40
08/30/2024,$195.11,1811934,$194.25,$195.60,$192.76
08/29/2024,$196.79,1054795,$197.09,$198.63,$194.42
08/28/2024,$194.57,698852,$193.45,$195.47,$193.09
08/27/2024,$194.71,876665,$197.15,$197.90,$193.8794
08/26/2024,$197.28,1127154,$197.65,$199.2551,$194.43
08/23/2024,$195.22,755483,$193.08,$195.91,$192.925
08/22/2024,$191.73,893455,$191.50,$193.44,$190.79
08/21/2024,$191.12,1105547,$191.94,$192.98,$189.86
08/20/2024,$189.75,1114638,$195.69,$195.69,$189.56
08/19/2024,$195.84,1189694,$195.68,$198.51,$195.25
08/16/2024,$194.82,1163869,$193.89,$196.20,$193.49
08/15/2024,$196.58,1220248,$194.79,$197.82,$194.48
08/14/2024,$196.45,1066714,$196.15,$196.93,$195.16
08/13/2024,$196.14,1783165,$198.77,$199.24,$195.57
08/12/2024,$201.29,1114677,$200.69,$202.87,$199.57
08/09/2024,$199.77,1289255,$197.09,$201.71,$195.56
08/08/2024,$197.49,1319677,$191.00,$199.16,$191.00
08/07/2024,$191.38,1455032,$193.61,$196.66,$191.11
08/06/2024,$189.70,1953133,$192.38,$194.835,$187.00
08/05/2024,$185.18,2421897,$184.13,$186.88,$179.61
08/02/2024,$189.06,1999255,$195.00,$195.57,$185.98
08/01/2024,$198.22,1524961,$201.34,$203.76,$195.86
07/31/2024,$202.31,1245758,$203.02,$203.98,$198.98
07/30/2024,$198.08,1525135,$198.50,$200.44,$197.3017
07/29/2024,$198.27,853158,$201.60,$202.28,$196.49
07/26/2024,$200.76,775693,$199.52,$201.32,$197.73
07/25/2024,$199.80,1067805,$198.40,$202.19,$197.52
07/24/2024,$198.83,1178883,$199.83,$201.93,$198.31
07/23/2024,$198.36,1390287,$204.34,$204.50,$198.29
07/22/2024,$204.68,930458,$205.37,$205.74,$202.08
07/19/2024,$205.47,1348138,$208.99,$209.57,$205.34
07/18/2024,$210.03,893862,$211.07,$212.275,$206.64
07/17/2024,$210.94,1485246,$210.58,$214.50,$209.35
07/16/2024,$209.06,1077656,$209.85,$210.61,$208.18
07/15/2024,$210.93,1410924,$205.00,$212.10,$204.36
07/12/2024,$204.17,1128402,$207.37,$208.65,$203.43
07/11/2024,$207.17,1249130,$202.51,$208.30,$201.575
07/10/2024,$202.39,970917,$202.07,$202.65,$200.75
07/09/2024,$202.60,993681,$200.95,$204.62,$199.62
07/08/2024,$203.35,774944,$202.37,$203.55,$201.04
07/05/2024,$203.53,761400,$206.45,$207.48,$202.31
07/03/2024,$206.93,741138,$206.08,$208.77,$204.3301
07/02/2024,$204.90,1763280,$205.49,$208.62,$203.80
07/01/2024,$203.71,1230329,$201.82,$204.39,$199.7775
06/28/2024,$200.19,2105955,$200.535,$202.8699,$199.07
06/27/2024,$199.19,1036490,$198.25,$199.39,$196.65
06/26/2024,$196.96,1258017,$198.16,$198.16,$195.01
06/25/2024,$197.88,1445370,$197.89,$198.63,$196.33
06/24/2024,$198.03,1809745,$192.12,$199.145,$191.85
06/21/2024,$190.88,3343005,$193.57,$193.7014,$190.3336
06/20/2024,$192.73,1959950,$189.51,$193.60,$189.51
06/18/2024,$188.87,1124380,$188.79,$189.86,$188.21
06/17/2024,$187.56,1235250,$186.56,$188.13,$185.10
06/14/2024,$185.97,978301,$189.90,$189.995,$185.69
06/13/2024,$190.35,1268772,$192.50,$192.87,$188.27
06/12/2024,$193.65,1056784,$195.26,$196.00,$192.35
06/11/2024,$193.67,716270,$192.61,$193.73,$191.24
06/10/2024,$193.97,961244,$190.76,$194.995,$190.615
06/07/2024,$190.30,1027834,$191.04,$191.60,$189.78
06/06/2024,$191.04,1181438,$188.88,$191.55,$188.80
06/05/2024,$189.19,825723,$189.22,$190.01,$188.485
06/04/2024,$189.22,1744918,$188.73,$189.29,$185.095
06/03/2024,$190.71,2775070,$198.45,$198.825,$186.48
05/31/2024,$199.26,2933959,$197.53,$199.455,$196.96
05/30/2024,$197.34,1289982,$194.54,$197.89,$194.54
05/29/2024,$195.02,1527899,$197.57,$197.79,$193.265
05/28/2024,$197.76,1304103,$195.24,$198.165,$195.20
05/24/2024,$193.46,688493,$193.76,$194.88,$193.17
05/23/2024,$191.96,1394615,$194.03,$195.1699,$191.76
05/22/2024,$192.34,1179241,$196.25,$196.34,$191.48
05/21/2024,$196.56,834273,$196.46,$199.10,$196.34
05/20/2024,$197.83,929043,$197.82,$199.08,$197.0009
05/17/2024,$197.67,1011949,$195.36,$198.28,$194.825
05/16/2024,$194.59,1145390,$196.88,$197.57,$194.48
05/15/2024,$196.74,1614819,$197.09,$197.80,$193.53
05/14/2024,$198.05,1474632,$198.52,$199.92,$197.06
05/13/2024,$200.77,1384109,$203.19,$203.29,$200.125
05/10/2024,$202.19,1732168,$204.40,$205.579,$200.945
05/09/2024,$203.72,1032913,$203.29,$204.67,$202.90
05/08/2024,$203.22,1390205,$202.36,$204.77,$201.76
05/07/2024,$203.68,1244836,$204.44,$205.47,$203.04
