Date,Close/Last,Volume,Open,High,Low
11/29/2024,$18.67,2985644,$18.13,$18.83,$18.13
11/27/2024,$18.09,2825850,$17.71,$18.30,$17.685
11/26/2024,$17.67,3687881,$17.66,$17.79,$17.52
11/25/2024,$17.57,2101655,$17.94,$18.01,$17.54
11/22/2024,$17.94,2224872,$17.80,$18.02,$17.79
11/21/2024,$17.82,3508234,$17.62,$17.88,$17.57
11/20/2024,$17.56,3326499,$17.48,$17.625,$17.38
11/19/2024,$17.43,2908864,$17.41,$17.475,$17.30
11/18/2024,$17.47,3609605,$17.22,$17.50,$17.195
11/15/2024,$17.18,3250574,$17.10,$17.30,$17.0708
11/14/2024,$17.14,2629094,$17.02,$17.18,$16.98
11/13/2024,$16.95,4703729,$16.995,$17.09,$16.795
11/12/2024,$16.90,3253437,$17.22,$17.344,$16.84
11/11/2024,$17.31,4324986,$17.26,$17.535,$17.15
11/08/2024,$17.28,5878533,$17.80,$18.05,$17.17
11/07/2024,$17.78,6235285,$17.42,$17.90,$17.36
11/06/2024,$17.43,5821289,$17.38,$17.67,$17.28
11/05/2024,$16.92,4347039,$16.78,$16.975,$16.705
11/04/2024,$16.71,5005082,$16.31,$16.945,$16.28
11/01/2024,$16.39,3356474,$16.29,$16.52,$16.26
10/31/2024,$16.27,3764904,$16.50,$16.50,$16.21
10/30/2024,$16.77,2841943,$16.90,$16.90,$16.67
10/29/2024,$16.75,3241392,$16.78,$16.83,$16.54
10/28/2024,$16.76,2406110,$16.88,$16.88,$16.68
10/25/2024,$16.93,2708845,$17.00,$17.11,$16.87
10/24/2024,$17.10,2121410,$17.07,$17.19,$17.02
10/23/2024,$17.06,1332119,$17.10,$17.17,$16.93
10/22/2024,$17.11,1447093,$17.08,$17.20,$17.0706
10/21/2024,$17.11,3147036,$17.27,$17.38,$17.10
10/18/2024,$17.27,1858869,$17.34,$17.37,$17.11
10/17/2024,$17.35,1746601,$17.41,$17.53,$17.264
10/16/2024,$17.47,1610190,$17.48,$17.52,$17.34
10/15/2024,$17.38,1795626,$17.53,$17.57,$17.26
10/14/2024,$17.67,1370248,$17.71,$17.77,$17.5511
10/11/2024,$17.69,1336713,$17.74,$17.82,$17.58
10/10/2024,$17.61,1166979,$17.66,$17.805,$17.555
10/09/2024,$17.67,1288802,$17.36,$17.73,$17.31
10/08/2024,$17.43,1442912,$17.50,$17.50,$17.3024
10/07/2024,$17.53,1150696,$17.78,$17.83,$17.50
10/04/2024,$17.68,846296,$17.70,$17.77,$17.603
10/03/2024,$17.62,1663414,$17.38,$17.70,$17.29
10/02/2024,$17.34,2035436,$17.58,$17.63,$17.20
10/01/2024,$17.51,2601683,$17.32,$17.54,$17.255
09/30/2024,$17.37,2504450,$17.43,$17.46,$17.15
09/27/2024,$17.49,2720248,$17.35,$17.51,$17.18
09/26/2024,$17.30,4821239,$17.94,$17.945,$17.10
09/25/2024,$18.03,2515367,$18.15,$18.15,$17.875
09/24/2024,$18.07,1818217,$18.08,$18.15,$17.844
09/23/2024,$18.03,2607443,$17.70,$18.065,$17.69
09/20/2024,$17.75,3616119,$17.78,$18.02,$17.65
09/19/2024,$17.87,2261821,$17.99,$17.99,$17.755
09/18/2024,$17.69,1738770,$17.74,$17.93,$17.61
09/17/2024,$17.79,1531860,$17.85,$17.99,$17.728
09/16/2024,$17.79,1436481,$17.75,$17.83,$17.6603
09/13/2024,$17.71,1922444,$17.43,$17.73,$17.38
09/12/2024,$17.41,988673,$17.39,$17.52,$17.27
09/11/2024,$17.26,1597938,$17.11,$17.37,$16.955
09/10/2024,$17.12,2863132,$17.20,$17.245,$16.97
09/09/2024,$17.25,1690139,$17.48,$17.58,$17.215
09/06/2024,$17.37,3055342,$17.62,$17.73,$17.235
09/05/2024,$17.62,1158922,$17.73,$17.82,$17.605
09/04/2024,$17.54,1537336,$17.55,$17.90,$17.5202
09/03/2024,$17.62,1901527,$17.90,$17.90,$17.33
08/30/2024,$17.94,2045943,$17.60,$18.04,$17.60
08/29/2024,$17.76,1934411,$17.30,$17.77,$17.30
08/28/2024,$17.29,2851834,$17.50,$17.64,$17.265
08/27/2024,$17.66,2056541,$17.89,$17.95,$17.57
08/26/2024,$17.91,2013675,$17.93,$18.04,$17.73
08/23/2024,$17.85,1648721,$17.77,$17.925,$17.69
08/22/2024,$17.67,1325761,$17.60,$17.735,$17.53
08/21/2024,$17.58,1308176,$17.55,$17.595,$17.365
08/20/2024,$17.46,1383113,$17.75,$17.785,$17.35
08/19/2024,$17.76,2266797,$17.50,$17.83,$17.45
08/16/2024,$17.54,1973399,$17.19,$17.56,$17.19
08/15/2024,$17.36,2118644,$17.30,$17.53,$17.22
08/14/2024,$17.30,2433619,$17.13,$17.36,$16.99
08/13/2024,$17.05,4676059,$17.14,$17.15,$16.825
08/12/2024,$17.02,1900071,$17.21,$17.40,$16.985
08/09/2024,$17.28,2097292,$17.59,$17.65,$17.11
08/08/2024,$17.59,3117190,$17.40,$17.63,$17.24
08/07/2024,$17.27,2832280,$17.70,$17.71,$17.27
08/06/2024,$17.37,2878743,$17.15,$17.49,$17.01
08/05/2024,$17.00,5062394,$16.95,$17.01,$16.31
08/02/2024,$17.42,4580684,$17.99,$17.99,$17.25
