Date,Close/Last,Volume,Open,High,Low
11/29/2024,$54.11,379066,$53.88,$54.55,$53.88
11/27/2024,$53.94,643558,$54.06,$54.68,$53.68
11/26/2024,$54.26,858091,$54.63,$55.55,$54.1054
11/25/2024,$54.20,1546340,$56.55,$56.7599,$53.96
11/22/2024,$56.55,883496,$54.61,$56.63,$54.57
11/21/2024,$54.69,709087,$54.73,$55.24,$54.35
11/20/2024,$54.01,671883,$53.31,$54.3399,$53.29
11/19/2024,$53.23,538601,$52.22,$53.26,$52.0602
11/18/2024,$52.69,626412,$51.45,$52.86,$50.7101
11/15/2024,$50.84,772407,$51.00,$52.00,$50.73
11/14/2024,$51.36,891776,$52.13,$52.57,$50.97
11/13/2024,$52.48,715837,$52.91,$53.13,$52.18
11/12/2024,$52.83,801044,$54.00,$54.38,$52.80
11/11/2024,$53.68,994471,$54.26,$54.78,$53.60
11/08/2024,$54.45,824281,$54.78,$55.21,$53.96
11/07/2024,$54.78,893243,$55.00,$55.32,$54.39
11/06/2024,$55.42,1251079,$54.40,$56.0786,$53.925
11/05/2024,$52.63,1489838,$53.97,$54.66,$52.11
11/04/2024,$52.94,1223112,$52.39,$53.25,$52.2926
11/01/2024,$52.16,851139,$52.11,$53.23,$51.80
10/31/2024,$51.90,672961,$52.15,$52.525,$51.86
10/30/2024,$51.89,525043,$51.63,$52.07,$51.30
10/29/2024,$51.18,658952,$51.36,$51.6599,$50.875
10/28/2024,$51.36,750258,$50.62,$51.61,$50.50
10/25/2024,$52.33,622344,$52.96,$53.25,$51.98
10/24/2024,$52.46,460245,$51.92,$52.59,$51.76
10/23/2024,$51.74,678181,$52.39,$52.98,$51.68
10/22/2024,$52.74,724639,$51.64,$52.89,$51.64
10/21/2024,$51.63,720482,$52.06,$52.06,$51.03
10/18/2024,$51.29,673679,$51.82,$52.00,$51.23
10/17/2024,$51.91,470736,$51.38,$51.96,$51.1101
10/16/2024,$51.36,631997,$50.41,$51.52,$50.345
10/15/2024,$50.29,775649,$50.805,$50.99,$49.93
10/14/2024,$51.97,674836,$51.73,$52.28,$51.36
10/11/2024,$52.09,1107608,$50.50,$52.32,$50.40
10/10/2024,$50.45,690078,$50.84,$51.13,$50.34
10/09/2024,$50.80,903063,$50.22,$50.83,$49.8501
10/08/2024,$50.48,1143797,$50.74,$50.9431,$49.8402
10/07/2024,$51.29,1192974,$50.30,$51.73,$50.30
10/04/2024,$50.22,1552903,$48.83,$50.37,$48.54
10/03/2024,$48.51,2105241,$47.30,$48.60,$46.80
10/02/2024,$46.96,962573,$47.31,$47.31,$46.51
10/01/2024,$46.40,1436260,$44.93,$46.73,$44.645
09/30/2024,$45.11,1350463,$44.78,$45.525,$44.26
09/27/2024,$44.86,3459595,$44.44,$45.01,$44.09
09/26/2024,$44.00,2052045,$46.07,$46.41,$43.90
09/25/2024,$47.07,1127159,$47.21,$47.85,$46.615
09/24/2024,$47.53,1005992,$47.50,$47.68,$46.59
09/23/2024,$46.92,1706511,$45.68,$47.045,$45.62
09/20/2024,$45.66,14601690,$45.13,$45.87,$44.45
09/19/2024,$45.45,2093822,$45.90,$46.39,$45.24
09/18/2024,$45.04,1751186,$44.48,$45.84,$44.45
09/17/2024,$44.84,1762485,$43.22,$45.05,$43.22
09/16/2024,$43.32,2120592,$43.31,$43.83,$42.6202
09/13/2024,$42.97,1985876,$43.57,$44.065,$42.68
09/12/2024,$43.35,7379200,$43.66,$44.42,$42.95
09/11/2024,$45.13,1001335,$45.03,$45.40,$44.14
09/10/2024,$44.79,2035697,$46.62,$46.64,$44.34
09/09/2024,$46.87,3333523,$47.56,$49.3699,$46.62
09/06/2024,$45.60,1173204,$46.28,$46.60,$45.16
09/05/2024,$46.43,1006241,$46.99,$46.99,$45.83
09/04/2024,$46.35,900767,$46.36,$47.12,$46.16
09/03/2024,$46.43,986268,$46.71,$46.92,$46.01
