Date,Close/Last,Volume,Open,High,Low
11/29/2024,$180.32,349604,$179.50,$182.135,$178.80
11/27/2024,$179.05,827295,$187.51,$190.00,$178.94
11/26/2024,$187.29,1729573,$198.51,$201.6437,$186.81
11/25/2024,$179.29,1052740,$178.00,$180.79,$177.315
11/22/2024,$176.05,840198,$173.62,$176.23,$172.72
11/21/2024,$172.54,557874,$172.68,$174.41,$171.86
11/20/2024,$172.17,813119,$171.65,$173.03,$169.39
11/19/2024,$170.85,584789,$168.84,$171.06,$168.08
11/18/2024,$169.91,289028,$169.83,$170.86,$168.49
11/15/2024,$169.545,282573,$173.00,$173.28,$169.25
11/14/2024,$172.89,352448,$175.74,$176.77,$172.1201
11/13/2024,$175.71,349050,$175.55,$177.86,$174.26
11/12/2024,$175.23,384458,$176.52,$177.41,$173.90
11/11/2024,$176.64,377018,$179.06,$179.59,$176.21
11/08/2024,$178.45,499322,$177.91,$180.135,$176.85
11/07/2024,$176.97,1035573,$172.94,$177.71,$172.00
11/06/2024,$172.52,736962,$170.56,$173.44,$168.80
11/05/2024,$166.57,484408,$164.00,$167.95,$163.00
11/04/2024,$163.88,519949,$161.61,$164.39,$160.98
11/01/2024,$161.32,458409,$164.21,$164.815,$161.151
10/31/2024,$164.09,327527,$164.62,$164.995,$162.03
10/30/2024,$165.30,337394,$162.60,$166.70,$162.60
10/29/2024,$163.90,425570,$163.94,$164.57,$162.10
10/28/2024,$164.88,313001,$164.99,$165.93,$163.36
10/25/2024,$164.04,303701,$162.53,$164.165,$161.965
10/24/2024,$161.52,278574,$164.18,$164.31,$161.44
10/23/2024,$164.41,214816,$163.98,$164.69,$163.22
10/22/2024,$164.31,281148,$164.83,$164.83,$162.99
10/21/2024,$165.47,269322,$165.70,$166.24,$164.64
10/18/2024,$165.00,183720,$166.10,$166.10,$164.46
10/17/2024,$165.44,334868,$167.04,$167.04,$164.52
10/16/2024,$165.63,232246,$164.69,$166.26,$164.69
10/15/2024,$164.16,327784,$164.52,$164.8343,$162.29
10/14/2024,$165.39,284185,$164.20,$165.60,$163.34
10/11/2024,$163.74,278271,$159.71,$164.385,$159.2801
10/10/2024,$159.71,451746,$160.75,$160.785,$158.18
10/09/2024,$161.98,367758,$161.13,$162.57,$160.23
10/08/2024,$161.13,665937,$165.18,$165.80,$160.96
10/07/2024,$165.71,363176,$167.00,$168.1376,$164.19
10/04/2024,$167.62,535905,$164.98,$167.72,$163.30
10/03/2024,$166.27,430057,$171.10,$171.41,$166.14
10/02/2024,$171.45,303962,$169.62,$172.54,$169.02
10/01/2024,$169.34,342638,$170.36,$170.36,$167.37
09/30/2024,$171.51,267182,$170.33,$171.59,$169.1552
09/27/2024,$170.51,255114,$171.66,$171.66,$169.31
09/26/2024,$170.43,231600,$170.51,$172.37,$169.3195
09/25/2024,$169.29,208416,$169.77,$171.24,$168.85
09/24/2024,$169.28,201463,$170.41,$170.41,$168.19
09/23/2024,$169.81,239041,$168.68,$170.45,$168.08
09/20/2024,$168.04,1116111,$166.54,$168.78,$165.475
09/19/2024,$167.77,482240,$167.81,$168.28,$165.03
09/18/2024,$164.42,413259,$166.00,$168.42,$164.21
09/17/2024,$165.09,349324,$163.17,$165.44,$161.81
09/16/2024,$163.14,417532,$165.47,$166.52,$161.06
09/13/2024,$165.11,313895,$166.85,$168.00,$164.84
09/12/2024,$167.24,352459,$165.43,$167.38,$164.60
09/11/2024,$164.84,348683,$163.65,$165.11,$159.59
09/10/2024,$163.23,456945,$165.44,$165.44,$162.615
09/09/2024,$164.36,467333,$160.82,$164.47,$160.765
09/06/2024,$159.41,514630,$161.75,$162.99,$157.86
09/05/2024,$161.72,467427,$162.19,$162.67,$160.6875
09/04/2024,$162.05,551770,$158.79,$162.81,$158.62
09/03/2024,$159.37,460717,$164.71,$165.085,$158.89
08/30/2024,$166.65,523273,$166.91,$168.69,$165.08
08/29/2024,$166.83,421314,$166.18,$169.08,$165.587
08/28/2024,$164.83,575089,$166.43,$167.89,$162.30
08/27/2024,$166.14,494165,$162.38,$166.62,$161.24
08/26/2024,$162.65,250957,$162.58,$163.95,$161.71
08/23/2024,$162.52,435537,$160.14,$163.20,$159.57
08/22/2024,$159.14,308082,$158.59,$160.40,$157.49
08/21/2024,$158.59,392387,$155.92,$159.20,$155.5331
08/20/2024,$153.74,218342,$155.23,$155.385,$153.06
08/19/2024,$155.47,268170,$155.51,$156.56,$154.99
08/16/2024,$155.66,288802,$156.13,$156.955,$155.03
08/15/2024,$156.13,341112,$156.34,$157.09,$154.84
08/14/2024,$154.41,363211,$156.90,$156.90,$154.07
08/13/2024,$156.04,387830,$157.35,$157.74,$154.74
08/12/2024,$156.24,338696,$157.07,$157.30,$155.1094
08/09/2024,$156.92,319780,$157.85,$158.6027,$155.43
08/08/2024,$157.61,339554,$154.21,$157.845,$154.21
08/07/2024,$152.98,510914,$156.27,$157.47,$152.685
08/06/2024,$153.95,537928,$153.06,$156.10,$153.06
08/05/2024,$152.82,648341,$147.51,$154.305,$145.98
08/02/2024,$152.36,697765,$151.01,$152.86,$149.25
08/01/2024,$154.91,916340,$156.22,$160.48,$153.01
07/31/2024,$155.99,1279822,$155.68,$159.315,$153.5501
07/30/2024,$151.73,3027786,$153.11,$159.83,$148.66
07/29/2024,$183.19,593358,$182.83,$184.87,$181.67
07/26/2024,$183.13,484656,$182.21,$184.97,$181.755
07/25/2024,$179.34,493966,$177.13,$182.92,$175.35
07/24/2024,$177.17,387374,$182.33,$184.39,$176.77
07/23/2024,$183.83,273972,$179.10,$184.795,$179.10
07/22/2024,$179.84,307352,$177.62,$179.92,$175.47
