Date,Close/Last,Volume,Open,High,Low
11/29/2024,$100.72,797236,$100.83,$101.28,$100.271
11/27/2024,$100.74,991514,$100.79,$101.66,$100.4801
11/26/2024,$100.41,1269217,$100.10,$100.69,$99.42
11/25/2024,$100.06,4050708,$99.91,$100.62,$98.8307
11/22/2024,$99.69,1569642,$98.62,$99.80,$98.033
11/21/2024,$98.59,1923688,$95.66,$98.78,$95.515
11/20/2024,$95.71,2890219,$95.83,$96.0324,$94.0011
11/19/2024,$95.69,1554619,$96.09,$96.585,$95.28
11/18/2024,$96.98,2255789,$96.55,$97.145,$95.745
11/15/2024,$101.83,2727138,$100.54,$102.37,$100.54
11/14/2024,$100.05,2165656,$101.36,$102.105,$99.6401
11/13/2024,$101.18,1736058,$101.21,$102.125,$100.75
11/12/2024,$101.12,2401959,$100.51,$101.36,$100.20
11/11/2024,$100.50,2131682,$102.27,$102.505,$100.07
11/08/2024,$101.85,1887176,$102.45,$103.17,$101.00
11/07/2024,$99.80,2048921,$101.86,$102.16,$99.72
11/06/2024,$101.70,3283099,$101.88,$101.97,$100.15
11/05/2024,$96.50,1906988,$95.24,$96.52,$95.0545
11/04/2024,$95.00,2293361,$96.155,$96.275,$94.9501
11/01/2024,$96.02,4006539,$98.57,$99.335,$95.86
10/31/2024,$98.56,3438397,$102.12,$103.21,$98.27
10/30/2024,$105.14,1727380,$104.65,$105.76,$104.00
10/29/2024,$104.80,1316856,$105.93,$106.63,$104.68
10/28/2024,$105.66,1224753,$105.54,$106.34,$105.40
10/25/2024,$105.30,1490458,$106.68,$107.19,$104.90
10/24/2024,$107.04,1467516,$107.33,$107.89,$106.84
10/23/2024,$107.00,1635356,$107.58,$107.905,$106.3701
10/22/2024,$107.79,1078369,$108.35,$108.73,$106.4504
10/21/2024,$108.50,1302308,$108.53,$109.61,$107.96
10/18/2024,$108.53,4339404,$108.47,$108.68,$107.6435
10/17/2024,$108.25,1953991,$108.09,$109.13,$107.47
10/16/2024,$107.47,1696177,$108.07,$109.68,$107.324
10/15/2024,$108.06,2561838,$111.17,$111.34,$107.98
10/14/2024,$111.09,2676982,$113.10,$113.10,$108.96
10/11/2024,$114.40,1452446,$114.62,$115.06,$113.9953
10/10/2024,$113.90,1352158,$115.72,$116.405,$113.1207
10/09/2024,$113.09,2072506,$109.53,$113.25,$109.37
10/08/2024,$109.91,2177845,$108.70,$110.69,$108.70
10/07/2024,$107.79,3264614,$115.25,$116.47,$106.705
10/04/2024,$114.86,1293413,$112.19,$115.03,$112.00
10/03/2024,$112.85,891059,$113.38,$113.87,$112.75
10/02/2024,$113.74,961455,$113.51,$114.4499,$113.1001
10/01/2024,$113.51,1238191,$111.79,$114.05,$111.38
09/30/2024,$111.88,2391389,$113.37,$113.53,$110.05
09/27/2024,$113.41,1356217,$112.73,$113.67,$112.4716
09/26/2024,$112.57,1440969,$112.23,$113.65,$112.09
09/25/2024,$113.07,1052811,$113.69,$113.91,$112.62
09/24/2024,$113.35,1091094,$113.66,$114.19,$112.79
09/23/2024,$113.66,1201041,$113.61,$114.00,$113.20
09/20/2024,$113.24,3369187,$111.55,$113.42,$110.66
09/19/2024,$111.42,1770122,$113.08,$113.315,$111.02
09/18/2024,$113.04,891510,$114.19,$114.2689,$112.40
09/17/2024,$113.96,991041,$114.11,$114.69,$113.582
09/16/2024,$114.22,996950,$112.95,$114.39,$112.95
09/13/2024,$112.02,1487097,$110.75,$112.19,$110.38
09/12/2024,$110.26,1198899,$109.53,$110.33,$109.31
09/11/2024,$109.75,1308412,$111.26,$111.87,$108.77
09/10/2024,$111.28,1118154,$111.75,$112.99,$111.06
09/09/2024,$111.73,1457277,$111.20,$112.49,$110.58
09/06/2024,$110.45,1211501,$112.00,$112.86,$110.27
09/05/2024,$112.19,1551559,$113.21,$113.62,$111.38
09/04/2024,$113.32,1124935,$114.00,$114.6534,$112.81
09/03/2024,$113.25,1846630,$113.09,$114.28,$112.62
08/30/2024,$113.09,2739377,$112.97,$113.66,$112.155
08/29/2024,$112.81,1341262,$111.28,$112.97,$110.28
08/28/2024,$111.01,990552,$111.10,$111.56,$110.13
08/27/2024,$110.68,1446729,$109.77,$110.81,$109.66
08/26/2024,$109.49,1228005,$108.99,$110.12,$108.84
08/23/2024,$109.02,1514536,$106.96,$109.145,$106.335
08/22/2024,$106.51,1144956,$104.75,$106.54,$104.75
08/21/2024,$104.60,1013401,$103.20,$104.72,$102.97
08/20/2024,$102.80,700724,$102.97,$103.29,$102.275
08/19/2024,$103.00,865195,$102.54,$103.47,$102.36
08/16/2024,$102.55,801677,$102.31,$102.90,$101.53
08/15/2024,$101.65,1076510,$101.43,$102.35,$100.95
08/14/2024,$100.90,1239143,$97.99,$101.04,$97.99
08/13/2024,$97.73,848594,$98.56,$98.56,$96.81
08/12/2024,$97.97,740707,$98.43,$99.28,$97.777
08/09/2024,$98.79,737449,$98.40,$98.95,$97.87
08/08/2024,$98.40,1091827,$96.43,$98.71,$96.15
08/07/2024,$96.80,1537303,$96.37,$97.965,$96.345
08/06/2024,$96.64,1402003,$96.22,$97.672,$96.22
08/05/2024,$96.06,2599979,$100.33,$100.57,$94.4101
08/02/2024,$98.67,3584653,$96.95,$99.39,$96.52
08/01/2024,$97.10,2039986,$96.18,$97.22,$94.08
07/31/2024,$95.78,2449662,$100.17,$100.57,$94.77
07/30/2024,$98.20,1506017,$97.57,$99.08,$97.504
07/29/2024,$97.01,1131101,$96.91,$97.805,$96.65
07/26/2024,$96.91,1108464,$94.89,$97.87,$94.555
07/25/2024,$94.465,1366761,$96.72,$96.8574,$94.17
07/24/2024,$96.40,1002374,$97.00,$97.53,$96.24
07/23/2024,$96.23,605328,$97.12,$97.415,$96.07
07/22/2024,$96.57,972987,$96.13,$97.225,$95.79
07/19/2024,$96.10,1029054,$98.62,$98.82,$95.78
07/18/2024,$98.24,912290,$97.84,$99.195,$97.685
07/17/2024,$97.87,1049224,$97.94,$98.63,$97.48
07/16/2024,$97.11,1100037,$97.16,$98.27,$96.86
07/15/2024,$97.16,1271360,$96.55,$98.28,$96.51
07/12/2024,$96.50,1557504,$97.31,$97.64,$96.44
07/11/2024,$97.00,1702311,$97.40,$97.57,$95.705
07/10/2024,$97.50,1047915,$98.20,$98.39,$97.32
07/09/2024,$98.00,1460668,$98.17,$99.05,$97.93
07/08/2024,$98.26,1335144,$98.57,$99.57,$98.24
07/05/2024,$98.15,1411057,$97.88,$98.37,$97.08
07/03/2024,$97.65,1279956,$99.92,$100.20,$97.3399
07/02/2024,$100.00,1249456,$100.11,$100.33,$99.09
07/01/2024,$100.65,1344724,$101.97,$102.34,$100.58
06/28/2024,$100.89,3818454,$100.60,$101.37,$99.59
06/27/2024,$101.02,1227596,$100.24,$101.22,$99.24
06/26/2024,$99.77,1370634,$101.44,$101.65,$99.09
06/25/2024,$102.15,879702,$102.52,$103.44,$101.93
