Date,Close/Last,Volume,Open,High,Low
11/29/2024,$238.00,1161320,$237.46,$238.97,$235.8988
11/27/2024,$237.33,2129150,$235.18,$238.12,$234.22
11/26/2024,$234.39,2752881,$229.77,$235.18,$229.08
11/25/2024,$229.37,3149002,$229.98,$229.98,$227.01
11/22/2024,$229.04,3050367,$227.50,$229.94,$226.905
11/21/2024,$226.56,1864641,$229.18,$229.18,$226.02
11/20/2024,$228.00,2114027,$230.54,$230.59,$226.20
11/19/2024,$229.66,1971885,$226.77,$230.7399,$225.69
11/18/2024,$227.56,1347238,$225.47,$228.26,$225.02
11/15/2024,$225.28,2125179,$223.71,$226.6685,$222.56
11/14/2024,$223.42,1817088,$228.04,$228.92,$222.875
11/13/2024,$228.14,1960002,$226.73,$228.58,$226.186
11/12/2024,$226.31,1496424,$226.71,$227.96,$225.775
11/11/2024,$225.93,1263917,$226.93,$227.93,$225.56
11/08/2024,$225.66,1798000,$223.72,$227.5199,$222.88
11/07/2024,$222.04,1999485,$221.77,$223.00,$220.41
11/06/2024,$221.17,3663325,$226.14,$226.38,$213.94
11/05/2024,$225.19,1182956,$223.24,$225.44,$223.00
11/04/2024,$223.08,1193268,$223.71,$225.04,$221.01
11/01/2024,$223.61,1318587,$224.55,$225.67,$223.40
10/31/2024,$225.36,1662999,$228.23,$228.23,$224.86
10/30/2024,$227.26,1211316,$226.07,$227.85,$225.47
10/29/2024,$227.09,1286162,$228.96,$229.11,$227.06
10/28/2024,$228.12,1327357,$226.10,$228.81,$225.57
10/25/2024,$226.14,974728,$229.47,$229.47,$225.30
10/24/2024,$229.69,1360452,$226.78,$230.36,$226.215
10/23/2024,$227.14,2044145,$221.01,$227.79,$220.945
10/22/2024,$226.17,1933648,$226.80,$227.24,$225.41
10/21/2024,$227.05,1138187,$226.61,$228.03,$225.99
10/18/2024,$228.32,1203010,$227.23,$229.14,$226.00
10/17/2024,$227.23,1816833,$228.21,$230.12,$226.875
10/16/2024,$227.17,1248203,$223.77,$227.28,$223.68
10/15/2024,$224.82,1589898,$224.31,$225.885,$222.95
10/14/2024,$224.20,1429407,$221.63,$224.29,$221.42
10/11/2024,$221.72,1123088,$221.86,$221.93,$220.30
10/10/2024,$221.25,958079,$222.00,$222.35,$220.11
10/09/2024,$221.46,1488878,$221.09,$223.01,$220.56
10/08/2024,$221.68,2138388,$222.85,$223.84,$220.56
