Date,Close/Last,Volume,Open,High,Low
11/29/2024,$81.34,1062956,$82.36,$82.49,$81.10
11/27/2024,$81.97,1754033,$80.53,$82.23,$80.17
11/26/2024,$79.92,1913802,$80.41,$81.14,$79.48
11/25/2024,$80.28,3044944,$80.87,$81.75,$79.80
11/22/2024,$79.81,3842535,$76.90,$80.61,$76.90
11/21/2024,$77.00,2001125,$76.82,$77.20,$74.90
11/20/2024,$76.27,4391412,$71.52,$76.4552,$71.51
11/19/2024,$72.09,2026207,$72.87,$73.30,$71.96
11/18/2024,$73.35,3527538,$71.35,$73.465,$70.77
11/15/2024,$71.25,3569653,$74.96,$74.98,$71.06
11/14/2024,$75.04,2697507,$75.46,$76.36,$74.85
11/13/2024,$75.77,1736636,$75.46,$76.33,$75.34
11/12/2024,$75.41,2535016,$75.70,$76.155,$75.11
11/11/2024,$75.87,3044960,$77.86,$78.00,$75.85
11/08/2024,$77.39,2277981,$76.50,$77.64,$76.49
11/07/2024,$76.30,2602613,$74.80,$76.91,$74.735
11/06/2024,$74.87,3496878,$76.89,$76.99,$74.35
11/05/2024,$75.34,2419554,$74.02,$75.905,$73.71
11/04/2024,$73.83,2681395,$72.69,$74.41,$72.68
11/01/2024,$72.50,1926886,$72.71,$73.745,$71.96
10/31/2024,$72.79,2342852,$73.42,$74.18,$72.79
10/30/2024,$73.46,2447892,$73.30,$74.29,$73.09
10/29/2024,$73.24,2984841,$75.22,$75.605,$73.20
10/28/2024,$74.31,5792027,$74.97,$75.47,$73.485
10/25/2024,$74.48,4795674,$74.39,$75.62,$73.8601
10/24/2024,$73.91,7892325,$72.56,$74.84,$71.63
10/23/2024,$72.82,14631270,$72.435,$72.96,$68.256
10/22/2024,$76.87,2881570,$77.57,$77.74,$75.9888
10/21/2024,$77.36,2546815,$78.49,$79.27,$77.00
10/18/2024,$79.25,2718136,$78.47,$79.78,$77.93
10/17/2024,$78.33,2791222,$77.30,$78.52,$76.7905
10/16/2024,$77.23,2764797,$78.28,$78.77,$76.21
10/15/2024,$78.22,2019014,$77.41,$78.83,$77.31
10/14/2024,$77.34,2088066,$76.68,$77.41,$75.97
10/11/2024,$76.27,2339294,$74.90,$76.91,$74.89
10/10/2024,$74.83,2016853,$74.88,$75.56,$74.26
10/09/2024,$75.70,1650070,$75.11,$76.17,$74.775
10/08/2024,$75.15,1715692,$73.22,$76.73,$73.22
10/07/2024,$73.30,1532507,$73.99,$74.21,$72.755
10/04/2024,$74.10,2048771,$74.44,$74.58,$73.15
10/03/2024,$73.90,1176518,$74.44,$74.92,$73.89
10/02/2024,$75.11,3182859,$73.87,$75.19,$73.704
10/01/2024,$74.65,1612967,$75.36,$75.44,$73.76
09/30/2024,$75.44,2023905,$74.95,$75.67,$74.45
09/27/2024,$75.01,1634694,$75.46,$76.23,$74.87
09/26/2024,$74.73,4035783,$75.50,$75.51,$73.78
09/25/2024,$73.70,1983027,$76.35,$76.35,$73.59
09/24/2024,$76.34,1868130,$77.02,$77.41,$76.30
09/23/2024,$77.37,1546419,$77.80,$78.27,$76.99
09/20/2024,$77.37,2934142,$78.99,$79.00,$76.73
09/19/2024,$79.29,3083616,$78.88,$80.275,$78.60
09/18/2024,$76.85,3632033,$75.82,$77.205,$73.84
09/17/2024,$75.73,2853614,$78.33,$78.6378,$75.66
09/16/2024,$77.90,1670787,$79.86,$80.4476,$77.84
09/13/2024,$78.87,1373648,$77.68,$79.1899,$77.605
09/12/2024,$77.97,1904568,$79.40,$79.76,$76.94
09/11/2024,$79.61,2163880,$78.76,$79.745,$77.00
09/10/2024,$79.20,1904872,$79.77,$79.85,$77.58
09/09/2024,$79.53,1752058,$77.66,$80.00,$76.915
09/06/2024,$77.45,1880857,$77.77,$79.17,$77.105
09/05/2024,$77.36,1232219,$77.67,$77.765,$76.17
09/04/2024,$77.20,1760111,$76.01,$77.33,$76.01
09/03/2024,$75.93,3116848,$76.82,$77.52,$75.33
08/30/2024,$77.30,1596227,$77.68,$78.015,$76.50
08/29/2024,$77.11,1652452,$76.89,$78.07,$76.41
08/28/2024,$76.525,1530485,$77.25,$77.2553,$75.90
08/27/2024,$77.17,1201320,$77.52,$77.745,$76.49
08/26/2024,$77.85,1546083,$77.45,$78.59,$77.45
08/23/2024,$76.99,1621698,$75.86,$78.3899,$75.86
08/22/2024,$75.55,1147104,$75.94,$76.18,$75.02
08/21/2024,$75.59,1356565,$75.16,$75.645,$74.84
08/20/2024,$74.84,1834308,$75.23,$75.47,$74.38
08/19/2024,$74.91,1474299,$74.04,$74.92,$74.01
08/16/2024,$74.04,1958187,$74.55,$74.73,$73.3825
08/15/2024,$74.55,1595367,$73.98,$74.77,$73.46
08/14/2024,$73.54,1764030,$73.10,$74.0287,$72.75
08/13/2024,$73.17,2491278,$72.14,$73.64,$71.79
08/12/2024,$72.03,1822572,$73.82,$73.82,$71.69
