Date,Close/Last,Volume,Open,High,Low
11/29/2024,$24.00,15055,$23.96,$24.3709,$23.91
11/27/2024,$23.83,6646,$23.61,$23.895,$23.61
11/26/2024,$23.72,10850,$23.7999,$23.7999,$23.6562
11/25/2024,$23.82,6051,$23.50,$23.86,$23.49
11/22/2024,$23.30,12083,$23.15,$23.36,$23.15
11/21/2024,$23.20,23945,$22.96,$23.20,$22.96
11/20/2024,$22.77,6814,$22.93,$22.93,$22.75
11/19/2024,$22.93,14269,$22.96,$23.03,$22.83
11/18/2024,$23.03,22089,$23.00,$23.15,$22.9001
11/15/2024,$22.98,12927,$23.04,$23.06,$22.95
11/14/2024,$23.40,25067,$23.427,$23.45,$23.35
11/13/2024,$23.25,30688,$23.475,$23.54,$23.20
11/12/2024,$23.36,11885,$23.48,$23.65,$23.3403
11/11/2024,$23.58,11464,$23.669,$23.82,$23.56
11/08/2024,$23.83,13502,$23.59,$23.83,$23.565
11/07/2024,$23.54,37604,$23.25,$23.59,$23.17
11/06/2024,$23.23,16136,$23.56,$23.56,$23.20
11/05/2024,$23.72,11967,$23.34,$23.72,$23.34
11/04/2024,$23.38,21443,$23.28,$23.5399,$23.28
11/01/2024,$23.20,24841,$23.42,$23.50,$23.20
10/31/2024,$23.32,81586,$23.83,$23.83,$23.24
10/30/2024,$23.71,4433,$23.82,$23.84,$23.70
10/29/2024,$23.66,12982,$23.85,$23.9099,$23.6226
10/28/2024,$23.85,10506,$24.00,$24.00,$23.75
10/25/2024,$23.79,4052,$23.99,$24.05,$23.7501
10/24/2024,$23.87,5567,$23.905,$24.05,$23.8338
10/23/2024,$23.74,8111,$23.84,$24.1499,$23.74
10/22/2024,$23.90,6828,$24.00,$24.1273,$23.8787
10/21/2024,$24.03,5724,$24.15,$24.15,$23.90
10/18/2024,$24.21,17192,$24.21,$24.35,$24.20
10/17/2024,$24.13,9202,$24.19,$24.19,$24.01
10/16/2024,$24.16,11482,$24.15,$24.27,$24.15
10/15/2024,$24.25,23449,$23.9817,$24.25,$23.95
10/14/2024,$23.8886,9686,$23.988,$23.9999,$23.8886
10/11/2024,$24.00,8365,$23.91,$24.00,$23.88
10/10/2024,$23.85,8692,$23.80,$23.92,$23.73
10/09/2024,$23.81,27606,$24.06,$24.10,$23.81
10/08/2024,$23.915,5114,$23.81,$23.99,$23.80
10/07/2024,$23.825,27048,$24.02,$24.08,$23.76
10/04/2024,$24.0754,8495,$23.97,$24.14,$23.7601
10/03/2024,$24.05,17309,$23.96,$24.18,$23.95
10/02/2024,$23.97,14464,$23.97,$23.99,$23.86
10/01/2024,$23.89,26342,$23.75,$23.98,$23.72
09/30/2024,$23.71,204959,$24.11,$24.38,$23.64
09/27/2024,$24.115,28737,$24.35,$24.35,$24.115
09/26/2024,$24.26,14474,$24.38,$24.4967,$24.26
09/25/2024,$24.29,37785,$24.58,$24.68,$24.26
09/24/2024,$24.46,24384,$24.80,$24.80,$24.41
09/23/2024,$24.78,13737,$24.86,$25.02,$24.6078
09/20/2024,$24.87,12031,$24.75,$24.9672,$24.75
09/19/2024,$24.7999,7104,$24.80,$24.80,$24.47
09/18/2024,$24.80,6627,$24.4101,$24.90,$24.4101
09/17/2024,$24.70,5381,$24.5859,$24.725,$24.5343
09/16/2024,$24.53,12653,$24.26,$24.54,$24.26
09/13/2024,$24.20,17676,$24.15,$24.20,$24.0501
09/12/2024,$24.122,3288,$24.11,$24.122,$24.07
09/11/2024,$24.04,2841,$24.13,$24.13,$23.84
09/10/2024,$24.1284,2277,$24.15,$24.15,$24.0624
09/09/2024,$23.99,8090,$24.06,$24.15,$23.92
09/06/2024,$24.01,16258,$24.10,$24.15,$23.79
09/05/2024,$24.14,8265,$23.97,$24.15,$23.97
09/04/2024,$23.93,11729,$23.98,$24.00,$23.83
09/03/2024,$24.00,11965,$23.99,$24.00,$23.71
08/30/2024,$23.86,11475,$23.81,$24.00,$23.81
08/29/2024,$23.85,10754,$23.88,$23.98,$23.8001
08/28/2024,$23.91,7022,$23.86,$23.98,$23.86
08/27/2024,$23.7801,7403,$23.98,$23.98,$23.7801
08/26/2024,$23.90,7144,$23.95,$23.98,$23.86
08/23/2024,$23.95,22878,$23.95,$23.98,$23.7205
08/22/2024,$23.98,8060,$23.95,$24.00,$23.76
08/21/2024,$23.95,10362,$23.97,$24.00,$23.91
08/20/2024,$23.90,21608,$23.64,$23.98,$23.5209
08/19/2024,$23.60,10463,$23.73,$23.75,$23.52
08/16/2024,$23.54,20475,$23.78,$23.89,$23.48
08/15/2024,$23.66,6726,$23.47,$23.8307,$23.47
08/14/2024,$23.945,6278,$24.00,$24.00,$23.74
08/13/2024,$23.94,13534,$23.93,$23.97,$23.7387
08/12/2024,$23.95,13983,$23.70,$23.95,$23.60
08/09/2024,$23.76,10633,$23.65,$23.92,$23.59
08/08/2024,$23.605,1913,$23.65,$23.65,$23.60
08/07/2024,$23.70,13631,$23.98,$23.98,$23.56
08/06/2024,$23.8025,29227,$23.60,$23.96,$23.29
08/05/2024,$23.61,20098,$23.06,$23.75,$22.9467
08/02/2024,$23.49,51603,$22.98,$23.50,$22.8739
08/01/2024,$22.98,12529,$22.8821,$23.0617,$22.82
07/31/2024,$23.00,28583,$23.14,$23.15,$22.9034
07/30/2024,$22.95,12122,$22.88,$23.00,$22.78
07/29/2024,$22.64,12031,$22.5701,$22.8399,$22.5701
07/26/2024,$22.57,25150,$22.59,$22.85,$22.5601
07/25/2024,$22.54,10494,$22.64,$22.84,$22.54
07/24/2024,$22.6499,7299,$22.66,$22.67,$22.575
07/23/2024,$22.63,10595,$22.70,$22.86,$22.60
07/22/2024,$22.74,8411,$22.72,$22.7499,$22.52
07/19/2024,$22.605,3687,$22.6299,$22.69,$22.5001
07/18/2024,$22.62,10383,$22.4999,$22.66,$22.45
07/17/2024,$22.4999,8069,$22.41,$22.50,$22.3301
07/16/2024,$22.405,15698,$22.50,$22.50,$22.33
07/15/2024,$22.36,5649,$22.49,$22.49,$22.1001
07/12/2024,$22.4635,7795,$22.47,$22.50,$22.35
07/11/2024,$22.38,11438,$22.00,$22.3824,$22.00
07/10/2024,$21.98,12367,$21.73,$22.00,$21.73
07/09/2024,$21.78,4020,$21.7355,$21.78,$21.7001
07/08/2024,$21.7312,11127,$21.57,$21.78,$21.57
07/05/2024,$21.67,2898,$21.52,$21.67,$21.52
07/03/2024,$21.65,6978,$21.55,$21.6902,$21.55
07/02/2024,$21.50,7302,$21.60,$21.60,$21.46
07/01/2024,$21.43,9246,$21.56,$21.57,$21.34
06/28/2024,$21.60,5436,$21.70,$21.78,$21.60
06/27/2024,$21.70,4331,$21.66,$21.72,$21.66
06/26/2024,$21.83,9912,$21.82,$21.90,$21.79
06/25/2024,$21.87,11283,$21.828,$22.10,$21.82
06/24/2024,$21.92,10676,$21.73,$22.0838,$21.73
06/21/2024,$21.81,7497,$21.68,$21.95,$21.60
06/20/2024,$21.694,12697,$21.72,$21.90,$21.65
06/18/2024,$21.81,25352,$21.60,$22.02,$21.60
06/17/2024,$21.60,9122,$21.5386,$21.7099,$21.46
06/14/2024,$21.73,13569,$21.90,$21.99,$21.51
06/13/2024,$21.87,13072,$21.80,$21.95,$21.55
06/12/2024,$21.75,17605,$21.72,$22.04,$21.65
06/11/2024,$21.65,12210,$21.85,$21.85,$21.53
06/10/2024,$21.8965,5118,$22.00,$22.00,$21.85
06/07/2024,$22.05,4162,$21.938,$22.05,$21.85
06/06/2024,$21.99,6201,$21.96,$22.00,$21.8801
06/05/2024,$21.955,8973,$22.10,$22.10,$21.91
06/04/2024,$22.055,4181,$22.00,$22.1501,$21.95
06/03/2024,$21.95,12823,$21.93,$22.4999,$21.82
05/31/2024,$21.74,14484,$21.86,$22.14,$21.74
05/30/2024,$21.97,8435,$21.705,$21.99,$21.6981
