Date,Close/Last,Volume,Open,High,Low
11/29/2024,$82.99,2741614,$83.58,$83.77,$82.98
11/27/2024,$83.05,2629981,$82.73,$83.50,$82.70
11/26/2024,$82.65,1964956,$81.80,$83.04,$81.10
11/25/2024,$81.52,3258188,$82.16,$82.39,$81.13
11/22/2024,$81.07,1684235,$80.76,$81.35,$80.51
11/21/2024,$80.88,2264469,$80.71,$81.13,$80.01
11/20/2024,$80.08,1647456,$80.778,$81.08,$79.78
11/19/2024,$80.16,1865497,$79.25,$80.34,$78.93
11/18/2024,$79.78,1866377,$78.36,$79.89,$78.36
11/15/2024,$78.76,4685236,$78.23,$78.93,$78.16
11/14/2024,$78.06,3188428,$80.48,$80.7692,$78.00
11/13/2024,$79.87,1861609,$79.50,$80.35,$79.40
11/12/2024,$79.13,2400965,$79.94,$79.94,$79.02
11/11/2024,$79.66,1911577,$78.855,$80.4078,$78.78
11/08/2024,$78.69,2247205,$78.62,$79.73,$78.22
11/07/2024,$78.18,2288058,$77.69,$78.29,$77.115
11/06/2024,$77.59,3894886,$78.88,$79.2706,$75.02
11/05/2024,$76.14,2146181,$74.585,$76.255,$74.13
11/04/2024,$74.81,2199112,$74.47,$74.96,$74.07
11/01/2024,$74.32,2969075,$73.93,$74.91,$73.89
10/31/2024,$73.92,2901329,$75.33,$75.4299,$73.83
10/30/2024,$75.55,2293743,$76.02,$76.705,$75.51
10/29/2024,$75.89,3382275,$75.02,$76.435,$74.865
10/28/2024,$75.34,2543875,$75.38,$75.89,$74.9601
10/25/2024,$74.69,2230617,$75.60,$75.68,$74.03
10/24/2024,$75.24,4038770,$73.24,$75.58,$72.80
10/23/2024,$73.91,2513568,$73.98,$74.49,$73.67
10/22/2024,$74.29,2365322,$73.73,$74.455,$73.53
10/21/2024,$74.30,1902672,$74.70,$74.87,$74.045
10/18/2024,$74.91,2145755,$74.33,$74.93,$73.845
10/17/2024,$74.14,2503321,$74.23,$74.53,$74.02
10/16/2024,$73.76,3082126,$73.12,$73.99,$72.61
10/15/2024,$73.03,1911362,$72.79,$73.60,$72.73
10/14/2024,$72.57,2933092,$72.06,$72.85,$72.00
10/11/2024,$71.62,2297222,$72.27,$72.4094,$71.375
10/10/2024,$71.84,2919273,$72.40,$72.68,$71.57
10/09/2024,$72.47,2144515,$72.33,$72.77,$72.01
10/08/2024,$72.19,3136020,$71.95,$72.59,$71.82
10/07/2024,$70.87,4187613,$72.11,$72.15,$70.61
10/04/2024,$72.12,2519293,$73.40,$73.40,$71.8081
