Date,Close/Last,Volume,Open,High,Low
11/29/2024,$123.84,779749,$124.37,$124.53,$122.74
11/27/2024,$124.16,1117477,$124.83,$124.83,$123.23
11/26/2024,$123.95,1307622,$122.56,$124.31,$122.04
11/25/2024,$122.97,2175088,$121.12,$123.29,$120.78
11/22/2024,$119.84,1352931,$118.45,$120.00,$118.135
11/21/2024,$118.18,1476953,$118.19,$118.85,$116.89
11/20/2024,$117.52,1150576,$117.74,$117.845,$116.08
11/19/2024,$117.95,1257083,$117.13,$118.21,$116.57
11/18/2024,$118.66,1142602,$119.00,$119.115,$118.05
11/15/2024,$118.77,1319129,$119.80,$120.65,$118.42
11/14/2024,$119.80,2279048,$118.31,$120.76,$118.25
11/13/2024,$118.49,1097987,$118.17,$120.18,$118.17
11/12/2024,$118.07,1227680,$117.73,$119.42,$117.4001
11/11/2024,$117.93,944166,$119.20,$119.325,$117.82
11/08/2024,$117.62,1383414,$119.49,$119.69,$117.48
11/07/2024,$120.06,1351561,$121.14,$121.14,$119.59
11/06/2024,$121.31,2588829,$122.01,$122.23,$119.55
11/05/2024,$114.52,1159534,$112.70,$114.55,$111.77
11/04/2024,$112.49,1921117,$111.98,$114.8349,$111.12
11/01/2024,$112.06,1739074,$109.12,$113.20,$108.615
10/31/2024,$109.86,2578420,$111.46,$111.46,$109.27
10/30/2024,$111.81,1135565,$111.84,$113.83,$111.71
10/29/2024,$112.38,1071041,$111.63,$112.625,$111.35
10/28/2024,$112.40,970646,$112.49,$112.79,$110.93
10/25/2024,$111.33,863146,$112.37,$113.02,$111.00
10/24/2024,$112.01,1079126,$110.83,$112.64,$110.59
10/23/2024,$109.53,1335160,$112.56,$112.95,$109.05
10/22/2024,$112.92,689770,$113.82,$114.015,$112.91
10/21/2024,$114.01,1032652,$114.97,$115.005,$113.795
10/18/2024,$115.63,1765058,$113.23,$115.97,$112.88
10/17/2024,$113.21,1674924,$112.28,$113.30,$111.38
10/16/2024,$111.58,1307115,$110.16,$111.68,$110.025
10/15/2024,$109.46,898870,$110.07,$111.265,$109.31
10/14/2024,$109.68,910988,$109.01,$109.76,$108.205
10/11/2024,$108.98,1072497,$108.29,$110.44,$108.165
10/10/2024,$108.00,1168226,$107.28,$108.29,$106.43
10/09/2024,$107.42,1292951,$106.44,$107.52,$106.00
10/08/2024,$106.60,785228,$106.72,$107.18,$106.21
10/07/2024,$106.63,1089012,$108.20,$108.31,$106.14
10/04/2024,$108.47,739131,$107.94,$108.56,$106.972
10/03/2024,$106.48,967729,$106.75,$106.90,$105.775
10/02/2024,$107.34,662216,$107.01,$108.1263,$106.8275
10/01/2024,$107.11,955447,$108.27,$108.64,$106.70
09/30/2024,$108.93,978337,$109.25,$109.47,$107.88
09/27/2024,$109.51,854154,$110.22,$110.31,$109.255
09/26/2024,$109.38,1236700,$109.01,$109.85,$108.51
09/25/2024,$107.46,1050636,$109.65,$109.79,$107.34
09/24/2024,$109.47,861525,$108.61,$109.65,$108.08
09/23/2024,$108.095,907937,$108.63,$109.2616,$107.76
09/20/2024,$108.29,2665396,$110.46,$110.55,$107.50
09/19/2024,$110.55,1163780,$109.91,$111.04,$109.4839
09/18/2024,$108.13,867208,$108.15,$109.91,$107.8835
09/17/2024,$107.92,1096554,$106.18,$108.15,$106.18
09/16/2024,$105.865,1303347,$104.87,$106.14,$104.46
09/13/2024,$104.56,1147852,$104.39,$105.065,$104.25
09/12/2024,$104.87,1371091,$104.39,$105.11,$102.63
09/11/2024,$104.11,1381545,$103.48,$104.26,$101.36
09/10/2024,$103.74,1072930,$103.73,$103.83,$102.03
09/09/2024,$103.54,1222273,$102.93,$103.825,$102.2225
09/06/2024,$101.69,1320882,$103.96,$105.30,$101.00
09/05/2024,$104.12,776533,$104.91,$105.08,$103.2801
09/04/2024,$104.62,1077764,$104.15,$105.20,$103.86
09/03/2024,$104.48,1421035,$105.15,$106.08,$104.11
08/30/2024,$106.04,1832001,$105.53,$106.20,$104.3475
08/29/2024,$104.96,2070340,$108.41,$109.30,$104.81
08/28/2024,$107.51,750998,$107.62,$108.65,$107.07
08/27/2024,$107.90,784513,$108.81,$108.834,$107.62
08/26/2024,$109.28,954947,$110.60,$110.80,$108.81
08/23/2024,$109.62,732690,$109.99,$111.19,$109.31
08/22/2024,$109.23,704467,$109.71,$109.91,$108.62
08/21/2024,$109.55,671949,$108.67,$109.71,$107.58
08/20/2024,$108.51,627170,$109.19,$109.50,$108.408
08/19/2024,$109.41,790021,$108.86,$109.55,$107.74
08/16/2024,$108.78,828524,$108.23,$108.945,$107.31
08/15/2024,$108.24,806473,$107.37,$108.545,$107.05
08/14/2024,$105.93,802189,$105.83,$106.39,$105.48
08/13/2024,$105.43,689205,$105.56,$105.56,$104.43
08/12/2024,$104.64,1262137,$105.72,$105.90,$104.42
08/09/2024,$105.35,682992,$104.85,$105.87,$104.42
08/08/2024,$104.84,859876,$104.36,$105.19,$104.01
08/07/2024,$102.83,1072802,$105.87,$106.19,$102.70
08/06/2024,$103.89,1180174,$103.37,$105.61,$103.08
08/05/2024,$103.16,2308241,$103.80,$104.9525,$100.49
08/02/2024,$106.47,1987838,$110.00,$110.14,$105.66
08/01/2024,$112.03,1283825,$113.93,$114.475,$111.11
07/31/2024,$114.21,2012877,$113.38,$115.33,$113.38
07/30/2024,$112.70,1207139,$113.80,$115.02,$112.60
07/29/2024,$113.10,1910553,$111.78,$113.22,$110.3155
07/26/2024,$112.08,1972652,$113.21,$113.375,$109.54
07/25/2024,$115.49,1391410,$115.00,$117.705,$114.19
07/24/2024,$114.38,1383717,$116.62,$117.48,$113.89
07/23/2024,$117.01,921755,$115.69,$117.46,$115.11
07/22/2024,$115.97,814993,$115.69,$116.35,$114.54
07/19/2024,$114.79,820770,$116.84,$116.84,$114.60
07/18/2024,$116.66,835501,$117.76,$120.08,$116.32
07/17/2024,$118.15,1280992,$120.38,$121.05,$117.981
07/16/2024,$120.75,972964,$119.12,$121.17,$118.84
07/15/2024,$118.74,894845,$118.40,$119.67,$118.22
07/12/2024,$118.02,797537,$118.04,$118.77,$117.405
07/11/2024,$117.17,843280,$117.57,$119.01,$116.79
07/10/2024,$116.08,623758,$114.85,$116.14,$114.60
07/09/2024,$114.47,904878,$114.68,$115.18,$114.12
07/08/2024,$114.67,727155,$115.01,$115.51,$114.03
07/05/2024,$114.79,853886,$115.29,$115.29,$114.08
07/03/2024,$115.77,839478,$114.61,$116.205,$114.24
07/02/2024,$114.60,638304,$113.91,$114.639,$113.80
07/01/2024,$113.85,861734,$115.61,$116.00,$113.60
06/28/2024,$115.31,1598508,$115.86,$116.58,$114.84
06/27/2024,$115.43,884284,$116.63,$116.6899,$115.17
06/26/2024,$116.51,860700,$116.82,$117.805,$116.345
06/25/2024,$117.41,804547,$118.89,$118.89,$116.54
06/24/2024,$118.88,866305,$118.29,$119.72,$118.10
06/21/2024,$118.42,1670559,$118.20,$118.56,$117.42
06/20/2024,$118.19,1032587,$117.10,$118.6599,$116.70
06/18/2024,$117.57,910100,$117.00,$118.15,$116.57
06/17/2024,$117.04,858968,$114.49,$117.09,$113.93
06/14/2024,$114.90,768641,$113.85,$114.98,$113.36
06/13/2024,$116.57,1077193,$117.67,$117.745,$115.90
