Date,Close/Last,Volume,Open,High,Low
11/29/2024,$135.50,323493,$136.07,$136.76,$135.13
11/27/2024,$136.04,447385,$137.45,$137.93,$135.09
11/26/2024,$136.32,881092,$135.20,$136.96,$134.09
11/25/2024,$135.00,1144754,$136.81,$138.2497,$134.29
11/22/2024,$135.99,814912,$134.92,$136.23,$134.27
11/21/2024,$135.07,999371,$135.24,$135.83,$132.03
11/20/2024,$135.00,987289,$135.84,$137.4399,$133.13
11/19/2024,$134.46,1262980,$129.96,$134.8999,$129.96
11/18/2024,$130.58,555884,$128.71,$130.95,$128.71
11/15/2024,$128.85,687082,$128.35,$130.28,$127.80
11/14/2024,$128.70,668045,$128.07,$130.11,$127.03
11/13/2024,$127.37,584540,$129.46,$129.46,$127.20
11/12/2024,$128.96,1165888,$129.54,$130.22,$127.648
11/11/2024,$129.55,726640,$132.33,$132.84,$129.46
11/08/2024,$131.93,715107,$130.30,$132.88,$130.30
11/07/2024,$129.85,753904,$129.06,$131.50,$129.06
11/06/2024,$128.29,1677540,$133.00,$133.00,$125.16
11/05/2024,$129.03,657818,$127.00,$129.38,$127.00
11/04/2024,$127.06,562877,$126.76,$127.4899,$126.17
11/01/2024,$126.90,684723,$127.07,$128.14,$126.27
10/31/2024,$127.00,1015470,$128.34,$128.64,$126.07
10/30/2024,$128.79,1233369,$132.29,$132.29,$128.10
10/29/2024,$131.45,1383356,$131.77,$133.25,$130.65
10/28/2024,$131.26,1075629,$133.16,$133.59,$131.24
10/25/2024,$132.50,552866,$133.66,$134.10,$131.76
10/24/2024,$133.23,493656,$132.12,$133.33,$132.04
10/23/2024,$132.31,851660,$133.09,$133.69,$131.67
10/22/2024,$133.13,804676,$133.25,$134.03,$132.29
10/21/2024,$134.47,859240,$132.85,$134.575,$132.615
10/18/2024,$133.04,676896,$133.43,$134.04,$132.92
10/17/2024,$132.75,861350,$134.67,$134.87,$132.62
10/16/2024,$133.70,1208371,$134.67,$135.42,$132.08
10/15/2024,$134.49,938504,$132.62,$136.135,$131.31
10/14/2024,$135.07,920633,$133.87,$135.31,$133.87
10/11/2024,$133.44,537135,$133.14,$134.27,$132.77
10/10/2024,$133.14,698187,$133.38,$134.28,$132.81
10/09/2024,$133.61,980404,$134.11,$134.44,$133.07
10/08/2024,$133.46,651685,$133.57,$134.06,$132.7901
10/07/2024,$132.57,1321662,$132.29,$133.84,$131.98
10/04/2024,$131.41,1080040,$126.00,$132.00,$125.95
10/03/2024,$125.66,831313,$126.72,$128.06,$125.01
10/02/2024,$126.79,841174,$124.32,$127.26,$123.645
10/01/2024,$124.85,706484,$123.68,$125.76,$122.28
09/30/2024,$123.67,974222,$121.26,$123.75,$120.98
09/27/2024,$121.75,507295,$121.10,$122.87,$120.845
09/26/2024,$121.65,792432,$123.06,$123.32,$121.37
09/25/2024,$121.43,668477,$122.43,$123.41,$120.95
09/24/2024,$121.92,649813,$120.85,$122.07,$119.92
09/23/2024,$121.06,617744,$120.39,$121.46,$119.91
09/20/2024,$119.48,966285,$120.00,$120.2825,$118.28
09/19/2024,$120.38,660399,$120.10,$120.71,$118.86
09/18/2024,$118.82,663325,$119.11,$120.025,$116.79
09/17/2024,$118.52,813746,$119.74,$120.11,$117.21
09/16/2024,$119.55,498198,$117.53,$119.66,$117.51
09/13/2024,$117.54,469252,$116.88,$117.95,$115.99
09/12/2024,$116.43,473276,$114.59,$116.45,$113.11
09/11/2024,$114.50,484848,$114.31,$114.70,$112.43
09/10/2024,$113.99,605075,$113.46,$115.25,$112.94
09/09/2024,$113.90,990660,$112.87,$115.11,$112.10
09/06/2024,$111.81,1932087,$113.73,$114.21,$110.62
09/05/2024,$117.61,959867,$117.00,$117.94,$115.28
09/04/2024,$116.89,402992,$117.55,$118.80,$116.46
09/03/2024,$117.55,520250,$118.02,$118.40,$116.48
08/30/2024,$118.24,530457,$117.33,$118.50,$116.78
08/29/2024,$117.24,395351,$117.01,$118.00,$116.77
08/28/2024,$116.46,509390,$117.24,$118.125,$116.03
08/27/2024,$117.21,551710,$117.25,$118.31,$116.875
08/26/2024,$117.19,469794,$118.10,$118.495,$116.715
08/23/2024,$117.45,503726,$117.92,$118.68,$115.89
08/22/2024,$117.16,504797,$115.90,$117.46,$115.46
08/21/2024,$116.31,687877,$115.84,$117.2699,$115.03
08/20/2024,$115.84,368211,$116.52,$116.68,$114.927
08/19/2024,$116.33,432896,$116.10,$116.79,$115.56
08/16/2024,$116.01,468531,$114.94,$116.81,$114.865
08/15/2024,$114.83,852278,$117.69,$118.07,$114.26
08/14/2024,$116.89,657157,$116.44,$117.5494,$116.21
08/13/2024,$115.97,626751,$115.81,$116.49,$114.39
08/12/2024,$115.35,563360,$116.00,$116.15,$114.19
08/09/2024,$115.40,597020,$113.44,$115.475,$112.51
08/08/2024,$113.28,802980,$111.79,$113.92,$111.02
08/07/2024,$110.63,694951,$110.72,$111.8599,$109.83
08/06/2024,$110.00,778972,$106.81,$110.60,$106.81
08/05/2024,$106.91,711965,$106.46,$108.57,$104.99
08/02/2024,$109.87,633051,$109.39,$110.14,$108.28
08/01/2024,$110.69,444272,$111.86,$112.88,$110.355
07/31/2024,$111.68,1181370,$110.94,$112.94,$110.55
07/30/2024,$110.12,646500,$107.95,$110.25,$107.95
07/29/2024,$107.43,770812,$106.46,$107.70,$105.92
07/26/2024,$106.84,1144884,$105.48,$107.15,$104.92
07/25/2024,$104.99,1975238,$104.612,$107.43,$104.21
07/24/2024,$108.10,1152899,$109.30,$109.59,$107.60
07/23/2024,$109.97,794135,$110.78,$111.75,$109.69
07/22/2024,$109.88,747773,$110.00,$110.50,$109.05
07/19/2024,$109.40,892842,$109.10,$109.62,$108.2001
07/18/2024,$109.00,739329,$108.82,$109.40,$108.50
07/17/2024,$108.01,967625,$107.79,$108.41,$106.50
07/16/2024,$107.75,535181,$106.79,$107.82,$106.5001
07/15/2024,$106.65,851383,$105.07,$107.66,$105.07
07/12/2024,$104.94,589102,$105.09,$105.63,$104.61
07/11/2024,$105.00,1060699,$105.11,$105.34,$103.765
07/10/2024,$105.05,631145,$104.58,$105.85,$104.445
07/09/2024,$104.25,661610,$105.10,$105.1799,$103.43
07/08/2024,$105.10,627405,$106.49,$106.67,$104.94
07/05/2024,$106.49,549359,$106.58,$106.86,$105.69
07/03/2024,$106.58,330548,$105.55,$106.88,$103.58
07/02/2024,$105.75,704599,$105.75,$107.11,$105.51
07/01/2024,$105.08,611931,$106.36,$106.51,$104.22
06/28/2024,$106.00,1366938,$106.22,$106.86,$105.09
06/27/2024,$106.69,583921,$105.98,$107.35,$105.052
06/26/2024,$105.98,737437,$103.36,$106.25,$102.79
06/25/2024,$103.89,780334,$104.54,$104.865,$103.515
06/24/2024,$104.40,563123,$106.01,$106.98,$104.28
06/21/2024,$105.72,1050716,$105.72,$105.955,$104.6629
06/20/2024,$105.86,631027,$103.86,$105.91,$103.29
06/18/2024,$105.08,593823,$104.01,$106.055,$103.19
06/17/2024,$104.00,822771,$104.37,$105.055,$103.64
06/14/2024,$104.31,755914,$101.03,$104.6326,$101.03
06/13/2024,$101.47,794334,$103.31,$104.41,$101.16
06/12/2024,$103.54,615556,$105.40,$105.505,$103.07
06/11/2024,$104.89,839252,$104.07,$105.48,$103.9332
06/10/2024,$104.75,932695,$105.27,$107.7742,$104.45
06/07/2024,$105.31,840001,$105.70,$106.71,$105.08
06/06/2024,$106.18,929367,$107.50,$107.525,$105.53
06/05/2024,$107.21,674913,$107.79,$108.17,$106.01
06/04/2024,$107.94,662898,$106.99,$108.29,$106.5372
06/03/2024,$107.09,1031058,$109.55,$109.55,$105.95
05/31/2024,$109.01,1357256,$109.29,$109.68,$107.18
05/30/2024,$108.47,814638,$108.31,$110.62,$107.50
05/29/2024,$108.48,967088,$109.95,$110.16,$108.36
05/28/2024,$110.58,966873,$112.25,$112.94,$110.30
05/24/2024,$112.25,586399,$110.80,$112.90,$110.54
05/23/2024,$110.69,711235,$110.76,$111.425,$110.29
05/22/2024,$110.60,615293,$111.32,$111.86,$110.54
05/21/2024,$111.29,826140,$110.69,$111.66,$110.3294
05/20/2024,$110.82,992386,$112.71,$113.05,$110.75
05/17/2024,$112.81,775400,$113.00,$113.065,$111.5839
05/16/2024,$112.39,918051,$112.64,$113.22,$111.88
05/15/2024,$112.66,1012979,$111.95,$113.50,$111.65
05/14/2024,$111.25,728242,$109.25,$111.35,$108.17
05/13/2024,$109.75,722861,$110.86,$111.84,$109.67
05/10/2024,$110.41,970002,$113.00,$114.07,$110.36
05/09/2024,$113.32,1108913,$111.43,$113.37,$111.43
05/08/2024,$111.30,964190,$110.25,$111.68,$109.39
05/07/2024,$110.38,1425224,$110.00,$111.4999,$109.41
05/06/2024,$109.25,1274997,$105.15,$109.35,$105.15
05/03/2024,$104.54,1074032,$105.68,$105.68,$102.225
05/02/2024,$105.50,855991,$104.83,$105.85,$103.37
05/01/2024,$103.89,1420470,$101.26,$104.88,$101.05
04/30/2024,$101.71,919596,$102.15,$102.59,$100.38
04/29/2024,$101.50,1055733,$102.05,$102.34,$100.7398
04/26/2024,$101.84,582917,$103.12,$103.12,$100.88
04/25/2024,$102.15,1205562,$102.12,$106.14,$101.19
04/24/2024,$102.96,1269517,$101.84,$103.20,$101.20
04/23/2024,$101.83,786016,$101.92,$102.33,$100.54
04/22/2024,$101.62,511933,$101.36,$102.48,$100.89
04/19/2024,$101.05,543956,$101.03,$101.54,$100.72
04/18/2024,$101.00,451170,$101.26,$101.63,$99.94
04/17/2024,$100.31,590577,$100.82,$100.97,$98.9375
04/16/2024,$100.65,642340,$100.04,$101.11,$99.10
04/15/2024,$99.75,902425,$102.84,$103.19,$98.93
04/12/2024,$102.13,788468,$102.78,$102.92,$101.47
04/11/2024,$103.01,508672,$103.28,$103.55,$102.31
04/10/2024,$103.18,666305,$102.28,$104.03,$102.27
04/09/2024,$103.03,1047867,$102.66,$103.58,$101.92
04/08/2024,$102.02,1022702,$104.71,$104.71,$100.82
04/05/2024,$102.40,897027,$100.67,$102.45,$100.05
04/04/2024,$100.10,1007031,$101.39,$102.135,$100.05
04/03/2024,$100.33,1015490,$101.01,$101.555,$100.13
04/02/2024,$101.31,812521,$103.43,$103.43,$101.15
04/01/2024,$103.54,907401,$104.20,$104.93,$102.42
03/28/2024,$104.17,717822,$104.59,$105.21,$104.12
03/27/2024,$104.40,660296,$107.82,$107.86,$103.95
03/26/2024,$107.21,942036,$105.35,$107.35,$104.707
03/25/2024,$104.86,558412,$105.45,$105.69,$104.27
03/22/2024,$105.23,519841,$105.54,$106.1499,$104.63
03/21/2024,$105.63,741466,$104.53,$106.09,$104.47
03/20/2024,$104.24,780751,$103.31,$104.755,$102.64
03/19/2024,$103.64,962563,$103.35,$104.44,$102.69
03/18/2024,$103.82,562069,$104.21,$105.08,$103.04
03/15/2024,$104.19,651239,$104.17,$105.13,$103.89
03/14/2024,$104.66,553715,$104.28,$104.73,$103.63
03/13/2024,$104.65,500375,$104.05,$105.125,$103.58
03/12/2024,$104.04,906284,$103.49,$104.805,$103.23
03/11/2024,$103.18,582433,$103.07,$103.47,$101.866
03/08/2024,$102.88,618301,$103.45,$104.76,$102.83
03/07/2024,$103.60,592776,$104.80,$105.77,$103.47
03/06/2024,$104.10,1235797,$103.69,$104.43,$102.40
03/05/2024,$104.71,620126,$105.00,$106.72,$104.25
