Date,Close/Last,Volume,Open,High,Low
11/29/2024,$322.00,515825,$320.00,$322.88,$319.76
11/27/2024,$320.86,1204686,$317.50,$321.63,$317.02
11/26/2024,$316.65,641631,$314.63,$318.13,$309.315
11/25/2024,$314.63,1118591,$315.29,$317.73,$312.83
11/22/2024,$314.40,525720,$314.07,$318.04,$313.82
11/21/2024,$314.16,615823,$309.80,$315.665,$307.14
11/20/2024,$308.61,830477,$307.72,$309.059,$307.31
11/19/2024,$307.59,573371,$311.07,$312.245,$307.34
11/18/2024,$312.70,576609,$312.07,$315.31,$311.755
11/15/2024,$312.65,1241271,$315.20,$316.39,$311.39
11/14/2024,$314.80,742311,$317.25,$318.85,$314.53
11/13/2024,$316.88,821241,$316.63,$318.21,$315.78
11/12/2024,$317.41,613800,$316.49,$319.65,$315.98
11/11/2024,$315.18,598031,$317.99,$320.775,$314.535
11/08/2024,$316.30,581941,$316.96,$320.45,$316.03
11/07/2024,$315.90,778694,$316.60,$319.00,$313.735
11/06/2024,$317.31,931891,$315.54,$320.10,$311.72
11/05/2024,$307.92,645218,$301.76,$308.375,$300.29
11/04/2024,$302.82,829478,$300.45,$304.73,$299.965
11/01/2024,$299.30,710112,$301.38,$303.97,$297.54
10/31/2024,$302.19,1080765,$299.79,$308.87,$298.50
10/30/2024,$293.54,638904,$291.92,$294.67,$291.17
10/29/2024,$292.18,546956,$292.50,$294.815,$291.40
10/28/2024,$292.12,577355,$289.72,$292.30,$289.3547
10/25/2024,$290.45,427472,$290.06,$292.96,$289.12
10/24/2024,$290.53,397209,$291.53,$292.34,$287.585
10/23/2024,$291.92,545330,$289.98,$292.95,$289.98
10/22/2024,$291.74,506976,$290.03,$292.26,$287.05
10/21/2024,$290.50,382387,$289.84,$291.045,$288.13
10/18/2024,$290.03,437814,$290.16,$292.00,$288.63
10/17/2024,$291.14,633458,$292.76,$293.405,$288.58
10/16/2024,$291.30,379323,$290.00,$293.30,$288.6318
10/15/2024,$291.14,394283,$293.96,$296.64,$290.70
10/14/2024,$292.645,555734,$290.80,$293.52,$288.84
10/11/2024,$290.03,662143,$291.08,$294.35,$288.86
10/10/2024,$290.24,479970,$300.00,$300.265,$289.8686
10/09/2024,$298.05,508257,$292.94,$298.52,$292.285
10/08/2024,$292.94,368825,$289.18,$293.69,$289.18
10/07/2024,$287.99,567655,$290.69,$290.69,$286.35
10/04/2024,$290.69,712667,$290.11,$291.8618,$289.245
10/03/2024,$290.59,663915,$294.08,$294.72,$289.38
10/02/2024,$295.41,523264,$299.74,$301.02,$295.10
10/01/2024,$300.58,868006,$295.02,$303.42,$295.02
09/30/2024,$294.53,777138,$293.25,$295.32,$291.29
09/27/2024,$293.015,384124,$291.68,$294.7648,$290.71
09/26/2024,$291.16,541663,$289.08,$293.23,$288.105
09/25/2024,$290.39,682658,$291.01,$293.17,$288.82
09/24/2024,$289.21,422897,$290.31,$290.31,$287.35
09/23/2024,$290.85,509076,$288.61,$291.63,$286.94
09/20/2024,$288.35,988194,$288.17,$288.99,$286.00
09/19/2024,$288.81,943404,$294.00,$294.00,$287.16
09/18/2024,$292.50,377266,$292.87,$294.00,$290.14
09/17/2024,$292.94,416563,$293.90,$294.40,$291.59
09/16/2024,$293.97,532564,$291.19,$294.25,$290.70
09/13/2024,$290.70,515634,$289.64,$291.16,$288.00
09/12/2024,$289.64,414478,$288.37,$289.815,$286.585
09/11/2024,$288.08,326046,$291.64,$291.64,$283.29
09/10/2024,$291.64,399285,$294.03,$295.67,$291.53
09/09/2024,$294.36,554323,$291.64,$295.13,$290.92
09/06/2024,$291.09,445845,$293.88,$295.23,$289.87
09/05/2024,$293.67,540075,$294.16,$294.41,$290.92
09/04/2024,$294.38,365341,$293.00,$294.80,$291.69
09/03/2024,$292.22,588565,$292.90,$296.45,$290.56
08/30/2024,$292.11,847077,$291.71,$294.22,$289.54
08/29/2024,$291.86,361322,$290.00,$292.17,$288.163
08/28/2024,$289.47,346493,$288.75,$292.22,$288.10
08/27/2024,$288.04,395838,$286.08,$288.705,$285.99
08/26/2024,$285.40,400629,$282.28,$285.51,$282.00
08/23/2024,$281.46,392154,$286.00,$286.61,$280.86
08/22/2024,$285.14,418325,$283.24,$286.06,$282.89
08/21/2024,$283.68,285764,$283.22,$283.76,$281.15
08/20/2024,$281.47,307872,$281.47,$282.84,$280.37
08/19/2024,$282.40,339527,$280.00,$282.51,$279.08
08/16/2024,$280.42,315681,$280.89,$281.77,$280.08
08/15/2024,$279.88,290245,$280.48,$281.07,$279.1701
08/14/2024,$279.98,398097,$275.48,$280.46,$275.48
08/13/2024,$274.68,333061,$276.50,$276.50,$274.00
08/12/2024,$275.86,393836,$277.26,$277.89,$274.97
08/09/2024,$276.61,370779,$277.19,$278.02,$273.70
08/08/2024,$277.92,307542,$274.83,$278.115,$274.83
08/07/2024,$275.44,410211,$274.17,$279.98,$271.01
08/06/2024,$274.36,483542,$274.83,$279.025,$274.13
08/05/2024,$274.34,474813,$285.00,$286.13,$273.76
08/02/2024,$283.02,381501,$284.48,$285.91,$281.00
08/01/2024,$284.36,462283,$282.99,$284.785,$281.77
07/31/2024,$282.28,466114,$283.12,$285.56,$280.91
07/30/2024,$284.42,503466,$280.47,$285.99,$279.72
07/29/2024,$278.93,554220,$282.43,$283.09,$278.73
07/26/2024,$283.09,713853,$280.57,$283.49,$278.50
07/25/2024,$277.60,996329,$270.00,$281.00,$267.05
07/24/2024,$267.00,431918,$268.00,$269.00,$265.23
07/23/2024,$266.40,264354,$265.04,$267.02,$265.04
07/22/2024,$265.44,222483,$263.91,$266.25,$262.62
07/19/2024,$263.13,363398,$268.35,$268.35,$262.57
07/18/2024,$266.64,345206,$266.10,$269.98,$266.07
07/17/2024,$267.47,346094,$265.15,$269.98,$264.665
07/16/2024,$264.32,326711,$264.13,$266.77,$263.895
07/15/2024,$263.33,360111,$263.31,$265.00,$261.63
07/12/2024,$264.21,313031,$263.01,$266.02,$261.45
07/11/2024,$261.98,353990,$258.17,$262.38,$257.58
07/10/2024,$258.16,359874,$258.16,$259.96,$255.19
07/09/2024,$257.34,397006,$259.83,$259.83,$257.02
07/08/2024,$259.74,321178,$261.51,$263.08,$259.1979
07/05/2024,$261.61,373605,$260.18,$261.80,$258.48
07/03/2024,$260.34,194404,$263.36,$263.36,$260.24
07/02/2024,$262.10,268327,$259.45,$262.18,$258.62
07/01/2024,$259.42,369545,$263.42,$264.98,$258.38
06/28/2024,$262.14,784081,$263.31,$264.56,$260.54
06/27/2024,$264.03,414477,$264.83,$264.83,$261.31
06/26/2024,$263.65,660913,$262.37,$264.025,$258.43
06/25/2024,$263.07,432773,$265.56,$265.56,$262.45
06/24/2024,$266.44,706373,$261.06,$267.23,$261.00
06/21/2024,$262.41,917427,$260.33,$264.11,$257.83
06/20/2024,$259.94,907360,$255.60,$260.66,$254.88
06/18/2024,$255.48,619675,$256.74,$257.60,$255.03
06/17/2024,$256.48,489461,$255.53,$257.15,$254.44
06/14/2024,$255.28,324841,$254.92,$256.665,$253.54
06/13/2024,$255.85,263347,$255.27,$256.08,$253.03
06/12/2024,$255.91,440896,$257.51,$257.51,$254.785
06/11/2024,$257.21,493613,$255.67,$257.39,$253.60
06/10/2024,$255.62,261455,$254.88,$257.44,$253.365
06/07/2024,$255.49,319120,$254.92,$256.975,$254.635
06/06/2024,$254.52,255641,$253.09,$255.31,$253.09
06/05/2024,$253.61,296139,$254.20,$257.195,$252.215
06/04/2024,$255.18,258975,$254.36,$256.60,$254.36
06/03/2024,$255.04,370281,$253.62,$258.41,$253.485
05/31/2024,$255.29,1366365,$251.85,$257.14,$251.18
05/30/2024,$251.36,590678,$248.57,$252.37,$248.57
05/29/2024,$249.68,365455,$250.74,$251.35,$248.085
05/28/2024,$250.63,362590,$252.71,$253.06,$249.89
05/24/2024,$253.20,248218,$253.00,$254.10,$251.192
05/23/2024,$252.50,339249,$256.36,$256.36,$251.595
05/22/2024,$256.36,351870,$255.25,$257.425,$254.80
05/21/2024,$253.89,397694,$252.42,$255.31,$252.42
05/20/2024,$253.10,324943,$257.63,$257.63,$252.88
05/17/2024,$257.40,297936,$257.50,$257.932,$255.635
05/16/2024,$256.38,313710,$256.00,$257.45,$255.07
05/15/2024,$255.63,355696,$253.33,$256.00,$253.33
05/14/2024,$253.89,570082,$253.68,$254.13,$251.31
05/13/2024,$253.68,301127,$256.62,$257.53,$253.47
05/10/2024,$256.93,428119,$255.24,$257.28,$254.53
05/09/2024,$255.61,289115,$253.58,$255.94,$253.36
05/08/2024,$252.96,483662,$254.87,$256.05,$252.62
05/07/2024,$254.86,410938,$254.78,$255.48,$253.735
05/06/2024,$253.07,292280,$253.66,$253.66,$251.905
05/03/2024,$251.99,364015,$252.60,$253.1978,$249.035
05/02/2024,$252.49,444241,$254.70,$254.70,$251.54
05/01/2024,$254.70,486228,$250.97,$257.0699,$250.5563
04/30/2024,$251.14,491152,$251.19,$253.85,$250.75
04/29/2024,$252.43,474287,$250.74,$252.77,$248.9086
04/26/2024,$250.95,770664,$255.81,$255.81,$248.12
04/25/2024,$256.92,1476082,$251.21,$257.29,$245.04
04/24/2024,$264.48,480547,$262.10,$265.19,$261.82
04/23/2024,$263.68,367932,$265.17,$266.555,$263.24
04/22/2024,$265.17,313657,$265.61,$266.18,$264.065
04/19/2024,$264.52,301394,$264.44,$265.43,$263.32
04/18/2024,$262.99,445046,$262.02,$264.54,$260.965
04/17/2024,$259.27,518302,$257.21,$260.065,$256.25
04/16/2024,$257.19,354872,$258.55,$260.18,$257.17
04/15/2024,$258.49,267221,$263.74,$263.74,$258.03
04/12/2024,$260.31,558076,$259.52,$262.13,$258.705
04/11/2024,$260.31,381871,$261.93,$262.64,$260.14
04/10/2024,$263.83,335997,$263.01,$265.77,$261.63
04/09/2024,$265.10,469397,$268.19,$268.195,$263.565
04/08/2024,$267.39,386311,$269.94,$270.055,$267.19
04/05/2024,$270.94,439668,$265.99,$271.02,$265.90
04/04/2024,$266.32,350825,$270.17,$270.895,$265.81
04/03/2024,$269.30,449686,$266.81,$271.24,$266.81
04/02/2024,$267.81,622392,$273.44,$274.085,$267.34
04/01/2024,$273.44,318400,$274.64,$274.64,$272.96
03/28/2024,$275.00,559583,$276.00,$276.14,$273.81
03/27/2024,$275.92,420782,$274.74,$276.045,$272.75
03/26/2024,$274.14,507537,$272.71,$275.24,$272.71
03/25/2024,$273.72,463876,$274.00,$274.83,$272.53
03/22/2024,$273.21,492061,$274.90,$275.685,$272.85
03/21/2024,$274.51,471242,$274.49,$275.11,$271.844
03/20/2024,$274.71,387932,$272.98,$274.96,$272.25
03/19/2024,$272.94,578950,$274.81,$275.82,$271.77
03/18/2024,$273.82,402848,$272.73,$274.06,$271.59
03/15/2024,$271.95,885367,$271.36,$274.57,$271.22
03/14/2024,$274.00,482890,$274.02,$275.69,$272.70
03/13/2024,$274.90,530083,$275.86,$276.2225,$273.055
03/12/2024,$274.98,641909,$271.19,$275.145,$270.666
