Date,Close/Last,Volume,Open,High,Low
11/29/2024,$282.87,2232846,$279.455,$283.64,$277.64
11/27/2024,$280.07,6622764,$279.00,$282.69,$278.00
11/26/2024,$280.01,17010330,$264.22,$280.34,$257.80
11/25/2024,$294.00,4695856,$293.55,$297.3235,$293.5001
11/22/2024,$294.53,3053317,$290.84,$295.48,$288.78
11/21/2024,$289.90,3553436,$288.18,$291.11,$284.1435
11/20/2024,$287.87,4759332,$281.10,$288.48,$278.56
11/19/2024,$279.95,3210454,$277.67,$281.5997,$275.56
11/18/2024,$278.76,3175879,$279.38,$281.36,$276.56
11/15/2024,$283.61,5325131,$291.50,$291.50,$279.62
11/14/2024,$295.93,3515674,$297.91,$298.48,$292.325
11/13/2024,$301.44,3725596,$306.00,$307.43,$298.91
11/12/2024,$298.84,6680281,$319.59,$321.22,$293.8017
11/11/2024,$321.81,2457168,$325.91,$327.58,$321.61
11/08/2024,$325.28,1978146,$322.48,$328.25,$321.28
11/07/2024,$321.91,2654860,$322.00,$322.97,$318.5419
11/06/2024,$321.79,2208869,$325.00,$325.39,$318.17
11/05/2024,$319.29,1472342,$316.16,$319.52,$313.0201
11/04/2024,$316.91,2090104,$320.58,$320.58,$314.61
11/01/2024,$319.22,1826772,$318.69,$321.695,$316.91
10/31/2024,$320.16,2713469,$317.69,$323.40,$315.65
10/30/2024,$315.54,2223592,$311.95,$317.905,$310.63
10/29/2024,$316.00,1466737,$317.01,$319.21,$314.82
10/28/2024,$317.17,1815992,$318.06,$320.14,$315.90
10/25/2024,$316.98,1604649,$318.49,$319.20,$314.88
10/24/2024,$315.69,1326947,$314.43,$317.24,$313.63
10/23/2024,$314.90,1526505,$316.01,$318.55,$313.70
10/22/2024,$319.66,2106533,$315.24,$321.08,$313.98
10/21/2024,$316.74,1533183,$320.16,$321.80,$315.87
10/18/2024,$321.66,1552126,$320.61,$322.56,$319.18
10/17/2024,$321.33,1635581,$325.92,$325.92,$320.50
10/16/2024,$321.63,1776795,$326.20,$326.73,$321.32
10/15/2024,$325.09,1956202,$326.03,$327.3325,$324.03
10/14/2024,$324.62,1613451,$325.59,$326.95,$322.59
10/11/2024,$328.35,1567233,$322.20,$329.17,$320.1001
10/10/2024,$321.01,1254591,$320.95,$322.57,$318.7501
10/09/2024,$322.41,1379414,$316.66,$322.99,$314.70
10/08/2024,$317.68,1453273,$319.165,$319.95,$316.4775
10/07/2024,$317.45,1262262,$320.08,$320.205,$315.92
10/04/2024,$319.66,1467846,$318.72,$320.74,$316.43
10/03/2024,$317.48,1525282,$317.11,$319.73,$315.46
10/02/2024,$319.73,2614461,$317.63,$320.67,$316.18
10/01/2024,$320.32,2097370,$322.05,$322.2043,$316.92
09/30/2024,$322.21,1967178,$321.32,$323.225,$318.79
09/27/2024,$322.67,2432807,$322.70,$327.98,$320.525
09/26/2024,$319.10,2555660,$313.68,$319.78,$313.37
09/25/2024,$312.86,4249503,$329.00,$329.50,$312.16
09/24/2024,$330.92,2101019,$333.15,$335.41,$330.50
09/23/2024,$335.61,1677617,$339.00,$339.17,$333.36
09/20/2024,$337.38,4068245,$335.15,$338.97,$334.2745
09/19/2024,$335.95,1626234,$337.03,$338.70,$334.6101
09/18/2024,$332.92,1366760,$333.93,$339.00,$331.00
09/17/2024,$332.80,2014219,$334.58,$334.58,$331.08
09/16/2024,$335.26,2360577,$335.84,$337.56,$332.915
09/13/2024,$332.45,1397014,$327.96,$334.45,$327.15
