Date,Close/Last,Volume,Open,High,Low
11/29/2024,$77.99,1510418,$78.40,$79.37,$77.89
11/27/2024,$78.10,2003316,$78.43,$78.62,$77.18
11/26/2024,$77.94,4142028,$78.65,$79.38,$76.9401
11/25/2024,$77.83,6579325,$74.20,$78.22,$73.27
11/22/2024,$72.83,4562893,$74.85,$75.286,$72.51
11/21/2024,$74.46,3231191,$74.83,$75.76,$74.14
11/20/2024,$75.24,3077219,$74.73,$75.31,$72.94
11/19/2024,$74.88,3351898,$75.70,$76.61,$74.65
11/18/2024,$76.27,3898229,$75.88,$78.16,$75.69
11/15/2024,$75.88,6879181,$75.51,$78.11,$75.13
11/14/2024,$74.68,4517812,$72.60,$75.78,$71.75
11/13/2024,$72.53,4170400,$74.455,$74.55,$71.84
11/12/2024,$74.34,5469099,$69.46,$75.47,$69.23
11/11/2024,$70.31,4532141,$70.07,$72.04,$69.6298
11/08/2024,$69.96,3153680,$69.00,$70.99,$68.735
11/07/2024,$68.91,4671422,$68.79,$68.98,$67.695
11/06/2024,$68.61,5193568,$69.82,$70.25,$67.895
11/05/2024,$69.00,3408061,$69.69,$69.69,$68.37
11/04/2024,$69.70,3058490,$70.88,$71.01,$69.65
11/01/2024,$70.35,2735060,$70.10,$71.09,$69.88
10/31/2024,$70.48,4043935,$71.50,$71.61,$69.74
10/30/2024,$71.80,3566753,$72.10,$72.56,$71.09
10/29/2024,$72.24,4164505,$72.25,$72.58,$70.88
10/28/2024,$72.10,5566362,$73.48,$74.60,$71.60
10/25/2024,$73.44,14562600,$73.40,$76.06,$70.88
10/24/2024,$74.85,9945217,$73.21,$75.13,$73.03
10/23/2024,$72.48,4293271,$72.32,$73.23,$72.20
10/22/2024,$73.08,2777881,$72.10,$73.12,$71.84
10/21/2024,$72.61,3233057,$71.87,$73.79,$71.81
10/18/2024,$72.38,3695232,$69.50,$72.40,$69.26
10/17/2024,$69.55,3801182,$69.90,$70.40,$69.2033
10/16/2024,$69.90,4703733,$67.59,$69.96,$67.585
10/15/2024,$67.10,5620116,$69.00,$69.09,$67.04
10/14/2024,$69.18,3482918,$69.81,$69.81,$68.19
10/11/2024,$69.21,3942344,$69.98,$70.02,$69.06
10/10/2024,$69.56,4719426,$69.16,$70.00,$68.57
10/09/2024,$69.62,2625079,$69.17,$69.725,$68.83
10/08/2024,$69.43,3944442,$68.86,$69.63,$68.57
10/07/2024,$68.62,3605425,$68.10,$69.5717,$67.81
10/04/2024,$68.11,6336526,$66.45,$68.99,$66.22
10/03/2024,$65.68,3457495,$66.82,$67.1499,$65.58
10/02/2024,$67.10,3771585,$65.70,$67.19,$64.76
10/01/2024,$66.00,3937864,$67.39,$67.39,$65.29
09/30/2024,$67.04,4106205,$67.77,$68.27,$66.495
09/27/2024,$67.29,4246993,$68.30,$68.60,$67.14
09/26/2024,$67.53,3295219,$67.00,$67.71,$66.33
09/25/2024,$66.73,4131292,$68.61,$68.68,$66.32
09/24/2024,$68.66,3242519,$69.86,$69.9999,$68.5544
09/23/2024,$69.70,3301829,$70.47,$70.92,$69.61
09/20/2024,$70.43,7711855,$71.91,$71.91,$69.71
09/19/2024,$71.92,4184210,$70.88,$72.34,$70.2671
09/18/2024,$69.46,3421445,$69.40,$70.63,$69.08
09/17/2024,$68.94,5084246,$69.99,$70.97,$68.59
09/16/2024,$70.09,4171770,$70.42,$71.52,$69.93
09/13/2024,$69.51,2615490,$68.97,$69.90,$68.14
09/12/2024,$68.82,3595249,$68.47,$69.30,$67.3441
09/11/2024,$68.47,3962477,$68.38,$68.56,$66.86
09/10/2024,$68.55,2559305,$69.83,$70.01,$68.06
09/09/2024,$69.71,3632786,$68.87,$71.56,$68.74
09/06/2024,$68.61,3698941,$69.24,$69.27,$66.95
09/05/2024,$69.05,4723197,$69.655,$69.80,$67.52
09/04/2024,$69.82,4308057,$71.45,$71.71,$69.33
09/03/2024,$72.36,5226589,$68.91,$73.28,$68.91
08/30/2024,$69.34,4614225,$70.00,$70.43,$68.99
08/29/2024,$69.62,3876367,$71.15,$71.50,$69.45
