Date,Close/Last,Volume,Open,High,Low
11/29/2024,$92.58,3850965,$92.84,$93.1599,$92.33
11/27/2024,$92.41,5527206,$91.44,$92.895,$91.44
11/26/2024,$91.35,4406468,$90.34,$91.68,$89.63
11/25/2024,$90.49,10754270,$90.75,$91.365,$89.50
11/22/2024,$90.19,4545876,$89.805,$90.49,$89.27
11/21/2024,$89.76,4057424,$89.065,$89.94,$88.07
11/20/2024,$88.63,4781738,$88.11,$89.08,$87.77
11/19/2024,$87.75,8179276,$87.63,$88.60,$86.08
11/18/2024,$88.46,9099775,$88.385,$89.04,$87.63
11/15/2024,$88.40,11454520,$91.71,$91.99,$88.21
11/14/2024,$92.11,8202705,$92.31,$92.66,$91.295
11/13/2024,$92.63,11060500,$94.13,$94.205,$91.63
11/12/2024,$94.35,9322666,$96.35,$96.84,$94.225
11/11/2024,$97.03,7094257,$96.40,$98.90,$96.30
11/08/2024,$96.565,7457030,$96.05,$97.32,$94.91
11/07/2024,$97.90,14389840,$94.00,$98.32,$93.51
11/06/2024,$91.69,8819291,$91.00,$91.98,$90.50
11/05/2024,$90.22,3960199,$89.64,$90.39,$89.01
11/04/2024,$89.84,6124270,$89.49,$90.71,$89.37
11/01/2024,$89.51,6485873,$88.31,$89.57,$88.19
10/31/2024,$88.82,5894539,$87.94,$89.28,$87.74
10/30/2024,$88.29,5846878,$87.90,$88.37,$87.48
10/29/2024,$88.08,6656244,$88.38,$88.52,$86.81
10/28/2024,$88.76,5961814,$89.24,$89.42,$88.52
10/25/2024,$89.00,5734995,$89.445,$89.74,$88.45
10/24/2024,$88.78,7183811,$87.72,$89.215,$87.615
10/23/2024,$87.23,4373484,$88.15,$88.39,$87.14
10/22/2024,$88.16,6044365,$85.68,$88.36,$85.60
10/21/2024,$86.29,4451277,$86.64,$87.27,$85.92
10/18/2024,$86.72,4365082,$86.79,$87.17,$86.01
10/17/2024,$87.36,4287742,$86.92,$87.65,$86.59
10/16/2024,$86.75,3181288,$85.83,$86.82,$85.825
10/15/2024,$85.82,5133455,$85.18,$86.6414,$84.80
10/14/2024,$85.05,3493271,$84.92,$85.34,$84.34
10/11/2024,$84.95,3982326,$84.86,$84.975,$84.165
10/10/2024,$84.67,3814849,$85.83,$85.94,$84.59
10/09/2024,$86.14,6162188,$85.18,$86.845,$85.0595
10/08/2024,$85.21,4593176,$84.52,$85.39,$84.32
10/07/2024,$84.43,4692539,$85.05,$85.66,$84.34
10/04/2024,$84.59,4054354,$84.34,$84.96,$83.98
10/03/2024,$84.17,4086080,$84.25,$84.93,$84.01
10/02/2024,$84.74,6042368,$83.33,$85.425,$83.10
10/01/2024,$83.94,6619022,$83.82,$83.9799,$82.82
09/30/2024,$83.84,5116174,$83.15,$84.25,$83.14
09/27/2024,$83.61,5456738,$83.23,$84.33,$83.04
09/26/2024,$83.04,5654508,$82.02,$83.12,$81.8298
09/25/2024,$82.21,8375549,$83.935,$83.99,$82.15
09/24/2024,$83.79,7985228,$83.79,$84.28,$83.34
09/23/2024,$83.99,6474411,$84.25,$84.46,$83.48
09/20/2024,$83.94,24925970,$83.26,$83.99,$82.75
09/19/2024,$83.90,8798289,$84.39,$84.65,$83.425
09/18/2024,$83.89,9199497,$83.37,$84.52,$82.76
09/17/2024,$83.05,7078516,$83.06,$83.335,$82.3802
09/16/2024,$83.16,7844342,$83.00,$83.58,$82.52
09/13/2024,$82.81,6530266,$81.95,$83.17,$81.57
09/12/2024,$83.16,11450950,$83.02,$84.89,$81.98
09/11/2024,$80.94,6144890,$81.14,$81.20,$79.64
09/10/2024,$81.44,6868984,$79.17,$81.56,$78.73
09/09/2024,$79.17,5571522,$78.40,$80.20,$78.36
09/06/2024,$78.72,9220980,$79.11,$79.205,$78.26
09/05/2024,$78.77,4306352,$78.95,$79.32,$77.74
09/04/2024,$79.13,4580626,$79.67,$80.00,$78.72
09/03/2024,$79.70,8733261,$79.79,$80.435,$79.40
08/30/2024,$79.00,6205320,$79.43,$80.25,$78.60
08/29/2024,$79.45,5544959,$78.93,$79.65,$78.25
08/28/2024,$78.56,6214101,$77.46,$79.45,$77.23
08/27/2024,$77.00,3902006,$77.21,$77.46,$76.69
08/26/2024,$76.96,2926973,$76.80,$77.43,$76.4201
08/23/2024,$76.72,6847053,$76.09,$77.12,$75.91
08/22/2024,$75.90,5930767,$75.57,$76.26,$75.35
08/21/2024,$75.13,3659920,$74.85,$75.38,$74.80
08/20/2024,$74.75,3668023,$74.54,$74.895,$74.34
08/19/2024,$74.45,3727911,$73.34,$74.52,$73.27
08/16/2024,$73.78,5148098,$73.94,$74.24,$72.885
08/15/2024,$74.34,5196720,$74.38,$75.01,$73.75
08/14/2024,$74.14,4747771,$73.51,$74.345,$72.99
08/13/2024,$73.98,4356873,$72.95,$74.25,$72.67
08/12/2024,$72.99,5606870,$73.34,$73.49,$72.43
08/09/2024,$73.66,9545056,$74.94,$76.252,$72.81
08/08/2024,$75.59,7786349,$74.05,$75.75,$73.77
08/07/2024,$74.00,4214724,$74.51,$75.32,$73.95
08/06/2024,$74.19,5311082,$74.50,$75.51,$74.15
08/05/2024,$74.83,7349147,$76.88,$77.18,$74.29
08/02/2024,$76.77,6458108,$77.79,$78.21,$75.54
08/01/2024,$76.49,5662514,$76.11,$77.21,$75.805
07/31/2024,$76.06,7051985,$77.89,$77.97,$75.87
07/30/2024,$78.05,6120753,$77.42,$78.45,$76.6201
07/29/2024,$77.73,4571229,$77.12,$77.98,$76.81
07/26/2024,$77.01,7453639,$76.03,$78.29,$75.74
07/25/2024,$76.51,11733380,$74.75,$77.34,$74.38
07/24/2024,$73.50,6599992,$71.66,$73.5999,$71.42
07/23/2024,$71.17,4502431,$71.95,$72.29,$70.78
07/22/2024,$72.41,6420756,$72.89,$73.32,$72.02
07/19/2024,$72.56,5571805,$73.51,$73.74,$71.96
07/18/2024,$73.51,8120132,$72.60,$74.92,$72.4983
07/17/2024,$73.30,7220076,$72.01,$73.98,$72.01
07/16/2024,$71.64,5129668,$70.33,$72.05,$70.33
07/15/2024,$70.81,7569321,$70.40,$71.245,$70.21
07/12/2024,$69.96,5101030,$70.25,$70.68,$69.91
07/11/2024,$69.97,9598371,$68.22,$70.30,$68.14
07/10/2024,$68.75,4101571,$67.83,$68.86,$67.65
07/09/2024,$67.76,5364467,$67.10,$67.97,$66.34
07/08/2024,$67.55,5746976,$67.865,$68.18,$67.03
07/05/2024,$66.69,4211698,$66.62,$66.93,$66.01
07/03/2024,$66.59,3995673,$68.24,$68.33,$66.58
07/02/2024,$68.40,4846198,$68.30,$68.49,$67.58
07/01/2024,$68.64,5250960,$68.63,$69.99,$68.50
06/28/2024,$68.61,9590049,$68.83,$69.00,$68.06
06/27/2024,$68.83,7176254,$69.14,$69.59,$68.52
06/26/2024,$69.31,5795227,$69.19,$70.23,$68.90
06/25/2024,$69.61,9401473,$70.64,$71.4831,$69.525
06/24/2024,$70.73,10915470,$71.00,$72.07,$70.56
06/21/2024,$70.67,31302590,$71.55,$72.18,$69.56
06/20/2024,$68.49,25061690,$65.03,$69.47,$64.86
06/18/2024,$63.15,6684551,$64.17,$64.34,$62.685
06/17/2024,$64.27,5915788,$64.75,$64.9444,$64.00
06/14/2024,$65.06,9793590,$62.75,$65.62,$62.71
06/13/2024,$63.56,6502391,$64.06,$64.165,$63.50
06/12/2024,$64.34,5846052,$65.00,$65.22,$63.86
06/11/2024,$64.89,4648228,$64.65,$64.90,$64.25
06/10/2024,$65.25,11593490,$64.56,$65.28,$64.04
06/07/2024,$64.70,7412695,$63.82,$64.92,$63.56
06/06/2024,$63.85,6087410,$63.80,$64.29,$63.50
06/05/2024,$63.88,6145808,$64.18,$64.42,$63.31
06/04/2024,$64.16,6593105,$63.54,$64.60,$63.20
06/03/2024,$63.43,8560896,$64.30,$64.89,$63.18
05/31/2024,$64.27,14509330,$62.715,$64.30,$62.07
05/30/2024,$64.08,7127599,$63.48,$64.335,$63.07
05/29/2024,$63.50,5609571,$63.50,$63.91,$63.10
05/28/2024,$63.94,5593404,$65.31,$65.5515,$63.74
05/24/2024,$65.68,5971044,$66.38,$66.43,$65.21
05/23/2024,$66.17,5625302,$67.56,$67.63,$66.01
05/22/2024,$67.80,6227702,$67.18,$67.89,$66.9661
05/21/2024,$67.29,5701228,$67.80,$67.90,$66.84
05/20/2024,$67.90,4719854,$67.72,$68.0383,$67.38
05/17/2024,$67.72,3579110,$67.82,$67.82,$67.21
05/16/2024,$67.86,4831970,$67.01,$67.97,$66.85
05/15/2024,$67.01,7532064,$67.93,$67.98,$66.97
05/14/2024,$67.65,4356239,$68.00,$68.37,$67.045
05/13/2024,$67.54,6736457,$66.15,$67.59,$66.13
05/10/2024,$65.96,8733211,$64.72,$66.20,$64.67
05/09/2024,$64.58,6048572,$65.18,$65.22,$64.52
05/08/2024,$64.92,5134980,$65.57,$65.61,$64.76
05/07/2024,$65.46,7318161,$65.43,$66.14,$65.16
05/06/2024,$65.54,7187265,$64.78,$65.56,$64.34
05/03/2024,$64.78,7822720,$65.51,$65.53,$64.33
05/02/2024,$65.33,5571500,$65.75,$65.80,$64.89
05/01/2024,$65.51,7232520,$65.32,$65.8892,$64.97
04/30/2024,$65.20,7436603,$65.62,$65.635,$64.82
04/29/2024,$65.94,7838836,$65.30,$66.91,$65.20
04/26/2024,$65.42,12382430,$65.50,$66.3507,$64.63
04/25/2024,$65.27,15171960,$67.47,$67.90,$65.09
04/24/2024,$67.08,8467060,$66.58,$67.185,$66.365
04/23/2024,$67.03,5240249,$67.09,$67.68,$66.995
04/22/2024,$66.95,5622367,$66.93,$67.565,$66.74
04/19/2024,$66.76,10657000,$66.25,$66.83,$66.16
04/18/2024,$66.16,6442224,$67.01,$67.02,$65.90
04/17/2024,$66.93,5287730,$67.35,$67.55,$66.89
04/16/2024,$67.31,4975048,$67.80,$67.89,$67.185
04/15/2024,$67.75,7717826,$68.27,$68.455,$67.70
04/12/2024,$68.07,5691760,$68.52,$68.62,$67.62
04/11/2024,$68.65,6071511,$68.46,$69.025,$68.305
04/10/2024,$68.12,7983148,$69.76,$69.76,$68.0649
04/09/2024,$69.94,5928204,$69.16,$69.95,$69.11
04/08/2024,$69.42,4589099,$69.05,$69.55,$69.05
04/05/2024,$69.58,6599542,$69.69,$70.0098,$68.54
04/04/2024,$69.55,7341192,$71.24,$71.39,$69.395
04/03/2024,$70.89,5145312,$72.00,$72.17,$70.70
04/02/2024,$72.09,6138986,$72.82,$72.85,$71.90
04/01/2024,$72.88,3796058,$73.22,$73.22,$72.38
03/28/2024,$73.25,8369703,$73.25,$73.87,$73.20
03/27/2024,$73.01,7747590,$72.92,$73.06,$72.55
03/26/2024,$72.41,5362890,$72.32,$72.66,$72.11
03/25/2024,$72.58,5543898,$72.50,$72.84,$72.20
03/22/2024,$72.61,7730620,$73.11,$73.23,$72.56
03/21/2024,$73.09,5836856,$73.90,$74.28,$73.03
03/20/2024,$73.98,7311351,$73.27,$73.98,$72.80
03/19/2024,$73.41,8661777,$73.34,$73.77,$73.19
03/18/2024,$73.26,6939612,$73.69,$74.17,$73.205
03/15/2024,$73.69,13963770,$74.25,$74.66,$73.29
03/14/2024,$74.21,8399270,$74.72,$75.02,$73.82
03/13/2024,$75.94,6003025,$75.49,$76.175,$74.96
03/12/2024,$75.08,7056289,$75.25,$75.34,$74.25
03/11/2024,$75.32,7394928,$74.88,$76.21,$74.83
03/08/2024,$75.12,9519011,$73.96,$75.435,$73.66
03/07/2024,$73.66,9902838,$72.97,$74.08,$72.68
03/06/2024,$72.63,6170328,$72.88,$73.32,$72.51
03/05/2024,$72.99,6280430,$72.40,$73.01,$72.10
03/04/2024,$72.25,5750080,$72.39,$72.60,$71.96
03/01/2024,$72.31,5401188,$72.28,$72.655,$72.04
02/29/2024,$72.10,8583444,$72.72,$72.91,$71.92
02/28/2024,$72.70,4245558,$73.18,$73.25,$72.61
02/27/2024,$73.02,6090379,$72.85,$73.135,$72.63
02/26/2024,$72.95,5177937,$73.50,$73.89,$72.84
02/23/2024,$73.55,5573505,$73.25,$74.24,$73.00
02/22/2024,$72.78,7323717,$72.26,$72.885,$71.83
02/21/2024,$73.20,6233571,$72.51,$73.29,$72.51
02/20/2024,$72.04,7874245,$71.59,$72.73,$71.45
02/16/2024,$71.58,12823250,$73.00,$73.0878,$71.37
02/15/2024,$73.37,5482851,$73.04,$73.57,$72.81
02/14/2024,$73.04,7487680,$73.11,$73.83,$72.83
02/13/2024,$73.53,8560069,$74.69,$74.77,$72.97
02/12/2024,$74.45,7605845,$73.41,$75.14,$73.11
02/09/2024,$73.67,10718250,$73.82,$74.12,$72.81
02/08/2024,$73.80,8815205,$74.40,$74.59,$73.03
02/07/2024,$74.42,12449830,$76.21,$76.45,$73.94
02/06/2024,$77.72,8121246,$76.87,$77.87,$76.71
02/05/2024,$76.71,6690385,$76.65,$77.05,$76.01
02/02/2024,$76.96,7588850,$77.61,$77.99,$76.91
02/01/2024,$78.16,7697961,$78.00,$78.58,$77.40
01/31/2024,$78.26,7637274,$78.79,$79.03,$78.01
01/30/2024,$78.62,8102375,$78.80,$78.90,$77.9611
01/29/2024,$79.07,6585955,$79.65,$80.005,$78.905
01/26/2024,$79.52,5481416,$80.23,$80.51,$79.40
01/25/2024,$80.23,8337419,$80.08,$81.06,$79.5537
01/24/2024,$79.53,7563017,$79.56,$79.9025,$78.48
01/23/2024,$79.48,7837815,$78.54,$79.88,$78.39
01/22/2024,$78.43,20378550,$80.50,$80.75,$77.37
01/19/2024,$87.29,6400664,$86.38,$87.865,$86.09
01/18/2024,$86.40,6260570,$85.76,$86.55,$85.33
01/17/2024,$86.48,5809469,$85.83,$86.575,$85.57
01/16/2024,$85.99,5139530,$85.85,$86.09,$85.31
01/12/2024,$86.38,5884164,$85.88,$86.445,$85.64
01/11/2024,$85.39,5862246,$84.32,$85.475,$84.04
01/10/2024,$84.50,8386587,$83.90,$84.94,$83.37
01/09/2024,$86.06,7601842,$83.52,$86.29,$83.185
01/08/2024,$83.99,8641184,$82.86,$84.07,$82.50
01/05/2024,$83.31,7369160,$84.30,$84.52,$83.2468
01/04/2024,$84.48,5881040,$83.79,$84.95,$83.435
01/03/2024,$83.48,7329590,$83.65,$84.21,$82.97
01/02/2024,$83.24,7417495,$80.91,$83.756,$80.87
12/29/2023,$81.01,3586926,$81.07,$81.2987,$80.69
12/28/2023,$81.14,3553165,$80.52,$81.26,$80.38
12/27/2023,$80.37,3541252,$80.11,$80.75,$79.7391
12/26/2023,$79.95,2659492,$79.72,$80.055,$79.385
12/22/2023,$79.66,4109738,$79.195,$80.00,$79.16
12/21/2023,$78.93,3791022,$78.82,$79.42,$78.52
12/20/2023,$78.59,5227782,$79.66,$79.78,$78.58
12/19/2023,$79.49,7452371,$79.58,$80.015,$79.22
12/18/2023,$79.50,4926692,$80.63,$80.63,$79.43
12/15/2023,$80.33,20354200,$81.35,$82.31,$80.10
12/14/2023,$81.78,8531101,$82.40,$82.46,$81.07
12/13/2023,$83.09,10582410,$81.30,$83.12,$80.89
12/12/2023,$80.82,6118338,$80.78,$81.175,$80.055
12/11/2023,$80.09,8189977,$79.63,$80.84,$79.46
12/08/2023,$79.02,6568994,$78.11,$79.24,$77.94
12/07/2023,$78.05,8588558,$79.58,$79.81,$77.845
12/06/2023,$79.36,5745464,$79.25,$80.18,$79.035
12/05/2023,$79.02,6277013,$78.37,$79.275,$77.845
12/04/2023,$78.34,8194691,$77.29,$78.47,$77.16
12/01/2023,$77.65,5400471,$76.78,$77.66,$76.20
11/30/2023,$76.60,10393740,$75.38,$76.74,$75.31
11/29/2023,$75.23,5091775,$74.85,$75.45,$74.6808
11/28/2023,$74.51,6792720,$74.80,$74.95,$74.19
11/27/2023,$74.92,4552184,$75.11,$75.30,$74.515
11/24/2023,$75.38,1931048,$75.89,$75.99,$75.025
11/22/2023,$75.70,4419129,$74.985,$75.73,$74.895
11/21/2023,$74.69,5120372,$76.00,$76.15,$74.54
11/20/2023,$76.00,7012251,$75.23,$76.10,$75.07
11/17/2023,$75.45,7874576,$74.89,$75.505,$74.57
11/16/2023,$74.52,6820760,$75.53,$76.15,$73.99
11/15/2023,$75.04,7102130,$74.23,$75.455,$74.11
11/14/2023,$74.72,5534445,$75.32,$75.7206,$74.55
11/13/2023,$74.93,4742560,$75.37,$75.65,$74.54
11/10/2023,$75.92,5946775,$75.46,$76.03,$74.865
11/09/2023,$74.98,8878924,$77.53,$77.71,$74.725
11/08/2023,$77.90,13103480,$77.49,$78.255,$75.09
11/07/2023,$80.61,7609016,$81.07,$81.35,$80.315
11/06/2023,$81.14,6649996,$81.67,$81.98,$80.74
11/03/2023,$81.59,7040044,$82.00,$82.59,$81.51
11/02/2023,$81.23,6166113,$79.81,$81.31,$79.64
11/01/2023,$80.19,5446074,$79.00,$80.415,$78.81
10/31/2023,$78.54,4684184,$77.59,$78.71,$77.46
10/30/2023,$77.77,4760785,$76.92,$77.985,$76.90
10/27/2023,$76.62,6037772,$78.39,$78.50,$76.331
10/26/2023,$78.50,4630880,$78.51,$78.95,$77.64
10/25/2023,$78.39,5148042,$77.91,$78.60,$77.43
10/24/2023,$78.15,5424853,$77.59,$78.54,$77.28
10/23/2023,$77.56,4049810,$77.70,$77.975,$77.17
10/20/2023,$77.80,5183656,$78.74,$79.09,$77.74
10/19/2023,$78.44,5563541,$79.07,$79.87,$78.2301
10/18/2023,$79.67,6781870,$80.47,$80.71,$79.525
10/17/2023,$80.48,10602220,$79.19,$81.07,$78.605
10/16/2023,$79.20,6958195,$77.74,$79.445,$77.63
10/13/2023,$77.65,5651907,$77.19,$77.855,$76.97
10/12/2023,$76.76,4038083,$76.88,$77.11,$76.285
10/11/2023,$76.96,4434127,$76.25,$77.01,$76.01
10/10/2023,$75.97,5040261,$75.06,$76.46,$74.78
10/09/2023,$75.06,3393989,$74.78,$75.34,$74.235
10/06/2023,$74.74,4635272,$74.46,$75.01,$73.91
10/05/2023,$74.70,4781934,$74.67,$75.03,$74.145
10/04/2023,$74.74,4707663,$73.30,$74.82,$73.25
10/03/2023,$73.27,6075317,$73.21,$73.87,$72.8659
10/02/2023,$74.10,4578676,$75.00,$75.04,$73.16
09/29/2023,$74.94,4179998,$75.51,$75.75,$74.58
09/28/2023,$75.42,3483111,$75.79,$76.05,$75.21
09/27/2023,$75.55,4442649,$75.67,$76.055,$75.135
09/26/2023,$75.53,5643933,$75.41,$76.27,$75.32
09/25/2023,$74.83,3885751,$74.75,$74.93,$74.5301
09/22/2023,$75.01,4351920,$74.76,$75.615,$74.35
09/21/2023,$75.27,5272598,$75.88,$76.14,$75.22
09/20/2023,$75.82,4826589,$75.98,$76.39,$75.73
09/19/2023,$75.77,4002720,$75.39,$76.125,$75.255
09/18/2023,$75.62,3337942,$75.86,$76.145,$75.14
09/15/2023,$75.67,11145110,$77.21,$77.41,$75.42
09/14/2023,$77.36,4424387,$76.79,$77.73,$76.735
09/13/2023,$77.31,4407900,$77.00,$77.53,$76.915
09/12/2023,$76.80,4181296,$76.99,$77.23,$76.28
09/11/2023,$77.04,8053756,$76.05,$77.17,$76.00
09/08/2023,$76.00,6695505,$76.12,$76.595,$75.05
09/07/2023,$73.94,6586147,$74.62,$74.76,$73.71
09/06/2023,$74.24,5753846,$75.12,$75.14,$73.25
09/05/2023,$75.16,6045567,$76.95,$77.00,$75.13
09/01/2023,$76.65,2993042,$77.22,$77.41,$76.475
08/31/2023,$76.48,9200069,$77.28,$77.41,$76.235
08/30/2023,$77.66,3298134,$78.22,$78.50,$77.525
08/29/2023,$78.21,4156307,$77.25,$78.25,$77.05
08/28/2023,$77.04,2783563,$77.29,$77.49,$76.63
08/25/2023,$76.86,3773271,$76.61,$77.19,$76.07
08/24/2023,$76.33,4793948,$77.25,$78.135,$76.29
08/23/2023,$77.04,7422835,$78.30,$78.98,$76.955
08/22/2023,$76.35,4536485,$75.69,$76.75,$75.36
08/21/2023,$75.94,5359172,$75.67,$76.26,$75.5439
