Date,Close/Last,Volume,Open,High,Low
11/29/2024,$421.75,338607,$424.03,$426.96,$421.50
11/27/2024,$421.76,486191,$419.91,$423.36,$417.48
11/26/2024,$417.32,587773,$429.00,$429.06,$414.46
11/25/2024,$428.59,1140945,$422.16,$430.88,$421.755
11/22/2024,$417.24,503442,$420.41,$422.975,$415.80
11/21/2024,$418.55,537101,$409.55,$419.79,$398.50
11/20/2024,$418.61,650800,$413.38,$419.41,$410.29
11/19/2024,$416.34,748562,$416.65,$421.96,$414.35
11/18/2024,$419.83,437566,$421.50,$424.045,$418.9464
11/15/2024,$420.91,690183,$423.34,$424.50,$408.95
11/14/2024,$423.65,553843,$428.01,$430.11,$423.29
11/13/2024,$429.82,621838,$426.535,$432.8105,$425.79
11/12/2024,$426.11,681783,$433.97,$436.7499,$425.64
11/11/2024,$437.30,653066,$434.49,$444.84,$433.905
11/08/2024,$433.28,655728,$430.01,$434.48,$428.75
11/07/2024,$433.00,966295,$428.21,$435.24,$425.285
11/06/2024,$423.42,1074622,$431.86,$432.75,$412.61
11/05/2024,$415.98,533266,$413.83,$418.54,$412.315
11/04/2024,$414.52,923568,$419.36,$422.92,$413.21
11/01/2024,$417.28,994156,$408.58,$422.09,$408.58
10/31/2024,$406.92,2006545,$430.00,$430.00,$404.74
10/30/2024,$451.08,962099,$445.43,$456.66,$445.43
10/29/2024,$447.83,702834,$447.725,$452.45,$443.20
10/28/2024,$449.44,616473,$455.39,$456.84,$447.96
10/25/2024,$451.41,508427,$455.67,$456.23,$450.13
10/24/2024,$452.27,532704,$458.67,$461.54,$452.12
10/23/2024,$457.90,647419,$456.90,$460.24,$452.435
10/22/2024,$461.49,646196,$453.49,$462.59,$449.39
10/21/2024,$453.38,993651,$456.02,$457.495,$447.84
10/18/2024,$457.74,747282,$458.80,$460.865,$453.17
10/17/2024,$460.01,552226,$466.60,$467.95,$458.05
10/16/2024,$463.89,991156,$474.54,$474.54,$460.3601
10/15/2024,$473.92,607192,$478.37,$486.87,$473.02
10/14/2024,$478.00,512443,$478.00,$479.58,$474.33
10/11/2024,$476.27,490765,$474.92,$484.61,$474.92
10/10/2024,$473.28,344387,$468.00,$473.90,$465.16
10/09/2024,$474.65,347150,$473.21,$480.64,$470.465
10/08/2024,$475.53,437080,$472.66,$478.92,$470.27
10/07/2024,$472.41,395136,$474.49,$475.45,$468.05
10/04/2024,$477.67,468682,$489.56,$492.41,$475.00
10/03/2024,$483.52,379610,$481.63,$484.01,$477.29
10/02/2024,$485.97,408096,$495.01,$495.01,$484.58
10/01/2024,$495.42,339116,$505.22,$505.515,$493.2741
09/30/2024,$505.22,390286,$510.74,$512.62,$500.16
09/27/2024,$511.78,279189,$514.76,$518.97,$509.4732
09/26/2024,$509.03,366586,$503.96,$509.24,$500.7175
09/25/2024,$497.76,301635,$508.47,$508.95,$496.45
09/24/2024,$506.38,323789,$508.07,$511.83,$505.195
09/23/2024,$507.66,364540,$509.20,$510.31,$502.2401
09/20/2024,$506.74,688912,$515.32,$515.32,$504.4725
09/19/2024,$517.06,333838,$523.81,$530.60,$515.68
09/18/2024,$511.30,360504,$512.27,$521.73,$505.72
09/17/2024,$512.27,405896,$513.27,$519.54,$511.47
09/16/2024,$511.38,296076,$505.05,$512.10,$503.76
09/13/2024,$500.55,321888,$497.35,$508.07,$495.60
09/12/2024,$497.04,293535,$490.26,$497.22,$481.20
09/11/2024,$490.26,359296,$494.84,$494.84,$475.62
09/10/2024,$495.95,476718,$481.11,$496.7869,$481.11
09/09/2024,$480.34,449479,$476.98,$485.13,$475.685
09/06/2024,$472.35,433023,$469.78,$477.53,$467.31
09/05/2024,$469.18,278739,$471.13,$472.41,$465.53
09/04/2024,$471.29,276013,$468.30,$473.12,$466.11
09/03/2024,$469.01,437531,$475.91,$481.8829,$467.81
08/30/2024,$481.33,406350,$489.37,$491.21,$476.56
08/29/2024,$487.28,395421,$485.46,$492.67,$483.40
08/28/2024,$481.48,276654,$481.03,$487.3331,$480.19
