Date,Close/Last,Volume,Open,High,Low
11/29/2024,$542.00,718571,$539.00,$543.17,$536.03
11/27/2024,$538.55,938549,$543.08,$543.97,$538.23
11/26/2024,$542.10,1152817,$542.06,$544.9999,$537.28
11/25/2024,$536.55,2077227,$548.82,$549.31,$533.56
11/22/2024,$547.87,1375537,$549.84,$552.00,$541.99
11/21/2024,$550.62,1396346,$544.85,$551.78,$540.355
11/20/2024,$541.82,985389,$538.78,$542.37,$533.83
11/19/2024,$538.82,1143225,$527.57,$540.08,$526.01
11/18/2024,$531.64,1268101,$527.36,$537.53,$526.6067
11/15/2024,$527.61,1447901,$533.21,$536.98,$526.71
11/14/2024,$537.80,1908430,$537.36,$544.38,$537.13
11/13/2024,$536.69,1405226,$535.43,$540.02,$534.04
11/12/2024,$537.07,1456091,$534.00,$538.905,$531.69
11/11/2024,$535.75,2097917,$539.89,$542.5899,$534.57
11/08/2024,$536.45,1427803,$525.50,$538.49,$524.00
11/07/2024,$524.28,1209283,$516.00,$524.825,$515.58
11/06/2024,$515.55,1776420,$523.13,$525.00,$506.80
11/05/2024,$515.17,1113407,$506.33,$518.25,$506.33
11/04/2024,$507.42,849671,$504.32,$511.205,$503.85
11/01/2024,$506.34,1041997,$502.02,$510.8094,$502.01
10/31/2024,$503.84,1468858,$510.01,$511.06,$500.67
10/30/2024,$513.77,1113145,$516.56,$516.9899,$508.01
10/29/2024,$516.31,1065041,$506.52,$517.50,$504.35
10/28/2024,$510.88,842909,$513.66,$514.325,$508.28
10/25/2024,$511.27,982549,$514.00,$516.8928,$510.46
10/24/2024,$511.63,755449,$510.79,$515.31,$509.78
10/23/2024,$512.58,1119984,$513.89,$516.00,$507.28
10/22/2024,$517.50,1341519,$515.00,$519.18,$511.81
10/21/2024,$518.86,1309589,$519.04,$522.665,$514.55
10/18/2024,$521.15,4059157,$496.00,$523.34,$495.00
10/17/2024,$473.73,1959034,$481.06,$481.06,$472.12
10/16/2024,$476.59,1037657,$478.11,$479.5199,$473.505
10/15/2024,$478.47,1313339,$488.00,$489.625,$476.675
10/14/2024,$487.61,883621,$487.04,$488.63,$483.9685
10/11/2024,$484.78,1170154,$486.00,$487.58,$483.12
10/10/2024,$483.84,942178,$486.23,$488.2627,$483.20
10/09/2024,$490.38,1061187,$480.595,$490.58,$478.49
10/08/2024,$480.785,1040425,$473.79,$482.88,$473.79
10/07/2024,$471.23,1175190,$476.86,$479.305,$470.06
10/04/2024,$481.95,903893,$484.45,$484.45,$476.5968
10/03/2024,$479.63,764687,$484.42,$486.00,$478.5586
10/02/2024,$486.62,740933,$482.72,$489.71,$478.62
10/01/2024,$484.76,1181142,$492.50,$496.48,$481.71
09/30/2024,$491.27,1654679,$480.00,$492.25,$478.69
09/27/2024,$479.18,1013377,$490.03,$490.03,$478.57
09/26/2024,$486.33,871630,$488.25,$490.95,$484.76
09/25/2024,$484.39,897792,$486.00,$487.1167,$482.29
09/24/2024,$484.40,1120916,$490.51,$490.51,$482.35
09/23/2024,$489.07,927220,$488.50,$491.8324,$486.27
09/20/2024,$486.20,2734099,$485.11,$486.30,$480.16
09/19/2024,$490.01,1225044,$492.00,$492.74,$486.98
09/18/2024,$482.09,982261,$484.21,$488.7473,$479.58
09/17/2024,$483.32,1162561,$491.27,$491.27,$482.375
09/16/2024,$491.39,921409,$493.47,$494.01,$488.5683
09/13/2024,$489.86,1238094,$490.28,$496.18,$489.19
09/12/2024,$494.01,1128767,$491.91,$494.15,$486.05
09/11/2024,$490.93,1239274,$484.18,$491.83,$477.08
09/10/2024,$484.24,1006475,$477.50,$484.79,$477.50
