Date,Close/Last,Volume,Open,High,Low
11/29/2024,$750.22,489751,$746.62,$754.505,$740.00
11/27/2024,$754.87,544779,$756.72,$762.16,$749.515
11/26/2024,$753.03,780023,$743.19,$754.18,$736.50
11/25/2024,$749.51,1196546,$747.97,$757.86,$741.62
11/22/2024,$738.00,1029511,$744.70,$751.40,$737.63
11/21/2024,$744.50,973061,$744.87,$757.555,$735.9548
11/20/2024,$743.35,654566,$742.19,$750.6866,$736.01
11/19/2024,$744.60,979861,$756.56,$758.60,$736.19
11/18/2024,$762.00,1027843,$751.97,$762.70,$750.20
11/15/2024,$756.81,1374549,$782.78,$783.10,$753.69
11/14/2024,$782.51,1086987,$800.15,$803.415,$780.95
11/13/2024,$804.33,589558,$815.45,$823.56,$803.33
11/12/2024,$821.00,677644,$824.31,$831.00,$817.14
11/11/2024,$825.68,691831,$824.00,$834.42,$820.4548
11/08/2024,$828.42,563585,$826.57,$830.73,$822.80
11/07/2024,$824.48,780936,$817.88,$832.53,$814.05
11/06/2024,$816.65,879570,$844.51,$844.51,$813.53
11/05/2024,$829.43,633293,$824.94,$836.6299,$819.14
11/04/2024,$828.84,743692,$845.59,$852.01,$826.76
11/01/2024,$843.60,1087285,$844.61,$862.00,$837.88
10/31/2024,$838.20,2291795,$875.00,$883.15,$815.99
10/30/2024,$922.79,628780,$919.73,$935.86,$914.845
10/29/2024,$927.33,680470,$927.20,$932.38,$923.75
10/28/2024,$928.61,578686,$934.78,$943.27,$927.20
10/25/2024,$933.02,547777,$930.23,$943.83,$930.23
10/24/2024,$928.90,523425,$945.71,$952.02,$928.50
10/23/2024,$941.39,850298,$951.80,$959.60,$932.53
10/22/2024,$962.34,1511744,$963.00,$972.745,$919.42
10/21/2024,$968.50,794308,$985.90,$991.235,$967.90
10/18/2024,$990.68,869228,$998.00,$1002.69,$989.77
10/17/2024,$998.23,739689,$1010.05,$1013.0875,$997.67
10/16/2024,$1007.96,367145,$1011.57,$1020.5492,$1007.32
10/15/2024,$1016.53,514389,$1016.83,$1024.36,$1003.79
10/14/2024,$1014.25,497320,$1018.48,$1023.69,$1009.45
10/11/2024,$1015.67,474128,$1003.31,$1017.74,$996.28
10/10/2024,$999.02,510916,$1011.56,$1013.91,$998.17
10/09/2024,$1012.19,598337,$1007.46,$1014.63,$1001.00
10/08/2024,$1005.26,736046,$1001.50,$1007.99,$993.005
10/07/2024,$996.05,583567,$1011.22,$1011.70,$992.795
10/04/2024,$1012.82,1071799,$1015.40,$1023.09,$1007.28
10/03/2024,$1014.59,797597,$1037.50,$1038.81,$1011.36
10/02/2024,$1040.27,687007,$1040.49,$1045.95,$1025.97
10/01/2024,$1046.91,599374,$1054.06,$1061.60,$1040.40
09/30/2024,$1051.24,599975,$1040.73,$1058.27,$1039.645
09/27/2024,$1042.69,659728,$1043.64,$1070.00,$1036.8801
09/26/2024,$1039.96,691561,$1062.16,$1063.40,$1030.27
09/25/2024,$1031.15,1003053,$1048.52,$1048.52,$1008.41
09/24/2024,$1045.98,1695203,$1076.33,$1080.00,$1022.22
09/23/2024,$1091.98,1168394,$1148.18,$1154.56,$1081.235
09/20/2024,$1145.03,913953,$1145.99,$1149.415,$1136.22
09/19/2024,$1150.19,596686,$1149.66,$1165.85,$1148.13
09/18/2024,$1138.81,328098,$1151.32,$1156.40,$1137.64
09/17/2024,$1146.75,348695,$1151.10,$1151.10,$1134.595
09/16/2024,$1153.08,346864,$1162.05,$1162.05,$1152.01
09/13/2024,$1153.35,353634,$1160.74,$1170.58,$1150.02
09/12/2024,$1164.46,569022,$1138.10,$1167.625,$1127.20
09/11/2024,$1141.45,481945,$1137.03,$1143.19,$1113.24
09/10/2024,$1136.35,356462,$1144.22,$1144.22,$1122.53
09/09/2024,$1144.77,513287,$1137.18,$1151.125,$1132.51
09/06/2024,$1131.50,616625,$1150.00,$1152.87,$1128.9679
09/05/2024,$1150.56,534411,$1175.16,$1175.16,$1143.245
09/04/2024,$1179.37,333049,$1168.81,$1182.31,$1163.35
09/03/2024,$1168.81,579321,$1178.73,$1192.54,$1162.865
08/30/2024,$1184.69,405354,$1179.20,$1191.33,$1170.84
08/29/2024,$1178.93,538650,$1204.72,$1210.97,$1175.46
08/28/2024,$1199.29,308402,$1196.06,$1206.66,$1190.17
08/27/2024,$1201.76,295503,$1199.34,$1211.1999,$1197.125
08/26/2024,$1199.37,239724,$1199.12,$1206.8094,$1195.67
08/23/2024,$1199.12,352601,$1195.72,$1202.2379,$1190.00
08/22/2024,$1187.66,310229,$1189.70,$1191.835,$1180.00
08/21/2024,$1185.34,342545,$1194.71,$1203.49,$1184.03
08/20/2024,$1192.23,372246,$1196.88,$1201.59,$1185.8748
08/19/2024,$1196.88,445920,$1180.02,$1197.69,$1178.1783
08/16/2024,$1179.31,564438,$1175.00,$1185.0945,$1166.72
08/15/2024,$1175.33,569821,$1167.31,$1177.95,$1155.305
08/14/2024,$1156.86,443137,$1152.27,$1161.21,$1138.665
08/13/2024,$1158.33,572330,$1125.56,$1160.46,$1122.51
08/12/2024,$1121.09,501093,$1124.61,$1129.9899,$1109.99
08/09/2024,$1131.24,416607,$1113.00,$1132.9999,$1111.11
08/08/2024,$1113.35,631073,$1074.62,$1114.90,$1069.03
08/07/2024,$1067.80,502538,$1074.38,$1077.09,$1061.46
08/06/2024,$1066.19,445447,$1064.23,$1090.775,$1064.23
08/05/2024,$1071.28,619685,$1082.00,$1090.42,$1050.01
08/02/2024,$1082.19,646247,$1099.77,$1115.00,$1071.98
08/01/2024,$1093.14,897733,$1060.86,$1101.20,$1041.85
07/31/2024,$1079.19,522727,$1082.20,$1090.84,$1073.23
07/30/2024,$1077.80,358023,$1082.64,$1092.46,$1066.92
07/29/2024,$1077.19,301094,$1073.62,$1085.00,$1073.405
07/26/2024,$1078.63,380897,$1067.54,$1091.305,$1067.54
07/25/2024,$1064.19,528327,$1070.75,$1102.95,$1061.72
07/24/2024,$1060.86,452611,$1056.00,$1066.43,$1052.81
07/23/2024,$1055.57,312042,$1077.80,$1077.80,$1055.34
07/22/2024,$1069.74,299560,$1075.35,$1078.705,$1064.95
07/19/2024,$1063.60,452210,$1072.19,$1076.735,$1060.74
07/18/2024,$1067.26,396232,$1091.40,$1098.97,$1065.425
07/17/2024,$1085.62,464504,$1093.01,$1100.00,$1076.77
07/16/2024,$1094.99,282364,$1087.89,$1100.08,$1079.0855
07/15/2024,$1082.11,434626,$1097.29,$1100.03,$1079.28
07/12/2024,$1100.05,471499,$1092.08,$1106.1599,$1084.94
07/11/2024,$1080.27,444531,$1065.93,$1091.3999,$1065.93
07/10/2024,$1071.12,263949,$1057.17,$1072.33,$1053.28
07/09/2024,$1054.03,268407,$1055.83,$1059.01,$1040.01
07/08/2024,$1052.25,366218,$1039.51,$1054.595,$1037.32
07/05/2024,$1034.23,418302,$1027.47,$1040.045,$1025.80
07/03/2024,$1024.09,378341,$1042.28,$1047.245,$1011.67
07/02/2024,$1044.66,364284,$1054.00,$1058.17,$1030.23
07/01/2024,$1057.02,383195,$1047.11,$1069.69,$1045.00
06/28/2024,$1051.03,750619,$1054.81,$1057.22,$1041.78
06/27/2024,$1050.86,507730,$1071.22,$1073.05,$1047.01
06/26/2024,$1069.16,533679,$1067.00,$1075.30,$1049.585
06/25/2024,$1071.19,521650,$1068.12,$1081.17,$1066.0403
06/24/2024,$1063.89,518458,$1060.00,$1068.00,$1052.26
06/21/2024,$1053.14,1291712,$1047.71,$1059.80,$1041.25
06/20/2024,$1044.39,590561,$1038.44,$1046.29,$1028.00
06/18/2024,$1039.11,379258,$1046.50,$1052.34,$1036.00
06/17/2024,$1045.37,446151,$1036.52,$1049.50,$1026.01
06/14/2024,$1036.52,353915,$1024.30,$1042.66,$1017.96
06/13/2024,$1026.55,315371,$1022.68,$1030.825,$1017.87
06/12/2024,$1027.67,453663,$1014.81,$1030.00,$1009.145
06/11/2024,$1010.54,448231,$998.08,$1016.99,$997.84
06/10/2024,$1001.73,250886,$998.45,$1002.95,$992.22
06/07/2024,$1002.95,250100,$999.00,$1007.43,$994.44
06/06/2024,$1000.79,439791,$1005.19,$1016.00,$997.73
06/05/2024,$1005.87,385583,$993.44,$1014.9999,$989.77
06/04/2024,$993.29,340445,$989.79,$1000.145,$986.64
06/03/2024,$989.48,532994,$980.16,$1001.04,$979.26
05/31/2024,$980.16,833169,$969.14,$980.92,$967.43
05/30/2024,$969.91,444018,$965.58,$971.86,$952.30
05/29/2024,$966.49,346743,$970.00,$971.24,$958.635
05/28/2024,$973.16,336857,$974.86,$978.93,$963.41
05/24/2024,$985.02,259279,$984.04,$995.405,$983.16
05/23/2024,$980.57,315734,$985.43,$991.71,$975.73
05/22/2024,$983.80,308654,$993.00,$997.87,$981.57
05/21/2024,$993.95,331610,$987.99,$995.92,$982.97
05/20/2024,$987.27,317884,$980.42,$987.99,$978.21
05/17/2024,$982.29,386559,$969.27,$982.77,$966.00
05/16/2024,$967.98,407581,$978.27,$978.30,$967.41
05/15/2024,$978.21,593508,$988.00,$988.96,$966.335
05/14/2024,$984.64,308034,$980.00,$987.80,$970.95
05/13/2024,$976.96,284348,$980.00,$982.58,$970.99
05/10/2024,$973.80,351356,$970.00,$979.98,$966.85
05/09/2024,$968.00,281949,$959.59,$969.98,$956.76
05/08/2024,$955.76,424925,$969.90,$971.86,$952.14
05/07/2024,$969.97,362320,$967.88,$970.56,$957.10
05/06/2024,$958.64,352000,$958.00,$962.10,$950.27
05/03/2024,$957.00,547373,$926.94,$958.13,$926.94
05/02/2024,$937.61,1066980,$900.00,$943.77,$891.30
05/01/2024,$903.48,595182,$889.41,$913.21,$888.52
04/30/2024,$890.66,636697,$892.11,$896.85,$885.01
04/29/2024,$892.48,369920,$883.20,$897.78,$883.20
04/26/2024,$883.20,505652,$881.72,$887.4794,$875.225
04/25/2024,$890.68,576565,$911.09,$915.00,$876.75
04/24/2024,$906.54,373718,$906.90,$915.70,$904.41
04/23/2024,$907.32,341220,$905.66,$912.74,$903.83
04/22/2024,$900.16,351366,$904.54,$908.67,$897.45
04/19/2024,$896.82,507466,$913.97,$920.73,$891.46
04/18/2024,$893.99,450630,$901.26,$908.81,$891.67
04/17/2024,$901.19,468668,$903.88,$911.6375,$899.90
04/16/2024,$894.14,615756,$897.22,$901.065,$890.43
04/15/2024,$898.56,656427,$915.37,$921.12,$895.09
04/12/2024,$904.70,665281,$911.55,$912.22,$898.26
04/11/2024,$920.32,617176,$928.58,$930.635,$907.33
04/10/2024,$936.20,389765,$935.02,$937.87,$923.44
04/09/2024,$943.89,305901,$941.39,$949.195,$938.00
04/08/2024,$938.48,330917,$939.16,$942.985,$935.5101
04/05/2024,$942.70,363545,$939.31,$949.83,$934.87
04/04/2024,$937.02,410837,$962.20,$962.20,$935.36
04/03/2024,$950.95,413251,$955.00,$961.68,$950.43
04/02/2024,$954.68,438124,$961.44,$961.44,$951.02
04/01/2024,$969.31,360696,$964.73,$970.20,$954.09
03/28/2024,$962.49,461867,$970.38,$970.79,$959.25
03/27/2024,$966.30,314755,$971.04,$976.75,$962.41
03/26/2024,$963.55,386837,$961.99,$966.68,$957.775
03/25/2024,$961.09,322288,$954.01,$964.98,$952.4651
03/22/2024,$967.24,274406,$973.00,$977.39,$966.47
03/21/2024,$968.01,435147,$974.75,$979.255,$968.00
03/20/2024,$966.96,579358,$959.06,$967.20,$947.3661
03/19/2024,$963.66,365329,$965.11,$969.16,$959.14
03/18/2024,$959.92,360302,$970.00,$970.71,$959.49
03/15/2024,$964.47,1090502,$956.47,$968.51,$953.7246
03/14/2024,$959.04,507315,$966.30,$969.18,$950.97
03/13/2024,$965.47,386222,$979.82,$979.82,$963.83
03/12/2024,$970.57,359030,$964.44,$975.93,$963.00
03/11/2024,$964.44,355650,$971.09,$979.80,$960.44
03/08/2024,$968.83,354442,$973.34,$976.00,$962.815
03/07/2024,$973.31,380462,$971.13,$979.25,$969.875
03/06/2024,$972.10,366834,$959.23,$974.18,$955.56
03/05/2024,$965.21,397484,$972.72,$977.67,$953.29
03/04/2024,$971.19,455589,$982.82,$985.21,$966.22
03/01/2024,$982.82,370542,$967.50,$988.13,$966.09
02/29/2024,$966.09,792294,$989.91,$990.30,$965.16
02/28/2024,$987.61,485993,$995.00,$998.325,$987.61
02/27/2024,$993.35,464219,$989.00,$995.41,$975.22
02/26/2024,$989.28,541367,$977.55,$995.97,$975.00
02/23/2024,$981.20,439621,$975.00,$985.64,$969.15
02/22/2024,$964.89,614746,$953.57,$973.00,$947.8525
02/21/2024,$952.84,300492,$952.00,$958.00,$945.70
02/20/2024,$946.87,417733,$950.00,$963.00,$943.73
02/16/2024,$948.05,367432,$953.44,$956.52,$944.12
02/15/2024,$954.73,334358,$951.67,$958.7418,$948.93
02/14/2024,$947.82,373521,$943.10,$951.83,$936.70
02/13/2024,$940.48,523811,$946.17,$947.46,$933.80
02/12/2024,$947.06,604158,$952.39,$954.53,$941.01
02/09/2024,$953.42,613776,$948.00,$957.51,$945.85
02/08/2024,$946.43,487621,$934.79,$947.235,$930.04
02/07/2024,$938.49,456430,$940.00,$954.30,$933.46
02/06/2024,$937.81,460425,$940.00,$945.455,$927.52
02/05/2024,$936.33,703802,$931.87,$939.495,$923.0333
02/02/2024,$945.18,752000,$971.23,$973.99,$939.31
02/01/2024,$957.78,520534,$945.61,$964.93,$937.47
01/31/2024,$942.78,601945,$961.05,$965.66,$941.19
01/30/2024,$959.73,374686,$956.00,$960.21,$945.10
01/29/2024,$955.80,530094,$946.12,$957.67,$943.84
01/26/2024,$940.05,460540,$952.00,$958.1464,$939.06
01/25/2024,$948.87,394186,$957.60,$957.7548,$945.00
01/24/2024,$948.24,390511,$957.03,$957.03,$945.4901
01/23/2024,$954.58,568405,$943.34,$955.31,$941.70
01/22/2024,$942.83,530632,$936.48,$943.92,$922.00
01/19/2024,$933.40,716493,$933.18,$937.99,$928.645
01/18/2024,$930.00,513702,$923.97,$937.39,$917.70
01/17/2024,$929.13,526738,$939.76,$943.00,$921.68
01/16/2024,$937.32,761637,$931.21,$937.48,$929.12
01/12/2024,$933.20,560031,$925.00,$935.37,$921.00
01/11/2024,$915.97,521327,$902.92,$916.92,$899.07
01/10/2024,$906.16,382256,$895.65,$907.22,$894.62
01/09/2024,$902.69,499425,$895.37,$903.28,$888.82
01/08/2024,$902.88,723198,$890.00,$903.595,$881.01
01/05/2024,$913.17,486059,$905.00,$922.71,$904.00
