Date,Close/Last,Volume,Open,High,Low
11/29/2024,$48.49,1434964,$48.32,$48.63,$48.30
11/27/2024,$48.72,1523576,$48.45,$48.98,$48.41
11/26/2024,$48.28,3035899,$48.57,$48.64,$47.885
11/25/2024,$48.35,4732538,$48.75,$48.78,$48.25
11/22/2024,$48.28,3549371,$47.99,$48.54,$47.99
11/21/2024,$47.98,1829999,$47.64,$48.04,$47.56
11/20/2024,$47.78,1737535,$47.95,$48.03,$47.61
11/19/2024,$48.00,3337429,$47.98,$48.21,$47.84
11/18/2024,$48.51,2613945,$47.99,$48.67,$47.94
11/15/2024,$47.97,3651145,$47.88,$48.18,$47.455
11/14/2024,$47.82,2973279,$49.60,$50.09,$47.57
11/13/2024,$49.51,1680689,$49.81,$49.83,$49.21
11/12/2024,$50.14,2709900,$50.43,$50.4499,$50.08
11/11/2024,$50.62,2059333,$51.08,$51.17,$50.55
11/08/2024,$51.32,1283694,$51.52,$51.62,$51.18
11/07/2024,$51.73,1388647,$51.48,$51.78,$51.37
11/06/2024,$51.26,3013431,$51.47,$51.74,$50.845
11/05/2024,$52.85,851812,$52.53,$52.91,$52.39
11/04/2024,$52.95,1273159,$53.54,$53.56,$52.80
11/01/2024,$53.27,1381542,$53.77,$53.77,$53.10
10/31/2024,$52.88,1396334,$52.92,$53.01,$52.40
10/30/2024,$53.45,2609003,$53.32,$53.72,$53.30
10/29/2024,$53.83,1934080,$54.53,$54.5906,$53.67
10/28/2024,$54.36,3461899,$54.18,$54.655,$53.99
10/25/2024,$54.34,3251878,$53.90,$54.44,$53.425
10/24/2024,$52.05,3306311,$53.22,$53.23,$50.00
10/23/2024,$52.89,2380773,$53.18,$53.4109,$52.89
10/22/2024,$53.26,1698960,$53.05,$53.70,$52.98
10/21/2024,$53.66,2239767,$54.55,$54.65,$53.51
10/18/2024,$54.93,1196674,$54.57,$55.04,$54.33
10/17/2024,$54.86,1051358,$54.56,$55.02,$54.38
10/16/2024,$54.44,1515826,$54.68,$55.12,$54.30
10/15/2024,$54.57,2260582,$54.01,$54.93,$53.84
10/14/2024,$54.92,1875003,$55.24,$55.50,$54.88
10/11/2024,$54.96,1574633,$54.91,$55.025,$54.61
10/10/2024,$54.77,1431456,$55.43,$55.47,$54.65
10/09/2024,$55.15,2484190,$54.90,$56.15,$54.87
10/08/2024,$54.85,1741559,$55.17,$55.22,$54.80
10/07/2024,$54.76,1705679,$55.05,$55.36,$54.69
10/04/2024,$55.47,3077855,$55.63,$56.025,$55.33
10/03/2024,$55.54,1761211,$55.87,$55.87,$54.94
10/02/2024,$56.25,1581091,$56.75,$56.78,$56.04
10/01/2024,$57.31,1024772,$57.55,$57.97,$57.18
09/30/2024,$57.63,1333906,$57.83,$57.88,$57.31
09/27/2024,$57.65,2070183,$57.16,$57.91,$57.085
09/26/2024,$57.00,1224028,$56.74,$57.18,$56.66
09/25/2024,$56.65,1376591,$57.40,$57.49,$56.43
09/24/2024,$57.62,1140439,$57.32,$57.81,$57.21
09/23/2024,$57.43,1587008,$57.75,$57.85,$57.27
09/20/2024,$57.63,1943039,$57.95,$57.96,$57.47
09/19/2024,$58.26,1408886,$57.80,$58.295,$57.53
09/18/2024,$57.47,1354992,$57.28,$57.53,$57.07
09/17/2024,$56.91,1905294,$57.33,$57.37,$56.69
09/16/2024,$57.33,1352490,$57.47,$57.61,$57.275
09/13/2024,$57.13,2186160,$57.12,$57.295,$56.94
09/12/2024,$56.75,3677592,$56.99,$57.07,$56.59
09/11/2024,$57.46,1645322,$58.10,$58.15,$57.345
09/10/2024,$58.13,964982,$58.19,$58.27,$57.88
09/09/2024,$58.51,907902,$58.08,$58.71,$57.98
09/06/2024,$57.73,1660218,$58.53,$58.68,$57.59
09/05/2024,$58.24,1319779,$58.59,$58.73,$58.15
09/04/2024,$58.53,1992990,$58.04,$58.97,$57.99
09/03/2024,$57.53,3561970,$57.79,$57.925,$57.36
08/30/2024,$56.26,1669692,$56.24,$56.39,$55.80
08/29/2024,$56.33,1338701,$56.20,$56.36,$55.98
08/28/2024,$56.11,721930,$56.12,$56.38,$55.87
08/27/2024,$56.32,936245,$56.36,$56.56,$56.16
08/26/2024,$56.27,979611,$56.23,$56.57,$56.10
08/23/2024,$56.21,2181368,$55.72,$56.32,$55.56
08/22/2024,$55.23,1629115,$55.17,$55.29,$54.90
08/21/2024,$55.22,1911594,$55.00,$55.40,$54.89
08/20/2024,$54.78,699408,$54.64,$54.89,$54.53
08/19/2024,$54.52,1362582,$54.19,$54.6775,$54.125
08/16/2024,$54.07,1439104,$54.09,$54.33,$53.93
08/15/2024,$54.02,1327328,$53.69,$54.12,$53.50
08/14/2024,$53.53,1622709,$53.43,$53.94,$53.15
08/13/2024,$53.58,1527775,$52.92,$53.58,$52.91
08/12/2024,$52.18,1444870,$52.51,$52.53,$52.085
08/09/2024,$52.37,1874677,$52.30,$52.77,$52.23
08/08/2024,$52.11,1925750,$51.81,$52.41,$51.68
08/07/2024,$51.80,1720274,$51.39,$52.18,$51.30
08/06/2024,$51.01,1597781,$50.59,$51.31,$50.47
08/05/2024,$51.45,1848925,$52.04,$52.17,$51.43
