Date,Close/Last,Volume,Open,High,Low
11/29/2024,$468.13,770568,$463.60,$470.9299,$462.33
11/27/2024,$464.56,1006928,$464.81,$470.4245,$462.01
11/26/2024,$467.07,1327768,$464.00,$467.96,$459.07
11/25/2024,$461.71,2168316,$456.58,$462.95,$455.825
11/22/2024,$450.97,1270384,$454.30,$457.54,$449.0401
11/21/2024,$450.37,1507791,$454.24,$455.43,$445.00
11/20/2024,$451.23,1651184,$448.46,$451.7625,$445.3839
11/19/2024,$448.01,2192552,$462.80,$463.90,$447.14
11/18/2024,$467.01,1129334,$465.19,$468.875,$458.05
11/15/2024,$465.70,2581391,$478.56,$479.935,$458.10
11/14/2024,$483.96,1231557,$495.62,$496.33,$483.55
11/13/2024,$494.61,1079483,$491.34,$498.25,$491.03
11/12/2024,$490.00,1364593,$503.00,$508.035,$489.02
11/11/2024,$501.72,1335553,$518.27,$518.35,$500.13
11/08/2024,$516.74,1259505,$507.17,$519.88,$504.94
11/07/2024,$502.45,992325,$493.70,$504.31,$486.64
11/06/2024,$493.64,1648744,$505.35,$506.65,$485.29
11/05/2024,$499.88,1723251,$483.00,$503.205,$474.0001
11/04/2024,$472.80,1247982,$473.91,$475.48,$468.77
11/01/2024,$471.12,1352751,$471.06,$475.73,$463.1446
10/31/2024,$475.98,1376037,$471.58,$477.695,$468.98
10/30/2024,$475.08,721967,$470.44,$475.46,$468.47
10/29/2024,$470.36,999658,$476.33,$478.06,$469.62
10/28/2024,$476.37,501452,$477.95,$478.315,$474.685
10/25/2024,$477.70,1019702,$477.20,$480.41,$475.0458
10/24/2024,$471.91,674034,$473.35,$477.8399,$471.87
10/23/2024,$470.05,991373,$474.47,$477.47,$464.78
10/22/2024,$474.91,1132762,$479.43,$482.87,$473.58
10/21/2024,$478.09,689638,$480.17,$487.88,$477.66
10/18/2024,$483.00,2260056,$498.30,$498.63,$480.79
10/17/2024,$498.73,1018894,$490.00,$499.09,$487.9614
10/16/2024,$487.25,725082,$480.82,$488.48,$480.70
10/15/2024,$484.30,1250974,$487.01,$488.00,$480.79
10/14/2024,$484.82,743902,$481.64,$487.09,$478.90
10/11/2024,$481.71,940274,$478.53,$482.89,$475.87
10/10/2024,$476.15,1083365,$467.49,$477.00,$464.8455
10/09/2024,$467.97,1007042,$460.00,$468.16,$456.16
10/08/2024,$458.94,1315495,$452.03,$459.87,$451.1091
10/07/2024,$448.60,914059,$454.17,$454.36,$447.70
10/04/2024,$455.31,781799,$454.98,$458.14,$452.62
10/03/2024,$453.55,992854,$460.00,$462.13,$452.26
10/02/2024,$462.14,897239,$462.60,$468.07,$460.55
10/01/2024,$469.76,1128879,$472.00,$472.31,$461.36
09/30/2024,$465.08,807962,$463.16,$467.57,$461.4101
09/27/2024,$462.88,710761,$466.01,$467.5655,$461.49
09/26/2024,$463.15,948180,$462.08,$465.32,$458.10
09/25/2024,$461.76,778341,$463.09,$464.88,$458.535
09/24/2024,$462.99,1416447,$459.59,$466.085,$456.07
09/23/2024,$460.00,975049,$464.92,$465.75,$458.55
09/20/2024,$464.92,2238743,$474.36,$474.9299,$463.81
09/19/2024,$477.90,939955,$477.70,$483.975,$476.2678
09/18/2024,$474.16,868204,$483.78,$483.78,$473.75
09/17/2024,$481.26,1266239,$486.42,$487.2301,$477.17
09/16/2024,$489.43,695534,$490.00,$490.15,$483.95
09/13/2024,$485.37,700870,$480.00,$486.06,$478.75
09/12/2024,$478.65,738368,$474.74,$479.51,$468.46
09/11/2024,$474.74,947550,$469.07,$476.11,$460.69
09/10/2024,$470.78,720096,$471.53,$473.105,$466.03
09/09/2024,$471.11,775633,$472.23,$473.68,$468.965
09/06/2024,$468.00,1090355,$467.92,$471.89,$463.04
09/05/2024,$468.57,832973,$477.73,$477.73,$463.41
09/04/2024,$478.57,872268,$476.82,$480.14,$472.83
09/03/2024,$475.70,1783073,$492.65,$493.00,$474.58
08/30/2024,$495.89,1809680,$495.67,$500.25,$492.29
08/29/2024,$493.35,706711,$491.19,$497.50,$487.93
08/28/2024,$489.73,942358,$481.89,$493.94,$480.045
08/27/2024,$480.30,1062192,$482.76,$483.45,$476.38
08/26/2024,$482.64,877660,$481.98,$485.00,$481.46
08/23/2024,$481.24,999698,$482.39,$486.77,$481.19
08/22/2024,$479.89,1112379,$486.47,$488.44,$479.71
08/21/2024,$486.11,810296,$489.27,$491.8797,$485.97
08/20/2024,$487.37,921816,$488.72,$491.1239,$483.53
08/19/2024,$488.05,895898,$477.01,$488.39,$476.00
08/16/2024,$477.37,1181337,$474.03,$477.67,$469.91
08/15/2024,$472.00,1307215,$471.44,$475.29,$468.6598
08/14/2024,$471.44,1068139,$464.55,$471.96,$463.51
08/13/2024,$467.59,1141527,$463.49,$469.27,$458.04
08/12/2024,$464.51,828404,$466.96,$467.55,$462.28
08/09/2024,$468.45,791680,$465.05,$469.43,$462.13
08/08/2024,$465.96,1545062,$466.29,$472.66,$463.82
