Date,Close/Last,Volume,Open,High,Low
11/29/2024,$646.96,397629,$639.38,$652.225,$639.00
11/27/2024,$634.96,505877,$632.10,$636.365,$625.81
11/26/2024,$632.16,619320,$622.60,$633.00,$621.215
11/25/2024,$619.00,1499893,$639.54,$639.99,$607.20
11/22/2024,$636.95,699097,$635.50,$641.20,$623.505
11/21/2024,$631.27,885468,$621.99,$640.51,$611.00
11/20/2024,$609.82,572570,$609.18,$613.2499,$598.95
11/19/2024,$610.20,1064591,$598.30,$618.0699,$598.01
11/18/2024,$600.00,669695,$601.04,$610.33,$592.00
11/15/2024,$599.35,682856,$599.53,$602.00,$594.4228
11/14/2024,$604.56,727328,$601.00,$609.37,$592.21
11/13/2024,$601.29,850740,$600.00,$617.1499,$599.72
11/12/2024,$595.18,1390253,$609.11,$609.355,$591.74
11/11/2024,$616.14,1793148,$611.06,$624.8399,$588.02
11/08/2024,$603.18,3966980,$540.00,$611.88,$515.00
11/07/2024,$468.75,832567,$465.50,$471.00,$462.8109
11/06/2024,$459.52,724186,$459.03,$462.64,$450.72
11/05/2024,$441.09,656281,$433.97,$442.77,$433.97
11/04/2024,$431.57,479013,$425.84,$435.504,$424.99
11/01/2024,$425.84,600627,$426.82,$430.155,$424.57
10/31/2024,$423.50,877593,$435.96,$436.90,$422.38
10/30/2024,$439.00,428115,$443.33,$445.48,$438.76
10/29/2024,$444.00,489050,$444.96,$447.625,$443.70
10/28/2024,$444.77,447236,$449.10,$449.10,$443.25
10/25/2024,$444.52,331952,$446.12,$449.83,$442.71
10/24/2024,$443.12,263431,$442.58,$446.7475,$438.17
10/23/2024,$442.69,389218,$447.52,$449.2035,$440.67
10/22/2024,$449.61,624963,$445.10,$455.17,$443.44
10/21/2024,$443.98,335656,$439.00,$444.16,$435.29
10/18/2024,$438.05,228792,$438.78,$438.78,$434.00
10/17/2024,$434.48,397469,$436.00,$437.90,$432.7344
10/16/2024,$433.83,376100,$433.36,$435.40,$428.50
10/15/2024,$434.12,625379,$437.98,$438.0438,$424.568
10/14/2024,$437.98,326365,$437.14,$440.89,$435.44
10/11/2024,$434.98,334523,$430.19,$436.55,$428.77
10/10/2024,$428.76,494195,$430.78,$432.91,$424.34
10/09/2024,$432.14,470903,$424.40,$432.86,$422.21
10/08/2024,$426.99,787479,$424.06,$433.48,$420.49
10/07/2024,$420.83,682956,$421.00,$425.225,$416.88
10/04/2024,$421.80,612225,$418.00,$422.33,$413.68
10/03/2024,$415.05,927266,$404.17,$415.11,$403.16
10/02/2024,$404.51,588184,$400.00,$405.995,$397.53
10/01/2024,$399.22,749293,$399.87,$400.78,$395.37
09/30/2024,$399.60,548958,$395.50,$400.33,$394.24
09/27/2024,$395.34,400734,$394.12,$395.59,$388.37
09/26/2024,$393.25,449069,$396.23,$398.74,$391.97
09/25/2024,$395.26,534495,$394.39,$395.80,$392.02
09/24/2024,$393.66,279634,$395.59,$395.69,$388.355
09/23/2024,$393.94,473099,$394.29,$397.32,$392.00
09/20/2024,$393.29,1202603,$387.07,$393.58,$387.06
09/19/2024,$389.74,461850,$390.00,$391.55,$383.03
09/18/2024,$383.01,402101,$383.50,$387.61,$380.505
09/17/2024,$382.57,379075,$384.03,$386.1399,$376.5301
09/16/2024,$385.77,480096,$380.99,$386.54,$379.98
09/13/2024,$379.61,506481,$382.98,$385.00,$375.71
09/12/2024,$384.51,976901,$364.88,$384.73,$364.60
09/11/2024,$361.71,471546,$357.82,$364.485,$353.91
09/10/2024,$359.35,324778,$364.89,$366.98,$357.105
09/09/2024,$364.39,755959,$358.61,$369.44,$358.61
09/06/2024,$354.62,509150,$356.42,$357.50,$346.71
09/05/2024,$354.86,236479,$353.53,$356.34,$352.11
09/04/2024,$355.35,681086,$351.72,$356.7299,$349.02
09/03/2024,$355.16,584912,$361.35,$363.22,$354.52
08/30/2024,$364.97,454912,$363.13,$366.275,$361.44
08/29/2024,$362.00,316831,$364.03,$368.86,$361.97
08/28/2024,$362.45,323710,$363.43,$368.13,$361.59
08/27/2024,$363.43,286028,$360.49,$364.455,$357.85
08/26/2024,$360.49,568496,$369.11,$370.64,$358.10
08/23/2024,$370.70,464467,$375.69,$376.0478,$369.4343
08/22/2024,$372.69,295606,$375.94,$377.25,$372.44
08/21/2024,$375.10,573401,$373.06,$378.89,$371.45
08/20/2024,$373.05,345737,$374.45,$375.7304,$370.04
08/19/2024,$373.07,430156,$373.75,$376.4225,$370.96
08/16/2024,$373.69,486333,$374.99,$377.19,$372.00
08/15/2024,$373.69,495368,$366.15,$378.2467,$366.15
08/14/2024,$370.57,400289,$368.80,$371.93,$365.99
08/13/2024,$368.97,516315,$368.03,$370.8227,$364.78
08/12/2024,$368.03,545538,$368.10,$375.9499,$366.14
08/09/2024,$365.00,997595,$367.27,$370.355,$359.31
08/08/2024,$368.46,1518758,$350.90,$371.99,$344.00
08/07/2024,$349.24,3407135,$330.00,$367.95,$323.885
08/06/2024,$295.00,1070740,$289.40,$298.70,$286.19
08/05/2024,$286.16,684589,$279.64,$291.75,$279.02
08/02/2024,$292.36,929302,$294.10,$295.36,$287.14
08/01/2024,$299.63,872771,$300.00,$302.7173,$296.0893
07/31/2024,$300.01,662384,$307.49,$308.56,$298.9985
07/30/2024,$304.72,350218,$309.96,$314.365,$304.48
07/29/2024,$309.00,271271,$312.40,$312.40,$307.65
07/26/2024,$310.59,347882,$314.07,$314.07,$308.01
07/25/2024,$310.81,379094,$312.45,$316.8399,$307.99
07/24/2024,$313.11,450972,$318.02,$318.88,$310.01
07/23/2024,$319.55,763156,$318.00,$324.86,$317.51
07/22/2024,$316.76,455994,$310.50,$317.00,$306.81
07/19/2024,$308.45,269770,$307.93,$310.49,$303.62
07/18/2024,$305.67,577149,$318.00,$319.5016,$303.70
07/17/2024,$317.78,680566,$321.20,$326.32,$315.35
07/16/2024,$319.43,698760,$311.02,$319.80,$311.02
07/15/2024,$308.64,642367,$294.77,$308.90,$293.02
07/12/2024,$292.66,289565,$292.24,$296.98,$290.0801
07/11/2024,$291.16,528399,$293.73,$295.00,$290.02
07/10/2024,$293.29,365715,$299.00,$299.72,$292.99
07/09/2024,$298.51,398554,$304.37,$306.35,$298.36
07/08/2024,$302.48,372076,$299.77,$303.53,$299.19
07/05/2024,$298.38,174432,$296.91,$298.69,$294.144
07/03/2024,$296.56,175280,$294.05,$297.32,$292.80
07/02/2024,$293.18,347578,$288.25,$293.595,$286.51
07/01/2024,$289.21,332214,$296.56,$296.56,$287.19
06/28/2024,$294.24,1083370,$300.00,$304.56,$293.58
06/27/2024,$298.35,438639,$292.67,$298.40,$290.80
06/26/2024,$292.88,350337,$292.04,$293.32,$288.685
06/25/2024,$292.63,476894,$293.19,$294.49,$290.63
06/24/2024,$292.70,705096,$291.93,$296.62,$290.375
06/21/2024,$291.15,910181,$293.22,$293.22,$282.89
06/20/2024,$293.14,366198,$294.61,$296.80,$290.38
06/18/2024,$293.52,362426,$297.48,$300.85,$292.04
06/17/2024,$297.17,413517,$292.51,$297.38,$290.1901
06/14/2024,$292.33,401104,$292.00,$294.3616,$287.23
06/13/2024,$293.48,383721,$295.62,$297.78,$292.29
06/12/2024,$295.84,546269,$290.01,$297.24,$288.90
