Date,Close/Last,Volume,Open,High,Low
11/29/2024,$43.95,2275652,$43.80,$44.06,$43.69
11/27/2024,$43.61,3149258,$43.50,$43.92,$43.34
11/26/2024,$43.53,4985714,$43.75,$43.93,$43.05
11/25/2024,$43.55,12214320,$44.29,$44.64,$43.22
11/22/2024,$44.25,7642061,$44.60,$44.92,$44.11
11/21/2024,$44.88,6019131,$44.535,$45.17,$44.15
11/20/2024,$44.31,8106137,$43.01,$44.37,$42.78
11/19/2024,$42.87,3552355,$42.61,$43.1493,$42.61
11/18/2024,$43.07,4437352,$43.54,$43.7899,$42.95
11/15/2024,$42.94,4724753,$43.20,$43.72,$42.645
11/14/2024,$43.18,7369151,$43.24,$43.30,$42.59
11/13/2024,$43.07,7168415,$43.76,$43.845,$42.91
11/12/2024,$43.67,7213102,$44.00,$44.495,$43.475
11/11/2024,$44.11,5350971,$43.14,$44.32,$42.9484
11/08/2024,$43.015,7007642,$43.04,$43.67,$42.505
11/07/2024,$43.10,11973360,$42.76,$43.185,$41.83
11/06/2024,$42.74,13754290,$40.74,$43.23,$40.14
11/05/2024,$38.58,5592858,$38.32,$38.98,$38.26
11/04/2024,$38.17,5398278,$37.83,$38.36,$37.75
11/01/2024,$37.85,7921211,$38.13,$38.29,$37.54
10/31/2024,$38.08,8904498,$37.64,$38.24,$37.515
10/30/2024,$37.49,6525655,$37.17,$37.62,$37.17
10/29/2024,$37.09,6206114,$37.38,$37.47,$36.56
10/28/2024,$37.40,8516174,$36.63,$37.67,$36.50
10/25/2024,$37.52,5667431,$37.64,$37.735,$37.02
10/24/2024,$36.78,8790678,$37.10,$37.19,$36.34
10/23/2024,$37.00,8646631,$36.31,$37.50,$36.09
10/22/2024,$35.98,6439210,$36.55,$36.65,$35.92
10/21/2024,$36.45,5129168,$36.59,$36.905,$36.275
10/18/2024,$36.40,6345594,$36.73,$36.9433,$35.985
10/17/2024,$36.88,4010332,$36.90,$37.00,$36.49
10/16/2024,$36.74,3188367,$36.35,$36.91,$36.35
10/15/2024,$36.32,5208676,$36.55,$36.91,$36.275
10/14/2024,$37.635,2987784,$37.40,$37.695,$37.29
10/11/2024,$37.70,4836008,$37.61,$37.835,$37.50
10/10/2024,$37.61,3149709,$37.75,$38.04,$37.41
10/09/2024,$37.59,3345759,$37.28,$37.855,$37.11
10/08/2024,$37.46,5199250,$37.60,$37.665,$36.94
10/07/2024,$37.96,4553388,$38.00,$38.2993,$37.78
10/04/2024,$37.93,4583897,$37.89,$38.03,$37.48
10/03/2024,$37.55,5916264,$37.29,$37.98,$36.99
10/02/2024,$37.22,4484087,$37.31,$37.69,$36.825
10/01/2024,$36.75,7049976,$35.87,$37.035,$35.76
09/30/2024,$36.15,5943364,$35.97,$36.49,$35.84
09/27/2024,$36.18,9948183,$34.91,$36.25,$34.91
09/26/2024,$34.77,14136670,$35.22,$35.65,$34.19
09/25/2024,$36.05,7287967,$36.51,$36.66,$35.705
09/24/2024,$36.34,6221859,$37.02,$37.14,$36.08
09/23/2024,$36.45,6891095,$36.14,$36.64,$35.90
09/20/2024,$36.04,12710290,$36.41,$36.45,$35.77
09/19/2024,$36.36,13646410,$35.59,$37.05,$35.40
09/18/2024,$34.67,4929998,$34.70,$35.215,$34.42
09/17/2024,$34.73,5497108,$33.96,$34.765,$33.89
09/16/2024,$33.98,5487629,$33.78,$34.07,$33.65
09/13/2024,$33.40,7288675,$33.33,$33.925,$33.135
09/12/2024,$33.29,11432800,$33.22,$33.75,$32.86
09/11/2024,$32.93,14656150,$33.31,$33.31,$32.25
09/10/2024,$33.17,5434289,$33.58,$33.72,$32.905
09/09/2024,$33.69,6309994,$34.06,$34.22,$33.65
09/06/2024,$33.94,8507776,$34.17,$34.59,$33.5763
09/05/2024,$34.11,4806080,$34.44,$34.46,$33.94
09/04/2024,$34.06,5825587,$34.31,$34.71,$33.975
09/03/2024,$33.99,4791839,$34.56,$34.56,$33.73
08/30/2024,$35.17,6170930,$35.10,$35.24,$34.71
08/29/2024,$35.26,4783361,$35.30,$35.725,$34.61
08/28/2024,$34.96,3496534,$34.82,$35.175,$34.73
08/27/2024,$35.40,3608283,$35.30,$35.46,$35.10
08/26/2024,$35.43,3191255,$35.64,$35.8251,$35.15
08/23/2024,$35.22,3101087,$34.98,$35.37,$34.80
08/22/2024,$34.62,5329813,$34.49,$34.76,$34.3203
08/21/2024,$34.45,5082845,$34.58,$34.68,$34.255
08/20/2024,$34.21,5306709,$35.07,$35.18,$34.19
08/19/2024,$35.16,4639758,$34.99,$35.49,$34.84
08/16/2024,$34.94,4874958,$35.02,$35.14,$34.64
08/15/2024,$35.08,6022822,$34.98,$35.36,$34.783
08/14/2024,$34.75,4057961,$34.91,$35.13,$34.62
08/13/2024,$34.82,4209753,$34.92,$35.04,$34.50
08/12/2024,$35.15,3971712,$35.35,$35.72,$35.115
08/09/2024,$35.07,6919160,$35.00,$35.25,$34.87
08/08/2024,$35.20,5944580,$34.22,$35.315,$34.20
08/07/2024,$34.24,7056019,$34.92,$35.49,$34.12
08/06/2024,$34.21,7351327,$34.18,$34.75,$33.90
08/05/2024,$34.51,8537285,$35.05,$35.60,$34.25
08/02/2024,$35.74,8698273,$37.53,$37.67,$35.37
08/01/2024,$37.65,8541153,$38.42,$38.58,$37.42
07/31/2024,$38.72,7336237,$38.67,$39.05,$38.51
07/30/2024,$38.24,9968930,$38.51,$38.67,$37.90
07/29/2024,$38.47,13529830,$37.78,$38.585,$37.37
07/26/2024,$37.65,10250160,$36.32,$37.78,$36.28
07/25/2024,$35.58,7021835,$34.99,$35.84,$34.81
07/24/2024,$34.90,4957112,$35.72,$35.80,$34.85
07/23/2024,$35.65,3992092,$35.61,$35.83,$35.27
07/22/2024,$35.66,3784323,$35.80,$35.96,$35.50
07/19/2024,$35.93,5022919,$35.72,$36.35,$35.16
07/18/2024,$35.89,4572723,$36.13,$36.56,$35.845
07/17/2024,$36.16,4747530,$36.34,$36.61,$36.035
07/16/2024,$36.30,8267703,$35.56,$36.61,$35.45
07/15/2024,$35.71,8736630,$34.61,$36.21,$34.50
07/12/2024,$34.50,4748116,$34.72,$34.80,$34.36
07/11/2024,$34.51,6847901,$33.84,$34.59,$33.71
07/10/2024,$33.84,3274932,$33.45,$33.99,$33.31
07/09/2024,$33.43,4475468,$34.00,$34.175,$33.35
07/08/2024,$34.17,4252877,$34.14,$34.24,$33.905
07/05/2024,$34.22,3822131,$34.45,$34.64,$33.935
07/03/2024,$34.47,2796590,$34.69,$34.94,$34.37
07/02/2024,$34.69,4665427,$35.10,$35.30,$34.56
07/01/2024,$34.94,4998926,$35.35,$35.44,$34.70
06/28/2024,$35.17,10110750,$34.75,$35.30,$34.63
06/27/2024,$34.42,5117592,$34.61,$34.76,$34.255
06/26/2024,$34.47,5758137,$34.84,$34.85,$34.29
06/25/2024,$34.85,6346196,$34.40,$34.915,$34.205
06/24/2024,$34.41,6892141,$33.16,$34.53,$33.12
06/21/2024,$32.93,14462830,$33.20,$33.21,$32.775
06/20/2024,$32.97,5775013,$32.17,$33.05,$32.12
06/18/2024,$32.14,5903502,$32.04,$32.49,$32.01
06/17/2024,$32.03,5642073,$31.01,$32.13,$30.93
06/14/2024,$31.09,5243299,$31.55,$31.61,$30.93
06/13/2024,$31.63,4681340,$32.28,$32.28,$31.29
06/12/2024,$32.24,6306852,$32.42,$32.60,$31.955
06/11/2024,$32.24,7952656,$32.12,$32.29,$31.75
06/10/2024,$32.44,11739510,$31.75,$32.585,$31.64
06/07/2024,$31.64,6770490,$31.72,$31.85,$31.5176
06/06/2024,$31.75,8449303,$31.62,$31.84,$31.40
06/05/2024,$31.75,4661443,$31.74,$31.9295,$31.55
06/04/2024,$31.63,5407724,$31.98,$31.98,$31.23
06/03/2024,$32.15,7403174,$33.48,$33.52,$31.87
05/31/2024,$33.48,11234870,$32.50,$33.53,$32.385
05/30/2024,$32.48,5345139,$31.87,$32.53,$31.845
05/29/2024,$31.93,4699878,$32.26,$32.32,$31.73
05/28/2024,$32.41,4978074,$32.38,$32.685,$32.21
05/24/2024,$32.37,4698650,$32.00,$32.43,$31.835
05/23/2024,$31.81,4517107,$32.11,$32.36,$31.78
05/22/2024,$32.09,4717870,$33.06,$33.12,$31.915
05/21/2024,$33.02,4517850,$33.07,$33.525,$32.99
05/20/2024,$33.11,6124672,$33.50,$33.54,$33.04
05/17/2024,$33.46,5954624,$33.06,$33.55,$32.83
05/16/2024,$33.02,9975057,$32.86,$33.24,$32.795
05/15/2024,$32.93,6979219,$32.60,$32.94,$31.865
05/14/2024,$32.63,3282625,$32.56,$32.785,$32.375
05/13/2024,$32.41,4209916,$32.63,$32.7825,$32.25
05/10/2024,$32.34,4484050,$32.845,$32.925,$32.21
05/09/2024,$32.78,3817110,$32.04,$32.79,$32.03
05/08/2024,$31.90,6416532,$31.93,$32.475,$31.84
05/07/2024,$32.14,7787168,$31.89,$32.26,$31.87
05/06/2024,$32.00,3131172,$32.11,$32.34,$31.91
05/03/2024,$31.92,3701570,$31.82,$32.07,$31.56
05/02/2024,$31.93,5191172,$32.13,$32.36,$31.76
05/01/2024,$31.89,4941651,$32.65,$32.73,$31.75
04/30/2024,$32.62,9583203,$33.05,$33.105,$32.50
04/29/2024,$33.22,5156899,$32.92,$33.23,$32.68
04/26/2024,$32.84,8318500,$33.11,$33.23,$32.44
04/25/2024,$33.30,8729851,$32.97,$33.45,$32.63
04/24/2024,$32.67,11446970,$32.76,$33.78,$32.33
