Date,Close/Last,Volume,Open,High,Low
11/29/2024,$41.37,35890,$40.95,$41.40,$40.95
11/27/2024,$41.12,24765,$41.18,$41.30,$41.01
11/26/2024,$40.71,31938,$40.48,$40.71,$40.29
11/25/2024,$40.45,41856,$40.82,$40.87,$40.245
11/22/2024,$38.76,45444,$38.79,$39.00,$38.71
11/21/2024,$38.55,48680,$38.45,$38.67,$38.35
11/20/2024,$38.79,36850,$38.66,$38.79,$38.45
11/19/2024,$39.17,30456,$38.63,$39.17,$38.63
11/18/2024,$38.71,51350,$38.40,$38.73,$38.32
11/15/2024,$38.53,45466,$38.76,$38.83,$38.49
11/14/2024,$38.58,34480,$38.59,$38.87,$38.54
11/13/2024,$38.14,48441,$38.40,$38.40,$37.93
11/12/2024,$38.64,51666,$39.07,$39.07,$38.60
11/11/2024,$39.31,68447,$39.20,$39.43,$38.90
11/08/2024,$38.71,43281,$38.77,$38.82,$38.4705
11/07/2024,$38.91,31963,$38.74,$39.08,$38.50
11/06/2024,$38.56,31951,$38.44,$38.73,$38.40
11/05/2024,$39.52,16399,$39.52,$39.62,$39.29
11/04/2024,$39.12,32044,$39.86,$39.9546,$39.11
11/01/2024,$40.36,12011,$40.32,$40.43,$39.94
10/31/2024,$40.21,32630,$40.24,$40.39,$39.91
10/30/2024,$39.98,29773,$40.34,$40.55,$39.97
10/29/2024,$40.89,27338,$40.65,$40.95,$40.60
10/28/2024,$41.00,30547,$40.98,$41.12,$40.785
10/25/2024,$40.33,32178,$40.37,$40.69,$40.33
10/24/2024,$40.95,26705,$40.91,$41.00,$40.66
10/23/2024,$41.175,25405,$40.99,$41.32,$40.99
10/22/2024,$41.05,43433,$41.16,$41.26,$40.345
10/21/2024,$41.34,58680,$42.012,$42.075,$41.22
10/18/2024,$42.24,84109,$42.08,$42.39,$42.06
10/17/2024,$41.98,21982,$41.99,$42.15,$41.70
10/16/2024,$42.08,52174,$42.05,$42.35,$41.9984
10/15/2024,$41.66,31577,$41.88,$41.95,$41.505
10/14/2024,$41.24,46433,$41.32,$41.38,$41.10
10/11/2024,$40.99,35141,$41.15,$41.23,$40.96
10/10/2024,$41.02,20859,$41.01,$41.14,$40.9242
10/09/2024,$40.68,24480,$40.61,$41.29,$40.61
10/08/2024,$40.89,47779,$40.98,$41.04,$40.79
10/07/2024,$40.59,38288,$40.69,$40.89,$40.45
10/04/2024,$40.93,71980,$39.95,$41.55,$39.70
10/03/2024,$42.14,35514,$42.25,$42.4149,$41.715
10/02/2024,$42.57,28832,$42.29,$42.675,$42.29
10/01/2024,$42.93,29387,$43.30,$43.30,$42.54
09/30/2024,$43.19,50086,$43.20,$43.20,$42.88
09/27/2024,$43.31,26491,$43.45,$43.75,$43.20
09/26/2024,$43.25,31219,$43.32,$43.39,$43.03
09/25/2024,$42.79,25017,$42.945,$43.1825,$42.79
09/24/2024,$42.91,66775,$42.70,$43.09,$42.635
09/23/2024,$42.86,27351,$42.66,$43.00,$42.66
09/20/2024,$42.37,34509,$42.62,$42.66,$42.325
09/19/2024,$42.69,38237,$42.73,$42.84,$42.51
09/18/2024,$42.60,34964,$42.69,$42.91,$41.975
09/17/2024,$42.82,29786,$42.76,$42.86,$42.52
09/16/2024,$42.35,26128,$41.94,$42.43,$41.94
09/13/2024,$41.96,20632,$42.30,$42.37,$41.90
09/12/2024,$41.45,26789,$41.52,$41.63,$41.1409
09/11/2024,$41.19,27013,$41.40,$41.42,$40.96
09/10/2024,$41.86,22925,$41.93,$41.95,$41.615
09/09/2024,$42.12,19112,$41.84,$42.34,$41.81
09/06/2024,$41.64,19761,$42.04,$42.21,$41.55
09/05/2024,$41.79,13440,$41.9669,$42.05,$41.7001
09/04/2024,$41.57,18514,$41.21,$41.72,$41.21
09/03/2024,$41.16,207259,$41.81,$41.845,$41.09
08/30/2024,$42.06,38152,$41.76,$42.10,$41.68
08/29/2024,$41.28,25831,$41.25,$41.59,$41.25
08/28/2024,$41.35,29869,$41.60,$41.71,$40.97
08/27/2024,$41.08,19749,$41.05,$41.26,$40.9656
08/26/2024,$41.07,26014,$41.08,$41.22,$40.96
08/23/2024,$41.75,9299,$41.05,$41.80,$41.03
08/22/2024,$40.76,12267,$40.94,$40.94,$40.74
08/21/2024,$40.77,23455,$40.55,$41.04,$40.55
08/20/2024,$40.80,4652,$40.76,$41.29,$40.495
08/19/2024,$40.71,11548,$40.57,$40.82,$40.57
08/16/2024,$40.19,65927,$39.87,$40.25,$39.87
08/15/2024,$40.22,53793,$40.30,$40.77,$40.10
08/14/2024,$40.18,13523,$39.99,$40.46,$39.98
08/13/2024,$39.93,37772,$39.60,$39.995,$39.60
08/12/2024,$39.24,27762,$39.00,$39.51,$39.00
08/09/2024,$39.34,21465,$39.23,$39.40,$39.10
08/08/2024,$39.30,31200,$38.98,$39.41,$38.95
08/07/2024,$39.30,27998,$39.13,$39.71,$39.13
08/06/2024,$38.77,32000,$38.105,$38.95,$38.105
08/05/2024,$38.53,28251,$38.78,$39.25,$38.39
08/02/2024,$39.55,15558,$39.13,$39.79,$39.13
08/01/2024,$38.80,21831,$39.55,$39.7026,$38.76
07/31/2024,$39.82,44332,$40.28,$40.33,$39.52
07/30/2024,$42.54,22023,$42.04,$42.91,$41.79
07/29/2024,$41.42,39379,$41.44,$41.51,$41.19
07/26/2024,$41.72,34517,$41.42,$42.12,$41.42
07/25/2024,$41.79,30230,$41.56,$42.17,$41.40
07/24/2024,$41.74,23386,$41.87,$42.22,$41.69
07/23/2024,$42.25,51381,$42.06,$42.48,$41.94
07/22/2024,$42.56,17329,$42.41,$42.67,$42.16
07/19/2024,$41.83,16210,$41.79,$41.97,$41.44
07/18/2024,$41.91,21073,$42.16,$42.28,$41.78
07/17/2024,$42.23,17745,$41.91,$42.23,$41.71
07/16/2024,$42.01,24288,$41.54,$42.03,$41.50
07/15/2024,$41.95,15475,$42.17,$42.28,$41.65
07/12/2024,$42.31,20401,$42.02,$42.60,$40.81
07/11/2024,$41.52,23860,$41.56,$42.33,$41.464
07/10/2024,$40.31,14051,$40.04,$40.83,$39.97
07/09/2024,$39.71,16139,$39.96,$39.96,$39.39
07/08/2024,$40.65,18398,$40.71,$40.90,$40.53
07/05/2024,$40.62,11025,$40.66,$41.00,$40.41
07/03/2024,$40.18,26025,$39.79,$40.78,$39.79
07/02/2024,$39.25,66779,$38.99,$40.035,$38.98
07/01/2024,$39.00,15224,$39.46,$39.60,$38.90
06/28/2024,$38.89,13207,$39.00,$39.50,$38.74
06/27/2024,$39.30,49014,$39.34,$39.72,$39.11
06/26/2024,$39.80,63234,$39.23,$40.94,$39.1422
06/25/2024,$39.80,20318,$38.98,$40.38,$38.98
06/24/2024,$39.76,23073,$39.26,$39.99,$38.97
06/21/2024,$37.92,34568,$38.78,$39.20,$37.92
06/20/2024,$39.60,20562,$39.46,$39.90,$38.95
06/18/2024,$39.02,16581,$39.33,$39.60,$39.02
06/17/2024,$38.51,26098,$38.76,$38.80,$38.27
06/14/2024,$39.355,12530,$39.28,$40.24,$38.78
06/13/2024,$39.23,6045,$39.59,$40.06,$39.15
06/12/2024,$39.90,9001,$39.53,$40.45,$39.53
06/11/2024,$41.39,19278,$38.50,$44.00,$37.97
06/10/2024,$39.40,4711,$38.85,$39.40,$38.735
06/07/2024,$39.69,6920,$39.70,$39.9999,$39.29
06/06/2024,$39.87,4512,$39.95,$40.075,$39.87
06/05/2024,$40.50,4512,$39.70,$40.71,$39.6999
06/04/2024,$39.91,10136,$39.42,$40.10,$39.42
06/03/2024,$40.40,7782,$39.48,$40.90,$39.25
05/31/2024,$40.495,3493,$39.87,$40.495,$39.44
05/30/2024,$40.25,8325,$39.70,$40.44,$39.67
05/29/2024,$39.60,8760,$39.60,$39.60,$39.205
05/28/2024,$40.10,6058,$39.73,$40.28,$39.61
05/24/2024,$40.21,53939,$39.74,$41.70,$39.26
05/23/2024,$40.00,86979,$40.14,$40.78,$39.52
05/22/2024,$40.12,27018,$40.40,$40.40,$39.61
