Date,Close/Last,Volume,Open,High,Low
11/29/2024,$232.93,1917465,$229.41,$233.27,$229.41
11/27/2024,$229.64,2870048,$232.18,$232.96,$229.47
11/26/2024,$230.40,4203200,$231.80,$232.50,$229.85
11/25/2024,$230.60,3837698,$231.12,$231.99,$229.70
11/22/2024,$229.11,3834380,$227.75,$230.12,$227.1201
11/21/2024,$226.09,5630844,$228.00,$228.87,$224.82
11/20/2024,$226.67,4633042,$227.24,$228.89,$225.41
11/19/2024,$228.20,3696895,$227.33,$228.91,$226.27
11/18/2024,$228.85,3446209,$229.48,$230.07,$228.27
11/15/2024,$228.99,3707893,$229.00,$231.20,$228.39
11/14/2024,$230.67,3837299,$232.99,$234.57,$230.285
11/13/2024,$233.07,5531218,$235.00,$236.53,$232.18
11/12/2024,$233.91,11088660,$239.36,$242.77,$229.58
11/11/2024,$225.24,7298570,$219.20,$225.32,$219.20
11/08/2024,$219.49,5694771,$217.45,$219.71,$216.5101
11/07/2024,$217.50,5373275,$216.95,$218.35,$215.42
11/06/2024,$216.40,6152479,$212.06,$216.89,$209.09
11/05/2024,$208.78,7377556,$208.20,$211.84,$206.62
11/04/2024,$207.54,4030035,$208.83,$208.83,$206.42
11/01/2024,$209.19,4484366,$206.29,$209.53,$205.78
10/31/2024,$205.68,4654890,$204.65,$206.15,$203.385
10/30/2024,$204.20,5354151,$204.45,$206.63,$203.09
10/29/2024,$205.98,6070779,$205.03,$207.60,$203.03
10/28/2024,$206.10,6094811,$208.06,$208.7145,$204.91
10/25/2024,$208.00,6088157,$209.10,$210.36,$206.64
10/24/2024,$209.10,8700221,$214.37,$216.20,$208.90
10/23/2024,$220.34,6183773,$221.54,$222.62,$219.1688
10/22/2024,$222.35,4011812,$220.55,$222.84,$219.755
10/21/2024,$221.50,3690081,$221.97,$222.98,$220.09
10/18/2024,$222.02,4033830,$217.72,$222.07,$217.72
10/17/2024,$219.55,3135029,$219.00,$220.08,$218.3529
10/16/2024,$218.96,2596527,$217.07,$219.61,$216.56
10/15/2024,$217.27,3948448,$218.00,$219.22,$216.48
10/14/2024,$217.60,1849911,$216.24,$217.72,$215.2601
10/11/2024,$215.99,3809522,$215.18,$216.57,$213.73
10/10/2024,$213.60,4957712,$211.50,$213.67,$211.1205
10/09/2024,$213.70,5082641,$207.02,$214.03,$206.90
10/08/2024,$207.00,4132402,$208.69,$209.68,$203.79
10/07/2024,$203.33,1801376,$202.208,$204.33,$201.72
10/04/2024,$203.78,1643484,$204.57,$205.08,$201.64
10/03/2024,$202.88,2047574,$202.50,$203.57,$201.60
10/02/2024,$203.88,1841857,$205.57,$206.05,$203.66
10/01/2024,$206.07,2300363,$206.43,$208.00,$204.83
09/30/2024,$206.71,2624435,$208.10,$208.795,$204.23
09/27/2024,$207.63,2454314,$207.50,$210.8508,$207.13
09/26/2024,$207.03,1597994,$207.72,$208.50,$206.5589
09/25/2024,$206.78,2858263,$206.20,$207.76,$205.26
09/24/2024,$205.27,2581852,$203.77,$206.00,$202.69
09/23/2024,$203.77,2263834,$204.01,$204.05,$202.6124
09/20/2024,$203.35,3829991,$203.79,$203.79,$201.96
09/19/2024,$203.70,2695351,$204.162,$205.5399,$202.18
09/18/2024,$201.64,2391512,$204.24,$204.7199,$200.59
09/17/2024,$204.24,1441683,$205.00,$205.74,$203.55
09/16/2024,$204.68,1562228,$206.00,$206.95,$203.73
09/13/2024,$204.15,1973329,$204.47,$205.62,$203.56
09/12/2024,$204.67,1945783,$203.94,$204.99,$201.87
09/11/2024,$204.04,2737800,$200.84,$204.36,$197.3601
09/10/2024,$200.95,1395465,$200.30,$201.18,$198.57
09/09/2024,$201.16,2300381,$199.98,$201.70,$199.15
09/06/2024,$198.13,2540656,$203.00,$203.10,$197.85
09/05/2024,$202.98,1512221,$205.19,$205.43,$201.69
09/04/2024,$205.54,1739592,$205.27,$207.13,$205.18
09/03/2024,$204.86,2056901,$207.65,$207.91,$204.105
08/30/2024,$207.91,1923464,$207.98,$208.75,$205.30
08/29/2024,$207.51,2369363,$206.32,$208.405,$204.44
08/28/2024,$204.995,2338802,$206.61,$207.10,$203.79
08/27/2024,$206.11,2362143,$203.97,$206.30,$203.755
08/26/2024,$203.85,1834868,$203.59,$204.82,$202.91
08/23/2024,$202.48,2948370,$201.69,$202.78,$200.84
08/22/2024,$200.14,1947583,$200.75,$201.37,$199.321
08/21/2024,$201.42,1784934,$200.84,$201.78,$199.89
08/20/2024,$200.07,3060420,$199.00,$200.51,$197.93
08/19/2024,$199.04,2044386,$198.46,$199.425,$197.8401
