Date,Close/Last,Volume,Open,High,Low
11/29/2024,$460.99,1351468,$456.99,$461.66,$456.09
11/27/2024,$457.12,2069423,$456.68,$459.5984,$456.68
11/26/2024,$456.60,2600009,$453.47,$456.66,$451.28
11/25/2024,$455.69,3835798,$454.58,$457.0029,$453.015
11/22/2024,$454.78,1864846,$453.84,$457.20,$453.55
11/21/2024,$455.07,2072800,$451.85,$455.14,$449.605
11/20/2024,$450.14,1928675,$443.74,$450.90,$441.53
11/19/2024,$444.06,2084551,$443.80,$444.6656,$439.76
11/18/2024,$448.57,1751439,$446.53,$449.26,$445.29
11/15/2024,$449.10,2417805,$451.07,$451.69,$446.90
11/14/2024,$453.49,1666958,$455.65,$457.87,$453.10
11/13/2024,$456.24,1538420,$453.84,$457.54,$450.86
11/12/2024,$455.59,1748986,$458.27,$460.29,$453.58
11/11/2024,$456.44,1981242,$459.48,$462.385,$455.35
11/08/2024,$459.48,1496836,$465.33,$465.615,$459.21
11/07/2024,$465.47,1925468,$465.00,$467.98,$463.59
11/06/2024,$462.63,2626911,$463.82,$465.69,$458.32
11/05/2024,$454.89,1749314,$458.32,$460.86,$454.17
11/04/2024,$458.32,1616117,$457.98,$461.80,$456.29
11/01/2024,$457.31,2347398,$456.51,$459.33,$453.50
10/31/2024,$456.15,3615602,$454.95,$463.00,$454.47
10/30/2024,$473.40,1794313,$473.27,$475.00,$472.34
10/29/2024,$474.66,2056582,$474.65,$476.32,$472.75
10/28/2024,$476.00,1440395,$475.81,$478.00,$473.71
10/25/2024,$473.76,2458462,$475.12,$478.65,$472.93
10/24/2024,$474.46,994284,$478.35,$478.43,$471.622
10/23/2024,$477.43,1541370,$479.17,$482.24,$476.86
10/22/2024,$481.95,1429702,$481.78,$482.48,$478.00
10/21/2024,$483.36,1065694,$484.95,$485.49,$481.06
10/18/2024,$486.45,1255247,$483.14,$487.275,$481.51
10/17/2024,$486.06,1051750,$486.92,$487.49,$484.38
10/16/2024,$483.98,1210130,$478.52,$485.32,$478.32
10/15/2024,$480.71,1477106,$477.58,$483.35,$477.20
10/14/2024,$477.58,1076836,$474.38,$478.15,$473.42
10/11/2024,$474.04,1105320,$472.10,$474.6078,$470.835
10/10/2024,$469.42,1249525,$471.91,$472.63,$467.735
10/09/2024,$469.57,1245473,$467.50,$470.635,$467.03
10/08/2024,$469.44,1272286,$465.51,$470.06,$465.11
10/07/2024,$463.24,2019552,$464.45,$466.34,$460.77
10/04/2024,$468.18,2131023,$470.16,$470.83,$464.875
10/03/2024,$469.75,1072337,$471.96,$472.75,$468.15
10/02/2024,$475.84,1024605,$474.06,$477.44,$472.66
10/01/2024,$475.02,1342135,$476.96,$477.86,$473.89
09/30/2024,$476.86,1532652,$479.31,$479.585,$474.15
09/27/2024,$479.51,1252607,$479.70,$483.3579,$479.28
09/26/2024,$481.68,1092768,$479.00,$482.11,$476.50
09/25/2024,$477.01,1283879,$481.00,$481.60,$475.70
09/24/2024,$479.35,1588622,$478.95,$480.755,$475.49
09/23/2024,$477.36,1148395,$474.70,$479.19,$472.10
