Date,Close/Last,Volume,Open,High,Low
11/29/2024,$225.14,639753,$226.05,$227.00,$224.02
11/27/2024,$224.11,1319087,$227.00,$228.72,$222.33
11/26/2024,$225.97,1069781,$223.39,$226.21,$221.83
11/25/2024,$225.11,1888230,$222.64,$227.435,$221.8825
11/22/2024,$220.25,774310,$219.93,$221.71,$218.03
11/21/2024,$218.39,1229695,$216.20,$219.78,$214.12
11/20/2024,$214.33,675684,$210.95,$214.64,$210.36
11/19/2024,$211.80,926828,$211.46,$213.56,$211.15
11/18/2024,$213.99,1292428,$218.95,$219.68,$213.91
11/15/2024,$215.57,1683188,$223.15,$223.15,$215.08
11/14/2024,$223.43,1156530,$225.41,$226.77,$222.50
11/13/2024,$225.60,1308845,$227.14,$227.435,$223.35
11/12/2024,$226.32,1637005,$230.34,$231.24,$226.06
11/11/2024,$231.84,1886241,$228.08,$233.26,$227.93
11/08/2024,$226.11,1092606,$222.14,$226.40,$220.56
11/07/2024,$222.91,1696711,$230.18,$230.92,$222.31
11/06/2024,$230.18,3077156,$216.96,$231.36,$215.755
11/05/2024,$207.01,1265924,$204.25,$207.17,$202.67
11/04/2024,$203.99,917848,$200.60,$205.34,$200.60
11/01/2024,$200.98,936470,$200.31,$203.03,$200.31
10/31/2024,$201.32,1268397,$202.96,$204.53,$201.24
10/30/2024,$203.82,1418919,$201.50,$208.82,$201.50
10/29/2024,$201.31,1733528,$200.98,$203.36,$198.85
10/28/2024,$200.88,1635854,$199.39,$201.08,$197.82
10/25/2024,$197.79,1949251,$194.35,$199.32,$193.36
10/24/2024,$191.81,1758655,$190.20,$193.09,$188.82
10/23/2024,$188.67,3890665,$193.79,$198.00,$186.11
10/22/2024,$199.55,1547641,$196.69,$200.935,$195.00
10/21/2024,$198.05,1244959,$197.37,$198.49,$196.10
10/18/2024,$199.54,1450600,$201.52,$201.97,$198.1325
10/17/2024,$201.52,1265622,$203.86,$203.86,$200.34
10/16/2024,$203.49,1190829,$204.63,$208.60,$202.98
10/15/2024,$201.46,1302521,$202.52,$204.11,$200.88
10/14/2024,$202.45,935477,$198.52,$202.52,$197.87
10/11/2024,$199.58,1047705,$196.00,$200.48,$196.00
10/10/2024,$194.59,753261,$192.94,$194.80,$191.635
10/09/2024,$194.44,990865,$192.19,$195.19,$191.85
10/08/2024,$192.16,1065868,$189.07,$192.44,$188.24
10/07/2024,$188.58,1273075,$189.82,$189.82,$185.37
10/04/2024,$191.86,1173475,$194.79,$195.99,$190.40
10/03/2024,$190.93,1250265,$191.50,$192.7975,$190.06
10/02/2024,$193.50,813088,$194.81,$195.9634,$193.07
10/01/2024,$194.75,1236566,$197.31,$197.31,$192.27
09/30/2024,$198.64,1386862,$196.60,$200.2899,$195.515
09/27/2024,$196.71,1773866,$197.76,$200.90,$195.82
09/26/2024,$195.33,1338812,$201.70,$203.08,$193.91
09/25/2024,$199.46,1387435,$199.94,$204.25,$198.28
09/24/2024,$198.42,1019807,$198.19,$199.94,$197.095
09/23/2024,$196.17,981353,$195.56,$196.27,$193.88
09/20/2024,$193.97,3753490,$202.26,$202.26,$192.62
09/19/2024,$204.52,2148122,$202.21,$206.54,$201.96
09/18/2024,$196.75,1245377,$196.09,$201.19,$194.43
09/17/2024,$194.66,840912,$192.54,$197.185,$192.54
09/16/2024,$191.92,863763,$193.78,$195.18,$190.34
09/13/2024,$192.61,989187,$190.98,$193.795,$190.075
09/12/2024,$191.26,887577,$189.75,$191.69,$187.34
09/11/2024,$188.85,1310150,$190.49,$190.55,$182.80
09/10/2024,$191.16,1001908,$190.28,$191.72,$188.28
09/09/2024,$189.78,1445233,$185.98,$190.99,$185.77
09/06/2024,$184.82,1429755,$186.29,$187.415,$182.86
09/05/2024,$186.06,2693744,$187.21,$187.78,$179.82
09/04/2024,$195.64,1103955,$198.14,$199.40,$194.30
09/03/2024,$194.78,1400267,$191.57,$196.3799,$189.96
08/30/2024,$192.80,1451649,$192.05,$193.095,$188.60
08/29/2024,$192.12,873495,$195.00,$195.63,$191.12
08/28/2024,$194.20,742673,$192.84,$195.43,$192.08
08/27/2024,$192.86,1035590,$198.08,$198.965,$191.54
08/26/2024,$199.12,873452,$204.16,$205.09,$198.71
08/23/2024,$203.77,589017,$201.87,$204.765,$201.03
08/22/2024,$200.90,860642,$202.98,$205.11,$199.70
08/21/2024,$202.90,913289,$200.59,$203.22,$199.35
08/20/2024,$198.75,910984,$199.75,$201.96,$198.53
08/19/2024,$200.16,755214,$200.17,$200.92,$198.298
08/16/2024,$200.17,1193986,$194.78,$200.49,$194.78
08/15/2024,$197.14,1304916,$197.62,$201.56,$196.64
08/14/2024,$193.00,820004,$195.02,$197.78,$192.09
08/13/2024,$195.02,1086872,$191.20,$195.29,$190.85
08/12/2024,$190.62,1500897,$193.37,$193.84,$189.21
08/09/2024,$193.23,2169928,$196.02,$197.47,$190.79
08/08/2024,$196.00,2529204,$195.71,$197.88,$192.70
08/07/2024,$193.15,2497048,$198.37,$199.23,$193.12
08/06/2024,$197.86,1537391,$195.00,$202.65,$194.50
08/05/2024,$194.26,1645851,$190.655,$198.365,$187.00
08/02/2024,$195.12,2107060,$199.37,$200.00,$191.10
08/01/2024,$203.20,2034289,$210.71,$216.54,$202.57
07/31/2024,$210.18,1643725,$206.19,$214.23,$205.605
07/30/2024,$205.03,1210051,$203.29,$208.00,$203.29
07/29/2024,$201.50,1270497,$203.61,$206.80,$200.49
07/26/2024,$202.93,2484038,$200.00,$206.97,$199.42
07/25/2024,$205.70,3154131,$194.65,$210.515,$194.65
07/24/2024,$194.62,3328712,$197.14,$200.56,$182.86
07/23/2024,$193.85,1826035,$193.85,$196.15,$192.66
07/22/2024,$195.31,1341257,$197.59,$199.29,$192.88
07/19/2024,$195.47,1228436,$195.73,$197.383,$193.605
07/18/2024,$195.46,1581389,$198.68,$200.04,$193.89
07/17/2024,$198.68,2325205,$202.06,$204.35,$198.67
07/16/2024,$203.84,2009754,$195.77,$204.115,$195.77
07/15/2024,$195.25,2008850,$190.36,$197.77,$190.00
07/12/2024,$190.22,1876687,$187.46,$193.57,$187.46
