Date,Close/Last,Volume,Open,High,Low
11/29/2024,$566.44,365747,$563.39,$569.51,$561.20
11/27/2024,$564.35,358627,$561.18,$564.75,$557.27
11/26/2024,$561.89,360733,$559.31,$562.235,$553.82
11/25/2024,$557.94,531453,$563.09,$565.46,$556.79
11/22/2024,$560.14,249959,$555.55,$562.09,$555.55
11/21/2024,$554.26,536874,$550.38,$555.28,$547.69
11/20/2024,$549.45,360774,$549.51,$552.27,$545.735
11/19/2024,$547.96,356207,$544.67,$549.62,$542.191
11/18/2024,$549.37,566023,$547.63,$550.38,$545.16
11/15/2024,$548.23,581284,$562.78,$565.17,$547.29
11/14/2024,$564.77,549684,$573.73,$573.73,$563.82
11/13/2024,$571.20,372104,$561.21,$574.1276,$561.21
11/12/2024,$564.77,539937,$564.09,$565.98,$559.71
11/11/2024,$565.14,388018,$567.76,$573.92,$564.86
11/08/2024,$567.62,391881,$575.00,$575.00,$566.41
11/07/2024,$572.26,580229,$565.82,$573.72,$563.04
11/06/2024,$564.67,678383,$550.82,$567.94,$544.16
11/05/2024,$542.70,422232,$543.65,$545.61,$539.8301
11/04/2024,$542.08,416284,$542.03,$542.25,$533.31
11/01/2024,$540.91,510787,$536.60,$542.64,$536.105
10/31/2024,$537.73,566973,$547.23,$547.785,$537.51
10/30/2024,$547.23,626476,$548.46,$551.94,$543.555
10/29/2024,$548.81,424832,$543.67,$553.075,$541.97
10/28/2024,$545.13,282834,$543.00,$545.78,$541.0003
10/25/2024,$542.00,535306,$546.60,$547.33,$540.00
10/24/2024,$542.10,369927,$543.71,$550.67,$542.00
10/23/2024,$542.94,718792,$550.00,$550.00,$535.00
10/22/2024,$552.10,519078,$555.24,$556.01,$550.73
10/21/2024,$556.80,422025,$555.81,$558.47,$551.14
10/18/2024,$557.62,320490,$563.74,$565.775,$557.20
10/17/2024,$563.74,411544,$563.62,$566.47,$560.1284
10/16/2024,$560.86,365296,$552.53,$561.60,$549.645
10/15/2024,$556.18,381588,$554.92,$561.31,$553.48
10/14/2024,$553.83,271963,$554.09,$555.00,$551.05
10/11/2024,$551.55,843484,$540.26,$552.31,$539.22
10/10/2024,$539.45,577098,$544.72,$545.33,$539.27
10/09/2024,$545.93,512312,$543.75,$550.18,$539.67
10/08/2024,$542.91,309215,$537.12,$543.45,$535.66
10/07/2024,$537.87,388850,$540.15,$541.525,$537.35
10/04/2024,$544.86,316603,$552.05,$552.05,$542.74
10/03/2024,$548.93,623454,$549.00,$552.64,$545.04
10/02/2024,$551.37,367022,$549.37,$552.21,$545.90
10/01/2024,$548.27,446016,$556.60,$556.60,$546.57
09/30/2024,$556.44,593427,$554.19,$558.05,$549.335
09/27/2024,$553.80,310497,$553.13,$558.05,$552.255
09/26/2024,$552.50,415295,$551.16,$553.33,$549.6451
09/25/2024,$548.36,401828,$552.00,$553.08,$547.30
09/24/2024,$551.98,357541,$556.73,$556.73,$550.80
09/23/2024,$557.75,349638,$559.95,$560.02,$556.84
09/20/2024,$558.04,1507097,$554.61,$562.14,$552.41
09/19/2024,$560.86,521362,$558.87,$561.77,$556.08
09/18/2024,$549.93,281337,$551.65,$554.38,$546.22
09/17/2024,$551.83,297613,$556.71,$558.145,$550.62
09/16/2024,$556.56,241095,$554.99,$557.58,$552.25
09/13/2024,$551.84,297860,$551.87,$555.66,$551.29
09/12/2024,$551.31,354436,$550.51,$551.53,$544.51
09/11/2024,$549.84,385673,$550.28,$550.565,$537.93
09/10/2024,$552.33,314353,$556.54,$556.54,$548.00
09/09/2024,$553.39,309612,$549.88,$554.84,$549.88
09/06/2024,$547.76,409418,$555.31,$557.89,$546.77
09/05/2024,$554.91,315729,$555.35,$557.25,$550.03
09/04/2024,$558.51,397299,$552.25,$559.59,$551.661
09/03/2024,$552.36,427308,$553.29,$558.14,$549.805
08/30/2024,$554.41,407562,$557.38,$557.38,$549.03
08/29/2024,$553.82,278691,$555.34,$560.00,$552.975
08/28/2024,$550.33,304054,$552.16,$554.61,$549.08
08/27/2024,$551.20,341622,$543.31,$551.71,$543.31
08/26/2024,$546.73,330268,$547.94,$552.33,$545.34
08/23/2024,$547.82,392340,$550.16,$550.67,$542.77
08/22/2024,$545.97,456416,$552.58,$554.50,$545.01
08/21/2024,$551.48,324374,$549.94,$551.91,$547.39
08/20/2024,$547.45,266834,$550.42,$551.87,$544.83
08/19/2024,$549.88,273977,$547.62,$550.58,$546.12
08/16/2024,$548.50,389768,$548.45,$549.80,$545.36
08/15/2024,$546.57,608002,$535.24,$549.065,$532.49
08/14/2024,$528.00,272638,$524.23,$528.375,$523.70
08/13/2024,$525.02,388510,$520.07,$525.16,$518.87
08/12/2024,$520.07,298972,$524.51,$526.24,$519.23
08/09/2024,$526.78,300107,$521.23,$527.79,$517.965
08/08/2024,$523.02,347142,$518.97,$525.775,$516.38
08/07/2024,$515.25,465791,$524.91,$527.125,$514.79
08/06/2024,$518.14,596883,$520.50,$529.23,$517.92
08/05/2024,$517.53,934563,$571.19,$571.19,$515.875
08/02/2024,$536.03,739991,$546.90,$548.01,$532.07
08/01/2024,$544.40,440983,$544.45,$549.15,$537.85
07/31/2024,$544.75,560536,$548.00,$550.255,$543.00
07/30/2024,$544.81,327047,$546.52,$551.50,$541.66
07/29/2024,$545.69,400635,$549.08,$555.95,$542.64
07/26/2024,$548.53,777957,$550.65,$553.55,$542.27
07/25/2024,$540.89,1094747,$541.13,$548.19,$534.61
07/24/2024,$531.97,2064398,$546.00,$546.00,$520.44
07/23/2024,$574.27,430783,$577.50,$579.10,$573.48
07/22/2024,$576.55,505296,$570.82,$577.23,$570.25
07/19/2024,$567.31,459205,$572.75,$575.00,$564.35
07/18/2024,$571.19,352235,$571.27,$573.17,$567.85
07/17/2024,$571.27,661678,$570.04,$574.295,$566.58
07/16/2024,$567.07,405658,$559.16,$567.42,$558.36
07/15/2024,$559.15,566546,$557.88,$560.68,$554.29
07/12/2024,$558.38,400690,$558.96,$561.75,$557.01
07/11/2024,$555.93,436431,$553.18,$558.16,$553.18
07/10/2024,$553.06,443671,$551.26,$553.06,$549.46
07/09/2024,$550.47,348687,$557.67,$557.67,$549.24
07/08/2024,$556.80,315266,$558.63,$559.81,$553.57
07/05/2024,$562.56,324764,$558.32,$563.06,$556.10
07/03/2024,$560.45,284848,$563.15,$564.335,$559.03
07/02/2024,$563.11,503655,$564.14,$567.54,$561.25
07/01/2024,$562.63,360351,$567.11,$568.55,$560.63
06/28/2024,$563.66,742921,$561.97,$569.495,$559.94
06/27/2024,$562.06,435646,$560.08,$565.43,$556.93
06/26/2024,$557.54,372106,$559.98,$562.50,$556.635
06/25/2024,$562.99,391338,$565.09,$566.465,$561.82
06/24/2024,$562.55,529195,$560.63,$568.68,$558.25
06/21/2024,$561.49,1028932,$564.88,$564.88,$557.58
06/20/2024,$559.22,548346,$560.00,$563.9187,$556.0612
06/18/2024,$560.10,496136,$551.74,$561.885,$551.74
06/17/2024,$553.59,632786,$549.00,$554.16,$547.63
06/14/2024,$549.45,431123,$548.04,$554.74,$547.42
06/13/2024,$547.17,482816,$552.66,$556.46,$546.32
06/12/2024,$558.19,526316,$557.45,$559.08,$552.13
06/11/2024,$555.72,316341,$556.38,$556.38,$550.77
06/10/2024,$556.50,313231,$553.34,$556.62,$551.15
