Date,Close/Last,Volume,Open,High,Low
11/29/2024,$26.90,8977950,$23.99,$27.75,$22.78
11/27/2024,$23.995,21916640,$25.07,$25.472,$21.78
11/26/2024,$37.41,1358743,$37.78,$39.29,$36.63
11/25/2024,$37.47,1664642,$40.65,$40.76,$37.37
11/22/2024,$38.785,2220652,$36.69,$39.86,$36.03
11/21/2024,$36.27,2088980,$36.73,$36.96,$34.02
11/20/2024,$36.31,2838865,$39.50,$40.70,$36.14
11/19/2024,$39.02,10132010,$38.15,$41.00,$35.00
11/18/2024,$30.56,3159605,$30.00,$31.40,$29.76
11/15/2024,$29.49,889324,$30.26,$30.26,$29.08
11/14/2024,$29.93,1321187,$31.91,$32.61,$29.82
11/13/2024,$31.49,1567491,$34.30,$35.23,$31.05
11/12/2024,$34.32,813178,$33.79,$34.84,$33.61
11/11/2024,$34.90,1629730,$35.05,$36.45,$34.30
11/08/2024,$33.95,1269127,$32.20,$33.97,$32.20
11/07/2024,$32.54,1147000,$32.71,$32.891,$31.80
11/06/2024,$31.63,1353264,$30.42,$31.82,$29.50
11/05/2024,$29.30,684670,$28.57,$29.93,$28.14
11/04/2024,$28.53,465093,$28.02,$28.9256,$27.96
11/01/2024,$28.44,669663,$28.35,$29.20,$28.1801
10/31/2024,$27.79,1062889,$29.56,$29.8899,$27.44
10/30/2024,$29.96,1641652,$29.31,$31.32,$29.31
10/29/2024,$29.52,1016714,$28.37,$29.675,$27.8501
10/28/2024,$28.41,811387,$27.99,$28.99,$27.66
10/25/2024,$27.42,1434647,$28.65,$29.69,$27.10
10/24/2024,$28.58,543980,$28.34,$29.16,$28.32
10/23/2024,$28.31,954553,$29.09,$29.79,$27.75
10/22/2024,$29.47,897073,$30.02,$30.265,$28.88
10/21/2024,$30.14,1089067,$30.10,$30.6199,$29.60
10/18/2024,$30.05,1350931,$29.68,$31.40,$29.50
10/17/2024,$29.38,1992080,$28.88,$29.88,$28.33
10/16/2024,$28.84,850364,$29.10,$29.7799,$28.175
10/15/2024,$28.83,918741,$28.61,$29.25,$27.75
10/14/2024,$28.66,1899254,$30.06,$30.4999,$28.02
10/11/2024,$29.93,4898580,$27.86,$31.77,$27.73
10/10/2024,$27.51,5282133,$23.85,$28.23,$23.81
10/09/2024,$23.24,519373,$23.45,$23.81,$23.15
