Date,Close/Last,Volume,Open,High,Low
11/29/2024,$110.00,1437423,$109.95,$112.32,$109.81
11/27/2024,$108.09,1370706,$109.53,$109.78,$106.13
11/26/2024,$109.06,1768350,$112.11,$112.1299,$108.07
11/25/2024,$110.67,2118405,$110.72,$112.28,$109.335
11/22/2024,$108.21,1651590,$105.12,$108.25,$105.07
11/21/2024,$105.52,2568542,$104.54,$105.965,$103.40
11/20/2024,$103.58,2315667,$102.29,$103.79,$101.88
11/19/2024,$102.80,2031814,$103.64,$104.05,$102.30
11/18/2024,$104.15,2865371,$102.40,$104.36,$102.26
11/15/2024,$102.58,3091875,$104.00,$105.26,$102.25
11/14/2024,$106.52,1502708,$107.99,$108.15,$106.18
11/13/2024,$106.38,1780915,$107.08,$108.64,$106.00
11/12/2024,$108.33,2213407,$109.91,$110.23,$107.16
11/11/2024,$108.81,2027276,$110.53,$110.63,$107.00
11/08/2024,$110.89,1721185,$110.22,$111.28,$109.525
11/07/2024,$111.64,1761142,$111.14,$112.44,$110.61
11/06/2024,$109.00,2250134,$108.30,$109.84,$107.14
11/05/2024,$105.45,3265716,$104.22,$105.56,$103.72
11/04/2024,$104.27,1830656,$104.93,$106.13,$104.065
11/01/2024,$106.49,2352075,$106.68,$107.84,$106.11
10/31/2024,$106.21,3392648,$109.06,$109.82,$105.53
10/30/2024,$109.48,2861371,$111.48,$112.77,$109.42
10/29/2024,$113.24,2284538,$111.33,$113.80,$111.00
10/28/2024,$111.33,2672071,$111.85,$112.135,$110.22
10/25/2024,$111.75,3573702,$111.19,$113.52,$110.99
10/24/2024,$110.72,7147997,$118.20,$118.295,$109.53
10/23/2024,$124.43,2821684,$124.61,$126.55,$122.535
10/22/2024,$125.36,2217496,$125.55,$126.26,$124.96
10/21/2024,$125.93,2303145,$125.69,$126.39,$124.53
10/18/2024,$126.04,1729392,$127.83,$128.135,$125.23
10/17/2024,$127.21,1915921,$130.19,$130.75,$127.12
10/16/2024,$127.00,1466383,$130.88,$130.88,$126.77
10/15/2024,$127.36,2843588,$133.53,$135.36,$126.58
10/14/2024,$133.64,1423717,$131.68,$134.16,$131.605
10/11/2024,$131.91,1186795,$128.30,$132.23,$128.30
10/10/2024,$128.94,986472,$128.48,$129.38,$127.2703
10/09/2024,$130.47,1434370,$129.14,$131.2929,$129.105
10/08/2024,$129.40,1071868,$129.77,$130.32,$128.29
10/07/2024,$129.51,927255,$129.33,$131.075,$128.24
10/04/2024,$130.50,1247100,$132.00,$132.28,$129.25
10/03/2024,$129.01,1409681,$129.65,$132.50,$128.37
10/02/2024,$131.44,1307909,$129.68,$134.00,$128.907
10/01/2024,$128.99,2249547,$132.80,$133.85,$127.82
09/30/2024,$133.93,1261931,$132.93,$134.30,$131.37
09/27/2024,$134.64,1701936,$137.72,$138.43,$133.72
09/26/2024,$137.41,2101416,$136.76,$138.41,$133.00
09/25/2024,$130.63,1736544,$129.85,$132.38,$129.595
09/24/2024,$131.02,965480,$131.56,$131.85,$129.41
09/23/2024,$129.69,1115990,$129.99,$130.53,$128.91
09/20/2024,$128.95,4334442,$132.21,$132.67,$128.09
09/19/2024,$133.82,2522550,$133.98,$135.97,$131.39
09/18/2024,$127.86,1361423,$130.56,$132.18,$127.63
09/17/2024,$129.71,1142865,$129.62,$131.6356,$128.67
09/16/2024,$127.98,1974147,$128.34,$129.515,$124.59
09/13/2024,$131.23,1122722,$129.17,$132.24,$128.835
09/12/2024,$128.19,1478708,$130.96,$131.44,$127.285
09/11/2024,$131.51,2644649,$125.78,$131.86,$124.36
09/10/2024,$125.37,904658,$124.70,$125.62,$121.91
09/09/2024,$124.20,1618800,$123.88,$124.835,$121.95
09/06/2024,$121.45,2298602,$124.91,$125.865,$119.81
09/05/2024,$126.10,1317141,$124.02,$128.02,$123.95
09/04/2024,$126.76,1632212,$123.64,$128.40,$122.63
09/03/2024,$124.54,3193900,$133.49,$134.315,$123.79
08/30/2024,$136.73,1497084,$136.84,$137.81,$134.49
08/29/2024,$133.96,1496235,$134.16,$138.09,$132.82
08/28/2024,$132.31,1352705,$134.14,$135.77,$130.59
08/27/2024,$134.98,1066232,$132.09,$136.05,$130.63
08/26/2024,$133.00,1648818,$135.46,$135.79,$132.52
08/23/2024,$135.94,1847085,$133.81,$137.52,$133.01
08/22/2024,$131.20,1815117,$135.85,$136.1744,$130.54
08/21/2024,$135.41,1409437,$133.25,$136.59,$132.215
08/20/2024,$131.73,1671932,$132.685,$134.5443,$130.12
08/19/2024,$133.98,1347868,$132.36,$134.15,$130.29
08/16/2024,$133.12,1338232,$131.40,$133.49,$129.54
08/15/2024,$131.73,2169436,$129.16,$132.45,$127.85
08/14/2024,$125.25,1323678,$127.53,$128.35,$123.51
08/13/2024,$127.08,1730421,$123.64,$127.40,$122.92
08/12/2024,$122.32,989525,$122.65,$123.83,$120.49
08/09/2024,$121.72,1188985,$121.73,$123.24,$120.01
08/08/2024,$122.88,2255272,$118.31,$123.08,$115.32
08/07/2024,$114.25,2599887,$121.99,$123.18,$113.50
08/06/2024,$118.32,1623831,$117.09,$122.20,$116.33
08/05/2024,$116.39,2726134,$111.16,$119.62,$109.15
08/02/2024,$117.27,3522573,$119.75,$120.00,$115.715
08/01/2024,$121.74,3950743,$128.77,$131.615,$119.65
07/31/2024,$131.16,4440788,$126.75,$131.58,$125.93
07/30/2024,$121.34,2812505,$128.59,$128.70,$120.10
07/29/2024,$127.93,1744283,$128.37,$130.27,$127.14
07/26/2024,$126.46,2617182,$125.16,$126.59,$123.03
07/25/2024,$124.335,6539001,$128.442,$129.9705,$120.35
07/24/2024,$143.54,3150209,$149.62,$150.70,$143.18
07/23/2024,$152.27,1309077,$151.84,$154.14,$151.565
07/22/2024,$154.46,2252076,$151.00,$155.18,$149.10
07/19/2024,$146.42,2001005,$149.02,$150.28,$146.00
07/18/2024,$149.52,2945675,$151.83,$153.53,$147.14
07/17/2024,$152.35,3141796,$158.65,$159.68,$152.16
07/16/2024,$163.00,1472093,$161.21,$163.205,$158.965
07/15/2024,$159.49,2113515,$157.18,$161.15,$157.08
07/12/2024,$156.33,1907461,$155.98,$158.86,$154.56
07/11/2024,$154.80,2082692,$161.22,$161.22,$154.47
07/10/2024,$159.13,1783264,$154.36,$159.61,$153.82
07/09/2024,$153.48,1223329,$154.64,$156.11,$153.10
07/08/2024,$154.17,1518957,$152.16,$154.90,$151.82
07/05/2024,$151.20,929893,$152.67,$152.67,$149.90
07/03/2024,$151.70,990174,$150.00,$152.67,$148.84
07/02/2024,$149.60,1203684,$147.00,$150.74,$145.43
07/01/2024,$147.77,1159666,$148.00,$148.77,$145.45
06/28/2024,$148.29,2826304,$148.855,$151.52,$146.37
06/27/2024,$147.57,1365439,$147.00,$148.25,$145.83
06/26/2024,$146.87,1343430,$147.27,$148.00,$144.77
06/25/2024,$147.57,2016795,$145.81,$148.015,$144.28
06/24/2024,$145.53,1785668,$146.73,$148.895,$145.27
06/21/2024,$148.45,6175742,$147.60,$149.54,$146.27
06/20/2024,$147.95,3293628,$150.52,$150.84,$146.18
06/18/2024,$151.75,2893408,$147.31,$151.95,$146.98
06/17/2024,$144.74,2452041,$144.57,$144.99,$141.5003
06/14/2024,$145.06,1060211,$144.88,$146.51,$144.69
06/13/2024,$147.64,1282597,$145.44,$148.065,$144.86
06/12/2024,$148.86,2573486,$147.48,$152.23,$147.10
06/11/2024,$144.45,1238693,$142.01,$144.56,$141.21
06/10/2024,$143.08,1467737,$139.30,$144.17,$139.30
06/07/2024,$140.90,1253149,$142.82,$144.43,$139.43
06/06/2024,$143.23,1319090,$144.26,$144.71,$142.81
06/05/2024,$145.39,2182867,$142.00,$145.54,$141.06
06/04/2024,$139.62,2583465,$140.35,$141.78,$138.57
06/03/2024,$141.02,1730511,$143.84,$145.64,$138.95
05/31/2024,$140.94,3212785,$141.33,$142.66,$135.955
05/30/2024,$141.27,2274538,$142.08,$142.66,$140.13
05/29/2024,$141.87,2079801,$142.43,$144.12,$141.72
05/28/2024,$145.23,2087705,$144.22,$146.525,$143.04
05/24/2024,$144.01,2134235,$141.19,$145.01,$141.19
