Date,Close/Last,Volume,Open,High,Low
11/29/2024,$9.66,9931620,$9.67,$9.68,$9.62
11/27/2024,$9.76,12126370,$9.68,$9.79,$9.67
11/26/2024,$9.64,22242100,$9.76,$9.76,$9.54
11/25/2024,$9.75,20240410,$9.81,$9.84,$9.74
11/22/2024,$9.74,12423520,$9.715,$9.80,$9.705
11/21/2024,$9.70,10568270,$9.655,$9.74,$9.655
11/20/2024,$9.65,15264100,$9.65,$9.68,$9.55
11/19/2024,$9.67,12622930,$9.625,$9.74,$9.60
11/18/2024,$9.67,14517790,$9.55,$9.69,$9.48
11/15/2024,$9.58,16035930,$9.52,$9.60,$9.40
11/14/2024,$9.51,11374050,$9.51,$9.60,$9.50
11/13/2024,$9.52,16821610,$9.53,$9.58,$9.48
11/12/2024,$9.47,20365320,$9.62,$9.63,$9.43
11/11/2024,$9.68,14309060,$9.66,$9.71,$9.62
11/08/2024,$9.66,20584140,$9.53,$9.73,$9.53
11/07/2024,$9.52,21028620,$9.40,$9.58,$9.40
11/06/2024,$9.38,37047680,$9.52,$9.55,$9.15
11/05/2024,$9.52,22083520,$9.36,$9.53,$9.29
11/04/2024,$9.35,23229870,$9.32,$9.42,$9.31
11/01/2024,$9.31,23911750,$9.40,$9.45,$9.29
10/31/2024,$9.31,21246140,$9.48,$9.51,$9.31
10/30/2024,$9.61,25441180,$9.57,$9.63,$9.51
10/29/2024,$9.54,50525890,$9.55,$9.595,$9.39
10/28/2024,$9.64,53951290,$9.99,$9.99,$9.61
10/25/2024,$9.93,16428250,$9.99,$10.06,$9.93
10/24/2024,$9.94,20074980,$10.00,$10.0175,$9.89
10/23/2024,$9.94,38758260,$9.99,$10.10,$9.87
10/22/2024,$10.01,33889190,$10.345,$10.35,$10.01
10/21/2024,$10.38,19153200,$10.59,$10.59,$10.35
10/18/2024,$10.60,13532190,$10.51,$10.60,$10.49
10/17/2024,$10.46,11153180,$10.45,$10.51,$10.45
10/16/2024,$10.49,14693860,$10.495,$10.55,$10.48
10/15/2024,$10.45,14079940,$10.37,$10.48,$10.365
10/14/2024,$10.37,9794048,$10.30,$10.38,$10.265
10/11/2024,$10.31,11170560,$10.355,$10.39,$10.29
10/10/2024,$10.37,12078860,$10.28,$10.37,$10.255
10/09/2024,$10.30,9773013,$10.34,$10.36,$10.28
10/08/2024,$10.31,13486570,$10.17,$10.34,$10.14
10/07/2024,$10.15,15796730,$10.328,$10.345,$10.13
10/04/2024,$10.32,15415450,$10.298,$10.33,$10.20
10/03/2024,$10.31,13312410,$10.30,$10.33,$10.19
10/02/2024,$10.30,10622190,$10.26,$10.305,$10.23
10/01/2024,$10.27,21280810,$10.44,$10.46,$10.18
09/30/2024,$10.46,13338710,$10.41,$10.48,$10.36
09/27/2024,$10.53,17232320,$10.48,$10.55,$10.40
09/26/2024,$10.40,15643680,$10.45,$10.46,$10.33
09/25/2024,$10.37,16095420,$10.45,$10.47,$10.35
09/24/2024,$10.47,23613190,$10.40,$10.5199,$10.39
09/23/2024,$10.35,23144550,$10.51,$10.53,$10.32
09/20/2024,$10.49,27374090,$10.63,$10.67,$10.47
09/19/2024,$10.56,22862090,$10.84,$10.85,$10.53
09/18/2024,$10.66,17212330,$10.58,$10.725,$10.52
09/17/2024,$10.56,15613400,$10.57,$10.65,$10.55
09/16/2024,$10.55,20467010,$10.40,$10.57,$10.38
09/13/2024,$10.35,14790390,$10.28,$10.35,$10.26
09/12/2024,$10.23,10551590,$10.202,$10.24,$10.15
09/11/2024,$10.18,17983280,$10.22,$10.25,$10.11
09/10/2024,$10.26,11567730,$10.22,$10.27,$10.20
09/09/2024,$10.21,15340260,$10.23,$10.27,$10.20
09/06/2024,$10.21,12432420,$10.26,$10.29,$10.18
09/05/2024,$10.25,11764040,$10.20,$10.26,$10.19
09/04/2024,$10.17,12042310,$10.21,$10.25,$10.13
09/03/2024,$10.21,12239790,$10.15,$10.26,$10.13
08/30/2024,$10.21,14305160,$10.16,$10.27,$10.16
08/29/2024,$10.28,14597270,$10.29,$10.32,$10.24
08/28/2024,$10.28,13328540,$10.27,$10.36,$10.24
08/27/2024,$10.26,9706324,$10.291,$10.33,$10.25
08/26/2024,$10.31,13902290,$10.23,$10.35,$10.22
08/23/2024,$10.19,16451550,$10.15,$10.24,$10.13
08/22/2024,$10.10,8580367,$10.17,$10.17,$10.09
08/21/2024,$10.15,11010180,$10.15,$10.18,$10.10
08/20/2024,$10.12,8592999,$10.17,$10.20,$10.10
08/19/2024,$10.16,13479540,$10.14,$10.19,$10.13
08/16/2024,$10.10,9591533,$10.04,$10.14,$10.03
08/15/2024,$10.04,12271260,$10.00,$10.11,$9.96
08/14/2024,$10.00,8359396,$10.00,$10.03,$9.98
08/13/2024,$10.00,11174620,$10.03,$10.05,$9.98
08/12/2024,$9.95,10149980,$10.09,$10.10,$9.65
08/09/2024,$10.09,12032780,$10.09,$10.12,$10.01
08/08/2024,$10.07,11940530,$10.03,$10.11,$9.97
08/07/2024,$9.95,13204340,$10.07,$10.14,$9.95
08/06/2024,$9.99,17301090,$9.85,$10.02,$9.80
08/05/2024,$9.78,29464770,$9.66,$9.99,$9.53
08/02/2024,$10.06,26040960,$9.97,$10.10,$9.88
08/01/2024,$10.08,21541820,$10.04,$10.08,$9.94
07/31/2024,$10.01,17629470,$10.07,$10.10,$9.975
07/30/2024,$10.15,12949340,$10.14,$10.18,$10.1001
07/29/2024,$10.10,14694970,$10.11,$10.20,$10.08
07/26/2024,$10.05,22856390,$9.97,$10.075,$9.905
07/25/2024,$9.87,22188260,$9.97,$10.06,$9.87
07/24/2024,$9.94,26000260,$10.29,$10.34,$9.92
07/23/2024,$10.32,22800430,$10.07,$10.34,$10.06
07/22/2024,$10.25,18321150,$10.28,$10.34,$10.21
07/19/2024,$10.22,11758780,$10.25,$10.32,$10.15
07/18/2024,$10.29,14761930,$10.36,$10.49,$10.23
07/17/2024,$10.38,14817170,$10.49,$10.57,$10.37
07/16/2024,$10.51,18682590,$10.41,$10.53,$10.39
07/15/2024,$10.37,19452640,$10.45,$10.50,$10.32
07/12/2024,$10.45,29189900,$10.15,$10.53,$10.15
07/11/2024,$10.15,21068520,$10.00,$10.16,$9.99
07/10/2024,$9.90,14007370,$9.78,$9.90,$9.775
07/09/2024,$9.74,10483370,$9.68,$9.79,$9.62
07/08/2024,$9.68,7774852,$9.78,$9.79,$9.68
07/05/2024,$9.75,6003756,$9.67,$9.75,$9.65
07/03/2024,$9.69,6412334,$9.65,$9.73,$9.635
07/02/2024,$9.66,13235820,$9.49,$9.67,$9.48
07/01/2024,$9.48,17391950,$9.56,$9.58,$9.36
06/28/2024,$9.54,11695100,$9.59,$9.61,$9.50
06/27/2024,$9.64,13863490,$9.708,$9.708,$9.60
06/26/2024,$9.67,12986100,$9.75,$9.75,$9.63
06/25/2024,$9.76,11504530,$9.86,$9.86,$9.73
06/24/2024,$9.85,11541280,$9.76,$9.89,$9.755
06/21/2024,$9.76,15446900,$9.79,$9.80,$9.72
06/20/2024,$9.79,11668020,$9.74,$9.83,$9.74
06/18/2024,$9.73,11140280,$9.72,$9.76,$9.675
06/17/2024,$9.73,10434260,$9.77,$9.83,$9.72
06/14/2024,$9.79,15007980,$9.80,$9.88,$9.76
06/13/2024,$9.87,12439220,$9.73,$9.90,$9.72
06/12/2024,$9.73,16411310,$9.73,$9.87,$9.67
06/11/2024,$9.56,10295690,$9.65,$9.68,$9.5236
06/10/2024,$9.66,8748772,$9.64,$9.715,$9.62
06/07/2024,$9.66,7804559,$9.63,$9.70,$9.59
06/06/2024,$9.73,13183080,$9.78,$9.82,$9.71
06/05/2024,$9.81,8028123,$9.75,$9.82,$9.68
06/04/2024,$9.72,8134879,$9.68,$9.75,$9.64
06/03/2024,$9.72,10923500,$9.61,$9.73,$9.58
05/31/2024,$9.59,9954522,$9.49,$9.60,$9.48
05/30/2024,$9.59,12611210,$9.55,$9.61,$9.50
05/29/2024,$9.47,14977820,$9.54,$9.54,$9.42
05/28/2024,$9.59,10663250,$9.71,$9.73,$9.575
05/24/2024,$9.64,8867011,$9.63,$9.66,$9.59
05/23/2024,$9.56,12167030,$9.80,$9.81,$9.54
05/22/2024,$9.77,8559027,$9.88,$9.88,$9.76
05/21/2024,$9.88,7077145,$9.81,$9.89,$9.801
