Date,Close/Last,Volume,Open,High,Low
11/29/2024,$25.22,9307,$25.16,$25.3341,$25.11
11/27/2024,$25.14,9815,$25.26,$25.31,$25.13
11/26/2024,$25.25,14328,$25.25,$25.26,$25.10
11/25/2024,$25.5899,12407,$25.28,$25.59,$25.21
11/22/2024,$25.27,13203,$25.10,$25.30,$25.10
11/21/2024,$25.15,8198,$25.1116,$25.30,$25.1116
11/20/2024,$25.14,3896,$25.20,$25.20,$25.10
11/19/2024,$25.23,12175,$25.205,$25.23,$25.12
11/18/2024,$25.24,21288,$25.183,$25.30,$25.10
11/15/2024,$25.175,8280,$25.17,$25.21,$25.15
11/14/2024,$25.15,4361,$25.27,$25.27,$25.15
11/13/2024,$25.16,11628,$25.13,$25.22,$25.11
11/12/2024,$25.12,7449,$25.10,$25.2944,$25.10
11/11/2024,$25.2377,3402,$25.26,$25.3799,$25.2377
11/08/2024,$25.30,4697,$25.38,$25.54,$25.30
11/07/2024,$25.34,8559,$25.30,$25.44,$25.28
11/06/2024,$25.4499,9359,$25.45,$25.59,$25.1035
11/05/2024,$25.47,7292,$25.40,$25.50,$25.3211
11/04/2024,$25.38,2934,$25.34,$25.47,$25.34
11/01/2024,$25.3429,1672,$25.39,$25.4447,$25.3429
10/31/2024,$25.40,23995,$25.25,$25.4099,$25.12
10/30/2024,$25.38,2389,$25.37,$25.38,$25.275
10/29/2024,$25.32,20139,$25.2775,$25.3799,$25.11
10/28/2024,$25.3599,9784,$25.18,$25.39,$25.18
10/25/2024,$25.1801,10493,$25.25,$25.25,$25.00
10/24/2024,$25.23,14584,$24.95,$25.23,$24.87
10/23/2024,$24.91,9754,$24.96,$25.11,$24.8873
10/22/2024,$25.04,14716,$25.2364,$25.2499,$24.95
10/21/2024,$25.10,20866,$25.27,$25.27,$25.00
10/18/2024,$25.30,13849,$25.58,$25.58,$25.20
10/17/2024,$25.49,26065,$25.38,$25.6735,$25.1501
10/16/2024,$25.37,58883,$25.02,$25.37,$25.00
10/15/2024,$25.05,24262,$25.04,$25.19,$24.9201
10/14/2024,$25.0388,15067,$25.07,$25.0899,$24.8001
10/11/2024,$25.00,12641,$24.97,$25.00,$24.90
10/10/2024,$24.90,15777,$25.00,$25.00,$24.80
10/09/2024,$24.98,18926,$24.95,$25.09,$24.88
10/08/2024,$24.88,6224,$24.87,$24.9044,$24.7933
10/07/2024,$24.95,10884,$25.02,$25.03,$24.885
10/04/2024,$25.02,56088,$24.85,$25.09,$24.7985
10/03/2024,$24.86,12404,$24.86,$24.92,$24.7001
10/02/2024,$24.86,10883,$24.72,$24.8999,$24.46
10/01/2024,$24.7025,42731,$24.78,$24.78,$24.38
09/30/2024,$24.92,153892,$24.925,$24.93,$24.75
09/27/2024,$24.89,30257,$24.84,$24.90,$24.72
09/26/2024,$24.74,43153,$24.75,$24.8299,$24.68
09/25/2024,$24.65,20505,$24.695,$24.7399,$24.60
09/24/2024,$24.70,54513,$24.63,$24.71,$24.55
09/23/2024,$24.55,90284,$24.44,$24.68,$24.395
09/20/2024,$24.39,114561,$24.30,$24.4499,$24.20
09/19/2024,$24.27,36066,$24.23,$24.3799,$24.19
09/18/2024,$24.11,42777,$24.20,$24.25,$24.11
09/17/2024,$24.21,48237,$24.25,$24.33,$24.21
09/16/2024,$24.20,132605,$24.45,$24.45,$23.96
09/13/2024,$24.42,5360,$24.34,$24.42,$24.33
09/12/2024,$24.33,11283,$24.30,$24.34,$24.275
09/11/2024,$24.31,10118,$24.30,$24.33,$24.185
09/10/2024,$24.295,12713,$24.26,$24.30,$24.19
09/09/2024,$24.29,19944,$24.26,$24.298,$24.13
09/06/2024,$24.24,13016,$24.21,$24.33,$24.18
09/05/2024,$24.18,8854,$24.24,$24.24,$24.0125
09/04/2024,$24.19,20908,$24.13,$24.23,$24.10
09/03/2024,$24.16,15436,$24.10,$24.2499,$24.00
08/30/2024,$24.05,17304,$24.01,$24.20,$24.00
08/29/2024,$24.05,11009,$24.04,$24.0999,$24.02
08/28/2024,$24.0401,11655,$24.045,$24.09,$24.00
08/27/2024,$24.05,8132,$23.93,$24.0903,$23.93
08/26/2024,$24.04,7506,$23.84,$24.0761,$23.84
08/23/2024,$23.89,13475,$23.80,$24.45,$23.80
08/22/2024,$23.86,19495,$24.28,$24.28,$23.86
08/21/2024,$23.90,10558,$23.95,$24.06,$23.82
08/20/2024,$23.90,7786,$23.95,$24.03,$23.8001
08/19/2024,$23.94,16135,$23.95,$23.9738,$23.90
08/16/2024,$23.9643,11373,$23.79,$23.97,$23.79
