Date,Close/Last,Volume,Open,High,Low
11/29/2024,$25.59,151903,$25.86,$25.92,$25.59
11/27/2024,$25.74,21055,$25.7207,$25.78,$25.6645
11/26/2024,$25.72,20987,$25.81,$25.8623,$25.65
11/25/2024,$25.87,11828,$25.79,$25.9183,$25.79
11/22/2024,$25.71,11199,$25.8085,$25.81,$25.71
11/21/2024,$25.7279,19842,$25.75,$25.81,$25.7244
11/20/2024,$25.75,15805,$25.74,$25.78,$25.7101
11/19/2024,$25.73,13751,$25.71,$25.87,$25.71
11/18/2024,$25.83,13253,$25.80,$25.89,$25.765
11/15/2024,$25.69,8975,$25.67,$25.70,$25.65
11/14/2024,$25.68,14584,$25.725,$25.73,$25.61
11/13/2024,$25.69,10760,$25.72,$25.72,$25.65
11/12/2024,$25.65,29425,$25.65,$25.73,$25.52
11/11/2024,$25.64,24385,$25.7895,$25.8941,$25.52
11/08/2024,$25.79,14095,$25.826,$25.88,$25.79
11/07/2024,$25.76,20860,$25.81,$25.90,$25.75
11/06/2024,$25.94,18037,$25.75,$26.02,$25.75
11/05/2024,$26.00,9765,$25.75,$26.00,$25.75
11/04/2024,$25.72,33970,$25.77,$25.8885,$25.70
11/01/2024,$25.76,14207,$25.855,$25.89,$25.6971
10/31/2024,$25.87,34296,$25.69,$25.90,$25.67
10/30/2024,$25.74,10824,$25.715,$25.74,$25.68
10/29/2024,$25.66,14997,$25.66,$25.70,$25.61
10/28/2024,$25.67,29966,$25.60,$25.7133,$25.60
10/25/2024,$25.55,25408,$25.53,$25.64,$25.53
10/24/2024,$25.56,17160,$25.65,$25.65,$25.485
10/23/2024,$25.58,10141,$25.48,$25.58,$25.48
10/22/2024,$25.48,17758,$25.50,$25.5741,$25.4164
10/21/2024,$25.50,16920,$25.56,$25.6182,$25.44
10/18/2024,$25.51,18779,$25.60,$25.6499,$25.43
10/17/2024,$25.5959,9012,$25.60,$25.65,$25.55
10/16/2024,$25.55,40131,$25.57,$25.67,$25.55
10/15/2024,$25.66,35178,$25.56,$25.74,$25.45
10/14/2024,$25.50,17154,$25.42,$25.53,$25.42
10/11/2024,$25.45,16462,$25.45,$25.45,$25.36
10/10/2024,$25.40,7727,$25.35,$25.50,$25.35
10/09/2024,$25.41,27188,$25.45,$25.54,$25.37
10/08/2024,$25.45,18415,$25.29,$25.46,$25.28
10/07/2024,$25.32,47826,$25.25,$25.358,$25.22
10/04/2024,$25.375,42988,$25.435,$25.4443,$25.25
10/03/2024,$25.42,18040,$25.55,$25.55,$25.38
10/02/2024,$25.51,31252,$25.46,$25.60,$25.21
10/01/2024,$25.57,60915,$25.35,$25.57,$25.28
09/30/2024,$25.84,172158,$25.95,$26.05,$25.76
09/27/2024,$25.90,30360,$25.90,$25.99,$25.74
09/26/2024,$25.78,25327,$25.72,$25.8199,$25.70
09/25/2024,$25.67,21634,$25.84,$25.8499,$25.67
09/24/2024,$25.83,17818,$25.77,$25.85,$25.7601
09/23/2024,$25.80,44390,$25.86,$25.92,$25.80
09/20/2024,$25.85,62583,$26.06,$26.06,$25.78
09/19/2024,$25.98,13973,$25.83,$26.0266,$25.83
09/18/2024,$25.81,16565,$25.93,$26.0281,$25.81
09/17/2024,$25.83,27621,$26.05,$26.05,$25.83
09/16/2024,$25.945,50329,$26.03,$26.03,$25.87
09/13/2024,$25.99,10662,$25.92,$25.99,$25.87
09/12/2024,$25.98,20025,$26.06,$26.06,$25.8501
09/11/2024,$26.06,6056,$25.925,$26.06,$25.88
09/10/2024,$26.02,22894,$25.99,$26.02,$25.80
09/09/2024,$25.90,16531,$25.86,$25.90,$25.7805
09/06/2024,$25.88,31416,$25.78,$25.8999,$25.74
09/05/2024,$25.7758,7973,$25.78,$25.79,$25.738
09/04/2024,$25.7685,8543,$25.73,$25.78,$25.69
09/03/2024,$25.67,19587,$25.565,$25.698,$25.55
08/30/2024,$25.52,24459,$25.68,$25.69,$25.52
08/29/2024,$25.60,11748,$25.58,$25.65,$25.58
08/28/2024,$25.58,40316,$25.59,$25.77,$25.57
08/27/2024,$25.64,8725,$25.64,$25.75,$25.64
08/26/2024,$25.63,21455,$25.93,$25.93,$25.63
08/23/2024,$25.83,7449,$25.87,$25.87,$25.78
08/22/2024,$25.82,10608,$25.66,$25.84,$25.66
08/21/2024,$25.79,8704,$25.63,$25.79,$25.63
08/20/2024,$25.70,7054,$25.61,$25.74,$25.61
08/19/2024,$25.61,13227,$25.63,$25.705,$25.601
08/16/2024,$25.76,14566,$25.78,$25.78,$25.665
08/15/2024,$25.70,6457,$25.7006,$25.7006,$25.67
08/14/2024,$25.67,15996,$25.66,$25.76,$25.6592
08/13/2024,$25.68,49822,$25.57,$25.68,$25.45
08/12/2024,$25.62,7937,$25.63,$25.64,$25.55
08/09/2024,$25.64,8890,$25.668,$25.70,$25.56
08/08/2024,$25.67,3916,$25.74,$25.74,$25.60
08/07/2024,$25.66,10182,$25.65,$25.80,$25.6001
08/06/2024,$25.51,35401,$25.52,$25.76,$25.51
08/05/2024,$25.57,13251,$25.753,$25.78,$25.50
08/02/2024,$25.80,15251,$25.77,$25.91,$25.7657
08/01/2024,$25.84,11812,$25.67,$25.8598,$25.67
07/31/2024,$25.65,38886,$25.75,$25.89,$25.65
07/30/2024,$25.84,14320,$25.84,$25.845,$25.73
07/29/2024,$25.84,12135,$25.85,$25.85,$25.72
07/26/2024,$25.855,9791,$25.89,$25.89,$25.8501
07/25/2024,$25.88,9790,$25.72,$25.89,$25.70
07/24/2024,$25.81,16026,$25.844,$25.87,$25.76
07/23/2024,$25.83,12428,$25.73,$25.86,$25.73
07/22/2024,$25.83,14883,$25.72,$25.84,$25.6897
07/19/2024,$25.65,6079,$25.63,$25.69,$25.61
07/18/2024,$25.66,11548,$25.65,$25.75,$25.61
07/17/2024,$25.70,18943,$25.73,$25.86,$25.62
07/16/2024,$25.75,13145,$25.85,$25.85,$25.66
07/15/2024,$25.85,28205,$25.65,$25.85,$25.6181
07/12/2024,$25.65,18637,$25.59,$25.65,$25.57
07/11/2024,$25.54,12808,$25.49,$25.5899,$25.43
07/10/2024,$25.4501,11814,$25.42,$25.52,$25.42
07/09/2024,$25.41,16232,$25.42,$25.55,$25.40
07/08/2024,$25.47,33738,$25.77,$25.77,$25.45
07/05/2024,$25.70,13498,$25.72,$25.72,$25.69
07/03/2024,$25.69,7470,$25.62,$25.72,$25.502
07/02/2024,$25.62,25524,$25.71,$25.73,$25.52
07/01/2024,$25.64,26435,$25.45,$25.64,$25.25
06/28/2024,$25.99,24842,$25.9999,$26.04,$25.8756
06/27/2024,$26.00,11730,$25.86,$26.00,$25.86
06/26/2024,$25.85,15781,$26.00,$26.00,$25.83
06/25/2024,$26.00,11799,$25.92,$26.00,$25.92
06/24/2024,$25.87,19912,$25.84,$25.95,$25.77
06/21/2024,$25.76,30810,$25.89,$25.95,$25.76
06/20/2024,$25.86,20663,$25.89,$25.89,$25.80
06/18/2024,$25.90,20273,$25.89,$25.90,$25.81
06/17/2024,$25.83,23850,$25.96,$25.96,$25.80
06/14/2024,$25.80,15886,$25.87,$25.9096,$25.775
06/13/2024,$25.85,14053,$26.00,$26.00,$25.85
06/12/2024,$25.97,17180,$25.82,$26.00,$25.82
06/11/2024,$25.86,11572,$25.913,$25.94,$25.83
06/10/2024,$25.91,8488,$25.84,$25.94,$25.84
06/07/2024,$25.92,5957,$25.865,$25.9599,$25.81
06/06/2024,$25.85,12405,$25.815,$25.88,$25.815
06/05/2024,$25.85,11588,$26.05,$26.05,$25.77
06/04/2024,$25.95,28876,$25.899,$26.00,$25.75
06/03/2024,$25.88,28102,$25.94,$26.00,$25.81
05/31/2024,$26.00,55466,$25.70,$26.08,$25.67
05/30/2024,$25.645,38998,$25.65,$25.68,$25.625
05/29/2024,$25.58,9713,$25.625,$25.6499,$25.58
05/28/2024,$25.67,13790,$25.68,$25.81,$25.5832
05/24/2024,$25.76,3983,$25.6443,$25.76,$25.6401
05/23/2024,$25.63,9683,$25.65,$25.66,$25.57
05/22/2024,$25.65,8713,$25.71,$25.8099,$25.61
05/21/2024,$25.785,34927,$25.76,$25.80,$25.6374
05/20/2024,$25.75,22729,$25.65,$25.75,$25.59
05/17/2024,$25.75,11687,$25.72,$25.75,$25.68
05/16/2024,$25.67,18377,$25.76,$25.76,$25.64
05/15/2024,$25.80,6222,$25.74,$25.80,$25.608
05/14/2024,$25.62,13887,$25.59,$25.62,$25.50
05/13/2024,$25.65,6206,$25.6619,$25.7215,$25.6028
05/10/2024,$25.66,2945,$25.6636,$25.6636,$25.61
05/09/2024,$25.63,7560,$25.61,$25.65,$25.58
05/08/2024,$25.60,25548,$25.75,$25.75,$25.47
05/07/2024,$25.69,23927,$25.64,$25.8399,$25.52
05/06/2024,$25.64,7924,$25.6005,$25.64,$25.6005
05/03/2024,$25.60,32474,$25.648,$25.65,$25.50
05/02/2024,$25.51,38368,$25.64,$25.64,$25.43
05/01/2024,$25.52,39779,$25.57,$25.63,$25.42
04/30/2024,$25.51,35261,$25.48,$25.59,$25.41
04/29/2024,$25.49,24512,$25.56,$25.66,$25.45
04/26/2024,$25.55,50426,$25.50,$25.582,$25.50
04/25/2024,$25.56,26389,$25.47,$25.60,$25.37
04/24/2024,$25.51,18719,$25.46,$25.51,$25.35
04/23/2024,$25.4496,215991,$25.21,$25.4501,$25.19
04/22/2024,$25.22,19391,$25.14,$25.2542,$25.14
04/19/2024,$25.09,46467,$25.12,$25.24,$25.06
04/18/2024,$25.11,31366,$25.23,$25.27,$25.0601
04/17/2024,$25.19,40037,$25.297,$25.38,$25.125
04/16/2024,$25.20,19761,$25.22,$25.27,$25.152
04/15/2024,$25.24,36824,$25.50,$25.50,$25.16
04/12/2024,$25.401,10737,$25.35,$25.43,$25.35
04/11/2024,$25.28,24436,$25.32,$25.41,$25.26
04/10/2024,$25.32,18692,$25.41,$25.41,$25.29
04/09/2024,$25.45,10732,$25.4576,$25.4899,$25.40
04/08/2024,$25.44,14796,$25.45,$25.5065,$25.37
04/05/2024,$25.50,20974,$25.49,$25.53,$25.49
04/04/2024,$25.49,29830,$25.39,$25.56,$25.39
04/03/2024,$25.44,35632,$25.28,$25.47,$25.22
04/02/2024,$25.29,15677,$25.25,$25.34,$25.24
04/01/2024,$25.26,26630,$25.25,$25.33,$25.20
03/28/2024,$25.13,107674,$25.21,$25.42,$25.11
03/27/2024,$25.88,22931,$25.82,$25.95,$25.79
03/26/2024,$25.92,25317,$25.85,$25.94,$25.85
03/25/2024,$25.76,33351,$25.8018,$25.8378,$25.66
03/22/2024,$25.88,13098,$25.76,$25.88,$25.76
03/21/2024,$25.76,28969,$25.85,$25.88,$25.76
03/20/2024,$25.82,33278,$25.80,$25.8699,$25.80
03/19/2024,$25.84,23052,$25.72,$25.84,$25.6804
03/18/2024,$25.7199,33261,$25.71,$25.73,$25.61
03/15/2024,$25.68,15988,$25.6992,$25.7999,$25.64
03/14/2024,$25.6999,28110,$25.84,$25.84,$25.6401
03/13/2024,$25.70,21476,$25.74,$25.80,$25.70
03/12/2024,$25.80,13167,$25.797,$25.87,$25.77
03/11/2024,$25.77,8249,$25.7017,$25.84,$25.7017
03/08/2024,$25.7001,14160,$25.7464,$25.75,$25.70
03/07/2024,$25.75,13214,$25.75,$25.75,$25.66
03/06/2024,$25.75,10658,$25.75,$25.75,$25.67
03/05/2024,$25.75,6854,$25.7899,$25.7899,$25.6922
03/04/2024,$25.68,18583,$25.75,$25.81,$25.65
03/01/2024,$25.72,7230,$25.69,$25.7278,$25.65
02/29/2024,$25.69,39232,$25.70,$25.75,$25.6819
02/28/2024,$25.68,10848,$25.65,$25.6884,$25.64
02/27/2024,$25.6869,9030,$25.62,$25.70,$25.62
02/26/2024,$25.70,15332,$25.65,$25.70,$25.65
02/23/2024,$25.70,13853,$25.66,$25.70,$25.63
02/22/2024,$25.615,32946,$25.58,$25.68,$25.56
02/21/2024,$25.65,19604,$25.65,$25.6884,$25.65
02/20/2024,$25.68,23682,$25.52,$25.69,$25.52
02/16/2024,$25.53,18404,$25.70,$25.70,$25.53
02/15/2024,$25.70,8376,$25.68,$25.70,$25.65
02/14/2024,$25.70,9506,$25.54,$25.70,$25.54
02/13/2024,$25.59,13244,$25.70,$25.70,$25.56
02/12/2024,$25.70,14524,$25.55,$25.70,$25.55
02/09/2024,$25.67,23728,$25.72,$25.73,$25.55
02/08/2024,$25.72,14916,$25.63,$25.72,$25.52
02/07/2024,$25.60,17845,$25.57,$25.66,$25.57
02/06/2024,$25.67,8780,$25.587,$25.70,$25.57
02/05/2024,$25.58,15134,$25.57,$25.6411,$25.5201
02/02/2024,$25.61,25952,$25.605,$25.61,$25.50
02/01/2024,$25.54,42114,$25.615,$25.71,$25.53
01/31/2024,$25.57,18649,$25.65,$25.67,$25.52
01/30/2024,$25.63,17091,$25.57,$25.65,$25.55
01/29/2024,$25.59,28340,$25.63,$25.63,$25.50
01/26/2024,$25.55,10472,$25.48,$25.55,$25.46
01/25/2024,$25.47,28936,$25.5389,$25.5801,$25.47
01/24/2024,$25.54,17506,$25.43,$25.54,$25.425
01/23/2024,$25.47,21380,$25.47,$25.47,$25.39
01/22/2024,$25.47,19121,$25.47,$25.47,$25.40
01/19/2024,$25.46,29243,$25.36,$25.4699,$25.35
01/18/2024,$25.41,20430,$25.4094,$25.4299,$25.38
01/17/2024,$25.41,37623,$25.36,$25.45,$25.30
01/16/2024,$25.36,23923,$25.45,$25.458,$25.32
01/12/2024,$25.45,30869,$25.36,$25.45,$25.36
01/11/2024,$25.42,60662,$25.29,$25.42,$25.28
01/10/2024,$25.29,56969,$25.23,$25.30,$25.17
01/09/2024,$25.23,57160,$25.12,$25.23,$25.09
01/08/2024,$25.14,61943,$25.00,$25.15,$25.00
01/05/2024,$25.05,87462,$25.05,$25.08,$24.96
01/04/2024,$25.05,64213,$25.00,$25.05,$24.96
01/03/2024,$24.98,38749,$25.00,$25.07,$24.95
01/02/2024,$24.98,52071,$24.94,$25.0799,$24.94
12/29/2023,$24.83,88231,$25.00,$25.05,$24.83
12/28/2023,$25.005,119654,$25.02,$25.0875,$24.912
12/27/2023,$25.55,66419,$25.53,$25.57,$25.48
12/26/2023,$25.48,56453,$25.59,$25.625,$25.41
12/22/2023,$25.59,28811,$25.61,$25.6299,$25.40
12/21/2023,$25.51,24119,$25.52,$25.6499,$25.37
12/20/2023,$25.37,45490,$25.50,$25.56,$25.36
12/19/2023,$25.47,19283,$25.39,$25.54,$25.39
12/18/2023,$25.42,14161,$25.54,$25.54,$25.42
12/15/2023,$25.55,54913,$25.36,$25.55,$25.36
12/14/2023,$25.45,60756,$25.45,$25.58,$25.39
12/13/2023,$25.415,38338,$25.35,$25.48,$25.3104
12/12/2023,$25.33,21499,$25.28,$25.35,$25.2212
12/11/2023,$25.30,40988,$25.25,$25.31,$25.16
12/08/2023,$25.22,42317,$25.17,$25.25,$25.17
12/07/2023,$25.18,55094,$25.20,$25.25,$25.17
12/06/2023,$25.23,51152,$25.23,$25.29,$25.18
12/05/2023,$25.27,68669,$25.33,$25.335,$25.15
12/04/2023,$25.45,62409,$25.50,$25.50,$25.17
12/01/2023,$25.44,23985,$25.40,$25.4999,$25.20
11/30/2023,$25.50,101537,$25.11,$25.50,$25.1041
11/29/2023,$25.14,42862,$25.16,$25.23,$25.11
11/28/2023,$25.20,53123,$25.12,$25.21,$25.08
11/27/2023,$25.135,46043,$25.16,$25.21,$25.0801
11/24/2023,$25.16,15497,$25.19,$25.205,$25.06
11/22/2023,$25.19,31687,$25.14,$25.29,$25.06
11/21/2023,$25.21,23267,$25.33,$25.33,$25.0778
11/20/2023,$25.2492,48935,$25.20,$25.3206,$25.17
11/17/2023,$25.25,25631,$25.41,$25.41,$25.18
11/16/2023,$25.38,88389,$25.01,$25.42,$25.01
11/15/2023,$25.11,59285,$25.09,$25.18,$25.00
11/14/2023,$25.19,60598,$25.13,$25.19,$25.00
11/13/2023,$25.05,22631,$25.00,$25.052,$24.98
11/10/2023,$25.03,13819,$24.87,$25.03,$24.84
11/09/2023,$24.75,20061,$24.99,$24.99,$24.69
11/08/2023,$24.95,13804,$25.11,$25.11,$24.87
11/07/2023,$25.03,15457,$25.04,$25.04,$24.8519
11/06/2023,$25.05,30836,$25.00,$25.06,$24.9099
11/03/2023,$25.05,33371,$25.05,$25.05,$24.89
11/02/2023,$24.95,47858,$24.73,$25.16,$24.73
11/01/2023,$24.66,31640,$24.35,$24.70,$24.28
10/31/2023,$24.35,107089,$23.81,$24.40,$23.77
10/30/2023,$23.81,47087,$23.75,$24.00,$23.67
10/27/2023,$23.84,133416,$24.34,$24.34,$23.72
10/26/2023,$24.41,34217,$24.58,$24.68,$24.35
10/25/2023,$24.63,34368,$24.92,$24.92,$24.595
10/24/2023,$24.975,37055,$24.80,$25.05,$24.731
10/23/2023,$25.015,14658,$25.14,$25.14,$24.81
10/20/2023,$25.13,31398,$24.95,$25.16,$24.84
10/19/2023,$24.8801,10938,$25.08,$25.08,$24.8601
10/18/2023,$25.0483,25139,$24.92,$25.125,$24.92
10/17/2023,$25.06,33105,$25.00,$25.06,$24.94
10/16/2023,$25.01,28220,$25.03,$25.1084,$24.8859
10/13/2023,$24.87,35077,$25.13,$25.13,$24.69
10/12/2023,$25.11,21164,$25.11,$25.2899,$24.99
10/11/2023,$25.11,21071,$25.16,$25.25,$25.02
10/10/2023,$25.13,41162,$25.16,$25.27,$25.1142
10/09/2023,$25.17,35577,$25.17,$25.46,$25.125
10/06/2023,$25.17,32584,$25.03,$25.30,$25.00
10/05/2023,$25.1284,22681,$25.16,$25.21,$25.08
10/04/2023,$25.17,23181,$25.21,$25.2662,$25.12
10/03/2023,$25.19,33621,$25.38,$25.38,$25.08
10/02/2023,$25.43,27300,$25.535,$25.535,$25.30
09/29/2023,$25.65,51777,$25.55,$25.65,$25.48
09/28/2023,$25.54,44378,$25.34,$25.59,$25.27
09/27/2023,$25.98,24748,$25.99,$26.02,$25.8701
09/26/2023,$25.99,34835,$25.97,$26.00,$25.7908
09/25/2023,$25.8004,13508,$25.825,$25.945,$25.77
09/22/2023,$25.8506,6486,$25.94,$25.97,$25.8506
09/21/2023,$25.82,65840,$25.97,$26.18,$25.82
09/20/2023,$25.9723,19806,$25.78,$25.98,$25.78
09/19/2023,$25.82,8088,$25.87,$25.88,$25.795
09/18/2023,$25.85,12208,$25.89,$25.89,$25.7601
09/15/2023,$25.85,27868,$25.77,$25.85,$25.72
09/14/2023,$25.82,15746,$25.775,$25.85,$25.7001
09/13/2023,$25.75,9677,$25.69,$25.7999,$25.69
09/12/2023,$25.69,13174,$25.76,$25.79,$25.645
09/11/2023,$25.79,8066,$25.72,$25.80,$25.72
09/08/2023,$25.7699,25358,$25.79,$25.80,$25.70
09/07/2023,$25.79,6878,$25.72,$25.80,$25.72
09/06/2023,$25.72,9230,$25.775,$25.7994,$25.72
09/05/2023,$25.73,5631,$25.74,$25.8271,$25.72
09/01/2023,$25.84,7840,$25.80,$25.84,$25.72
08/31/2023,$25.84,91070,$25.71,$25.85,$25.56
08/30/2023,$25.64,28955,$25.69,$25.70,$25.47
08/29/2023,$25.69,24054,$25.45,$25.76,$25.42
08/28/2023,$25.47,44354,$25.427,$25.53,$25.33
08/25/2023,$25.33,51751,$25.49,$25.57,$25.25
08/24/2023,$25.38,61814,$25.69,$25.69,$25.3729
08/23/2023,$25.67,15922,$25.77,$25.8221,$25.63
08/22/2023,$25.79,13242,$25.76,$25.79,$25.6701
08/21/2023,$25.69,12216,$25.79,$25.79,$25.69
08/18/2023,$25.80,13416,$25.5473,$25.80,$25.5473
08/17/2023,$25.67,47078,$25.46,$25.67,$25.40
08/16/2023,$25.45,26284,$25.53,$25.66,$25.45
08/15/2023,$25.58,24952,$25.42,$25.62,$25.42
08/14/2023,$25.36,30900,$25.30,$25.56,$25.23
08/11/2023,$25.36,8051,$25.36,$25.58,$25.36
08/10/2023,$25.32,5776,$25.49,$25.50,$25.32
08/09/2023,$25.37,26155,$25.44,$25.6399,$25.37
08/08/2023,$25.44,8174,$25.56,$25.60,$25.43
08/07/2023,$25.36,10824,$25.56,$25.56,$25.36
08/04/2023,$25.56,29772,$25.57,$25.6001,$25.535
08/03/2023,$25.57,29404,$25.54,$25.61,$25.50
08/02/2023,$25.67,20946,$25.57,$25.67,$25.4201
08/01/2023,$25.62,12139,$25.58,$25.64,$25.5301
07/31/2023,$25.66,45690,$25.62,$25.66,$25.52
07/28/2023,$25.54,18134,$25.53,$25.54,$25.464
07/27/2023,$25.54,12809,$25.38,$25.59,$25.38
07/26/2023,$25.42,19506,$25.49,$25.59,$25.30
07/25/2023,$25.50,8150,$25.4999,$25.5903,$25.2878
07/24/2023,$25.51,23958,$25.61,$25.62,$25.45
07/21/2023,$25.52,9473,$25.52,$25.60,$25.4301
07/20/2023,$25.57,21243,$25.41,$25.57,$25.41
07/19/2023,$25.4832,12607,$25.54,$25.57,$25.47
07/18/2023,$25.55,15783,$25.395,$25.55,$25.395
07/17/2023,$25.47,25196,$25.58,$25.58,$25.1401
07/14/2023,$25.45,7401,$25.3563,$25.549,$25.3001
07/13/2023,$25.45,19483,$25.40,$25.45,$25.40
07/12/2023,$25.42,28319,$25.54,$25.544,$25.19
07/11/2023,$25.49,14710,$25.39,$25.49,$25.39
07/10/2023,$25.46,18572,$25.25,$25.50,$25.13
07/07/2023,$25.29,13945,$25.12,$25.33,$25.12
07/06/2023,$25.22,11777,$25.30,$25.30,$25.10
07/05/2023,$25.37,53007,$25.44,$25.51,$25.2612
07/03/2023,$25.45,17845,$25.36,$25.45,$25.25
06/30/2023,$25.53,80822,$24.9926,$25.59,$24.9926
06/29/2023,$24.91,37256,$25.15,$25.29,$24.85
06/28/2023,$25.45,32345,$25.65,$25.65,$25.43
06/27/2023,$25.58,12686,$25.60,$25.64,$25.545
06/26/2023,$25.60,20119,$25.61,$25.62,$25.534
06/23/2023,$25.55,52228,$25.55,$25.5887,$25.50
06/22/2023,$25.60,9968,$25.55,$25.60,$25.55
06/21/2023,$25.65,25500,$25.52,$25.6886,$25.52
06/20/2023,$25.56,29983,$25.50,$25.57,$25.50
06/16/2023,$25.57,59210,$25.36,$25.58,$25.35
06/15/2023,$25.42,10626,$25.45,$25.56,$25.3201
06/14/2023,$25.34,51791,$25.51,$25.51,$25.27
06/13/2023,$25.55,25480,$25.4187,$25.58,$25.4187
06/12/2023,$25.37,32441,$25.38,$25.49,$25.30
06/09/2023,$25.39,11669,$25.23,$25.39,$25.21
06/08/2023,$25.32,17473,$25.28,$25.34,$25.23
06/07/2023,$25.26,22445,$25.28,$25.3999,$25.22
06/06/2023,$25.35,32890,$25.12,$25.35,$25.12
06/05/2023,$25.12,34516,$25.44,$25.48,$25.05
06/02/2023,$25.44,37452,$25.32,$25.55,$25.0601
06/01/2023,$25.24,30398,$25.00,$25.31,$24.92
05/31/2023,$25.06,118577,$24.91,$25.076,$24.86
05/30/2023,$24.84,264929,$24.91,$25.10,$24.7261
05/26/2023,$24.83,49150,$25.05,$25.05,$24.67
05/25/2023,$25.00,107867,$25.10,$25.10,$24.55
05/24/2023,$25.15,52419,$24.98,$25.20,$24.97
05/23/2023,$24.99,48203,$24.92,$25.095,$24.89
05/22/2023,$24.90,73076,$24.87,$24.94,$24.83
05/19/2023,$24.845,61165,$24.71,$24.89,$24.71
