Date,Close/Last,Volume,Open,High,Low
11/29/2024,$981.48,362814,$983.84,$991.93,$980.03
11/27/2024,$979.10,459647,$986.00,$994.03,$978.23
11/26/2024,$978.26,708108,$974.00,$982.69,$961.36
11/25/2024,$974.35,1977322,$940.00,$976.35,$938.55
11/22/2024,$936.37,512791,$928.70,$937.32,$922.71
11/21/2024,$923.60,508063,$914.00,$930.15,$913.76
11/20/2024,$918.94,664296,$916.30,$923.06,$914.52
11/19/2024,$923.00,545052,$911.00,$927.99,$905.02
11/18/2024,$909.48,480196,$891.00,$910.385,$891.00
11/15/2024,$897.37,368707,$889.48,$903.62,$885.98
11/14/2024,$898.12,414246,$905.53,$905.92,$893.94
11/13/2024,$901.15,364058,$901.39,$910.00,$900.52
11/12/2024,$903.02,810358,$915.36,$916.68,$901.52
11/11/2024,$913.50,289832,$921.06,$927.54,$911.67
11/08/2024,$921.06,535955,$916.16,$927.82,$912.77
11/07/2024,$907.74,366238,$898.64,$909.46,$891.185
11/06/2024,$890.82,671741,$895.00,$895.89,$869.50
11/05/2024,$908.99,437534,$894.40,$909.46,$888.90
11/04/2024,$895.92,335828,$888.00,$898.19,$887.15
11/01/2024,$888.30,450971,$914.00,$916.31,$887.28
10/31/2024,$908.08,850730,$885.36,$925.00,$885.36
10/30/2024,$910.22,543437,$913.40,$917.60,$908.37
10/29/2024,$905.91,534485,$912.00,$920.145,$903.9401
10/28/2024,$912.62,447466,$927.49,$929.15,$912.31
10/25/2024,$914.33,1032154,$917.40,$943.02,$913.00
10/24/2024,$895.76,425529,$890.27,$896.75,$887.90
10/23/2024,$891.16,400158,$873.72,$891.86,$873.01
10/22/2024,$878.37,264262,$878.62,$883.04,$877.40
10/21/2024,$879.94,396333,$887.98,$895.0445,$877.115
10/18/2024,$895.20,299362,$888.15,$895.23,$884.86
10/17/2024,$888.85,447429,$880.91,$890.00,$875.41
10/16/2024,$880.20,260490,$878.64,$882.80,$873.29
10/15/2024,$878.03,558064,$872.12,$882.02,$868.49
10/14/2024,$866.02,418526,$867.89,$873.565,$863.33
10/11/2024,$871.56,425237,$869.63,$878.57,$864.29
10/10/2024,$870.54,268534,$876.76,$890.00,$870.33
10/09/2024,$876.76,239260,$870.12,$877.77,$862.23
10/08/2024,$872.51,244980,$876.68,$877.765,$871.44
10/07/2024,$870.01,235020,$868.56,$872.70,$864.08
10/04/2024,$876.88,236751,$883.97,$883.97,$867.29
10/03/2024,$876.22,209435,$884.92,$884.92,$873.97
10/02/2024,$886.60,255402,$871.79,$887.41,$871.79
10/01/2024,$883.00,419917,$894.98,$894.98,$876.365
09/30/2024,$887.63,534582,$879.41,$889.555,$879.41
09/27/2024,$882.69,359055,$886.15,$889.61,$879.945
09/26/2024,$878.98,579472,$896.62,$896.62,$876.49
09/25/2024,$890.01,554115,$892.08,$896.5208,$888.01
09/24/2024,$887.58,435032,$881.92,$892.0694,$880.44
