Date,Close/Last,Volume,Open,High,Low
11/29/2024,$51.61,843655,$51.67,$52.27,$51.60
11/27/2024,$51.66,737047,$51.41,$51.98,$51.40
11/26/2024,$51.17,1372211,$51.47,$51.47,$50.87
11/25/2024,$51.28,1950480,$51.10,$51.76,$51.10
11/22/2024,$50.92,1010867,$50.90,$51.24,$50.85
11/21/2024,$50.65,752344,$50.51,$50.77,$50.27
11/20/2024,$50.54,1223113,$50.66,$50.81,$49.98
11/19/2024,$50.25,1499291,$49.09,$50.30,$48.83
11/18/2024,$49.43,1190570,$49.12,$49.80,$48.9685
11/15/2024,$49.19,982497,$48.75,$49.25,$48.60
11/14/2024,$48.72,988504,$49.10,$49.10,$48.50
11/13/2024,$49.09,1358582,$49.61,$49.7199,$48.64
11/12/2024,$49.16,937666,$49.18,$49.44,$48.80
11/11/2024,$49.23,1161523,$49.63,$49.79,$49.20
11/08/2024,$49.77,1055798,$49.51,$49.93,$49.47
11/07/2024,$49.39,1542658,$49.13,$49.795,$49.0094
11/06/2024,$49.04,2220327,$51.28,$51.28,$48.42
11/05/2024,$50.78,824039,$50.37,$50.78,$50.08
11/04/2024,$50.59,1111266,$49.82,$50.88,$49.82
11/01/2024,$49.82,1296635,$50.27,$50.97,$49.66
10/31/2024,$50.19,2030015,$50.58,$50.955,$49.95
10/30/2024,$50.78,1252996,$50.80,$51.51,$50.69
10/29/2024,$50.87,2367745,$50.35,$50.91,$49.98
10/28/2024,$50.49,1919907,$49.87,$50.58,$49.87
10/25/2024,$49.77,1539581,$51.09,$51.12,$49.59
10/24/2024,$50.84,1026128,$50.91,$51.18,$50.80
10/23/2024,$50.92,1105754,$50.65,$51.06,$50.56
10/22/2024,$50.81,848878,$50.75,$51.10,$50.56
10/21/2024,$50.73,1013418,$51.28,$51.55,$50.605
10/18/2024,$51.48,914417,$50.88,$51.535,$50.88
10/17/2024,$50.97,1311489,$51.21,$51.35,$50.91
10/16/2024,$51.31,1177836,$51.10,$51.61,$51.10
10/15/2024,$51.04,1041328,$51.15,$51.78,$51.01
10/14/2024,$51.02,499735,$50.66,$51.18,$50.50
10/11/2024,$50.78,574785,$50.69,$50.80,$50.445
10/10/2024,$50.43,861946,$51.03,$51.03,$50.255
10/09/2024,$51.03,1298489,$51.01,$51.31,$50.97
10/08/2024,$51.01,1234591,$51.00,$51.1685,$50.735
10/07/2024,$51.00,985352,$50.90,$51.09,$50.66
10/04/2024,$51.00,1326182,$51.00,$51.18,$50.45
10/03/2024,$51.12,1138505,$51.11,$51.13,$50.79
10/02/2024,$51.15,1381653,$50.89,$51.36,$50.83
10/01/2024,$51.14,1173282,$51.47,$51.50,$50.75
09/30/2024,$51.45,2417254,$50.95,$51.57,$50.63
09/27/2024,$50.75,1242754,$51.38,$51.43,$50.595
09/26/2024,$50.92,1006272,$50.42,$51.035,$50.35
09/25/2024,$50.54,732000,$51.05,$51.05,$50.38
09/24/2024,$50.93,837418,$51.09,$51.365,$50.80
09/23/2024,$51.15,1107819,$51.29,$51.48,$50.9602
09/20/2024,$50.90,2121446,$50.80,$50.91,$50.49
09/19/2024,$50.85,1072904,$51.38,$51.47,$50.71
09/18/2024,$51.20,862682,$51.41,$51.945,$51.12
09/17/2024,$51.34,1260508,$51.66,$51.86,$51.23
09/16/2024,$51.65,2012319,$51.84,$52.06,$51.50
09/13/2024,$51.62,1672970,$51.76,$52.015,$51.47
09/12/2024,$52.11,1079538,$52.43,$52.54,$51.88
09/11/2024,$52.23,895230,$52.04,$52.34,$51.29
09/10/2024,$52.34,1191671,$52.16,$52.595,$52.02
09/09/2024,$52.11,1528139,$51.48,$52.23,$51.42
09/06/2024,$51.52,1317505,$51.50,$52.11,$51.32
09/05/2024,$51.50,1452394,$52.26,$52.425,$51.22
09/04/2024,$51.97,1094067,$51.43,$52.40,$51.43
09/03/2024,$51.60,1140067,$52.05,$52.31,$51.385
08/30/2024,$52.02,2206846,$51.37,$52.125,$51.37
08/29/2024,$51.28,783079,$51.03,$51.48,$50.76
08/28/2024,$51.08,798856,$51.00,$51.275,$50.77
08/27/2024,$51.03,727274,$50.69,$51.06,$50.53
08/26/2024,$51.03,1033314,$50.90,$51.345,$50.765
08/23/2024,$50.74,2253370,$50.08,$50.88,$49.70
08/22/2024,$49.74,507769,$50.01,$50.10,$49.53
08/21/2024,$50.01,874281,$49.80,$50.08,$49.56
08/20/2024,$49.66,600918,$49.84,$49.96,$49.60
08/19/2024,$49.81,1029581,$49.27,$49.8868,$49.27
08/16/2024,$49.14,1083467,$49.18,$49.47,$48.995
08/15/2024,$49.26,2376343,$49.81,$49.81,$49.22
08/14/2024,$49.58,896959,$49.09,$49.90,$49.09
08/13/2024,$49.10,684406,$49.34,$49.44,$48.7989
08/12/2024,$49.14,1124380,$48.85,$49.17,$48.63
08/09/2024,$49.34,802521,$49.44,$49.56,$49.23
08/08/2024,$49.33,1317157,$49.32,$49.63,$48.96
08/07/2024,$49.13,1552995,$49.69,$50.29,$49.075
08/06/2024,$49.26,2676100,$48.17,$49.87,$47.99
08/05/2024,$48.15,2211674,$47.54,$48.96,$47.54
08/02/2024,$49.49,1734737,$49.00,$49.605,$48.71
08/01/2024,$49.12,1581909,$50.47,$50.71,$48.89
07/31/2024,$50.20,1848045,$50.28,$50.735,$49.975
07/30/2024,$50.25,1090349,$50.04,$50.54,$49.9169
07/29/2024,$49.91,979786,$49.62,$50.01,$49.27
07/26/2024,$49.45,1425927,$49.30,$49.70,$48.35
07/25/2024,$48.98,1506811,$48.66,$49.88,$48.62
07/24/2024,$48.56,1181408,$48.79,$49.28,$48.49
07/23/2024,$48.89,693799,$48.40,$48.99,$48.14
07/22/2024,$48.43,825308,$48.02,$48.50,$47.86
07/19/2024,$48.04,2940203,$48.19,$48.26,$47.6399
07/18/2024,$48.30,2825557,$49.02,$49.54,$48.22
07/17/2024,$49.22,1909100,$49.15,$49.64,$48.9501
07/16/2024,$49.21,1915742,$49.58,$49.585,$48.755
07/15/2024,$49.22,1884453,$48.21,$49.40,$48.04
07/12/2024,$48.14,2000035,$46.97,$48.39,$46.97
07/11/2024,$46.80,983834,$45.838,$46.975,$45.67
07/10/2024,$45.14,796512,$44.84,$45.15,$44.82
07/09/2024,$44.80,620721,$45.10,$45.10,$44.45
07/08/2024,$45.03,1390883,$44.76,$45.09,$44.61
07/05/2024,$44.61,771048,$44.04,$44.69,$43.81
07/03/2024,$44.10,485451,$44.20,$44.60,$43.90
07/02/2024,$43.90,1232747,$44.14,$44.29,$43.88
07/01/2024,$44.14,998459,$45.11,$45.19,$43.99
06/28/2024,$45.21,1877455,$44.87,$45.26,$44.38
06/27/2024,$44.69,931303,$43.95,$44.71,$43.88
06/26/2024,$44.03,811127,$43.50,$44.07,$43.44
06/25/2024,$43.87,910189,$44.33,$44.50,$43.64
06/24/2024,$44.48,1540124,$44.45,$45.00,$44.28
06/21/2024,$44.37,2205139,$44.05,$44.485,$44.04
06/20/2024,$43.94,1216720,$44.06,$46.22,$43.90
06/18/2024,$44.14,1200199,$43.66,$44.18,$43.57
06/17/2024,$43.66,767370,$43.28,$43.75,$43.20
06/14/2024,$43.41,923365,$43.51,$43.65,$43.06
06/13/2024,$43.63,957198,$43.67,$44.0599,$43.59
06/12/2024,$43.76,1108732,$44.23,$44.79,$43.60
06/11/2024,$43.43,1255182,$43.26,$43.55,$43.02
06/10/2024,$43.46,1688386,$43.52,$43.64,$42.86
06/07/2024,$43.69,896176,$43.65,$44.265,$43.465
06/06/2024,$44.84,838388,$44.41,$44.89,$44.27
06/05/2024,$44.56,827656,$45.22,$45.22,$44.49
06/04/2024,$45.20,940364,$44.85,$45.36,$44.77
06/03/2024,$45.00,776881,$45.00,$45.14,$44.74
05/31/2024,$44.90,1993903,$44.48,$45.00,$44.38
05/30/2024,$44.28,1096874,$43.82,$44.33,$43.60
05/29/2024,$43.57,1031298,$43.95,$43.95,$43.38
05/28/2024,$44.11,1510598,$44.71,$44.93,$44.08
05/24/2024,$44.65,965760,$44.79,$44.85,$44.24
05/23/2024,$44.50,682970,$45.57,$45.6032,$44.48
05/22/2024,$45.67,707661,$46.16,$46.37,$45.54
05/21/2024,$46.33,876399,$46.50,$46.62,$46.09
05/20/2024,$46.48,1080713,$45.90,$46.52,$45.90
05/17/2024,$46.04,696987,$45.75,$46.2668,$45.64
05/16/2024,$45.68,1101784,$45.91,$46.00,$45.52
05/15/2024,$45.91,1436469,$45.41,$46.12,$45.33
05/14/2024,$44.88,633168,$44.66,$44.99,$44.59
05/13/2024,$44.52,661357,$44.39,$44.53,$44.14
05/10/2024,$44.27,877657,$44.38,$44.59,$44.21
05/09/2024,$44.21,1166158,$44.34,$44.5154,$43.93
05/08/2024,$44.02,1218828,$44.05,$44.285,$43.80
05/07/2024,$44.20,1843955,$43.98,$44.58,$43.86
05/06/2024,$43.65,1157605,$43.49,$43.72,$43.27
05/03/2024,$43.20,1088408,$43.99,$44.15,$43.04
05/02/2024,$43.50,2637861,$43.44,$43.71,$42.87
05/01/2024,$43.13,2075367,$42.69,$43.97,$42.62
04/30/2024,$42.73,1322593,$42.92,$43.46,$42.66
04/29/2024,$43.20,1344403,$42.80,$43.28,$42.79
04/26/2024,$42.46,1753831,$43.34,$43.9399,$42.20
04/25/2024,$43.43,1026015,$43.05,$43.55,$43.00
04/24/2024,$43.45,1015591,$43.30,$43.77,$43.04
04/23/2024,$43.54,1132263,$42.99,$43.675,$42.9599
04/22/2024,$42.98,1222429,$42.79,$43.28,$42.61
04/19/2024,$42.80,1061371,$42.37,$42.94,$42.37
04/18/2024,$42.35,969311,$42.10,$42.40,$41.97
04/17/2024,$42.03,1035572,$42.26,$42.42,$41.80
04/16/2024,$42.10,1655011,$42.60,$42.68,$41.94
04/15/2024,$42.81,1596655,$43.10,$43.20,$42.44
04/12/2024,$42.98,995545,$43.05,$43.215,$42.555
04/11/2024,$43.21,1294589,$43.41,$43.69,$43.16
04/10/2024,$43.29,1508988,$45.26,$45.26,$43.23
04/09/2024,$45.99,1016028,$45.44,$45.99,$45.41
04/08/2024,$45.45,1069542,$45.08,$45.54,$45.04
04/05/2024,$45.16,934724,$45.00,$45.23,$44.645
04/04/2024,$45.12,946553,$45.56,$45.80,$45.036
04/03/2024,$45.20,734017,$45.13,$45.27,$45.01
04/02/2024,$45.27,1131131,$45.18,$45.50,$45.07
04/01/2024,$45.52,660994,$46.06,$46.105,$45.49
03/28/2024,$46.07,1048464,$46.00,$46.345,$45.81
03/27/2024,$45.77,1107995,$45.57,$45.90,$45.34
03/26/2024,$45.20,1082852,$45.03,$45.41,$44.94
03/25/2024,$45.03,755070,$45.35,$45.51,$44.97
03/22/2024,$45.10,1167457,$45.72,$45.79,$45.07
03/21/2024,$45.70,1403630,$45.63,$45.91,$45.28
03/20/2024,$45.54,1342816,$44.99,$45.60,$44.89
03/19/2024,$45.42,1876216,$45.00,$45.46,$44.76
03/18/2024,$45.07,1354763,$45.10,$45.38,$44.94
03/15/2024,$45.14,3505274,$45.06,$45.74,$44.99
03/14/2024,$45.26,1472378,$45.73,$45.73,$44.825
03/13/2024,$46.47,1264604,$46.55,$46.80,$46.325
03/12/2024,$46.64,1578521,$46.29,$46.675,$46.15
03/11/2024,$46.32,1153440,$46.06,$46.45,$46.01
03/08/2024,$46.17,1371636,$45.97,$46.24,$45.6907
03/07/2024,$45.58,992177,$45.50,$45.68,$45.26
03/06/2024,$45.48,865908,$45.54,$45.6637,$45.25
