Date,Close/Last,Volume,Open,High,Low
11/29/2024,$18.42,4412556,$18.58,$18.645,$18.42
11/27/2024,$18.43,6952055,$18.31,$18.615,$18.31
11/26/2024,$18.31,8026869,$18.32,$18.47,$18.245
11/25/2024,$18.42,13101610,$18.33,$18.5666,$18.29
11/22/2024,$18.25,6184088,$17.90,$18.31,$17.88
11/21/2024,$17.89,4364739,$17.54,$17.99,$17.46
11/20/2024,$17.42,4901128,$17.23,$17.46,$17.17
11/19/2024,$17.33,6211353,$17.20,$17.37,$17.08
11/18/2024,$17.41,5446122,$17.31,$17.45,$17.16
11/15/2024,$17.26,12826630,$17.51,$17.68,$17.26
11/14/2024,$17.46,9861424,$17.98,$18.12,$17.43
11/13/2024,$18.00,5505213,$18.01,$18.205,$17.91
11/12/2024,$17.99,7736912,$17.96,$18.26,$17.755
11/11/2024,$18.06,12972310,$18.05,$18.455,$17.77
11/08/2024,$18.01,8591568,$18.06,$18.22,$17.87
11/07/2024,$18.00,13613370,$18.35,$18.72,$17.68
11/06/2024,$17.99,21413440,$18.50,$18.80,$17.94
11/05/2024,$17.65,5501988,$17.24,$17.655,$17.215
11/04/2024,$17.39,6825026,$17.33,$17.52,$17.27
11/01/2024,$17.33,4661998,$17.20,$17.55,$17.20
10/31/2024,$17.24,6287063,$17.68,$17.76,$17.21
10/30/2024,$17.75,3805896,$17.62,$17.90,$17.575
10/29/2024,$17.62,2627737,$17.67,$17.775,$17.5367
10/28/2024,$17.71,3761721,$17.76,$17.87,$17.68
10/25/2024,$17.58,3273847,$17.80,$17.83,$17.565
10/24/2024,$17.66,5456042,$17.47,$17.675,$17.365
10/23/2024,$17.38,6680816,$17.50,$17.54,$17.07
10/22/2024,$17.59,4038502,$17.56,$17.63,$17.46
10/21/2024,$17.63,4104622,$17.68,$17.74,$17.485
10/18/2024,$17.77,8034433,$17.99,$18.15,$17.64
10/17/2024,$18.04,7588787,$18.19,$18.20,$17.825
10/16/2024,$17.99,4461042,$17.93,$18.16,$17.91
10/15/2024,$17.92,6507440,$17.95,$18.22,$17.89
10/14/2024,$17.90,4647130,$17.75,$17.92,$17.60
10/11/2024,$17.81,4618276,$17.68,$17.88,$17.535
10/10/2024,$17.61,4648063,$17.39,$17.61,$17.31
10/09/2024,$17.45,5386380,$17.40,$17.57,$17.2813
10/08/2024,$17.46,7589218,$17.53,$17.58,$17.00
10/07/2024,$17.48,7174838,$17.75,$18.04,$17.34
10/04/2024,$17.86,5337267,$17.61,$17.985,$17.56
10/03/2024,$17.38,8247213,$17.46,$17.46,$17.145
10/02/2024,$17.57,10699400,$17.38,$17.685,$17.35
10/01/2024,$17.55,7221130,$17.58,$17.65,$17.18
09/30/2024,$17.60,7463269,$17.91,$18.00,$17.46
09/27/2024,$18.13,6475563,$18.42,$18.455,$18.085
09/26/2024,$18.24,10801070,$18.35,$18.47,$18.13
09/25/2024,$18.21,6528099,$18.74,$18.82,$18.195
09/24/2024,$18.68,8588643,$18.70,$18.885,$18.55
09/23/2024,$18.63,7459097,$18.88,$18.95,$18.39
09/20/2024,$18.73,15487420,$18.55,$18.84,$18.28
09/19/2024,$18.53,14809220,$18.26,$18.67,$18.115
09/18/2024,$17.88,9059566,$17.84,$18.265,$17.73
09/17/2024,$17.81,5161917,$17.59,$17.92,$17.59
09/16/2024,$17.46,5366712,$17.50,$17.62,$17.355
09/13/2024,$17.42,5171153,$17.26,$17.605,$17.26
09/12/2024,$17.20,7706009,$16.92,$17.235,$16.79
09/11/2024,$16.82,8475895,$16.72,$16.945,$16.575
09/10/2024,$16.77,9292735,$16.76,$16.85,$16.42
09/09/2024,$16.77,8062225,$16.76,$17.10,$16.73
09/06/2024,$16.73,9017177,$16.74,$16.89,$16.605
09/05/2024,$16.73,8545904,$16.90,$16.96,$16.61
