Date,Close/Last,Volume,Open,High,Low
11/29/2024,$134.02,242408,$134.56,$135.91,$133.8589
11/27/2024,$133.62,530721,$133.80,$134.72,$133.065
11/26/2024,$133.08,826519,$133.29,$134.14,$131.975
11/25/2024,$133.42,586627,$131.31,$133.94,$130.99
11/22/2024,$130.35,287075,$129.68,$130.71,$129.30
11/21/2024,$129.27,238172,$128.32,$129.54,$127.81
11/20/2024,$127.54,239145,$127.24,$128.06,$126.55
11/19/2024,$127.68,393308,$126.92,$128.05,$126.37
11/18/2024,$127.58,763388,$126.36,$128.115,$125.99
11/15/2024,$126.35,630633,$127.92,$128.13,$125.17
11/14/2024,$127.15,412340,$127.65,$128.16,$126.605
11/13/2024,$128.25,432827,$129.24,$130.8958,$128.13
11/12/2024,$128.94,889754,$129.49,$129.795,$126.70
11/11/2024,$130.04,673874,$127.63,$131.0375,$126.83
11/08/2024,$128.58,1099084,$128.31,$130.76,$126.575
11/07/2024,$134.99,670210,$133.50,$136.89,$132.64
11/06/2024,$132.14,663819,$135.57,$135.855,$130.41
11/05/2024,$132.25,423048,$131.71,$133.355,$130.82
11/04/2024,$131.93,366859,$131.20,$132.87,$130.6072
11/01/2024,$131.25,313931,$132.20,$132.8141,$130.98
10/31/2024,$132.00,328796,$133.46,$134.26,$131.90
10/30/2024,$134.03,260044,$134.55,$137.30,$133.875
10/29/2024,$134.66,249018,$134.43,$134.9283,$133.46
10/28/2024,$134.84,270341,$135.84,$136.86,$134.80
10/25/2024,$134.69,192297,$136.80,$136.80,$134.47
10/24/2024,$135.75,234041,$135.80,$136.616,$135.24
10/23/2024,$135.82,185308,$135.47,$137.47,$135.3942
10/22/2024,$135.89,230269,$135.70,$136.80,$135.16
10/21/2024,$136.10,222984,$136.08,$136.99,$135.41
10/18/2024,$136.15,286321,$135.77,$136.89,$135.25
10/17/2024,$135.96,264758,$136.80,$136.99,$135.26
10/16/2024,$136.59,337357,$138.77,$139.875,$136.45
10/15/2024,$138.11,282088,$136.75,$138.855,$136.54
10/14/2024,$136.24,319264,$133.79,$136.655,$133.01
10/11/2024,$133.74,296994,$132.09,$133.82,$132.09
10/10/2024,$131.45,311800,$131.56,$132.035,$130.39
10/09/2024,$131.92,353820,$132.59,$133.50,$131.46
10/08/2024,$132.93,253004,$132.79,$133.375,$131.94
10/07/2024,$132.17,292568,$132.00,$132.40,$130.945
10/04/2024,$132.61,287342,$131.56,$133.24,$130.77
10/03/2024,$131.30,314550,$131.31,$131.595,$130.01
10/02/2024,$131.50,275487,$131.10,$131.635,$130.21
10/01/2024,$131.785,252264,$133.31,$133.415,$131.05
09/30/2024,$133.60,390372,$132.78,$134.07,$132.4657
09/27/2024,$133.27,395104,$133.10,$135.07,$132.24
09/26/2024,$132.50,519701,$133.89,$133.89,$131.08
09/25/2024,$132.70,483816,$135.86,$135.86,$131.67
09/24/2024,$135.58,399375,$134.98,$136.69,$134.39
09/23/2024,$135.23,582406,$134.37,$137.395,$133.98
09/20/2024,$133.54,1205820,$132.17,$134.09,$130.811
09/19/2024,$131.60,670730,$131.56,$132.35,$130.54
09/18/2024,$130.95,543979,$128.78,$132.18,$128.1992
09/17/2024,$129.86,508168,$131.60,$132.2118,$128.47
09/16/2024,$131.13,392880,$129.82,$131.61,$128.96
09/13/2024,$129.44,375799,$127.86,$129.51,$127.74
09/12/2024,$127.48,504255,$124.69,$127.82,$124.375
09/11/2024,$124.57,255946,$122.33,$124.60,$121.05
09/10/2024,$123.04,496139,$122.78,$123.78,$122.33
09/09/2024,$122.74,424548,$123.26,$123.89,$122.18
09/06/2024,$122.63,291217,$124.37,$124.76,$121.705
09/05/2024,$124.37,223363,$125.91,$126.80,$123.87
09/04/2024,$125.75,602094,$124.31,$126.54,$124.31
09/03/2024,$124.41,296586,$125.48,$126.42,$123.68
08/30/2024,$125.78,451479,$124.33,$125.89,$123.65
08/29/2024,$124.01,293064,$122.72,$124.25,$121.626
08/28/2024,$122.63,326872,$123.77,$123.80,$122.33
08/27/2024,$122.79,500868,$121.73,$123.46,$121.615
08/26/2024,$122.42,233610,$122.61,$123.76,$121.99
08/23/2024,$122.19,249411,$119.74,$122.63,$119.425
08/22/2024,$119.31,252845,$119.53,$119.71,$118.70
08/21/2024,$119.31,257411,$119.19,$119.325,$118.11
08/20/2024,$118.82,231026,$119.78,$119.95,$118.56
08/19/2024,$119.70,305414,$119.01,$119.965,$118.94
08/16/2024,$119.20,299400,$118.98,$119.51,$118.09
08/15/2024,$119.01,404068,$118.83,$119.985,$118.035
08/14/2024,$118.13,370790,$117.73,$119.47,$116.48
08/13/2024,$117.80,364733,$117.34,$117.9251,$116.80
08/12/2024,$116.37,397823,$115.25,$116.59,$114.255
08/09/2024,$115.45,469974,$117.66,$117.66,$114.315
08/08/2024,$116.62,676969,$117.69,$118.46,$113.02
08/07/2024,$114.06,647276,$114.82,$116.77,$113.59
08/06/2024,$112.61,484054,$110.90,$114.33,$110.86
08/05/2024,$110.90,734648,$111.47,$113.76,$109.71
08/02/2024,$115.56,889557,$117.89,$118.015,$114.97
08/01/2024,$119.00,434823,$120.33,$121.21,$117.86
07/31/2024,$119.86,466857,$120.56,$121.935,$119.79
07/30/2024,$119.75,595397,$120.30,$120.67,$118.61
07/29/2024,$119.79,341416,$120.41,$120.62,$119.36
07/26/2024,$120.47,216433,$118.99,$120.87,$118.68
07/25/2024,$117.84,464197,$117.72,$119.36,$117.20
07/24/2024,$118.14,380460,$121.15,$121.33,$117.53
07/23/2024,$121.42,206543,$120.90,$121.84,$120.56
07/22/2024,$121.29,277373,$120.36,$121.33,$119.6835
07/19/2024,$119.90,352988,$120.49,$121.1999,$118.725
07/18/2024,$120.52,575794,$118.11,$123.25,$118.11
07/17/2024,$118.66,349980,$119.79,$120.80,$118.235
07/16/2024,$120.38,749575,$119.39,$120.71,$118.31
07/15/2024,$117.70,392730,$117.88,$118.14,$117.06
07/12/2024,$117.50,495323,$118.32,$118.63,$116.87
07/11/2024,$117.53,549007,$117.31,$119.75,$117.29
07/10/2024,$117.57,454571,$118.91,$119.55,$116.86
07/09/2024,$118.53,304652,$118.91,$119.18,$117.90
07/08/2024,$118.82,266152,$118.84,$119.39,$118.08
07/05/2024,$118.53,240041,$118.85,$118.94,$117.15
07/03/2024,$118.71,128301,$118.65,$119.2615,$118.09
07/02/2024,$118.57,247856,$118.17,$119.03,$117.84
07/01/2024,$117.98,353429,$118.92,$118.92,$116.73
06/28/2024,$119.53,1377073,$119.50,$120.24,$118.03
06/27/2024,$118.74,357621,$116.81,$118.8075,$116.32
06/26/2024,$116.98,341289,$117.34,$117.678,$116.18
06/25/2024,$117.78,350354,$117.90,$118.39,$116.175
06/24/2024,$117.90,399999,$117.36,$119.75,$116.7196
06/21/2024,$117.31,990575,$114.76,$117.40,$114.02
06/20/2024,$114.99,328859,$114.34,$115.27,$114.00
06/18/2024,$114.69,253007,$114.35,$115.69,$114.2824
06/17/2024,$114.35,334545,$113.31,$114.81,$112.90
06/14/2024,$114.61,298586,$115.18,$115.40,$113.715
06/13/2024,$116.02,270068,$117.30,$117.36,$115.58
06/12/2024,$117.35,338329,$119.61,$121.50,$117.02
06/11/2024,$117.11,302045,$117.04,$117.36,$115.49
06/10/2024,$117.49,353815,$115.95,$117.94,$115.905
06/07/2024,$116.85,224873,$115.62,$117.08,$115.26
06/06/2024,$116.85,188934,$116.58,$117.16,$115.625
06/05/2024,$116.85,230064,$117.25,$117.25,$116.18
06/04/2024,$117.09,268188,$116.62,$117.47,$116.62
06/03/2024,$117.13,296293,$118.63,$118.63,$116.29
05/31/2024,$118.11,406813,$117.60,$118.20,$116.09
05/30/2024,$116.78,384984,$115.69,$117.34,$115.435
05/29/2024,$115.15,562245,$117.59,$117.59,$114.91
05/28/2024,$118.43,288521,$119.81,$119.955,$117.98
05/24/2024,$119.86,285814,$119.39,$119.97,$118.315
05/23/2024,$118.68,571152,$119.65,$120.68,$117.97
05/22/2024,$119.61,410502,$119.91,$120.38,$118.86
05/21/2024,$120.74,321272,$120.67,$120.84,$119.40
05/20/2024,$120.75,309422,$119.91,$120.87,$118.71
05/17/2024,$119.91,232611,$120.19,$120.425,$118.73
05/16/2024,$120.22,289967,$122.02,$122.10,$120.20
05/15/2024,$121.82,417084,$121.21,$122.22,$120.205
05/14/2024,$119.53,318089,$119.27,$120.08,$118.50
05/13/2024,$119.22,339829,$120.49,$120.61,$118.76
05/10/2024,$119.84,319289,$119.94,$120.67,$118.77
05/09/2024,$119.49,291261,$117.51,$120.01,$117.10
05/08/2024,$116.96,291386,$116.93,$117.0863,$115.53
05/07/2024,$117.51,591043,$116.65,$118.65,$115.92
05/06/2024,$116.72,459847,$116.36,$117.16,$115.51
05/03/2024,$115.08,641317,$119.44,$120.00,$114.46
05/02/2024,$118.68,1192825,$117.93,$119.88,$114.76
05/01/2024,$117.50,876397,$115.93,$120.09,$115.28
04/30/2024,$115.85,557296,$115.02,$117.47,$115.02
04/29/2024,$115.39,203468,$115.37,$116.32,$115.125
04/26/2024,$114.37,188581,$113.50,$114.61,$113.44
04/25/2024,$112.81,331701,$113.20,$113.63,$111.64
04/24/2024,$114.06,222805,$114.09,$115.19,$113.51
04/23/2024,$114.64,235146,$113.72,$115.89,$113.72
04/22/2024,$113.71,394129,$111.87,$114.40,$110.95
04/19/2024,$111.44,290850,$110.72,$111.685,$110.10
04/18/2024,$110.72,243757,$110.81,$111.55,$110.00
04/17/2024,$110.64,295516,$111.99,$112.35,$110.54
04/16/2024,$111.28,349083,$110.64,$112.27,$108.80
04/15/2024,$111.20,315150,$113.01,$113.52,$109.7513
04/12/2024,$111.67,268729,$112.59,$112.89,$110.94
04/11/2024,$113.45,315388,$113.04,$114.80,$112.22
04/10/2024,$112.28,425903,$114.18,$114.365,$111.01
04/09/2024,$116.05,340703,$115.73,$116.315,$114.53
04/08/2024,$115.29,248655,$115.92,$115.92,$114.65
04/05/2024,$115.03,267238,$114.59,$115.71,$114.07
04/04/2024,$114.59,291904,$116.78,$117.00,$114.24
04/03/2024,$115.59,247577,$114.58,$115.7599,$114.58
04/02/2024,$115.26,333204,$115.14,$115.59,$113.98
04/01/2024,$116.09,386460,$119.21,$119.21,$115.925
03/28/2024,$119.41,339532,$118.59,$120.02,$118.34
03/27/2024,$118.73,457521,$117.48,$119.305,$117.02
03/26/2024,$116.21,399435,$117.20,$117.84,$116.02
03/25/2024,$117.03,215842,$116.57,$117.52,$116.2913
03/22/2024,$116.57,354249,$118.16,$118.3425,$116.03
03/21/2024,$118.07,443184,$116.76,$118.61,$116.02
03/20/2024,$116.24,342876,$115.70,$116.6625,$115.14
03/19/2024,$116.07,400877,$115.63,$116.7782,$115.4599
03/18/2024,$116.18,297821,$115.60,$117.10,$115.60
03/15/2024,$116.09,808109,$115.95,$117.79,$115.95
03/14/2024,$116.45,517468,$116.13,$116.62,$114.28
03/13/2024,$117.43,368339,$117.37,$118.74,$117.08
03/12/2024,$117.29,363761,$116.77,$117.50,$116.15
03/11/2024,$116.77,331525,$117.57,$118.25,$116.5967
03/08/2024,$118.16,455347,$121.31,$121.99,$117.82
03/07/2024,$120.58,861431,$117.88,$120.94,$117.7125
03/06/2024,$117.55,921229,$117.94,$119.57,$117.45
03/05/2024,$117.13,742072,$115.03,$117.4399,$114.43
03/04/2024,$116.02,782799,$111.56,$116.26,$111.485
03/01/2024,$111.37,449704,$110.25,$111.94,$109.6701
02/29/2024,$110.55,545739,$109.12,$111.14,$108.30
02/28/2024,$108.59,430599,$108.35,$110.525,$108.23
02/27/2024,$109.43,272346,$110.38,$110.48,$108.435
02/26/2024,$109.53,560380,$109.07,$110.07,$107.22
02/23/2024,$110.08,963929,$115.95,$117.6236,$108.86
02/22/2024,$112.83,1005845,$108.25,$113.63,$108.21
02/21/2024,$107.71,508797,$107.61,$108.00,$106.61
02/20/2024,$107.83,499411,$106.66,$108.05,$106.425
02/16/2024,$107.25,421304,$106.43,$107.40,$105.445
02/15/2024,$107.97,355031,$106.66,$108.14,$106.39
02/14/2024,$106.04,328215,$105.62,$106.13,$104.11
02/13/2024,$104.55,512444,$104.26,$104.96,$102.10
02/12/2024,$107.20,435251,$106.07,$107.82,$106.07
02/09/2024,$105.92,268459,$105.92,$106.28,$104.70
02/08/2024,$105.67,348087,$104.36,$106.39,$104.36
02/07/2024,$104.53,345411,$104.52,$105.5881,$102.98
02/06/2024,$104.28,379347,$102.51,$105.07,$102.51
02/05/2024,$102.48,331847,$104.54,$104.54,$102.38
02/02/2024,$105.67,237990,$105.51,$106.295,$103.58
02/01/2024,$106.39,310944,$104.86,$106.58,$104.005
01/31/2024,$104.68,322573,$106.72,$107.745,$104.26
01/30/2024,$106.82,206539,$107.09,$107.59,$106.31
01/29/2024,$107.66,236500,$106.29,$107.78,$105.67
01/26/2024,$106.37,202180,$106.20,$106.94,$105.7401
01/25/2024,$105.73,336847,$106.45,$107.65,$105.48
01/24/2024,$105.20,173205,$107.80,$107.835,$104.81
01/23/2024,$106.69,177826,$107.42,$107.89,$105.67
01/22/2024,$106.79,316331,$106.48,$107.68,$106.02
01/19/2024,$105.76,373010,$103.86,$105.85,$102.72
01/18/2024,$103.55,370739,$104.50,$104.50,$102.61
01/17/2024,$103.90,952357,$103.97,$104.96,$102.6786
01/16/2024,$105.70,396059,$105.45,$106.305,$105.00
01/12/2024,$106.42,252544,$105.79,$106.56,$104.72
01/11/2024,$104.94,361688,$104.93,$105.285,$103.96
01/10/2024,$105.15,296813,$103.98,$105.19,$103.74
01/09/2024,$103.46,245879,$103.22,$104.11,$102.815
01/08/2024,$104.06,587328,$102.18,$104.16,$102.18
01/05/2024,$102.42,381569,$100.72,$103.57,$100.52
01/04/2024,$101.56,487229,$101.01,$102.935,$100.15
01/03/2024,$101.03,631278,$105.16,$105.387,$100.75
01/02/2024,$106.55,381927,$105.27,$108.35,$105.00
12/29/2023,$106.28,271488,$107.21,$107.65,$105.84
12/28/2023,$107.62,189018,$106.33,$107.76,$106.33
12/27/2023,$107.08,218894,$107.04,$108.06,$106.7992
12/26/2023,$106.76,291863,$106.19,$107.30,$105.77
12/22/2023,$106.32,242442,$106.77,$107.6574,$105.75
