Date,Close/Last,Volume,Open,High,Low
11/29/2024,$75.59,947234,$75.98,$76.53,$75.52
11/27/2024,$75.91,800650,$75.20,$76.14,$75.20
11/26/2024,$75.00,729779,$74.13,$75.10,$73.84
11/25/2024,$74.02,2193414,$74.41,$74.41,$73.67
11/22/2024,$74.24,725598,$74.76,$74.82,$74.13
11/21/2024,$74.46,758920,$74.70,$74.84,$74.41
11/20/2024,$74.53,605492,$74.00,$74.73,$73.53
11/19/2024,$74.25,1021234,$73.32,$74.35,$73.13
11/18/2024,$73.77,639349,$73.29,$73.81,$72.8316
11/15/2024,$73.66,3835304,$73.88,$74.1275,$73.52
11/14/2024,$73.66,1034602,$73.42,$73.91,$73.3486
11/13/2024,$73.86,1309402,$73.98,$74.24,$73.75
11/12/2024,$73.48,1018348,$73.99,$74.45,$73.37
11/11/2024,$74.00,1531543,$74.27,$74.66,$73.73
11/08/2024,$74.24,1038086,$74.22,$74.58,$73.60
11/07/2024,$73.87,1230131,$72.675,$74.03,$72.48
11/06/2024,$72.82,1367107,$73.71,$74.025,$71.69
11/05/2024,$73.16,991712,$71.69,$73.21,$71.44
11/04/2024,$72.28,1108035,$72.01,$72.50,$71.73
11/01/2024,$71.42,932814,$71.80,$72.73,$71.35
10/31/2024,$71.44,1357116,$72.77,$73.215,$71.42
10/30/2024,$72.70,2472156,$72.41,$73.185,$72.12
10/29/2024,$72.43,1421787,$72.96,$74.34,$72.425
10/28/2024,$71.75,740108,$71.37,$72.13,$71.36
10/25/2024,$71.01,512403,$72.51,$72.63,$70.95
10/24/2024,$72.00,617490,$72.03,$72.61,$71.80
10/23/2024,$72.23,579497,$71.50,$72.34,$71.47
10/22/2024,$71.87,560933,$71.52,$72.38,$71.28
10/21/2024,$71.60,871517,$72.34,$72.37,$71.50
10/18/2024,$72.57,759743,$72.00,$72.62,$71.75
10/17/2024,$72.00,885527,$71.92,$72.18,$71.38
10/16/2024,$72.25,808995,$71.90,$72.59,$71.77
10/15/2024,$71.59,612048,$70.80,$72.27,$70.80
10/14/2024,$70.71,762304,$70.04,$70.925,$69.80
10/11/2024,$70.30,655059,$70.16,$70.6338,$70.00
10/10/2024,$69.77,749581,$70.67,$70.99,$69.47
10/09/2024,$71.06,853024,$70.16,$71.14,$69.98
10/08/2024,$70.16,660235,$70.74,$71.23,$69.98
10/07/2024,$70.41,517171,$70.65,$70.65,$69.94
10/04/2024,$70.85,523654,$70.78,$71.11,$70.06
10/03/2024,$71.01,534844,$71.04,$71.14,$70.50
10/02/2024,$71.05,780468,$71.53,$71.83,$70.70
10/01/2024,$72.17,864931,$72.42,$72.61,$71.43
09/30/2024,$72.23,947064,$71.25,$72.30,$70.97
09/27/2024,$71.45,781791,$72.65,$72.69,$70.88
09/26/2024,$70.92,835445,$72.03,$72.21,$70.82
09/25/2024,$72.40,736104,$72.67,$72.90,$72.00
09/24/2024,$72.53,838983,$71.80,$72.96,$71.73
09/23/2024,$72.14,986154,$72.34,$72.67,$72.01
09/20/2024,$71.59,2242559,$71.83,$72.40,$71.40
09/19/2024,$72.13,2214872,$73.92,$73.92,$71.60
09/18/2024,$73.36,1497566,$73.49,$74.30,$72.95
