Date,Close/Last,Volume,Open,High,Low
11/29/2024,$226.25,351601,$228.75,$228.88,$226.01
11/27/2024,$228.51,396072,$228.50,$229.68,$227.80
11/26/2024,$226.59,644367,$226.03,$227.71,$224.755
11/25/2024,$225.98,1012974,$223.70,$227.81,$221.865
11/22/2024,$220.66,579295,$220.84,$222.41,$220.09
11/21/2024,$219.43,688565,$217.86,$219.93,$217.25
11/20/2024,$218.94,566396,$218.26,$220.01,$217.87
11/19/2024,$219.47,615312,$221.77,$222.98,$219.17
11/18/2024,$221.61,857917,$218.16,$221.80,$218.16
11/15/2024,$221.09,889861,$218.90,$221.96,$217.53
11/14/2024,$218.47,1275642,$215.59,$220.49,$215.11
11/13/2024,$218.51,735548,$224.08,$224.08,$217.79
11/12/2024,$219.60,1153820,$219.65,$220.12,$215.46
11/11/2024,$220.19,1077530,$222.64,$224.32,$219.52
11/08/2024,$223.92,1332330,$223.26,$224.83,$222.02
11/07/2024,$221.58,1860241,$220.00,$222.36,$217.75
11/06/2024,$218.75,2237326,$216.58,$221.285,$212.39
11/05/2024,$228.36,682258,$227.29,$229.28,$225.20
11/04/2024,$228.77,785363,$228.43,$230.09,$225.97
11/01/2024,$225.59,720215,$228.67,$231.37,$225.21
10/31/2024,$229.47,803517,$229.25,$233.21,$228.54
10/30/2024,$231.88,821904,$232.54,$236.86,$230.20
10/29/2024,$231.75,1363466,$241.00,$241.60,$231.25
10/28/2024,$239.94,1324250,$243.48,$245.17,$239.32
10/25/2024,$241.79,599069,$247.03,$247.04,$241.65
10/24/2024,$246.07,787502,$242.85,$246.32,$242.85
10/23/2024,$243.69,495982,$241.70,$244.42,$241.245
10/22/2024,$241.46,754658,$240.20,$244.675,$240.20
10/21/2024,$243.47,569255,$247.03,$248.62,$241.38
10/18/2024,$247.47,512095,$247.70,$248.89,$245.66
10/17/2024,$247.20,677469,$246.81,$248.21,$244.13
10/16/2024,$248.75,893765,$250.27,$252.64,$248.015
10/15/2024,$249.31,3295448,$242.00,$249.72,$241.32
10/14/2024,$239.82,546216,$233.60,$240.29,$233.20
10/11/2024,$233.51,533731,$234.25,$235.07,$231.78
10/10/2024,$233.23,656524,$234.68,$237.36,$231.16
10/09/2024,$235.47,627339,$237.59,$238.70,$233.89
10/08/2024,$238.62,627473,$237.95,$239.87,$236.34
10/07/2024,$237.71,901646,$233.44,$238.00,$232.70
10/04/2024,$235.37,1139052,$234.20,$237.05,$230.355
10/03/2024,$239.91,880696,$240.94,$241.58,$237.62
10/02/2024,$241.97,739137,$239.82,$243.12,$238.78
10/01/2024,$242.64,816798,$241.17,$243.54,$238.17
09/30/2024,$240.70,828529,$239.29,$240.86,$238.01
09/27/2024,$238.64,709274,$238.53,$239.26,$236.65
09/26/2024,$236.26,790794,$239.64,$239.64,$234.44
09/25/2024,$239.33,484304,$242.26,$243.79,$238.37
09/24/2024,$241.98,660325,$239.67,$242.52,$238.44
09/23/2024,$240.53,639290,$240.51,$242.60,$238.24
09/20/2024,$239.47,1177092,$236.58,$239.60,$235.48
09/19/2024,$238.29,776179,$239.68,$240.82,$232.18
09/18/2024,$239.91,609014,$246.00,$246.91,$239.77
09/17/2024,$245.00,651290,$244.33,$246.66,$243.56
09/16/2024,$245.09,1059637,$244.95,$247.45,$244.50
09/13/2024,$242.95,450274,$241.51,$243.48,$239.00
09/12/2024,$239.85,763380,$241.92,$242.23,$237.815
09/11/2024,$241.84,751544,$239.72,$242.34,$236.8129
09/10/2024,$242.53,847417,$240.44,$243.75,$239.90
09/09/2024,$239.83,1052904,$237.48,$241.83,$236.015
09/06/2024,$238.51,1312844,$234.15,$238.82,$233.535
09/05/2024,$233.37,960321,$235.27,$236.99,$232.51
09/04/2024,$233.22,737094,$231.76,$235.41,$230.22
09/03/2024,$230.81,709224,$225.83,$233.65,$225.83
08/30/2024,$226.66,1081888,$226.96,$229.005,$224.69
08/29/2024,$226.54,793158,$227.09,$227.625,$223.045
08/28/2024,$227.67,592724,$228.82,$229.345,$226.51
08/27/2024,$228.51,408363,$225.56,$228.89,$225.54
08/26/2024,$227.54,509569,$228.06,$229.90,$226.72
08/23/2024,$227.28,991835,$219.03,$228.03,$219.03
08/22/2024,$218.37,510515,$218.16,$219.54,$217.51
08/21/2024,$219.30,372487,$219.58,$219.58,$217.41
08/20/2024,$219.49,310503,$218.43,$219.76,$217.96
08/19/2024,$218.31,333361,$217.93,$219.34,$217.40
08/16/2024,$218.17,656390,$216.40,$218.515,$215.86
08/15/2024,$214.77,977363,$216.60,$216.785,$213.905
08/14/2024,$217.87,465180,$217.56,$219.57,$216.41
08/13/2024,$218.56,470739,$217.39,$219.36,$216.34
08/12/2024,$216.18,811824,$213.86,$216.37,$212.58
08/09/2024,$212.91,735452,$216.99,$216.99,$212.83
08/08/2024,$216.89,454181,$213.62,$217.37,$212.75
08/07/2024,$214.98,1018269,$219.46,$220.87,$214.63
08/06/2024,$220.32,1049846,$219.24,$222.92,$218.51
08/05/2024,$221.11,1930135,$229.11,$230.35,$220.2482
08/02/2024,$229.73,1866518,$232.16,$237.24,$228.275
08/01/2024,$227.16,1170793,$219.56,$227.36,$219.34
07/31/2024,$219.54,1191515,$219.45,$222.84,$217.88
07/30/2024,$217.94,1939867,$211.64,$220.98,$211.64
07/29/2024,$217.82,1996126,$214.85,$218.15,$213.00
07/26/2024,$214.71,911889,$214.47,$215.69,$211.265
07/25/2024,$211.07,1341450,$207.02,$212.545,$206.81
07/24/2024,$205.45,678085,$208.65,$209.32,$204.57
07/23/2024,$207.33,533674,$208.64,$209.97,$206.901
07/22/2024,$208.82,477762,$209.89,$211.02,$207.64
07/19/2024,$209.00,768504,$211.64,$212.07,$208.15
07/18/2024,$211.25,802743,$210.46,$215.16,$210.10
07/17/2024,$214.22,651714,$212.91,$214.79,$211.18
07/16/2024,$213.06,776760,$212.70,$213.53,$209.90
07/15/2024,$210.26,888746,$210.01,$212.08,$208.0374
07/12/2024,$212.83,1345152,$210.85,$215.47,$210.30
07/11/2024,$209.86,1495808,$199.75,$209.90,$199.26
07/10/2024,$195.19,572432,$197.20,$197.21,$191.79
07/09/2024,$195.53,714117,$193.00,$196.22,$192.10
07/08/2024,$193.96,655049,$191.59,$194.65,$190.91
07/05/2024,$190.83,666493,$192.31,$192.32,$189.07
07/03/2024,$192.18,474519,$189.96,$193.48,$189.215
07/02/2024,$189.00,1232349,$191.29,$191.29,$187.06
07/01/2024,$189.78,956911,$194.83,$195.81,$189.47
06/28/2024,$196.30,1463509,$197.61,$198.79,$195.06
06/27/2024,$196.95,879812,$193.20,$196.95,$192.25
