Date,Close/Last,Volume,Open,High,Low
11/29/2024,$686.61,1706533,$678.865,$699.65,$678.54
11/27/2024,$670.48,1231751,$669.76,$672.69,$659.61
11/26/2024,$671.97,1424053,$679.59,$681.85,$666.83
11/25/2024,$684.47,1511334,$685.00,$686.7119,$678.00
11/22/2024,$672.88,1275596,$667.80,$674.80,$666.2168
11/21/2024,$672.16,2859043,$653.915,$673.06,$649.02
11/20/2024,$658.43,1677808,$656.53,$658.48,$645.45
11/19/2024,$662.16,1640722,$662.82,$671.41,$653.4701
11/18/2024,$665.23,2012643,$651.07,$668.86,$648.00
11/15/2024,$658.63,3063214,$678.36,$679.88,$657.515
11/14/2024,$692.96,3925296,$705.675,$712.00,$691.53
11/13/2024,$673.41,2453675,$664.62,$673.68,$656.78
11/12/2024,$669.18,1710979,$672.64,$676.54,$662.83
11/11/2024,$671.31,1520061,$671.77,$671.985,$661.94
11/08/2024,$669.47,1726789,$670.00,$671.2388,$661.89
11/07/2024,$677.21,1758311,$674.11,$679.84,$669.8101
11/06/2024,$661.43,3208584,$668.55,$673.04,$654.77
11/05/2024,$676.46,1282017,$673.51,$685.52,$673.465
11/04/2024,$671.16,1232509,$676.05,$678.4309,$670.8201
11/01/2024,$674.73,1801716,$678.55,$682.76,$673.46
10/31/2024,$672.55,2398265,$682.98,$683.00,$667.22
10/30/2024,$683.83,3085186,$693.55,$695.62,$682.62
10/29/2024,$715.14,1445456,$707.74,$715.9399,$703.69
10/28/2024,$708.65,1182820,$708.39,$711.4999,$703.99
10/25/2024,$711.70,1380123,$715.99,$723.25,$711.23
10/24/2024,$710.81,1854661,$719.99,$720.00,$706.45
10/23/2024,$708.62,1681361,$714.05,$716.31,$700.1001
10/22/2024,$720.91,2066983,$723.00,$724.11,$717.635
10/21/2024,$714.10,2184820,$724.00,$724.8499,$708.79
10/18/2024,$723.26,4537798,$717.67,$726.46,$713.1801
10/17/2024,$700.60,7209119,$692.64,$703.88,$677.12
10/16/2024,$683.52,10296200,$710.97,$717.479,$677.272
10/15/2024,$730.43,9350715,$867.22,$873.6535,$717.50
10/14/2024,$872.27,1769183,$852.52,$873.25,$852.165
10/11/2024,$840.69,964926,$829.92,$845.00,$828.41
10/10/2024,$833.97,876274,$825.00,$835.63,$821.50
10/09/2024,$845.90,1004859,$829.83,$846.12,$826.37
10/08/2024,$824.26,1265934,$822.50,$830.83,$820.07
10/07/2024,$817.25,898156,$811.72,$823.00,$811.01
10/04/2024,$833.00,862835,$836.05,$839.34,$825.96
10/03/2024,$832.41,651879,$825.91,$837.51,$823.79
10/02/2024,$832.19,898367,$820.80,$839.27,$816.50
10/01/2024,$822.35,1244096,$839.68,$841.2699,$811.895
09/30/2024,$833.25,995071,$836.55,$842.16,$819.70
09/27/2024,$841.54,1038367,$852.45,$854.15,$838.20
09/26/2024,$852.44,1566429,$860.33,$862.00,$839.70
09/25/2024,$818.18,878178,$816.35,$827.21,$814.00
09/24/2024,$814.00,881228,$809.55,$816.50,$801.00
09/23/2024,$803.50,965578,$807.61,$807.61,$798.005
09/20/2024,$795.28,2748626,$809.56,$810.19,$789.655
09/19/2024,$828.16,1644266,$832.67,$839.65,$822.22
09/18/2024,$787.84,1249010,$800.09,$810.9146,$786.37
09/17/2024,$805.69,734551,$808.70,$811.77,$796.54
09/16/2024,$803.04,1150141,$808.96,$809.23,$792.14
09/13/2024,$816.36,1069219,$804.12,$818.62,$803.87
09/12/2024,$800.17,1318852,$801.39,$808.69,$793.715
09/11/2024,$800.14,2559122,$770.03,$801.60,$758.73
09/10/2024,$751.38,1524027,$749.91,$752.00,$734.25
09/09/2024,$749.82,2539926,$764.08,$764.28,$738.15
09/06/2024,$752.79,3286765,$792.80,$792.935,$750.87
09/05/2024,$795.60,1671952,$795.69,$808.05,$790.50
09/04/2024,$811.48,2350942,$805.00,$822.72,$799.23
09/03/2024,$845.39,1870843,$892.60,$892.73,$841.65
08/30/2024,$903.87,991244,$900.05,$906.9304,$888.94
08/29/2024,$887.71,1173798,$906.06,$914.5299,$882.99
08/28/2024,$888.13,727340,$890.70,$897.46,$880.42
08/27/2024,$889.88,661612,$880.00,$895.76,$874.48
08/26/2024,$883.31,1251479,$903.54,$904.64,$882.45
08/23/2024,$907.26,1396044,$912.91,$922.125,$903.13
08/22/2024,$907.71,1092616,$943.00,$943.9867,$904.59
08/21/2024,$943.61,646457,$933.72,$945.05,$931.67
08/20/2024,$926.18,921260,$935.98,$936.38,$917.35
08/19/2024,$933.15,1024623,$917.14,$933.71,$909.45
08/16/2024,$918.66,804217,$916.16,$922.46,$913.03
08/15/2024,$928.25,1459010,$900.39,$930.81,$896.30
08/14/2024,$879.58,887660,$887.59,$890.39,$870.46
08/13/2024,$869.49,1526599,$860.80,$872.67,$856.32
08/12/2024,$852.86,1151189,$861.75,$866.97,$852.82
08/09/2024,$860.55,950463,$855.23,$865.30,$848.54
08/08/2024,$876.65,1447676,$860.97,$878.63,$849.26
08/07/2024,$836.35,1521637,$877.00,$878.39,$834.63
08/06/2024,$843.01,1995749,$840.36,$860.01,$835.53
08/05/2024,$820.35,2815627,$775.00,$838.88,$767.41
08/02/2024,$809.35,3624112,$824.20,$828.5899,$795.89
08/01/2024,$883.71,1808505,$923.04,$927.76,$871.81
07/31/2024,$936.70,2406778,$925.52,$942.24,$917.04
07/30/2024,$860.24,1682082,$892.50,$893.935,$856.0003
07/29/2024,$870.55,1231493,$886.99,$898.00,$869.02
07/26/2024,$888.39,1681620,$893.92,$895.57,$882.23
07/25/2024,$862.63,2075913,$873.00,$886.37,$850.18
07/24/2024,$872.75,1911957,$918.16,$919.665,$870.76
07/23/2024,$932.81,1056217,$935.38,$940.405,$929.18
07/22/2024,$941.26,1926830,$928.19,$942.57,$922.01
07/19/2024,$895.37,2133629,$915.23,$920.335,$891.66
07/18/2024,$924.15,2242199,$953.50,$957.21,$911.00
07/17/2024,$932.055,5188361,$978.58,$979.99,$928.70
07/16/2024,$1068.19,1197588,$1074.52,$1077.05,$1060.74
07/15/2024,$1063.63,1365618,$1097.44,$1098.735,$1060.37
07/12/2024,$1085.26,1053757,$1072.76,$1100.62,$1066.295
07/11/2024,$1062.50,1152209,$1109.98,$1110.09,$1061.5602
07/10/2024,$1098.95,925424,$1069.19,$1100.575,$1065.00
07/09/2024,$1059.97,926706,$1079.70,$1081.5223,$1059.35
07/08/2024,$1077.39,882141,$1083.15,$1087.79,$1075.825
07/05/2024,$1074.48,771089,$1079.75,$1082.79,$1069.34
07/03/2024,$1071.41,779820,$1058.39,$1074.30,$1055.41
07/02/2024,$1047.89,748733,$1026.77,$1047.99,$1025.86
07/01/2024,$1033.49,790961,$1035.55,$1038.11,$1015.80
06/28/2024,$1022.73,837765,$1028.00,$1048.81,$1015.45
06/27/2024,$1028.01,784296,$1029.44,$1041.71,$1024.64
06/26/2024,$1016.60,885119,$1014.00,$1023.60,$1003.90
06/25/2024,$1023.34,801092,$1005.16,$1023.49,$1002.635
06/24/2024,$1002.01,1026966,$1033.17,$1034.71,$1002.01
06/21/2024,$1036.60,1626737,$1038.18,$1039.00,$1023.21
