Date,Close/Last,Volume,Open,High,Low
11/29/2024,$162.08,11024010,$159.57,$162.69,$159.08
11/27/2024,$159.67,19722720,$163.20,$163.20,$157.54
11/26/2024,$164.74,16308770,$164.60,$166.37,$162.69
11/25/2024,$164.82,26850590,$165.395,$167.225,$162.89
11/22/2024,$164.23,17332470,$164.30,$164.9092,$162.40
11/21/2024,$163.94,24835250,$166.25,$166.34,$160.60
11/20/2024,$163.25,17196730,$165.54,$165.54,$160.86
11/19/2024,$165.35,18003400,$166.66,$166.80,$164.31
11/18/2024,$165.67,17870330,$165.66,$166.3463,$162.22
11/15/2024,$164.84,20836160,$168.47,$169.135,$163.43
11/14/2024,$170.38,20638860,$174.77,$175.57,$169.87
11/13/2024,$173.58,17472510,$174.705,$175.5926,$172.60
11/12/2024,$176.22,15861980,$178.90,$179.56,$173.20
11/11/2024,$178.91,17036660,$183.40,$183.63,$176.8201
11/08/2024,$183.64,13503150,$182.99,$185.05,$181.83
11/07/2024,$183.81,18970580,$181.9853,$184.8722,$181.79
11/06/2024,$179.55,24300760,$179.63,$180.21,$175.96
11/05/2024,$173.90,13441750,$170.05,$174.40,$170.05
11/04/2024,$168.55,13621310,$169.28,$172.45,$168.42
11/01/2024,$168.92,17847040,$168.26,$171.3255,$167.50
10/31/2024,$169.77,26086590,$174.45,$174.45,$167.38
10/30/2024,$176.64,17911490,$177.47,$179.19,$175.62
10/29/2024,$179.24,23702340,$172.435,$180.23,$171.2101
10/28/2024,$172.02,13195830,$173.00,$173.9728,$171.345
10/25/2024,$173.00,19977680,$174.19,$176.796,$172.72
10/24/2024,$171.35,20485170,$174.26,$174.30,$169.50
10/23/2024,$173.51,19513710,$177.585,$178.98,$172.57
10/22/2024,$179.38,12062650,$178.66,$180.69,$177.41
10/21/2024,$179.99,13695150,$179.38,$181.7199,$178.25
10/18/2024,$179.89,17835250,$182.32,$182.71,$178.68
10/17/2024,$181.53,25232430,$181.37,$185.51,$180.69
10/16/2024,$176.82,15285050,$178.51,$179.25,$175.33
10/15/2024,$175.98,27657530,$180.79,$181.70,$173.3652
10/14/2024,$182.31,17195820,$183.30,$184.9517,$180.13
10/11/2024,$181.48,23070020,$181.14,$182.59,$177.40
10/10/2024,$185.69,16317970,$183.56,$186.31,$182.53
10/09/2024,$185.95,25504060,$179.24,$186.42,$176.42
