Date,Close/Last,Volume,Open,High,Low
11/29/2024,$396.965,553485,$390.94,$397.27,$389.96
11/27/2024,$389.81,870256,$394.01,$396.2675,$389.31
11/26/2024,$390.29,1155193,$388.00,$394.38,$382.73
11/25/2024,$384.47,1110775,$389.68,$391.01,$382.50
11/22/2024,$388.27,1080239,$385.32,$391.9899,$383.15
11/21/2024,$383.84,960576,$388.52,$389.935,$383.06
11/20/2024,$389.12,805567,$386.16,$389.94,$383.95
11/19/2024,$384.84,897371,$380.00,$389.48,$379.22
11/18/2024,$385.02,859903,$386.30,$391.32,$384.675
11/15/2024,$389.565,1027888,$394.71,$396.27,$387.82
11/14/2024,$394.25,1935104,$402.61,$407.61,$392.06
11/13/2024,$406.22,2859423,$409.52,$415.27,$396.97
11/12/2024,$392.00,1700619,$395.71,$397.51,$389.29
11/11/2024,$396.04,805195,$393.05,$401.23,$393.00
11/08/2024,$393.71,1143183,$395.28,$397.05,$391.89
11/07/2024,$393.04,1715604,$405.46,$405.51,$389.01
11/06/2024,$408.02,2412070,$392.07,$413.79,$392.07
11/05/2024,$382.38,1587190,$377.44,$386.18,$374.56
11/04/2024,$375.83,2196037,$377.00,$381.62,$367.155
11/01/2024,$366.49,4442323,$360.61,$382.46,$356.7801
10/31/2024,$327.61,2175377,$343.98,$351.36,$326.19
10/30/2024,$331.30,1076665,$325.00,$334.30,$324.94
10/29/2024,$327.27,1244075,$328.46,$330.02,$325.28
10/28/2024,$329.67,852157,$336.41,$339.50,$329.30
10/25/2024,$336.00,905385,$336.93,$338.03,$332.52
10/24/2024,$332.02,657542,$333.82,$336.675,$330.23
10/23/2024,$332.22,1112529,$328.18,$334.19,$326.985
10/22/2024,$329.82,1529656,$317.28,$335.00,$316.455
10/21/2024,$315.41,1018760,$325.18,$325.68,$315.0025
10/18/2024,$325.61,931900,$328.05,$329.53,$324.20
10/17/2024,$327.53,780415,$332.26,$332.26,$324.52
10/16/2024,$330.22,607704,$331.43,$336.195,$330.12
10/15/2024,$331.94,775598,$330.56,$338.485,$328.815
10/14/2024,$331.80,593121,$326.49,$333.27,$323.7232
10/11/2024,$326.05,495932,$329.43,$331.80,$325.74
10/10/2024,$328.78,813569,$334.02,$338.80,$328.59
10/09/2024,$334.02,681315,$326.80,$334.32,$324.51
10/08/2024,$327.30,717540,$325.61,$327.81,$321.88
10/07/2024,$324.57,821490,$325.21,$328.20,$321.15
10/04/2024,$326.32,1062031,$326.41,$327.35,$322.7805
10/03/2024,$322.39,896802,$325.51,$326.05,$319.68
10/02/2024,$329.24,1397716,$328.97,$334.92,$328.17
10/01/2024,$328.95,1679498,$323.44,$331.36,$319.655
09/30/2024,$324.08,1192900,$320.72,$328.34,$319.6701
09/27/2024,$326.22,1314338,$319.68,$334.20,$318.03
09/26/2024,$317.01,1586929,$317.52,$320.04,$314.90
09/25/2024,$314.49,2110772,$322.36,$325.00,$313.595
09/24/2024,$323.36,4190430,$328.77,$331.19,$319.82
09/23/2024,$331.62,1826600,$331.99,$334.07,$330.085
09/20/2024,$330.40,2577571,$332.87,$336.99,$327.65
09/19/2024,$331.34,1692595,$341.13,$346.835,$330.895
09/18/2024,$339.64,1118307,$339.50,$346.41,$332.60
09/17/2024,$339.35,645190,$344.56,$347.21,$336.55
09/16/2024,$343.37,577666,$341.37,$346.81,$339.06
09/13/2024,$340.17,774440,$340.54,$345.91,$337.03
09/12/2024,$339.03,1068504,$329.61,$339.19,$327.64
09/11/2024,$327.42,1242396,$325.58,$329.14,$315.23
09/10/2024,$323.39,746625,$327.15,$327.15,$318.69
09/09/2024,$324.84,756690,$327.13,$330.14,$323.21
09/06/2024,$327.43,1208437,$331.41,$337.95,$324.35
09/05/2024,$330.78,1533643,$334.27,$334.27,$323.20
09/04/2024,$331.64,1767613,$348.52,$355.51,$329.34
09/03/2024,$346.42,1328055,$345.53,$349.7181,$342.82
08/30/2024,$347.54,1030738,$354.72,$354.72,$344.94
08/29/2024,$351.53,847167,$358.23,$358.23,$350.74
08/28/2024,$355.80,591370,$359.68,$362.16,$354.05
08/27/2024,$360.77,1037962,$356.11,$363.27,$355.27
08/26/2024,$355.37,757258,$349.22,$357.21,$349.22
08/23/2024,$348.73,615441,$345.82,$350.505,$340.665
08/22/2024,$340.32,911776,$345.36,$345.655,$336.02
08/21/2024,$345.19,752687,$347.77,$348.82,$344.40
08/20/2024,$347.32,748514,$353.02,$354.51,$346.11
08/19/2024,$355.06,830212,$355.46,$359.92,$353.35
08/16/2024,$353.31,658621,$353.17,$356.54,$351.18
08/15/2024,$352.01,651651,$352.93,$355.82,$349.15
08/14/2024,$351.22,698374,$353.97,$357.25,$350.54
08/13/2024,$357.00,590502,$354.36,$358.95,$351.87
08/12/2024,$350.76,976280,$364.41,$365.475,$350.0348
08/09/2024,$364.41,788170,$361.76,$367.31,$357.97
08/08/2024,$363.94,917921,$354.05,$364.15,$352.67
08/07/2024,$353.94,1327162,$358.21,$366.74,$353.75
08/06/2024,$356.78,1356929,$360.75,$368.64,$356.20
08/05/2024,$363.50,1329805,$365.45,$373.16,$360.67
08/02/2024,$373.16,1338547,$377.34,$379.29,$368.49
08/01/2024,$376.97,1091037,$381.14,$382.50,$373.26
07/31/2024,$379.72,1381550,$382.74,$386.28,$375.64
07/30/2024,$383.07,1584532,$377.85,$385.14,$372.79
07/29/2024,$377.36,2051317,$366.52,$381.95,$365.18
07/26/2024,$367.62,4962708,$357.74,$378.0099,$355.00
07/25/2024,$315.23,1554335,$317.77,$323.90,$314.00
07/24/2024,$312.66,1988624,$320.84,$320.84,$310.23
07/23/2024,$320.04,1964847,$314.65,$323.90,$304.76
07/22/2024,$312.97,1768234,$318.71,$319.43,$306.36
07/19/2024,$320.31,1113301,$321.49,$322.87,$316.22
07/18/2024,$321.63,1304110,$329.00,$335.60,$321.56
07/17/2024,$330.30,1469263,$324.67,$333.75,$323.81
07/16/2024,$327.42,1516696,$324.59,$328.41,$319.27
07/15/2024,$324.59,1842851,$312.71,$325.52,$310.48
07/12/2024,$311.04,1138535,$306.75,$312.62,$303.765
07/11/2024,$304.14,1517840,$295.25,$304.70,$294.39
07/10/2024,$293.95,1280409,$294.20,$296.76,$287.63
07/09/2024,$293.91,863213,$288.51,$297.39,$287.19
07/08/2024,$290.56,1249026,$301.75,$302.37,$286.66
07/05/2024,$301.79,852477,$301.89,$304.00,$300.50
07/03/2024,$301.25,564120,$301.84,$303.495,$298.125
07/02/2024,$303.50,1156714,$296.29,$303.72,$294.15
07/01/2024,$296.02,1084366,$292.80,$297.89,$290.27
06/28/2024,$298.96,4560640,$296.22,$306.46,$295.06
06/27/2024,$294.11,931636,$291.59,$297.42,$288.65
06/26/2024,$291.59,804778,$288.67,$292.62,$288.235
06/25/2024,$290.80,1467930,$284.15,$291.29,$282.18
06/24/2024,$285.85,1762461,$288.93,$293.015,$284.93
06/21/2024,$290.35,2057241,$286.94,$292.68,$285.80
06/20/2024,$284.00,979211,$277.94,$285.50,$277.10
06/18/2024,$277.62,1063385,$284.53,$292.55,$277.39
06/17/2024,$285.95,1326450,$275.00,$286.26,$273.585
06/14/2024,$276.26,920698,$272.68,$276.85,$272.485
06/13/2024,$274.17,592188,$274.00,$274.99,$273.04
06/12/2024,$275.06,1095324,$281.24,$285.15,$272.73
06/11/2024,$276.83,792731,$273.86,$278.465,$273.32
06/10/2024,$276.07,889339,$275.36,$276.62,$272.60
06/07/2024,$276.83,945476,$276.77,$280.77,$275.78
06/06/2024,$279.36,783056,$277.53,$286.37,$277.53
06/05/2024,$278.10,740836,$281.30,$281.41,$276.09
06/04/2024,$280.60,699775,$284.51,$285.35,$280.18
06/03/2024,$286.22,752050,$287.25,$289.62,$282.51
05/31/2024,$287.12,2230765,$277.83,$287.96,$274.47
05/30/2024,$276.11,812683,$272.18,$276.51,$270.86
05/29/2024,$271.35,804189,$269.185,$271.52,$268.14
05/28/2024,$271.42,773886,$269.08,$272.735,$269.08
05/24/2024,$271.46,670004,$268.56,$271.865,$267.875
05/23/2024,$268.41,1081809,$270.50,$270.695,$266.06
05/22/2024,$271.09,1569600,$274.46,$274.79,$266.54
05/21/2024,$275.11,807824,$274.32,$277.385,$273.445
05/20/2024,$274.84,686315,$273.00,$275.34,$269.82
05/17/2024,$273.02,751655,$277.99,$279.79,$272.78
05/16/2024,$277.54,778029,$273.00,$277.93,$271.37
05/15/2024,$271.77,959722,$280.75,$280.8068,$271.38
05/14/2024,$278.13,1155729,$280.93,$283.44,$274.82
05/13/2024,$274.65,918578,$277.42,$281.69,$273.88
05/10/2024,$275.55,1778297,$264.05,$277.49,$262.02
05/09/2024,$263.93,1681494,$274.13,$277.36,$261.76
05/08/2024,$272.78,3248463,$267.39,$284.69,$265.76
05/07/2024,$268.00,1219139,$271.47,$275.70,$267.91
05/06/2024,$271.47,1242626,$267.15,$273.68,$265.82
05/03/2024,$265.93,865841,$264.23,$269.77,$264.23
05/02/2024,$262.00,770864,$262.90,$263.50,$260.03
05/01/2024,$259.70,1270424,$255.88,$263.24,$253.91
04/30/2024,$255.94,1601176,$258.31,$259.455,$252.9254
04/29/2024,$259.76,1206734,$255.63,$262.31,$255.08
04/26/2024,$254.61,2600137,$238.96,$256.99,$236.08
04/25/2024,$259.10,2172712,$258.89,$262.99,$255.77
04/24/2024,$264.70,1133028,$262.00,$264.82,$260.4801
04/23/2024,$266.31,967145,$265.95,$271.50,$265.595
04/22/2024,$265.08,1171133,$267.56,$267.96,$259.53
04/19/2024,$265.21,1164427,$260.01,$265.71,$259.70
04/18/2024,$259.91,855888,$258.58,$261.10,$255.70
04/17/2024,$258.03,997497,$260.25,$265.26,$257.62
04/16/2024,$257.57,1095749,$256.02,$258.78,$254.31
04/15/2024,$256.90,1265321,$261.89,$264.23,$255.38
04/12/2024,$260.50,1048473,$263.60,$264.82,$259.61
04/11/2024,$266.53,1149912,$264.98,$268.10,$261.18
04/10/2024,$262.85,1437033,$266.04,$268.03,$258.56
04/09/2024,$271.46,1217194,$270.15,$275.60,$269.00
04/08/2024,$273.05,1326355,$266.165,$274.22,$264.39
04/05/2024,$267.49,1725312,$269.17,$271.89,$264.915
04/04/2024,$271.23,1540496,$276.53,$281.33,$269.74
04/03/2024,$275.69,1034644,$278.47,$278.92,$273.096
04/02/2024,$278.02,1075649,$284.00,$284.00,$275.83
04/01/2024,$284.15,1362816,$290.34,$290.34,$280.02
03/28/2024,$290.63,1254327,$291.59,$293.445,$286.68
03/27/2024,$293.51,1229458,$289.37,$294.16,$288.19
03/26/2024,$287.89,1144426,$291.19,$291.84,$287.64
03/25/2024,$290.60,1194118,$290.37,$293.81,$288.71
03/22/2024,$290.60,1084371,$295.21,$296.25,$290.46
03/21/2024,$294.61,1191606,$294.64,$295.91,$292.50
03/20/2024,$295.30,1971238,$296.21,$297.51,$290.304
03/19/2024,$298.58,1769383,$295.31,$300.08,$293.09
03/18/2024,$296.18,1126432,$296.13,$301.81,$291.47
03/15/2024,$290.65,2742380,$297.31,$301.63,$290.60
03/14/2024,$297.00,1476109,$296.81,$298.375,$292.79
03/13/2024,$298.40,1056282,$294.70,$300.03,$294.09
03/12/2024,$294.70,1621973,$298.75,$300.03,$291.74
03/11/2024,$298.25,2017535,$283.26,$299.185,$281.25
03/08/2024,$283.78,1058032,$281.67,$285.00,$279.27
03/07/2024,$282.00,2296564,$276.00,$282.11,$275.27
03/06/2024,$276.33,1779461,$282.75,$282.75,$270.41
03/05/2024,$280.85,1227119,$277.50,$285.14,$276.49
03/04/2024,$279.06,1743590,$292.03,$292.335,$276.69
03/01/2024,$293.16,1376602,$290.92,$296.33,$289.82
02/29/2024,$293.93,1741239,$291.99,$294.07,$291.33
02/28/2024,$288.34,1147124,$287.22,$290.46,$286.96
02/27/2024,$290.00,1496741,$295.46,$296.41,$288.91
02/26/2024,$292.64,4509038,$298.65,$306.77,$288.13
02/23/2024,$299.42,1475341,$295.13,$302.00,$294.15
02/22/2024,$297.00,2380907,$287.86,$297.28,$284.925
02/21/2024,$287.30,1236932,$294.42,$294.80,$286.88
02/20/2024,$295.13,2029505,$291.71,$297.51,$289.115
02/16/2024,$293.00,2053171,$295.405,$295.405,$291.01
02/15/2024,$294.14,1276337,$288.00,$296.7111,$287.91
02/14/2024,$287.28,1258300,$294.23,$294.79,$286.54
02/13/2024,$292.65,2610670,$291.55,$295.30,$290.60
02/12/2024,$297.91,2054998,$289.85,$302.03,$289.85
02/09/2024,$291.15,2083669,$286.45,$293.405,$285.01
02/08/2024,$282.60,2778155,$287.64,$288.31,$279.6366
02/07/2024,$283.67,4253473,$290.00,$290.31,$282.54
02/06/2024,$290.28,4085603,$303.14,$303.93,$288.84
02/05/2024,$303.65,2920910,$316.11,$317.38,$303.31
02/02/2024,$319.21,4973244,$344.99,$345.01,$316.53
02/01/2024,$382.34,2349775,$376.148,$383.31,$372.00
01/31/2024,$370.71,1334458,$378.61,$379.37,$369.95
01/30/2024,$376.98,870272,$377.54,$380.39,$376.82
01/29/2024,$380.83,1154298,$374.97,$381.195,$370.77
01/26/2024,$377.07,1041128,$371.68,$380.19,$370.56
01/25/2024,$369.07,2066826,$371.08,$371.96,$360.82
01/24/2024,$371.39,2227220,$382.39,$383.99,$367.75
01/23/2024,$378.64,1020737,$377.50,$381.57,$372.96
01/22/2024,$373.15,1016018,$371.10,$377.80,$370.35
01/19/2024,$371.10,1043552,$364.18,$372.21,$360.88
01/18/2024,$364.55,1032694,$358.58,$367.48,$358.58
01/17/2024,$359.24,936953,$362.45,$367.39,$358.07
01/16/2024,$368.34,869692,$362.67,$368.55,$357.41
01/12/2024,$364.90,988930,$369.09,$369.575,$364.19
01/11/2024,$367.62,910067,$368.24,$368.24,$361.50
01/10/2024,$367.00,957738,$367.93,$370.31,$364.99
01/09/2024,$368.61,1592263,$373.88,$374.97,$364.10
01/08/2024,$378.87,962185,$372.84,$379.17,$370.18
01/05/2024,$372.20,998336,$375.04,$380.71,$372.04
01/04/2024,$375.75,1296256,$385.58,$386.04,$372.4724
01/03/2024,$386.67,771753,$391.66,$392.82,$384.925
01/02/2024,$391.51,948128,$386.84,$393.50,$385.06
12/29/2023,$388.68,746013,$390.72,$393.99,$387.47
12/28/2023,$392.39,430711,$392.66,$400.065,$391.82
12/27/2023,$391.54,575173,$389.50,$393.21,$386.13
12/26/2023,$389.50,590198,$381.56,$391.27,$379.44
12/22/2023,$382.09,424619,$383.08,$387.46,$378.525
12/21/2023,$383.51,664515,$383.72,$386.88,$381.99
12/20/2023,$381.22,700267,$386.91,$391.28,$381.00
12/19/2023,$386.36,836349,$384.13,$387.25,$382.66
12/18/2023,$383.89,930386,$381.58,$384.77,$379.47
12/15/2023,$379.93,2262363,$385.75,$387.32,$375.605
12/14/2023,$383.91,1202778,$385.08,$395.02,$380.82
12/13/2023,$379.35,1171657,$367.10,$381.16,$364.40
12/12/2023,$367.06,968860,$375.71,$378.29,$366.62
12/11/2023,$374.63,1185330,$372.59,$379.99,$370.91
12/08/2023,$367.55,870608,$364.05,$370.84,$363.47
12/07/2023,$368.66,1136005,$361.78,$372.00,$358.48
12/06/2023,$361.98,1384990,$365.50,$372.00,$360.01
12/05/2023,$364.40,3513476,$397.40,$397.40,$359.02
12/04/2023,$399.14,907500,$400.65,$407.77,$397.105
12/01/2023,$401.87,920765,$400.13,$403.30,$396.16
11/30/2023,$400.13,1096923,$399.24,$400.77,$394.17
11/29/2023,$398.90,566776,$403.83,$404.24,$395.97
11/28/2023,$401.29,950730,$394.74,$404.70,$392.95
11/27/2023,$396.84,1162677,$404.01,$405.025,$396.17
11/24/2023,$405.92,242736,$406.24,$407.46,$405.22
11/22/2023,$405.28,719804,$404.44,$410.00,$403.05
11/21/2023,$402.46,1087788,$410.80,$410.80,$395.33
11/20/2023,$413.06,1187183,$407.28,$413.75,$403.00
11/17/2023,$407.70,1033019,$413.90,$417.30,$406.37
11/16/2023,$412.85,747382,$420.33,$421.16,$408.7882
11/15/2023,$417.60,621075,$414.83,$419.06,$413.28
11/14/2023,$414.84,892999,$416.93,$420.90,$411.83
11/13/2023,$406.41,558132,$407.82,$409.475,$403.85
11/10/2023,$409.81,842383,$406.26,$409.86,$401.97
11/09/2023,$404.46,703867,$415.47,$415.70,$403.73
11/08/2023,$413.48,1250984,$413.26,$416.81,$410.35
11/07/2023,$412.98,688453,$415.16,$416.86,$412.37
11/06/2023,$415.70,783462,$422.37,$422.925,$413.10
11/03/2023,$420.11,809003,$416.60,$424.865,$415.10
11/02/2023,$412.62,853467,$410.83,$414.58,$407.92
11/01/2023,$406.51,1059178,$402.85,$411.725,$400.92
10/31/2023,$402.80,1456242,$391.28,$405.47,$390.34
10/30/2023,$389.80,2161021,$370.36,$394.60,$370.36
10/27/2023,$372.00,3721193,$373.01,$395.54,$369.07
10/26/2023,$411.71,1622592,$404.71,$416.60,$397.73
10/25/2023,$423.73,994896,$426.65,$430.565,$420.90
10/24/2023,$431.18,875112,$431.90,$435.02,$428.6175
10/23/2023,$430.27,785450,$431.11,$435.495,$421.4801
10/20/2023,$429.65,997491,$436.99,$439.11,$429.11
10/19/2023,$435.87,808506,$449.69,$449.69,$435.82
10/18/2023,$448.32,557353,$453.30,$454.87,$448.02
10/17/2023,$452.68,1058725,$452.53,$457.72,$447.95
10/16/2023,$454.45,686447,$454.73,$458.30,$453.93
10/13/2023,$449.27,752647,$449.76,$451.90,$445.335
10/12/2023,$447.68,706334,$450.87,$451.91,$445.38
10/11/2023,$449.82,650635,$446.19,$450.10,$444.645
10/10/2023,$444.72,727056,$441.60,$445.68,$438.63
10/09/2023,$442.42,623061,$429.17,$444.19,$429.17
10/06/2023,$431.16,1453858,$428.69,$435.65,$425.43
10/05/2023,$431.78,678607,$433.29,$434.58,$428.34
10/04/2023,$432.84,783774,$432.52,$436.70,$429.115
10/03/2023,$432.17,865560,$435.26,$440.405,$430.40
10/02/2023,$438.50,976316,$440.13,$446.03,$435.00
09/29/2023,$439.82,921423,$446.60,$447.42,$437.05
09/28/2023,$444.48,796710,$433.42,$445.40,$432.17
09/27/2023,$433.42,1062617,$428.73,$435.165,$428.19
09/26/2023,$428.72,983612,$429.90,$437.66,$426.0103
09/25/2023,$440.02,1006896,$441.77,$444.4099,$435.58
09/22/2023,$445.21,704539,$454.22,$456.92,$444.725
09/21/2023,$446.82,1004406,$449.15,$451.99,$446.29
09/20/2023,$448.17,731781,$450.12,$454.835,$448.16
09/19/2023,$449.68,949696,$450.01,$457.66,$444.805
09/18/2023,$455.73,1969902,$451.45,$456.90,$450.17
09/15/2023,$447.95,2066310,$449.66,$452.42,$445.305
09/14/2023,$449.37,1016834,$442.01,$450.20,$436.77
09/13/2023,$439.40,930816,$438.41,$439.58,$427.6429
09/12/2023,$436.61,1026692,$434.97,$441.06,$434.83
09/11/2023,$435.84,2010266,$424.37,$439.54,$423.82
09/08/2023,$422.42,661562,$416.47,$423.17,$416.385
09/07/2023,$416.98,916380,$419.49,$422.265,$413.91
09/06/2023,$419.98,1144756,$408.04,$423.305,$407.57
09/05/2023,$408.99,1905618,$422.32,$422.32,$408.32
09/01/2023,$422.32,1580783,$423.20,$433.26,$420.00
08/31/2023,$438.12,936929,$439.50,$441.9748,$435.88
08/30/2023,$439.51,1510613,$451.10,$451.685,$438.49
08/29/2023,$451.10,1636437,$432.00,$452.25,$432.00
08/28/2023,$432.00,1213943,$418.78,$432.24,$417.70
08/25/2023,$416.78,939285,$413.00,$418.57,$413.00
08/24/2023,$411.99,1116662,$415.31,$419.67,$411.36
08/23/2023,$415.28,1040740,$416.31,$417.51,$411.55
08/22/2023,$413.38,1470738,$419.785,$423.05,$411.70
08/21/2023,$420.08,1144855,$418.14,$424.47,$416.76
08/18/2023,$420.47,2103554,$424.46,$426.69,$418.89
08/17/2023,$424.83,1371269,$428.31,$431.37,$424.50
08/16/2023,$426.77,1371574,$427.89,$431.32,$425.47
08/15/2023,$428.08,1263442,$425.66,$429.46,$424.0575
08/14/2023,$427.28,1082167,$428.93,$429.99,$424.30
08/11/2023,$427.94,872904,$425.54,$430.38,$424.70
08/10/2023,$428.29,1300010,$424.97,$429.93,$423.80
08/09/2023,$419.95,622099,$419.71,$423.80,$418.575
08/08/2023,$419.78,846164,$417.82,$421.96,$416.36
08/07/2023,$419.43,717632,$419.54,$423.06,$415.48
08/04/2023,$418.86,930545,$423.97,$425.08,$417.6396
08/03/2023,$422.78,1001175,$419.07,$429.22,$416.64
08/02/2023,$419.07,1616542,$416.66,$423.72,$415.00
08/01/2023,$411.23,1677269,$404.26,$414.85,$401.33
07/31/2023,$405.19,1463240,$399.33,$405.68,$399.05
07/28/2023,$396.80,2002144,$399.96,$411.88,$388.43
07/27/2023,$400.99,1952116,$400.14,$409.62,$399.96
07/26/2023,$394.57,1138742,$399.97,$403.04,$391.20
07/25/2023,$398.71,982187,$399.38,$404.88,$397.88
07/24/2023,$399.43,1506623,$396.33,$403.94,$393.84
07/21/2023,$394.47,3229085,$396.40,$401.04,$393.26
07/20/2023,$395.45,1570868,$388.57,$397.78,$388.57
07/19/2023,$388.57,2311888,$387.79,$394.18,$387.07
07/18/2023,$387.06,1164970,$374.23,$388.39,$373.035
07/17/2023,$374.81,1671706,$373.85,$377.45,$370.085
07/14/2023,$375.47,1054284,$379.01,$381.70,$374.86
07/13/2023,$383.62,676937,$382.69,$384.83,$379.82
07/12/2023,$382.72,914778,$380.94,$387.625,$380.94
07/11/2023,$380.23,1011696,$374.25,$382.96,$372.7915
07/10/2023,$372.54,1188531,$373.86,$382.03,$370.86
07/07/2023,$371.94,772509,$369.05,$378.34,$369.05
07/06/2023,$371.77,878145,$362.38,$372.05,$362.13
07/05/2023,$367.65,1192267,$367.00,$375.47,$362.19
07/03/2023,$368.20,552630,$366.24,$369.83,$364.48
06/30/2023,$367.37,1127664,$365.36,$369.78,$364.09
06/29/2023,$362.68,1080722,$359.00,$363.41,$358.90
06/28/2023,$359.39,1559975,$354.00,$360.93,$352.47
06/27/2023,$353.84,2755818,$339.22,$357.12,$337.79
06/26/2023,$336.88,1227829,$328.12,$338.25,$327.02
06/23/2023,$326.28,907188,$323.24,$328.8775,$322.25
06/22/2023,$325.91,784273,$330.18,$330.18,$324.69
06/21/2023,$328.78,803911,$330.70,$333.67,$327.015
06/20/2023,$331.86,1313959,$338.86,$339.20,$328.525
06/16/2023,$341.24,1721464,$343.70,$344.99,$340.91
06/15/2023,$342.85,1070967,$334.31,$345.41,$332.27
06/14/2023,$335.25,1287880,$337.80,$341.35,$334.44
06/13/2023,$335.27,852905,$337.33,$340.54,$334.39
06/12/2023,$335.30,943197,$329.72,$337.50,$328.55
06/09/2023,$328.48,814120,$334.58,$334.58,$325.59
06/08/2023,$336.18,757495,$336.17,$337.87,$329.98
06/07/2023,$336.71,1132758,$329.68,$337.46,$328.58
06/06/2023,$329.00,940300,$335.19,$336.29,$325.275
