Date,Close/Last,Volume,Open,High,Low
11/29/2024,$34.81,1002354,$34.82,$34.87,$34.76
11/27/2024,$34.78,995629,$34.82,$34.88,$34.75
11/26/2024,$34.84,1111571,$34.87,$34.96,$34.805
11/25/2024,$34.88,3484743,$34.89,$34.92,$34.825
11/22/2024,$34.87,2741849,$34.85,$34.90,$34.72
11/21/2024,$34.80,2453257,$34.72,$34.88,$34.65
11/20/2024,$34.70,2306313,$34.65,$34.765,$34.61
11/19/2024,$34.75,1638173,$34.83,$34.905,$34.74
11/18/2024,$34.93,2212599,$34.83,$34.94,$34.81
11/15/2024,$34.86,4188185,$34.71,$34.90,$34.71
11/14/2024,$34.75,5733229,$34.70,$34.90,$34.645
11/13/2024,$34.67,15054780,$34.24,$35.25,$34.075
11/12/2024,$34.15,5112735,$34.28,$34.32,$33.715
11/11/2024,$34.39,2198315,$34.70,$34.70,$34.18
11/08/2024,$34.50,3812393,$34.44,$34.615,$34.13
11/07/2024,$34.83,2252408,$35.07,$35.10,$34.76
11/06/2024,$35.07,4466059,$35.13,$35.34,$34.84
11/05/2024,$34.95,3104257,$35.39,$35.47,$34.93
11/04/2024,$35.41,6337074,$36.19,$36.25,$35.13
11/01/2024,$36.14,3245121,$35.85,$36.185,$35.55
10/31/2024,$35.73,1559878,$35.98,$36.04,$35.73
10/30/2024,$35.93,1004859,$35.89,$35.98,$35.77
10/29/2024,$35.89,2375606,$35.80,$36.01,$35.74
10/28/2024,$35.83,2376237,$35.86,$35.93,$35.63
10/25/2024,$36.01,3276539,$36.01,$36.34,$35.99
10/24/2024,$36.15,3037251,$35.88,$36.20,$35.78
10/23/2024,$35.82,4493447,$35.68,$36.00,$35.68
10/22/2024,$35.55,3980970,$35.76,$35.80,$35.31
10/21/2024,$35.71,3390447,$35.70,$35.88,$35.665
10/18/2024,$35.70,2268568,$35.81,$35.91,$35.68
10/17/2024,$35.85,1815077,$35.90,$35.99,$35.75
10/16/2024,$35.96,3687467,$35.71,$36.10,$35.70
10/15/2024,$35.71,8826035,$35.63,$36.00,$35.62
10/14/2024,$35.25,1261446,$35.25,$35.37,$35.23
10/11/2024,$35.25,947292,$35.30,$35.40,$35.19
10/10/2024,$35.25,1426357,$35.30,$35.385,$35.20
10/09/2024,$35.26,1013755,$35.37,$35.445,$35.26
10/08/2024,$35.35,4034857,$35.32,$35.50,$35.30
10/07/2024,$35.32,1733533,$35.35,$35.47,$35.30
10/04/2024,$35.36,1351152,$35.54,$35.64,$35.31
10/03/2024,$35.42,2594875,$35.40,$35.50,$35.36
10/02/2024,$35.45,2236997,$35.34,$35.49,$35.31
10/01/2024,$35.38,2545551,$35.53,$35.58,$35.30
09/30/2024,$35.53,2562450,$35.70,$35.855,$35.15
09/27/2024,$35.71,2107540,$35.72,$35.85,$35.71
09/26/2024,$35.72,1468916,$35.59,$35.75,$35.51
09/25/2024,$35.52,2358975,$35.65,$35.65,$35.305
09/24/2024,$35.48,1500762,$35.78,$35.78,$35.45
09/23/2024,$35.73,3073025,$35.73,$35.835,$35.47
09/20/2024,$35.65,3500871,$35.35,$35.75,$35.31
09/19/2024,$35.39,7991092,$35.73,$35.83,$35.16
09/18/2024,$35.35,3280958,$35.72,$35.90,$35.34
09/17/2024,$35.65,2566895,$35.96,$36.20,$35.49
09/16/2024,$35.95,4548357,$36.49,$36.58,$35.93
09/13/2024,$36.44,3728992,$35.62,$36.50,$35.62
09/12/2024,$35.585,4435507,$35.95,$35.97,$35.53
09/11/2024,$36.03,4752559,$35.55,$36.04,$35.51
09/10/2024,$35.57,4377119,$35.71,$35.73,$35.29
09/09/2024,$35.77,3476755,$35.63,$35.86,$35.31
09/06/2024,$35.53,12498340,$35.07,$35.79,$35.01
09/05/2024,$35.00,34952220,$35.00,$35.53,$34.96
09/04/2024,$38.68,14982440,$28.07,$39.21,$28.07
09/03/2024,$28.04,1299119,$28.54,$29.00,$27.951
08/30/2024,$28.80,1316497,$28.62,$28.91,$28.03
08/29/2024,$28.51,1042810,$28.45,$28.86,$28.29
08/28/2024,$28.44,761416,$28.75,$28.91,$28.225
08/27/2024,$28.95,980745,$29.25,$29.61,$28.925
08/26/2024,$29.46,2205324,$28.91,$29.83,$28.71
